table_id,row_id,academic_institution_full_path,academic_institution_level_1,academic_institution_level_2,academic_institution_level_3,academic_institution_hierarchy_depth,field_doctorate_recipients,field_high_hispanic_enrollment_institution
3277,r018,All institutions -> Top 50 U.S. institutions -> U. Miami,All institutions,Top 50 U.S. institutions,U. Miami,3,101,No
3277,r019,"All institutions -> Top 50 U.S. institutions -> U. New Mexico, Albuquerque",All institutions,Top 50 U.S. institutions,"U. New Mexico, Albuquerque",3,99,Yes
3277,r020,All institutions -> Top 50 U.S. institutions -> Stanford U.,All institutions,Top 50 U.S. institutions,Stanford U.,3,77,No
3277,r021,"All institutions -> Top 50 U.S. institutions -> U. California, Riverside",All institutions,Top 50 U.S. institutions,"U. California, Riverside",3,75,Yes
3277,r022,"All institutions -> Top 50 U.S. institutions -> U. California, Santa Barbara",All institutions,Top 50 U.S. institutions,"U. California, Santa Barbara",3,74,Yes
3277,r023,"All institutions -> Top 50 U.S. institutions -> U. Texas, San Antonio",All institutions,Top 50 U.S. institutions,"U. Texas, San Antonio",3,73,Yes
3277,r024,All institutions -> Top 50 U.S. institutions -> Arizona State U.,All institutions,Top 50 U.S. institutions,Arizona State U.,3,72,No
3277,r025,All institutions -> Top 50 U.S. institutions -> Florida State U.,All institutions,Top 50 U.S. institutions,Florida State U.,3,70,No
3277,r026,All institutions -> Top 50 U.S. institutions -> Harvard U.,All institutions,Top 50 U.S. institutions,Harvard U.,3,70,No
3277,r027,All institutions -> Top 50 U.S. institutions -> U. Central Florida,All institutions,Top 50 U.S. institutions,U. Central Florida,3,70,Yes
3277,r028,"All institutions -> Top 50 U.S. institutions -> New Mexico State U., Las Cruces",All institutions,Top 50 U.S. institutions,"New Mexico State U., Las Cruces",3,64,Yes
3277,r029,"All institutions -> Top 50 U.S. institutions -> U. California, Santa Cruz",All institutions,Top 50 U.S. institutions,"U. California, Santa Cruz",3,61,Yes
3277,r030,"All institutions -> Top 50 U.S. institutions -> San Diego State U., San Diego",All institutions,Top 50 U.S. institutions,"San Diego State U., San Diego",3,59,Yes
3277,r031,"All institutions -> Top 50 U.S. institutions -> U. South Florida, Tampa",All institutions,Top 50 U.S. institutions,"U. South Florida, Tampa",3,59,No
3277,r032,All institutions -> Top 50 U.S. institutions -> U. Texas Rio Grande Valley,All institutions,Top 50 U.S. institutions,U. Texas Rio Grande Valley,3,58,Yes
3277,r033,All institutions -> Top 50 U.S. institutions -> Columbia U. in the City of New York,All institutions,Top 50 U.S. institutions,Columbia U. in the City of New York,3,56,No
3277,r034,"All institutions -> Top 50 U.S. institutions -> U. Illinois, Urbana-Champaign",All institutions,Top 50 U.S. institutions,"U. Illinois, Urbana-Champaign",3,55,No
3277,r035,"All institutions -> Top 50 U.S. institutions -> U. Puerto Rico, Humacao",All institutions,Top 50 U.S. institutions,"U. Puerto Rico, Humacao",3,53,Yes
3277,r036,All institutions -> Top 50 U.S. institutions -> New York U.,All institutions,Top 50 U.S. institutions,New York U.,3,52,No
3277,r037,"All institutions -> Top 50 U.S. institutions -> U. Michigan, Ann Arbor",All institutions,Top 50 U.S. institutions,"U. Michigan, Ann Arbor",3,49,No
3277,r038,All institutions -> Top 50 U.S. institutions -> Cornell U.,All institutions,Top 50 U.S. institutions,Cornell U.,3,48,No
3277,r039,"All institutions -> Top 50 U.S. institutions -> U. Washington, Seattle",All institutions,Top 50 U.S. institutions,"U. Washington, Seattle",3,48,No
3277,r040,"All institutions -> Top 50 U.S. institutions -> U. Maryland, College Park",All institutions,Top 50 U.S. institutions,"U. Maryland, College Park",3,47,No
3277,r041,"All institutions -> Top 50 U.S. institutions -> Rutgers, State U. New Jersey, New Brunswick",All institutions,Top 50 U.S. institutions,"Rutgers, State U. New Jersey, New Brunswick",3,46,No
3277,r042,"All institutions -> Top 50 U.S. institutions -> U. Puerto Rico, Cayey",All institutions,Top 50 U.S. institutions,"U. Puerto Rico, Cayey",3,46,Yes
3277,r043,"All institutions -> Top 50 U.S. institutions -> California State U., Long Beach",All institutions,Top 50 U.S. institutions,"California State U., Long Beach",3,45,Yes
3277,r044,All institutions -> Top 50 U.S. institutions -> Princeton U.,All institutions,Top 50 U.S. institutions,Princeton U.,3,45,No
3277,r045,"All institutions -> Top 50 U.S. institutions -> California State Polytechnic U., Pomona",All institutions,Top 50 U.S. institutions,"California State Polytechnic U., Pomona",3,44,Yes
3277,r046,All institutions -> Top 50 U.S. institutions -> Rice U.,All institutions,Top 50 U.S. institutions,Rice U.,3,43,No
3277,r047,All institutions -> Top 50 U.S. institutions -> Duke U.,All institutions,Top 50 U.S. institutions,Duke U.,3,42,No
3277,r048,All institutions -> Top 50 U.S. institutions -> U. Notre Dame,All institutions,Top 50 U.S. institutions,U. Notre Dame,3,42,No
3277,r049,All institutions -> Top 50 U.S. institutions -> U. Southern California,All institutions,Top 50 U.S. institutions,U. Southern California,3,42,No
3277,r050,"All institutions -> Top 50 U.S. institutions -> California State U., Northridge",All institutions,Top 50 U.S. institutions,"California State U., Northridge",3,41,Yes
3277,r051,All institutions -> Top 50 U.S. institutions -> U. Pennsylvania,All institutions,Top 50 U.S. institutions,U. Pennsylvania,3,40,No
3277,r052,All institutions -> Top 50 U.S. institutions -> Yale U.,All institutions,Top 50 U.S. institutions,Yale U.,3,40,No
3277,r053,All institutions -> Top 50 U.S. institutions -> U. Houston,All institutions,Top 50 U.S. institutions,U. Houston,3,37,Yes
3277,r054,All institutions -> Other U.S. institutions,All institutions,Other U.S. institutions,,2,4312,-
