table_id,row_id,occupation_and_employment_status_full_path,occupation_and_employment_status_level_1,occupation_and_employment_status_level_2,occupation_and_employment_status_level_3,occupation_and_employment_status_level_4,occupation_and_employment_status_hierarchy_depth,field_total_number,field_total_se,field_hispanic_or_latinoa_number,field_hispanic_or_latinoa_se,field_not_hispanic_or_latinob_american_indian_or_alaska_native_number,field_not_hispanic_or_latinob_american_indian_or_alaska_native_se,field_not_hispanic_or_latinob_asian_number,field_not_hispanic_or_latinob_asian_se,field_not_hispanic_or_latinob_black_or_african_american_number,field_not_hispanic_or_latinob_black_or_african_american_se,field_not_hispanic_or_latinob_white_number,field_not_hispanic_or_latinob_white_se,field_not_hispanic_or_latinob_other_racec_number,field_not_hispanic_or_latinob_other_racec_se
8213,r011,All occupations -> Science occupations -> Retired,All occupations,Science occupations,Retired,,3,63650,1200,1500,175,100,50,5950,425,1250,175,54050,1125,750,150
8213,r012,All occupations -> Science occupations -> Not employed or not seeking work<sup>e</sup>,All occupations,Science occupations,Not employed or not seeking work<sup>e</sup>,,3,11750,600,450,100,,,3250,350,250,100,7600,500,200,50
8213,r013,"All occupations -> Science occupations -> Biological, agricultural, and other life scientists",All occupations,Science occupations,"Biological, agricultural, and other life scientists",,3,186900,1825,8800,350,200,50,44750,1075,5100,300,124400,1600,3550,275
8213,r014,"All occupations -> Science occupations -> Biological, agricultural, and other life scientists -> Full time",All occupations,Science occupations,"Biological, agricultural, and other life scientists",Full time,4,149850,1700,7600,300,150,50,39650,1025,4400,275,95000,1400,3100,250
8213,r015,"All occupations -> Science occupations -> Biological, agricultural, and other life scientists -> Part time",All occupations,Science occupations,"Biological, agricultural, and other life scientists",Part time,4,11000,575,400,75,,,1350,250,200,50,8800,500,200,75
8213,r016,"All occupations -> Science occupations -> Biological, agricultural, and other life scientists -> Unemployed<sup>d</sup>",All occupations,Science occupations,"Biological, agricultural, and other life scientists",Unemployed<sup>d</sup>,4,2550,275,250,75,,,700,200,200,75,1350,175,,
8213,r017,"All occupations -> Science occupations -> Biological, agricultural, and other life scientists -> Retired",All occupations,Science occupations,"Biological, agricultural, and other life scientists",Retired,4,19300,700,300,75,,,1800,225,300,100,16650,700,200,75
8213,r018,"All occupations -> Science occupations -> Biological, agricultural, and other life scientists -> Not employed or not seeking work<sup>e</sup>",All occupations,Science occupations,"Biological, agricultural, and other life scientists",Not employed or not seeking work<sup>e</sup>,4,4200,350,200,50,,,1250,250,,,2600,275,100,50
8213,r019,All occupations -> Science occupations -> Computer and information scientists,All occupations,Science occupations,Computer and information scientists,,3,74150,1025,2050,150,,,32000,875,1200,125,37600,975,1300,250
8213,r020,All occupations -> Science occupations -> Computer and information scientists -> Full time,All occupations,Science occupations,Computer and information scientists,Full time,4,62000,1000,1750,150,,,28650,850,950,100,29450,900,1150,225
8213,r021,All occupations -> Science occupations -> Computer and information scientists -> Part time,All occupations,Science occupations,Computer and information scientists,Part time,4,3450,300,100,50,,,700,150,100,50,2500,250,50,25
8213,r022,All occupations -> Science occupations -> Computer and information scientists -> Unemployed<sup>d</sup>,All occupations,Science occupations,Computer and information scientists,Unemployed<sup>d</sup>,4,1250,275,S,S,,,500,175,,,550,125,,
8213,r023,All occupations -> Science occupations -> Computer and information scientists -> Retired,All occupations,Science occupations,Computer and information scientists,Retired,4,6150,425,150,50,,,1400,300,100,50,4500,325,,
8213,r024,All occupations -> Science occupations -> Computer and information scientists -> Not employed or not seeking work<sup>e</sup>,All occupations,Science occupations,Computer and information scientists,Not employed or not seeking work<sup>e</sup>,4,1300,250,,,,,700,200,,,550,125,,
8213,r025,All occupations -> Science occupations -> Mathematical scientists,All occupations,Science occupations,Mathematical scientists,,3,49750,950,2200,175,0.05,0.05,16400,650,1300,125,29050,725,750,125
8213,r026,All occupations -> Science occupations -> Mathematical scientists -> Full time,All occupations,Science occupations,Mathematical scientists,Full time,4,41000,850,1900,150,0.05,0.05,14600,625,1150,125,22800,675,500,100
8213,r027,All occupations -> Science occupations -> Mathematical scientists -> Part time,All occupations,Science occupations,Mathematical scientists,Part time,4,2950,300,150,75,,,600,150,100,25,2000,250,S,S
8213,r028,All occupations -> Science occupations -> Mathematical scientists -> Unemployed<sup>d</sup>,All occupations,Science occupations,Mathematical scientists,Unemployed<sup>d</sup>,4,600,125,50,25,,,300,100,,,250,75,,
8213,r029,All occupations -> Science occupations -> Mathematical scientists -> Retired,All occupations,Science occupations,Mathematical scientists,Retired,4,4250,375,100,50,,,600,150,50,25,3450,325,50,25
8213,r030,All occupations -> Science occupations -> Mathematical scientists -> Not employed or not seeking work<sup>e</sup>,All occupations,Science occupations,Mathematical scientists,Not employed or not seeking work<sup>e</sup>,4,900,200,,,,,300,125,,,550,150,,
8213,r031,All occupations -> Science occupations -> Physical scientists,All occupations,Science occupations,Physical scientists,,3,101300,1425,3700,200,100,50,21400,900,2400,175,71900,1225,1700,200
8213,r032,All occupations -> Science occupations -> Physical scientists -> Full time,All occupations,Science occupations,Physical scientists,Full time,4,78300,1350,3150,175,50,50,18400,850,1950,175,53350,1125,1350,175
8213,r033,All occupations -> Science occupations -> Physical scientists -> Part time,All occupations,Science occupations,Physical scientists,Part time,4,6800,400,250,75,,,900,175,250,75,5350,375,S,S
8213,r034,All occupations -> Science occupations -> Physical scientists -> Unemployed<sup>d</sup>,All occupations,Science occupations,Physical scientists,Unemployed<sup>d</sup>,4,1450,225,50,25,,,350,100,50,50,1000,200,,
8213,r035,All occupations -> Science occupations -> Physical scientists -> Retired,All occupations,Science occupations,Physical scientists,Retired,4,13050,525,250,75,,,1200,225,150,50,11200,550,250,100
8213,r036,All occupations -> Science occupations -> Physical scientists -> Not employed or not seeking work<sup>e</sup>,All occupations,Science occupations,Physical scientists,Not employed or not seeking work<sup>e</sup>,4,1650,200,50,25,,,500,150,S,S,1000,150,,
8213,r037,All occupations -> Science occupations -> Psychologists,All occupations,Science occupations,Psychologists,,3,92550,950,5000,225,250,75,4850,375,4150,325,76600,900,1750,200
8213,r038,All occupations -> Science occupations -> Psychologists -> Full time,All occupations,Science occupations,Psychologists,Full time,4,56000,1025,3200,200,200,50,3300,325,2750,250,45300,925,1300,200
8213,r039,All occupations -> Science occupations -> Psychologists -> Part time,All occupations,Science occupations,Psychologists,Part time,4,22400,750,1200,150,,,850,175,900,175,19150,725,250,75
8213,r040,All occupations -> Science occupations -> Psychologists -> Unemployed<sup>d</sup>,All occupations,Science occupations,Psychologists,Unemployed<sup>d</sup>,4,900,150,100,50,,,,,150,75,550,125,,
8213,r041,All occupations -> Science occupations -> Psychologists -> Retired,All occupations,Science occupations,Psychologists,Retired,4,10850,550,450,100,,,350,150,250,75,9600,525,150,75
8213,r042,All occupations -> Science occupations -> Psychologists -> Not employed or not seeking work<sup>e</sup>,All occupations,Science occupations,Psychologists,Not employed or not seeking work<sup>e</sup>,4,2400,325,50,50,,,250,125,,,1950,300,,
8213,r043,All occupations -> Science occupations -> Social scientists,All occupations,Science occupations,Social scientists,,3,81200,1225,5100,300,200,50,10100,500,4550,225,59900,1150,1350,150
8213,r044,All occupations -> Science occupations -> Social scientists -> Full time,All occupations,Science occupations,Social scientists,Full time,4,60750,1000,4050,275,200,50,8350,450,3450,250,43600,925,1100,150
8213,r045,All occupations -> Science occupations -> Social scientists -> Part time,All occupations,Science occupations,Social scientists,Part time,4,7700,475,500,100,,,800,200,500,100,5850,450,100,50
8213,r046,All occupations -> Science occupations -> Social scientists -> Unemployed<sup>d</sup>,All occupations,Science occupations,Social scientists,Unemployed<sup>d</sup>,4,1400,225,150,75,,,S,S,100,50,900,200,,
8213,r047,All occupations -> Science occupations -> Social scientists -> Retired,All occupations,Science occupations,Social scientists,Retired,4,10050,550,250,75,,,500,125,450,100,8650,500,150,75
8213,r048,All occupations -> Science occupations -> Social scientists -> Not employed or not seeking work<sup>e</sup>,All occupations,Science occupations,Social scientists,Not employed or not seeking work<sup>e</sup>,4,1300,225,100,75,,,200,125,50,25,900,175,,
8213,r049,All occupations -> Engineering occupations,All occupations,Engineering occupations,,,2,138100,1575,5250,225,150,50,54400,1125,3300,225,72850,1250,2150,275
8213,r050,All occupations -> Engineering occupations -> Full time,All occupations,Engineering occupations,Full time,,3,116050,1525,4550,225,100,50,48100,1150,2950,200,58600,1150,1750,250
8213,r051,All occupations -> Engineering occupations -> Part time,All occupations,Engineering occupations,Part time,,3,6750,475,200,50,,,2000,325,150,50,4300,325,50,50
8213,r052,All occupations -> Engineering occupations -> Unemployed<sup>d</sup>,All occupations,Engineering occupations,Unemployed<sup>d</sup>,,3,2150,275,100,50,,,900,225,100,50,1000,175,S,S
8213,r053,All occupations -> Engineering occupations -> Retired,All occupations,Engineering occupations,Retired,,3,11850,600,250,75,,,2950,300,100,50,8250,475,250,125
8213,r054,All occupations -> Engineering occupations -> Not employed or not seeking work<sup>e</sup>,All occupations,Engineering occupations,Not employed or not seeking work<sup>e</sup>,,3,1250,200,100,50,,,450,125,,,700,150,,
8213,r055,All occupations -> S&amp;E-related occupations,All occupations,S&amp;E-related occupations,,,2,119200,1700,4450,250,250,75,26850,1000,5450,350,80250,1300,1900,200
8213,r056,All occupations -> S&amp;E-related occupations -> Full time,All occupations,S&amp;E-related occupations,Full time,,3,91200,1425,3800,225,150,50,23250,900,4250,275,58200,1075,1550,175
8213,r057,All occupations -> S&amp;E-related occupations -> Part time,All occupations,S&amp;E-related occupations,Part time,,3,9300,600,300,75,50,25,1150,225,500,125,7150,550,200,75
8213,r058,All occupations -> S&amp;E-related occupations -> Unemployed<sup>d</sup>,All occupations,S&amp;E-related occupations,Unemployed<sup>d</sup>,,3,2000,225,100,50,,,400,100,300,100,1200,175,,
8213,r059,All occupations -> S&amp;E-related occupations -> Retired,All occupations,S&amp;E-related occupations,Retired,,3,14650,675,300,75,,,1600,225,400,100,12300,625,100,50
8213,r060,All occupations -> S&amp;E-related occupations -> Not employed or not seeking work<sup>e</sup>,All occupations,S&amp;E-related occupations,Not employed or not seeking work<sup>e</sup>,,3,2050,300,50,25,,,450,150,50,25,1450,250,,
8213,r061,All occupations -> Non-S&amp;E occupations,All occupations,Non-S&amp;E occupations,,,2,178900,1950,8100,350,500,100,30450,950,8650,350,127550,1700,3650,325
8213,r062,All occupations -> Non-S&amp;E occupations -> Full time,All occupations,Non-S&amp;E occupations,Full time,,3,124450,1825,6200,275,300,75,23950,925,6400,300,85000,1550,2600,275
8213,r063,All occupations -> Non-S&amp;E occupations -> Part time,All occupations,Non-S&amp;E occupations,Part time,,3,22200,750,800,125,100,50,3200,325,900,150,16550,650,650,175
8213,r064,All occupations -> Non-S&amp;E occupations -> Unemployed<sup>d</sup>,All occupations,Non-S&amp;E occupations,Unemployed<sup>d</sup>,,3,4300,400,150,50,,,500,125,300,100,3250,375,50,25
8213,r065,All occupations -> Non-S&amp;E occupations -> Retired,All occupations,Non-S&amp;E occupations,Retired,,3,24600,850,750,125,S,S,2450,325,700,125,20350,800,200,75
8213,r066,All occupations -> Non-S&amp;E occupations -> Not employed or not seeking work<sup>e</sup>,All occupations,Non-S&amp;E occupations,Not employed or not seeking work<sup>e</sup>,,3,3450,275,250,75,,,350,100,300,75,2400,250,150,75
