table_id,row_id,nice_class_full_path,nice_class_level_1,nice_class_level_2,nice_class_hierarchy_depth,field_1998,field_1999,field_2000,field_2001,field_2002,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
10584,r026,All classes -> 25,All classes,25,2,4118,3568,4939,4002,5243,4750,4676,5582,6969,8124,9335,8893,8744,9881,10429,11268,12330,12824,13298,14207,14750,16459,14929,15897,14671
10584,r027,All classes -> 26,All classes,26,2,140,128,232,170,212,228,196,201,274,310,344,331,354,392,439,456,465,429,524,500,630,728,617,633,593
10584,r028,All classes -> 27,All classes,27,2,159,189,311,271,294,297,233,242,257,293,371,308,245,260,241,281,312,301,320,368,498,567,424,440,379
10584,r029,All classes -> 28,All classes,28,2,3356,3023,3328,3321,4010,3515,3421,3376,4279,4040,4382,3792,3592,3846,3900,4048,4538,4460,4495,4729,5043,5727,4744,4845,4583
10584,r030,All classes -> 29,All classes,29,2,1457,1271,1234,1117,1748,1564,1489,1645,1950,2090,2396,2059,1976,2101,2102,2244,2411,2426,2645,2725,2756,3012,2555,2320,2191
10584,r031,All classes -> 30,All classes,30,2,2493,2414,2027,1915,2994,2618,2412,2803,3396,3638,3841,3553,3450,3986,4053,4216,5033,4851,4830,5138,5227,5895,5150,4822,4812
10584,r032,All classes -> 31,All classes,31,2,851,831,745,686,1033,1005,915,954,1189,1252,1326,1205,1119,1340,1282,1238,1267,1346,1377,1613,1689,1822,1681,1423,1509
10584,r033,All classes -> 32,All classes,32,2,924,859,610,535,839,798,655,863,1056,1080,1418,1278,1330,1533,1712,2188,2857,3258,3634,3775,3539,3579,2777,2341,2127
10584,r034,All classes -> 33,All classes,33,2,429,449,384,431,681,719,698,920,1360,1603,2009,1767,1726,1920,2054,2156,2587,2954,2775,2965,2937,3332,2977,2973,2923
10584,r035,All classes -> 34,All classes,34,2,329,262,206,183,282,284,292,297,332,319,480,554,483,529,665,795,996,1153,1384,1194,854,851,810,812,858
10584,r036,All classes -> 35,All classes,35,2,6041,6685,10014,10621,14562,12089,9823,10600,14149,16543,19310,17811,16763,18306,19279,19280,19743,20048,20223,20203,19908,22379,19365,18649,18991
10584,r037,All classes -> 36,All classes,36,2,3910,3956,5735,5894,7885,6604,5872,6034,8191,9041,9990,8279,7249,7567,7841,7828,8387,8307,8964,8952,8730,10231,9113,7698,7733
10584,r038,All classes -> 37,All classes,37,2,1126,1267,1754,1529,2358,1907,1698,1937,2729,3103,3585,3103,2740,2785,2927,2912,3056,3197,3389,3490,3626,4094,3639,3388,3415
10584,r039,All classes -> 38,All classes,38,2,1163,1045,1723,1898,2316,1647,1370,1344,1670,2001,2299,1949,1720,1723,1717,1653,1582,1509,1474,1344,1249,1329,1178,1184,1121
10584,r040,All classes -> 39,All classes,39,2,962,1016,1432,1337,1731,1376,1106,1155,1497,1754,1985,1768,1610,1772,1869,1904,1874,1930,1975,2161,1992,2313,2018,1783,1829
10584,r041,All classes -> 40,All classes,40,2,541,581,764,686,1002,969,845,886,1158,1299,1560,1559,1254,1350,1408,1396,1338,1447,1411,1516,1455,1791,1478,1401,1348
10584,r042,All classes -> 41,All classes,41,2,5201,5390,7577,7220,10227,9271,8444,9155,12200,14476,17152,15721,14937,16535,17743,18430,18863,19608,21196,22147,21863,25817,22826,22221,22243
10584,r043,All classes -> 42,All classes,42,2,8534,8351,11609,11606,15711,9055,5335,4967,5747,6635,7462,7358,6980,7937,8817,9276,9839,10363,10628,11329,11523,13269,11840,11273,11408
10584,r044,All classes -> 43,All classes,43,2,10,10,10,12,170,1334,1789,2205,3117,3577,3968,3664,3313,3921,4216,4360,4677,5190,5566,6030,6037,6876,5572,4840,5301
10584,r045,All classes -> 44,All classes,44,2,2,1,2,2,122,1200,1715,2150,2863,3498,4164,3949,3829,4233,4520,4901,5069,5075,5699,6087,6121,7349,6413,6074,6004
10584,r046,All classes -> 45,All classes,45,2,1,2,13,7,49,411,609,773,1150,1689,2697,2785,2759,3141,3522,3517,3537,3504,3671,3684,3543,4082,3672,3484,3480
10584,r047,All classes -> Unclassified,All classes,Unclassified,2,197,161,257,227,386,297,279,268,397,433,424,463,437,381,389,370,384,374,333,381,361,378,374,333,314
