table_id,row_id,_b_debt_level_b_full_path,_b_debt_level_b_level_1,_b_debt_level_b_level_2,_b_debt_level_b_hierarchy_depth,field_all_fields,field_science_and_engineering_total,field_science_and_engineering_agricultural_sciences_and_natural_resources,field_science_and_engineering_biological_and_biomedical_sciences,field_science_and_engineering_computer_and_information_sciences,field_science_and_engineering_engineering,field_science_and_engineering_geosciences_atmospheric_and_ocean_sciences,field_science_and_engineering_health_sciences,field_science_and_engineering_mathematics_and_statistics,field_science_and_engineering_multidisciplinary_interdisciplinary_sciences,field_science_and_engineering_physical_sciences,field_science_and_engineering_psychology,field_science_and_engineering_social_sciences,field_non_science_and_engineering_total,field_non_science_and_engineering_business,field_non_science_and_engineering_education,field_non_science_and_engineering_humanities,field_non_science_and_engineering_visual_and_performing_arts,field_non_science_and_engineering_other_non_science_and_engineering
11685,r014,"Cumulative debt -> $80,001&#8211;$90,000",Cumulative debt,"$80,001&#8211;$90,000",2,"['702', '1.3']","['477', '1.1']","['13', '1.1']","['113', '1.3']","['8', '0.4']","['70', '0.7']","['15', '1.3']","['60', '2.5']","['11', '0.6']","['11', '0.7']","['39', '0.8']","['72', '2.2']","['65', '1.4']","['225', '2.2']","['13', '1.0']","['92', '2.6']","['60', '2.0']","['18', '2.5']","['42', '2.2']"
11685,r015,"Cumulative debt -> $90,001&#8211;$100,000",Cumulative debt,"$90,001&#8211;$100,000",2,"['848', '1.6']","['616', '1.5']","['20', '1.8']","['154', '1.7']","['12', '0.6']","['84', '0.9']","['11', '1.0']","['65', '2.7']","['6', '0.3']","['15', '1.0']","['68', '1.4']","['112', '3.4']","['69', '1.5']","['232', '2.2']","['16', '1.2']","['89', '2.5']","['60', '2.0']","['24', '3.3']","['43', '2.2']"
11685,r016,"Cumulative debt -> $100,001&#8211;$120,000",Cumulative debt,"$100,001&#8211;$120,000",2,"['893', '1.7']","['576', '1.4']","['17', '1.5']","['119', '1.3']","['22', '1.1']","['73', '0.8']","['9', '0.8']","['72', '3.0']","['7', '0.4']","['14', '0.9']","['31', '0.6']","['103', '3.2']","['109', '2.4']","['317', '3.0']","['25', '1.9']","['144', '4.1']","['64', '2.2']","['19', '2.6']","['65', '3.4']"
11685,r017,"Cumulative debt -> $120,001&#8211;$140,000",Cumulative debt,"$120,001&#8211;$140,000",2,"['675', '1.3']","['435', '1.0']","['12', '1.1']","['81', '0.9']","['12', '0.6']","['29', '0.3']","['11', '1.0']","['67', '2.8']","['5', '0.3']","['18', '1.2']","['19', '0.4']","['107', '3.3']","['74', '1.6']","['240', '2.3']","['17', '1.3']","['115', '3.3']","['54', '1.8']","['10', '1.4']","['44', '2.3']"
11685,r018,"Cumulative debt -> $140,001&#8211;$160,000",Cumulative debt,"$140,001&#8211;$160,000",2,"['541', '1.0']","['337', '0.8']","['D', 'D']","['46', '0.5']","['5', '0.2']","['34', '0.4']","['7', '0.6']","['62', '2.6']","['D', 'D']","['7', '0.5']","['16', '0.3']","['91', '2.8']","['60', '1.3']","['204', '2.0']","['15', '1.1']","['90', '2.6']","['41', '1.4']","['11', '1.5']","['47', '2.4']"
11685,r019,"Cumulative debt -> $160,001 or more",Cumulative debt,"$160,001 or more",2,"['1,943', '3.7']","['1,196', '2.9']","['34', '3.0']","['154', '1.7']","['20', '1.0']","['84', '0.9']","['10', '0.9']","['212', '8.8']","['9', '0.5']","['30', '1.9']","['31', '0.6']","['411', '12.6']","['201', '4.4']","['747', '7.2']","['46', '3.5']","['349', '10.0']","['160', '5.4']","['32', '4.4']","['160', '8.3']"
11685,r020,Graduate debt,Graduate debt,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
11685,r021,Graduate debt -> All reporting graduate debt (number),Graduate debt,All reporting graduate debt (number),2,"['51,964', '']","['41,577', '']","['1,133', '']","['9,012', '']","['2,028', '']","['9,646', '']","['1,117', '']","['2,401', '']","['1,877', '']","['1,549', '']","['4,975', '']","['3,244', '']","['4,595', '']","['10,387', '']","['1,304', '']","['3,498', '']","['2,934', '']","['723', '']","['1,928', '']"
11685,r022,Graduate debt -> Median debt (dollars),Graduate debt,Median debt (dollars),2,"['35,000', '']","['35,000', '']","['25,000', '']","['25,000', '']","['15,000', '']","['15,000', '']","['25,000', '']","['55,000', '']","['15,000', '']","['25,000', '']","['15,000', '']","['65,000', '']","['35,000', '']","['55,000', '']","['35,000', '']","['55,000', '']","['45,000', '']","['35,000', '']","['55,000', '']"
11685,r023,Graduate debt -> ,Graduate debt,,2,"['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']"
11685,r024,Graduate debt -> No debt,Graduate debt,No debt,2,"['38,115', '73.3']","['31,924', '76.8']","['826', '72.9']","['7,205', '79.9']","['1,725', '85.1']","['7,998', '82.9']","['919', '82.3']","['1,323', '55.1']","['1,664', '88.7']","['1,239', '80.0']","['4,261', '85.6']","['1,635', '50.4']","['3,129', '68.1']","['6,191', '59.6']","['972', '74.5']","['1,749', '50.0']","['1,916', '65.3']","['467', '64.6']","['1,087', '56.4']"
11685,r025,"Graduate debt -> $10,000 or less",Graduate debt,"$10,000 or less",2,"['3,128', '6.0']","['2,480', '6.0']","['92', '8.1']","['505', '5.6']","['105', '5.2']","['574', '6.0']","['61', '5.5']","['145', '6.0']","['85', '4.5']","['98', '6.3']","['288', '5.8']","['192', '5.9']","['335', '7.3']","['648', '6.2']","['60', '4.6']","['219', '6.3']","['188', '6.4']","['45', '6.2']","['136', '7.1']"
11685,r026,"Graduate debt -> $10,001&#8211;$20,000",Graduate debt,"$10,001&#8211;$20,000",2,"['1,819', '3.5']","['1,361', '3.3']","['50', '4.4']","['283', '3.1']","['48', '2.4']","['305', '3.2']","['31', '2.8']","['97', '4.0']","['36', '1.9']","['55', '3.6']","['123', '2.5']","['157', '4.8']","['176', '3.8']","['458', '4.4']","['50', '3.8']","['182', '5.2']","['114', '3.9']","['36', '5.0']","['76', '3.9']"
11685,r027,"Graduate debt -> $20,001&#8211;$30,000",Graduate debt,"$20,001&#8211;$30,000",2,"['1,404', '2.7']","['977', '2.3']","['26', '2.3']","['196', '2.2']","['27', '1.3']","['204', '2.1']","['27', '2.4']","['84', '3.5']","['26', '1.4']","['20', '1.3']","['84', '1.7']","['126', '3.9']","['157', '3.4']","['427', '4.1']","['42', '3.2']","['157', '4.5']","['112', '3.8']","['30', '4.1']","['86', '4.5']"
11685,r028,"Graduate debt -> $30,001&#8211;$40,000",Graduate debt,"$30,001&#8211;$40,000",2,"['965', '1.9']","['659', '1.6']","['25', '2.2']","['141', '1.6']","['13', '0.6']","['117', '1.2']","['11', '1.0']","['95', '4.0']","['18', '1.0']","['20', '1.3']","['35', '0.7']","['96', '3.0']","['88', '1.9']","['306', '2.9']","['20', '1.5']","['132', '3.8']","['81', '2.8']","['19', '2.6']","['54', '2.8']"
11685,r029,"Graduate debt -> $40,001&#8211;$50,000",Graduate debt,"$40,001&#8211;$50,000",2,"['838', '1.6']","['592', '1.4']","['14', '1.2']","['102', '1.1']","['14', '0.7']","['104', '1.1']","['13', '1.2']","['77', '3.2']","['10', '0.5']","['27', '1.7']","['39', '0.8']","['104', '3.2']","['88', '1.9']","['246', '2.4']","['13', '1.0']","['116', '3.3']","['58', '2.0']","['10', '1.4']","['49', '2.5']"
11685,r030,"Graduate debt -> $50,001&#8211;$60,000",Graduate debt,"$50,001&#8211;$60,000",2,"['767', '1.5']","['496', '1.2']","['D', 'D']","['103', '1.1']","['21', '1.0']","['81', '0.8']","['8', '0.7']","['68', '2.8']","['D', 'D']","['12', '0.8']","['25', '0.5']","['76', '2.3']","['81', '1.8']","['271', '2.6']","['14', '1.1']","['117', '3.3']","['57', '1.9']","['17', '2.4']","['66', '3.4']"
11685,r031,"Graduate debt -> $60,001&#8211;$70,000",Graduate debt,"$60,001&#8211;$70,000",2,"['614', '1.2']","['390', '0.9']","['D', 'D']","['72', '0.8']","['13', '0.6']","['41', '0.4']","['9', '0.8']","['54', '2.2']","['D', 'D']","['7', '0.5']","['25', '0.5']","['78', '2.4']","['69', '1.5']","['224', '2.2']","['11', '0.8']","['93', '2.7']","['64', '2.2']","['9', '1.2']","['47', '2.4']"
11685,r032,"Graduate debt -> $70,001&#8211;$80,000",Graduate debt,"$70,001&#8211;$80,000",2,"['509', '1.0']","['314', '0.8']","['5', '0.4']","['60', '0.7']","['D', 'D']","['24', '0.2']","['D', 'D']","['55', '2.3']","['6', '0.3']","['D', 'D']","['15', '0.3']","['60', '1.8']","['65', '1.4']","['195', '1.9']","['15', '1.2']","['86', '2.5']","['41', '1.4']","['16', '2.2']","['37', '1.9']"
11685,r033,"Graduate debt -> $80,001&#8211;$90,000",Graduate debt,"$80,001&#8211;$90,000",2,"['433', '0.8']","['264', '0.6']","['D', 'D']","['40', '0.4']","['D', 'D']","['32', '0.3']","['9', '0.8']","['41', '1.7']","['D', 'D']","['D', 'D']","['14', '0.3']","['59', '1.8']","['50', '1.1']","['169', '1.6']","['13', '1.0']","['82', '2.3']","['36', '1.2']","['11', '1.5']","['27', '1.4']"
11685,r034,"Graduate debt -> $90,001&#8211;$100,000",Graduate debt,"$90,001&#8211;$100,000",2,"['472', '0.9']","['288', '0.7']","['D', 'D']","['44', '0.5']","['8', '0.4']","['36', '0.4']","['5', '0.4']","['30', '1.2']","['D', 'D']","['10', '0.6']","['14', '0.3']","['81', '2.5']","['48', '1.0']","['184', '1.8']","['15', '1.2']","['86', '2.5']","['33', '1.1']","['13', '1.8']","['37', '1.9']"
11685,r035,"Graduate debt -> $100,001&#8211;$120,000",Graduate debt,"$100,001&#8211;$120,000",2,"['723', '1.4']","['463', '1.1']","['D', 'D']","['89', '1.0']","['19', '0.9']","['40', '0.4']","['8', '0.7']","['79', '3.3']","['D', 'D']","['14', '0.9']","['19', '0.4']","['102', '3.1']","['78', '1.7']","['260', '2.5']","['20', '1.5']","['131', '3.7']","['46', '1.6']","['14', '1.9']","['49', '2.5']"
11685,r036,"Graduate debt -> $120,001&#8211;$140,000",Graduate debt,"$120,001&#8211;$140,000",2,"['454', '0.9']","['275', '0.7']","['D', 'D']","['38', '0.4']","['7', '0.3']","['21', '0.2']","['D', 'D']","['59', '2.5']","['D', 'D']","['7', '0.5']","['10', '0.2']","['74', '2.3']","['46', '1.0']","['179', '1.7']","['11', '0.8']","['83', '2.4']","['40', '1.4']","['9', '1.2']","['36', '1.9']"
11685,r037,"Graduate debt -> $140,001&#8211;$160,000",Graduate debt,"$140,001&#8211;$160,000",2,"['583', '1.1']","['355', '0.9']","['D', 'D']","['47', '0.5']","['5', '0.2']","['21', '0.2']","['6', '0.5']","['69', '2.9']","['D', 'D']","['11', '0.7']","['13', '0.3']","['103', '3.2']","['66', '1.4']","['228', '2.2']","['16', '1.2']","['105', '3.0']","['49', '1.7']","['8', '1.1']","['50', '2.6']"
11685,r038,"Graduate debt -> $160,001 or more",Graduate debt,"$160,001 or more",2,"['1,140', '2.2']","['739', '1.8']","['D', 'D']","['87', '1.0']","['10', '0.5']","['48', '0.5']","['D', 'D']","['125', '5.2']","['5', '0.3']","['12', '0.8']","['10', '0.2']","['301', '9.3']","['119', '2.6']","['401', '3.9']","['32', '2.5']","['160', '4.6']","['99', '3.4']","['19', '2.6']","['91', '4.7']"
11685,r039,Undergraduate debt,Undergraduate debt,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
11685,r040,Undergraduate debt -> All reporting undergraduate debt (number),Undergraduate debt,All reporting undergraduate debt (number),2,"['51,993', '']","['41,601', '']","['1,131', '']","['9,017', '']","['2,029', '']","['9,646', '']","['1,118', '']","['2,405', '']","['1,878', '']","['1,554', '']","['4,977', '']","['3,249', '']","['4,597', '']","['10,392', '']","['1,304', '']","['3,499', '']","['2,936', '']","['724', '']","['1,929', '']"
11685,r041,Undergraduate debt -> Median debt (dollars),Undergraduate debt,Median debt (dollars),2,"['25,000', '']","['25,000', '']","['25,000', '']","['25,000', '']","['15,000', '']","['25,000', '']","['25,000', '']","['25,000', '']","['15,000', '']","['25,000', '']","['25,000', '']","['25,000', '']","['25,000', '']","['25,000', '']","['25,000', '']","['35,000', '']","['25,000', '']","['25,000', '']","['35,000', '']"
11685,r042,Undergraduate debt -> ,Undergraduate debt,,2,"['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']"
11685,r043,Undergraduate debt -> No debt,Undergraduate debt,No debt,2,"['38,101', '73.3']","['30,972', '74.5']","['836', '73.9']","['6,232', '69.1']","['1,791', '88.3']","['8,016', '83.1']","['796', '71.2']","['1,637', '68.1']","['1,555', '82.8']","['1,264', '81.3']","['3,591', '72.2']","['1,907', '58.7']","['3,347', '72.8']","['7,129', '68.6']","['1,112', '85.3']","['2,248', '64.2']","['1,964', '66.9']","['494', '68.2']","['1,311', '68.0']"
11685,r044,"Undergraduate debt -> $10,000 or less",Undergraduate debt,"$10,000 or less",2,"['3,049', '5.9']","['2,402', '5.8']","['67', '5.9']","['555', '6.2']","['88', '4.3']","['481', '5.0']","['72', '6.4']","['140', '5.8']","['90', '4.8']","['81', '5.2']","['295', '5.9']","['267', '8.2']","['266', '5.8']","['647', '6.2']","['48', '3.7']","['232', '6.6']","['199', '6.8']","['55', '7.6']","['113', '5.9']"
11685,r045,"Undergraduate debt -> $10,001&#8211;$20,000",Undergraduate debt,"$10,001&#8211;$20,000",2,"['2,622', '5.0']","['2,096', '5.0']","['57', '5.0']","['587', '6.5']","['48', '2.4']","['322', '3.3']","['68', '6.1']","['124', '5.2']","['83', '4.4']","['48', '3.1']","['287', '5.8']","['245', '7.5']","['227', '4.9']","['526', '5.1']","['34', '2.6']","['177', '5.1']","['177', '6.0']","['38', '5.2']","['100', '5.2']"
11685,r046,"Undergraduate debt -> $20,001&#8211;$30,000",Undergraduate debt,"$20,001&#8211;$30,000",2,"['2,442', '4.7']","['1,948', '4.7']","['44', '3.9']","['576', '6.4']","['32', '1.6']","['274', '2.8']","['69', '6.2']","['121', '5.0']","['58', '3.1']","['43', '2.8']","['273', '5.5']","['237', '7.3']","['221', '4.8']","['494', '4.8']","['28', '2.1']","['175', '5.0']","['166', '5.7']","['34', '4.7']","['91', '4.7']"
11685,r047,"Undergraduate debt -> $30,001&#8211;$40,000",Undergraduate debt,"$30,001&#8211;$40,000",2,"['1,756', '3.4']","['1,318', '3.2']","['49', '4.3']","['361', '4.0']","['24', '1.2']","['167', '1.7']","['45', '4.0']","['96', '4.0']","['34', '1.8']","['37', '2.4']","['192', '3.9']","['167', '5.1']","['146', '3.2']","['438', '4.2']","['27', '2.1']","['151', '4.3']","['149', '5.1']","['39', '5.4']","['72', '3.7']"
11685,r048,"Undergraduate debt -> $40,001&#8211;$50,000",Undergraduate debt,"$40,001&#8211;$50,000",2,"['1,027', '2.0']","['735', '1.8']","['18', '1.6']","['181', '2.0']","['9', '0.4']","['113', '1.2']","['13', '1.2']","['72', '3.0']","['21', '1.1']","['21', '1.4']","['95', '1.9']","['94', '2.9']","['98', '2.1']","['292', '2.8']","['13', '1.0']","['116', '3.3']","['79', '2.7']","['22', '3.0']","['62', '3.2']"
11685,r049,"Undergraduate debt -> $50,001&#8211;$60,000",Undergraduate debt,"$50,001&#8211;$60,000",2,"['835', '1.6']","['607', '1.5']","['19', '1.7']","['150', '1.7']","['15', '0.7']","['69', '0.7']","['16', '1.4']","['61', '2.5']","['10', '0.5']","['14', '0.9']","['64', '1.3']","['94', '2.9']","['95', '2.1']","['228', '2.2']","['11', '0.8']","['91', '2.6']","['64', '2.2']","['13', '1.8']","['49', '2.5']"
11685,r050,"Undergraduate debt -> $60,001&#8211;$70,000",Undergraduate debt,"$60,001&#8211;$70,000",2,"['493', '0.9']","['349', '0.8']","['9', '0.8']","['82', '0.9']","['D', 'D']","['50', '0.5']","['15', '1.3']","['24', '1.0']","['D', 'D']","['10', '0.6']","['38', '0.8']","['53', '1.6']","['55', '1.2']","['144', '1.4']","['5', '0.4']","['74', '2.1']","['28', '1.0']","['7', '1.0']","['30', '1.6']"
11685,r051,"Undergraduate debt -> $70,001&#8211;$80,000",Undergraduate debt,"$70,001&#8211;$80,000",2,"['370', '0.7']","['262', '0.6']","['D', 'D']","['71', '0.8']","['D', 'D']","['34', '0.4']","['6', '0.5']","['16', '0.7']","['7', '0.4']","['6', '0.4']","['44', '0.9']","['33', '1.0']","['37', '0.8']","['108', '1.0']","['6', '0.5']","['51', '1.5']","['22', '0.7']","['5', '0.7']","['24', '1.2']"
11685,r052,"Undergraduate debt -> $80,001&#8211;$90,000",Undergraduate debt,"$80,001&#8211;$90,000",2,"['408', '0.8']","['305', '0.7']","['D', 'D']","['82', '0.9']","['D', 'D']","['46', '0.5']","['11', '1.0']","['32', '1.3']","['8', '0.4']","['10', '0.6']","['32', '0.6']","['42', '1.3']","['32', '0.7']","['103', '1.0']","['5', '0.4']","['45', '1.3']","['22', '0.7']","['8', '1.1']","['23', '1.2']"
11685,r053,"Undergraduate debt -> $90,001 or more",Undergraduate debt,"$90,001 or more",2,"['890', '1.7']","['607', '1.5']","['D', 'D']","['140', '1.6']","['14', '0.7']","['74', '0.8']","['7', '0.6']","['82', '3.4']","['D', 'D']","['20', '1.3']","['66', '1.3']","['110', '3.4']","['73', '1.6']","['283', '2.7']","['15', '1.2']","['139', '4.0']","['66', '2.2']","['9', '1.2']","['54', '2.8']"
