table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_level_4,_b_field_b_level_5,_b_field_b_hierarchy_depth,field_2017a_all_units_with_students,field_2017a_units_with_master_s_students,field_2017a_units_with_doctoral_students,field_2018_all_units_with_students,field_2018_units_with_master_s_students,field_2018_units_with_doctoral_students,field_2019_all_units_with_students,field_2019_units_with_master_s_students,field_2019_units_with_doctoral_students
3443,r030,"All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All surveyed fields<sup>b</sup>,Science and engineering,Science,"Geosciences, atmospheric sciences, and ocean sciences",,4,392,333,257,401,344,265,390,335,265
3443,r031,"All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric sciences and meteorology",All surveyed fields<sup>b</sup>,Science and engineering,Science,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric sciences and meteorology,5,53,42,42,53,43,43,49,39,43
3443,r032,"All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All surveyed fields<sup>b</sup>,Science and engineering,Science,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,5,251,216,159,271,233,170,264,228,169
3443,r033,"All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean and marine sciences",All surveyed fields<sup>b</sup>,Science and engineering,Science,"Geosciences, atmospheric sciences, and ocean sciences",Ocean and marine sciences,5,80,67,52,77,68,52,77,68,53
3443,r034,"All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences nec",All surveyed fields<sup>b</sup>,Science and engineering,Science,"Geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences nec",5,8,8,4,ne,ne,ne,ne,ne,ne
3443,r035,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Mathematics and statistics,All surveyed fields<sup>b</sup>,Science and engineering,Science,Mathematics and statistics,,4,607,526,309,641,554,323,659,571,326
3443,r036,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Mathematics and statistics -> Mathematics and applied mathematics,All surveyed fields<sup>b</sup>,Science and engineering,Science,Mathematics and statistics,Mathematics and applied mathematics,5,443,381,223,467,398,234,476,406,237
3443,r037,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Mathematics and statistics -> Statistics,All surveyed fields<sup>b</sup>,Science and engineering,Science,Mathematics and statistics,Statistics,5,164,145,86,174,156,89,183,165,89
3443,r038,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Multidisciplinary and interdisciplinary studies,All surveyed fields<sup>b</sup>,Science and engineering,Science,Multidisciplinary and interdisciplinary studies,,4,276,206,111,299,233,112,300,232,113
3443,r039,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Natural resources and conservation,All surveyed fields<sup>b</sup>,Science and engineering,Science,Natural resources and conservation,,4,318,275,144,356,312,146,356,312,148
3443,r040,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Natural resources and conservation -> Environmental science and studies,All surveyed fields<sup>b</sup>,Science and engineering,Science,Natural resources and conservation,Environmental science and studies,5,169,139,65,202,173,64,199,171,66
3443,r041,"All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Natural resources and conservation -> Forestry, natural resources, and conservation",All surveyed fields<sup>b</sup>,Science and engineering,Science,Natural resources and conservation,"Forestry, natural resources, and conservation",5,149,136,79,154,139,82,157,141,82
3443,r042,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Physical sciences,All surveyed fields<sup>b</sup>,Science and engineering,Science,Physical sciences,,4,758,558,535,782,560,549,786,575,554
3443,r043,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Physical sciences -> Astronomy and astrophysics,All surveyed fields<sup>b</sup>,Science and engineering,Science,Physical sciences,Astronomy and astrophysics,5,55,15,49,60,15,54,63,17,57
3443,r044,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Physical sciences -> Chemistry,All surveyed fields<sup>b</sup>,Science and engineering,Science,Physical sciences,Chemistry,5,355,289,230,360,290,231,357,284,229
3443,r045,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Physical sciences -> Materials sciences,All surveyed fields<sup>b</sup>,Science and engineering,Science,Physical sciences,Materials sciences,5,44,30,37,47,30,38,51,36,40
3443,r046,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Physical sciences -> Physics,All surveyed fields<sup>b</sup>,Science and engineering,Science,Physical sciences,Physics,5,278,206,206,287,205,213,288,219,216
3443,r047,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Physical sciences -> Physical sciences nec,All surveyed fields<sup>b</sup>,Science and engineering,Science,Physical sciences,Physical sciences nec,5,26,18,13,28,20,13,27,19,12
3443,r048,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Psychology,All surveyed fields<sup>b</sup>,Science and engineering,Science,Psychology,,4,986,694,459,1022,716,466,1029,735,465
3443,r049,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Psychology -> Clinical psychology,All surveyed fields<sup>b</sup>,Science and engineering,Science,Psychology,Clinical psychology,5,125,64,73,129,68,71,128,63,76
3443,r050,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Psychology -> Counseling and applied psychology,All surveyed fields<sup>b</sup>,Science and engineering,Science,Psychology,Counseling and applied psychology,5,470,363,197,482,375,192,491,397,179
3443,r051,"All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Psychology -> Psychology, general",All surveyed fields<sup>b</sup>,Science and engineering,Science,Psychology,"Psychology, general",5,286,215,120,299,222,127,287,215,125
3443,r052,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Psychology -> Research and experimental psychology,All surveyed fields<sup>b</sup>,Science and engineering,Science,Psychology,Research and experimental psychology,5,105,52,69,112,51,76,123,60,85
3443,r053,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Social sciences,All surveyed fields<sup>b</sup>,Science and engineering,Science,Social sciences,,4,1985,1588,934,2075,1668,963,2097,1677,978
3443,r054,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Social sciences -> Agricultural economics,All surveyed fields<sup>b</sup>,Science and engineering,Science,Social sciences,Agricultural economics,5,46,41,29,50,42,28,46,38,25
3443,r055,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Social sciences -> Anthropology,All surveyed fields<sup>b</sup>,Science and engineering,Science,Social sciences,Anthropology,5,176,129,106,175,132,105,175,127,106
3443,r056,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Social sciences -> Criminal justice and safety studies,All surveyed fields<sup>b</sup>,Science and engineering,Science,Social sciences,Criminal justice and safety studies,5,95,92,18,103,100,21,110,107,22
3443,r057,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Social sciences -> Economics (except agricultural),All surveyed fields<sup>b</sup>,Science and engineering,Science,Social sciences,Economics (except agricultural),5,251,197,135,263,202,149,267,209,152
3443,r058,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Social sciences -> Geography and cartography,All surveyed fields<sup>b</sup>,Science and engineering,Science,Social sciences,Geography and cartography,5,159,148,70,166,159,68,166,159,67
3443,r059,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Social sciences -> History and philosophy of science,All surveyed fields<sup>b</sup>,Science and engineering,Science,Social sciences,History and philosophy of science,5,14,8,13,15,9,14,15,8,14
3443,r060,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Social sciences -> Human development,All surveyed fields<sup>b</sup>,Science and engineering,Science,Social sciences,Human development,5,58,50,24,65,55,27,67,59,26
3443,r061,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Social sciences -> International relations and national security studies,All surveyed fields<sup>b</sup>,Science and engineering,Science,Social sciences,International relations and national security studies,5,88,84,15,97,91,17,94,88,16
3443,r062,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Social sciences -> Linguistics,All surveyed fields<sup>b</sup>,Science and engineering,Science,Social sciences,Linguistics,5,104,75,63,102,78,56,101,73,59
3443,r063,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Social sciences -> Political science and government,All surveyed fields<sup>b</sup>,Science and engineering,Science,Social sciences,Political science and government,5,221,170,128,221,168,128,222,166,131
3443,r064,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Social sciences -> Public policy analysis,All surveyed fields<sup>b</sup>,Science and engineering,Science,Social sciences,Public policy analysis,5,124,89,54,133,102,56,143,110,58
3443,r065,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Social sciences -> Sociology,All surveyed fields<sup>b</sup>,Science and engineering,Science,Social sciences,Sociology,5,235,169,127,234,165,129,235,162,130
3443,r066,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Social sciences -> Social sciences nec,All surveyed fields<sup>b</sup>,Science and engineering,Science,Social sciences,Social sciences nec,5,414,336,152,451,365,165,456,371,172
3443,r067,All surveyed fields<sup>b</sup> -> Science and engineering -> Engineering,All surveyed fields<sup>b</sup>,Science and engineering,Engineering,,,3,2190,1965,1339,2246,2016,1338,2272,2051,1354
3443,r068,"All surveyed fields<sup>b</sup> -> Science and engineering -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All surveyed fields<sup>b</sup>,Science and engineering,Engineering,"Aerospace, aeronautical, and astronautical engineering",,4,62,60,48,63,62,48,64,62,49
3443,r069,All surveyed fields<sup>b</sup> -> Science and engineering -> Engineering -> Agricultural engineering,All surveyed fields<sup>b</sup>,Science and engineering,Engineering,Agricultural engineering,,4,36,32,28,30,29,25,33,31,26
3443,r070,All surveyed fields<sup>b</sup> -> Science and engineering -> Engineering -> Bioengineering and biomedical engineering,All surveyed fields<sup>b</sup>,Science and engineering,Engineering,Bioengineering and biomedical engineering,,4,180,157,129,192,166,138,193,168,140
3443,r071,All surveyed fields<sup>b</sup> -> Science and engineering -> Engineering -> Biological and biosystems engineering,All surveyed fields<sup>b</sup>,Science and engineering,Engineering,Biological and biosystems engineering,,4,11,7,10,14,8,13,15,10,14
3443,r072,All surveyed fields<sup>b</sup> -> Science and engineering -> Engineering -> Chemical engineering,All surveyed fields<sup>b</sup>,Science and engineering,Engineering,Chemical engineering,,4,161,146,130,164,145,128,159,145,128
3443,r073,All surveyed fields<sup>b</sup> -> Science and engineering -> Engineering -> Civil engineering,All surveyed fields<sup>b</sup>,Science and engineering,Engineering,Civil engineering,,4,315,288,187,326,302,187,330,308,185
3443,r074,"All surveyed fields<sup>b</sup> -> Science and engineering -> Engineering -> Electrical, electronics, and communications engineering",All surveyed fields<sup>b</sup>,Science and engineering,Engineering,"Electrical, electronics, and communications engineering",,4,415,391,233,417,392,221,421,395,225
3443,r075,"All surveyed fields<sup>b</sup> -> Science and engineering -> Engineering -> Engineering mechanics, physics, and science",All surveyed fields<sup>b</sup>,Science and engineering,Engineering,"Engineering mechanics, physics, and science",,4,59,45,42,59,44,42,65,47,43
3443,r076,All surveyed fields<sup>b</sup> -> Science and engineering -> Engineering -> Industrial and manufacturing engineering,All surveyed fields<sup>b</sup>,Science and engineering,Engineering,Industrial and manufacturing engineering,,4,210,189,105,213,194,101,223,204,102
3443,r077,All surveyed fields<sup>b</sup> -> Science and engineering -> Engineering -> Mechanical engineering,All surveyed fields<sup>b</sup>,Science and engineering,Engineering,Mechanical engineering,,4,260,243,168,261,250,166,263,253,164
3443,r078,All surveyed fields<sup>b</sup> -> Science and engineering -> Engineering -> Metallurgical and materials engineering,All surveyed fields<sup>b</sup>,Science and engineering,Engineering,Metallurgical and materials engineering,,4,112,91,89,120,99,90,119,106,90
3443,r079,All surveyed fields<sup>b</sup> -> Science and engineering -> Engineering -> Mining engineering,All surveyed fields<sup>b</sup>,Science and engineering,Engineering,Mining engineering,,4,31,26,17,28,26,15,25,24,15
3443,r080,All surveyed fields<sup>b</sup> -> Science and engineering -> Engineering -> Nanotechnology,All surveyed fields<sup>b</sup>,Science and engineering,Engineering,Nanotechnology,,4,8,5,3,6,4,2,7,4,3
3443,r081,All surveyed fields<sup>b</sup> -> Science and engineering -> Engineering -> Nuclear engineering,All surveyed fields<sup>b</sup>,Science and engineering,Engineering,Nuclear engineering,,4,33,29,27,34,31,29,31,30,29
3443,r082,All surveyed fields<sup>b</sup> -> Science and engineering -> Engineering -> Petroleum engineering,All surveyed fields<sup>b</sup>,Science and engineering,Engineering,Petroleum engineering,,4,23,21,15,25,23,15,26,24,15
3443,r083,All surveyed fields<sup>b</sup> -> Science and engineering -> Engineering -> Engineering nec,All surveyed fields<sup>b</sup>,Science and engineering,Engineering,Engineering nec,,4,274,235,108,294,241,118,298,240,126
3443,r084,All surveyed fields<sup>b</sup> -> Science and engineering -> Health,All surveyed fields<sup>b</sup>,Science and engineering,Health,,,3,1337,1011,606,1416,1093,632,1426,1111,633
3443,r085,All surveyed fields<sup>b</sup> -> Science and engineering -> Health -> Clinical medicine<sup>d</sup>,All surveyed fields<sup>b</sup>,Science and engineering,Health,Clinical medicine<sup>d</sup>,,4,448,387,177,489,429,184,499,442,185
3443,r086,All surveyed fields<sup>b</sup> -> Science and engineering -> Health -> Clinical medicine<sup>d</sup> -> Public health,All surveyed fields<sup>b</sup>,Science and engineering,Health,Clinical medicine<sup>d</sup>,Public health,5,403,348,161,439,386,165,446,399,165
3443,r087,All surveyed fields<sup>b</sup> -> Science and engineering -> Health -> Clinical medicine<sup>d</sup> -> Clinical medicine nec,All surveyed fields<sup>b</sup>,Science and engineering,Health,Clinical medicine<sup>d</sup>,Clinical medicine nec,5,45,39,16,50,43,19,53,43,20
3443,r088,All surveyed fields<sup>b</sup> -> Science and engineering -> Health -> Other health,All surveyed fields<sup>b</sup>,Science and engineering,Health,Other health,,4,889,624,429,927,664,448,927,669,448
3443,r089,All surveyed fields<sup>b</sup> -> Science and engineering -> Health -> Other health -> Communication disorders sciences,All surveyed fields<sup>b</sup>,Science and engineering,Health,Other health,Communication disorders sciences,5,234,206,74,237,215,73,244,223,70
3443,r090,All surveyed fields<sup>b</sup> -> Science and engineering -> Health -> Other health -> Dental sciences ,All surveyed fields<sup>b</sup>,Science and engineering,Health,Other health,Dental sciences ,5,94,84,22,101,90,24,87,78,20
3443,r091,All surveyed fields<sup>b</sup> -> Science and engineering -> Health -> Other health -> Nursing science,All surveyed fields<sup>b</sup>,Science and engineering,Health,Other health,Nursing science,5,129,22,116,119,17,111,125,18,117
3443,r092,All surveyed fields<sup>b</sup> -> Science and engineering -> Health -> Other health -> Pharmaceutical sciences,All surveyed fields<sup>b</sup>,Science and engineering,Health,Other health,Pharmaceutical sciences,5,103,64,79,117,72,91,119,77,92
3443,r093,All surveyed fields<sup>b</sup> -> Science and engineering -> Health -> Other health -> Veterinary biomedical and clinical sciences,All surveyed fields<sup>b</sup>,Science and engineering,Health,Other health,Veterinary biomedical and clinical sciences,5,37,30,22,36,28,23,38,28,25
3443,r094,All surveyed fields<sup>b</sup> -> Science and engineering -> Health -> Other health -> Other health nec,All surveyed fields<sup>b</sup>,Science and engineering,Health,Other health,Other health nec,5,292,218,116,317,242,126,314,245,124
