table_id,row_id,source_of_primary_support_and_field_full_path,source_of_primary_support_and_field_level_1,source_of_primary_support_and_field_level_2,source_of_primary_support_and_field_level_3,source_of_primary_support_and_field_level_4,source_of_primary_support_and_field_hierarchy_depth,field_totala,field_temporary_visa_holder,field_u_s_citizens_and_permanent_residents_total,field_u_s_citizens_and_permanent_residents_male,field_u_s_citizens_and_permanent_residents_female,field_u_s_citizens_and_permanent_residents_hispanic_or_latinob,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_other_race_or_race_not_reported,field_u_s_citizens_and_permanent_residents_ethnicity_not_reported
1559,r018,All fields (number)<sup>c</sup> -> S&E (number) -> Engineering (number) -> Fellowship or traineeship,All fields (number)<sup>c</sup>,S&E (number),Engineering (number),Fellowship or traineeship,4,15.9,8.5,26.2,22.9,36.1,35.7,40.0,22.9,37.4,26.1,31.9,18.2,5.0
1559,r019,All fields (number)<sup>c</sup> -> S&E (number) -> Engineering (number) -> Grant<sup>d</sup>,All fields (number)<sup>c</sup>,S&E (number),Engineering (number),Grant<sup>d</sup>,4,4.2,2.7,6.4,6.3,6.6,6.3,s,6.8,s,6.7,6.1,2.3,1.4
1559,r020,All fields (number)<sup>c</sup> -> S&E (number) -> Engineering (number) -> Teaching assistantship,All fields (number)<sup>c</sup>,S&E (number),Engineering (number),Teaching assistantship,4,8.5,11.4,5.9,5.9,5.6,6.6,s,6.7,s,5.8,6.1,1.5,0.8
1559,r021,All fields (number)<sup>c</sup> -> S&E (number) -> Engineering (number) -> Research assistantship,All fields (number)<sup>c</sup>,S&E (number),Engineering (number),Research assistantship,4,51.2,64.2,41.2,43.1,35.3,32.9,24.0,45.8,26.5,43.4,40.1,31.1,8.0
1559,r022,All fields (number)<sup>c</sup> -> S&E (number) -> Engineering (number) -> Personal,All fields (number)<sup>c</sup>,S&E (number),Engineering (number),Personal,4,3.7,2.0,6.2,6.7,4.7,6.5,s,5.7,s,6.2,4.1,6.8,1.1
1559,r023,All fields (number)<sup>c</sup> -> S&E (number) -> Engineering (number) -> Other,All fields (number)<sup>c</sup>,S&E (number),Engineering (number),Other,4,5.0,4.6,6.1,7.0,3.3,6.0,8.0,4.4,7.9,6.6,7.0,3.8,1.1
1559,r024,All fields (number)<sup>c</sup> -> S&E (number) -> Engineering (number) -> Unknown,All fields (number)<sup>c</sup>,S&E (number),Engineering (number),Unknown,4,11.5,6.7,8.2,8.2,8.3,6.0,4.0,7.7,7.1,5.1,4.7,36.4,82.6
1559,r025,All fields (number)<sup>c</sup> -> S&E (number) -> Agricultural sciences (number),All fields (number)<sup>c</sup>,S&E (number),Agricultural sciences (number),,3,4063,1536,2318,1165,1152,141,8,146,95,1786,52,24,66
1559,r026,All fields (number)<sup>c</sup> -> S&E (number) -> Agricultural sciences (number) -> Fellowship or traineeship,All fields (number)<sup>c</sup>,S&E (number),Agricultural sciences (number),Fellowship or traineeship,4,17.8,15.4,21.0,16.9,25.1,30.5,s,16.4,22.1,20.8,s,8.3,4.5
1559,r027,All fields (number)<sup>c</sup> -> S&E (number) -> Agricultural sciences (number) -> Grant<sup>d</sup>,All fields (number)<sup>c</sup>,S&E (number),Agricultural sciences (number),Grant<sup>d</sup>,4,4.2,2.5,5.8,6.1,5.5,6.4,0.0,6.2,s,6.0,s,4.2,1.5
1559,r028,All fields (number)<sup>c</sup> -> S&E (number) -> Agricultural sciences (number) -> Teaching assistantship,All fields (number)<sup>c</sup>,S&E (number),Agricultural sciences (number),Teaching assistantship,4,9.8,9.0,11.0,10.0,12.0,12.1,s,10.3,s,11.5,9.6,12.5,1.5
1559,r029,All fields (number)<sup>c</sup> -> S&E (number) -> Agricultural sciences (number) -> Research assistantship,All fields (number)<sup>c</sup>,S&E (number),Agricultural sciences (number),Research assistantship,4,41.3,52.0,37.7,41.2,34.3,26.2,0.0,44.5,32.6,40.0,38.5,8.3,9.1
1559,r030,All fields (number)<sup>c</sup> -> S&E (number) -> Agricultural sciences (number) -> Personal,All fields (number)<sup>c</sup>,S&E (number),Agricultural sciences (number),Personal,4,7.0,2.6,10.5,10.7,10.3,9.2,0.0,s,18.9,11.1,s,8.3,3.0
1559,r031,All fields (number)<sup>c</sup> -> S&E (number) -> Agricultural sciences (number) -> Other,All fields (number)<sup>c</sup>,S&E (number),Agricultural sciences (number),Other,4,8.2,12.6,5.9,6.5,5.3,7.8,s,s,5.3,5.8,3.8,4.2,3.0
1559,r032,All fields (number)<sup>c</sup> -> S&E (number) -> Agricultural sciences (number) -> Unknown,All fields (number)<sup>c</sup>,S&E (number),Agricultural sciences (number),Unknown,4,11.7,5.9,8.1,8.6,7.6,7.8,0.0,12.3,10.5,4.7,1.9,54.2,77.3
1559,r033,All fields (number)<sup>c</sup> -> S&E (number) -> Biological sciences (number),All fields (number)<sup>c</sup>,S&E (number),Biological sciences (number),,3,25352,6590,17730,8347,9383,1376,37,2109,728,12486,588,142,264
1559,r034,All fields (number)<sup>c</sup> -> S&E (number) -> Biological sciences (number) -> Fellowship or traineeship,All fields (number)<sup>c</sup>,S&E (number),Biological sciences (number),Fellowship or traineeship,4,32.8,23.1,38.1,37.2,39.0,48.3,48.6,38.9,46.7,36.9,42.2,30.3,6.4
1559,r035,All fields (number)<sup>c</sup> -> S&E (number) -> Biological sciences (number) -> Grant<sup>d</sup>,All fields (number)<sup>c</sup>,S&E (number),Biological sciences (number),Grant<sup>d</sup>,4,11.4,6.8,13.7,13.8,13.6,13.5,13.5,15.2,15.4,13.5,15.3,14.8,3.0
1559,r036,All fields (number)<sup>c</sup> -> S&E (number) -> Biological sciences (number) -> Teaching assistantship,All fields (number)<sup>c</sup>,S&E (number),Biological sciences (number),Teaching assistantship,4,11.9,14.5,11.6,11.6,11.6,8.7,s,8.8,8.4,12.9,9.5,s,2.3
1559,r037,All fields (number)<sup>c</sup> -> S&E (number) -> Biological sciences (number) -> Research assistantship,All fields (number)<sup>c</sup>,S&E (number),Biological sciences (number),Research assistantship,4,28.6,44.8,24.2,24.8,23.6,16.0,s,25.7,14.0,25.8,24.8,s,8.3
1559,r038,All fields (number)<sup>c</sup> -> S&E (number) -> Biological sciences (number) -> Personal,All fields (number)<sup>c</sup>,S&E (number),Biological sciences (number),Personal,4,4.0,1.1,5.3,5.0,5.7,6.1,s,4.4,7.0,5.3,4.9,s,3.8
1559,r039,All fields (number)<sup>c</sup> -> S&E (number) -> Biological sciences (number) -> Other,All fields (number)<sup>c</sup>,S&E (number),Biological sciences (number),Other,4,2.6,5.1,1.8,1.9,1.7,1.7,2.7,1.9,0.7,1.9,0.9,0.7,0.0
1559,r040,All fields (number)<sup>c</sup> -> S&E (number) -> Biological sciences (number) -> Unknown,All fields (number)<sup>c</sup>,S&E (number),Biological sciences (number),Unknown,4,8.6,4.7,5.3,5.9,4.8,5.7,10.8,5.1,7.8,3.6,2.4,19.0,76.1
1559,r041,All fields (number)<sup>c</sup> -> S&E (number) -> Computer sciences (number),All fields (number)<sup>c</sup>,S&E (number),Computer sciences (number),,3,6074,3399,2353,1838,515,111,s,367,103,1595,64,s,77
1559,r042,All fields (number)<sup>c</sup> -> S&E (number) -> Computer sciences (number) -> Fellowship or traineeship,All fields (number)<sup>c</sup>,S&E (number),Computer sciences (number),Fellowship or traineeship,4,12.2,9.4,17.8,s,s,25.2,0.0,13.9,27.2,18.1,18.8,17.1,6.5
1559,r043,All fields (number)<sup>c</sup> -> S&E (number) -> Computer sciences (number) -> Grant<sup>d</sup>,All fields (number)<sup>c</sup>,S&E (number),Computer sciences (number),Grant<sup>d</sup>,4,2.7,2.3,3.7,s,s,0.0,0.0,4.4,0.0,4.3,0.0,0.0,1.3
1559,r044,All fields (number)<sup>c</sup> -> S&E (number) -> Computer sciences (number) -> Teaching assistantship,All fields (number)<sup>c</sup>,S&E (number),Computer sciences (number),Teaching assistantship,4,12.4,15.4,9.4,9.2,10.1,8.1,0.0,13.1,6.8,9.3,9.4,8.6,0.0
1559,r045,All fields (number)<sup>c</sup> -> S&E (number) -> Computer sciences (number) -> Research assistantship,All fields (number)<sup>c</sup>,S&E (number),Computer sciences (number),Research assistantship,4,49.0,59.8,39.9,42.5,30.5,32.4,0.0,44.4,16.5,41.9,54.7,28.6,11.7
1559,r046,All fields (number)<sup>c</sup> -> S&E (number) -> Computer sciences (number) -> Personal,All fields (number)<sup>c</sup>,S&E (number),Computer sciences (number),Personal,4,6.6,1.7,14.5,13.6,17.7,18.9,0.0,9.3,27.2,15.2,10.9,5.7,9.1
1559,r047,All fields (number)<sup>c</sup> -> S&E (number) -> Computer sciences (number) -> Other,All fields (number)<sup>c</sup>,S&E (number),Computer sciences (number),Other,4,5.2,4.3,7.0,7.6,4.9,9.9,0.0,5.2,11.7,7.5,1.6,2.9,1.3
1559,r048,All fields (number)<sup>c</sup> -> S&E (number) -> Computer sciences (number) -> Unknown,All fields (number)<sup>c</sup>,S&E (number),Computer sciences (number),Unknown,4,11.9,7.1,7.8,7.5,9.1,5.4,s,9.8,10.7,3.8,4.7,s,70.1
1559,r049,"All fields (number)<sup>c</sup> -> S&E (number) -> Earth, atmospheric, and ocean sciences (number)",All fields (number)<sup>c</sup>,S&E (number),"Earth, atmospheric, and ocean sciences (number)",,3,3163,990,2050,1153,897,113,7,110,34,1685,51,14,36
1559,r050,"All fields (number)<sup>c</sup> -> S&E (number) -> Earth, atmospheric, and ocean sciences (number) -> Fellowship or traineeship",All fields (number)<sup>c</sup>,S&E (number),"Earth, atmospheric, and ocean sciences (number)",Fellowship or traineeship,4,21.4,13.6,26.3,22.5,31.2,36.3,s,23.6,44.1,25.4,s,35.7,5.6
1559,r051,"All fields (number)<sup>c</sup> -> S&E (number) -> Earth, atmospheric, and ocean sciences (number) -> Grant<sup>d</sup>",All fields (number)<sup>c</sup>,S&E (number),"Earth, atmospheric, and ocean sciences (number)",Grant<sup>d</sup>,4,6.1,5.4,6.9,7.4,6.2,7.1,0.0,6.4,s,7.1,s,7.1,0.0
1559,r052,"All fields (number)<sup>c</sup> -> S&E (number) -> Earth, atmospheric, and ocean sciences (number) -> Teaching assistantship",All fields (number)<sup>c</sup>,S&E (number),"Earth, atmospheric, and ocean sciences (number)",Teaching assistantship,4,14.2,13.4,15.4,14.2,16.9,15.9,s,13.6,s,16.0,15.7,s,5.6
1559,r053,"All fields (number)<sup>c</sup> -> S&E (number) -> Earth, atmospheric, and ocean sciences (number) -> Research assistantship",All fields (number)<sup>c</sup>,S&E (number),"Earth, atmospheric, and ocean sciences (number)",Research assistantship,4,42.4,54.3,38.9,42.2,34.6,30.1,0.0,38.2,23.5,41.1,27.5,21.4,8.3
1559,r054,"All fields (number)<sup>c</sup> -> S&E (number) -> Earth, atmospheric, and ocean sciences (number) -> Personal",All fields (number)<sup>c</sup>,S&E (number),"Earth, atmospheric, and ocean sciences (number)",Personal,4,3.8,1.0,5.4,6.2,4.2,6.2,0.0,4.5,s,5.2,9.8,s,8.3
1559,r055,"All fields (number)<sup>c</sup> -> S&E (number) -> Earth, atmospheric, and ocean sciences (number) -> Other",All fields (number)<sup>c</sup>,S&E (number),"Earth, atmospheric, and ocean sciences (number)",Other,4,3.6,6.7,2.3,2.8,1.8,0.9,0.0,5.5,2.9,2.0,7.8,0.0,8.3
1559,r056,"All fields (number)<sup>c</sup> -> S&E (number) -> Earth, atmospheric, and ocean sciences (number) -> Unknown",All fields (number)<sup>c</sup>,S&E (number),"Earth, atmospheric, and ocean sciences (number)",Unknown,4,8.5,5.6,4.8,4.6,5.0,3.5,0.0,8.2,5.9,3.3,2.0,21.4,63.9
1559,r057,All fields (number)<sup>c</sup> -> S&E (number) -> Mathematics (number),All fields (number)<sup>c</sup>,S&E (number),Mathematics (number),,3,5543,2505,2785,2037,748,139,s,330,78,2010,86,s,98
1559,r058,All fields (number)<sup>c</sup> -> S&E (number) -> Mathematics (number) -> Fellowship or traineeship,All fields (number)<sup>c</sup>,S&E (number),Mathematics (number),Fellowship or traineeship,4,14.5,11.7,18.2,s,s,30.2,0.0,21.2,23.1,16.8,30.2,20.0,5.1
1559,r059,All fields (number)<sup>c</sup> -> S&E (number) -> Mathematics (number) -> Grant<sup>d</sup>,All fields (number)<sup>c</sup>,S&E (number),Mathematics (number),Grant<sup>d</sup>,4,0.9,0.6,1.3,s,s,s,0.0,s,s,1.3,s,0.0,0.0
1559,r060,All fields (number)<sup>c</sup> -> S&E (number) -> Mathematics (number) -> Teaching assistantship,All fields (number)<sup>c</sup>,S&E (number),Mathematics (number),Teaching assistantship,4,53.7,59.1,53.1,53.8,51.3,42.4,s,47.3,55.1,56.9,s,47.5,11.2
1559,r061,All fields (number)<sup>c</sup> -> S&E (number) -> Mathematics (number) -> Research assistantship,All fields (number)<sup>c</sup>,S&E (number),Mathematics (number),Research assistantship,4,14.4,18.2,12.2,12.3,11.8,7.9,0.0,12.4,6.4,13.2,10.5,2.5,6.1
1559,r062,All fields (number)<sup>c</sup> -> S&E (number) -> Mathematics (number) -> Personal,All fields (number)<sup>c</sup>,S&E (number),Mathematics (number),Personal,4,3.4,1.3,5.5,5.1,6.7,6.5,0.0,5.5,s,5.7,s,s,3.1
1559,r063,All fields (number)<sup>c</sup> -> S&E (number) -> Mathematics (number) -> Other,All fields (number)<sup>c</sup>,S&E (number),Mathematics (number),Other,4,2.1,2.6,1.9,1.6,2.8,s,0.0,s,1.3,1.8,0.0,0.0,1.0
1559,r064,All fields (number)<sup>c</sup> -> S&E (number) -> Mathematics (number) -> Unknown,All fields (number)<sup>c</sup>,S&E (number),Mathematics (number),Unknown,4,11.0,6.6,7.8,7.9,7.6,7.9,75.0,9.7,3.8,4.2,1.2,27.5,73.5
1559,r065,All fields (number)<sup>c</sup> -> S&E (number) -> Medical and other health sciences (number),All fields (number)<sup>c</sup>,S&E (number),Medical and other health sciences (number),,3,8158,1656,6088,1643,4445,392,30,588,717,4041,152,52,116
1559,r066,All fields (number)<sup>c</sup> -> S&E (number) -> Medical and other health sciences (number) -> Fellowship or traineeship,All fields (number)<sup>c</sup>,S&E (number),Medical and other health sciences (number),Fellowship or traineeship,4,21.8,20.9,23.4,20.9,24.3,30.4,s,28.2,22.9,22.6,s,13.5,3.4
1559,r067,All fields (number)<sup>c</sup> -> S&E (number) -> Medical and other health sciences (number) -> Grant<sup>d</sup>,All fields (number)<sup>c</sup>,S&E (number),Medical and other health sciences (number),Grant<sup>d</sup>,4,3.7,2.7,4.2,5.3,3.8,5.1,0.0,4.8,2.1,4.6,5.9,0.0,1.7
1559,r068,All fields (number)<sup>c</sup> -> S&E (number) -> Medical and other health sciences (number) -> Teaching assistantship,All fields (number)<sup>c</sup>,S&E (number),Medical and other health sciences (number),Teaching assistantship,4,10.1,15.9,9.1,13.0,7.7,8.2,s,8.8,4.3,10.4,s,7.7,1.7
1559,r069,All fields (number)<sup>c</sup> -> S&E (number) -> Medical and other health sciences (number) -> Research assistantship,All fields (number)<sup>c</sup>,S&E (number),Medical and other health sciences (number),Research assistantship,4,18.8,35.5,15.5,19.8,13.8,11.5,s,23.3,8.5,16.5,s,7.7,2.6
1559,r070,All fields (number)<sup>c</sup> -> S&E (number) -> Medical and other health sciences (number) -> Personal,All fields (number)<sup>c</sup>,S&E (number),Medical and other health sciences (number),Personal,4,26.0,7.5,32.6,25.5,35.2,33.2,46.7,21.4,52.0,31.6,30.3,17.3,8.6
1559,r071,All fields (number)<sup>c</sup> -> S&E (number) -> Medical and other health sciences (number) -> Other,All fields (number)<sup>c</sup>,S&E (number),Medical and other health sciences (number),Other,4,8.4,11.4,8.1,6.9,8.6,5.9,6.7,5.6,5.6,9.5,7.9,5.8,0.0
1559,r072,All fields (number)<sup>c</sup> -> S&E (number) -> Medical and other health sciences (number) -> Unknown,All fields (number)<sup>c</sup>,S&E (number),Medical and other health sciences (number),Unknown,4,11.1,6.1,7.1,8.5,6.6,5.9,23.3,7.8,4.6,4.9,2.0,48.1,81.9
1559,r073,All fields (number)<sup>c</sup> -> S&E (number) -> Physical sciences (number),All fields (number)<sup>c</sup>,S&E (number),Physical sciences (number),,3,14802,5541,8573,5930,2643,443,15,812,257,6576,254,68,148
1559,r074,All fields (number)<sup>c</sup> -> S&E (number) -> Physical sciences (number) -> Fellowship or traineeship,All fields (number)<sup>c</sup>,S&E (number),Physical sciences (number),Fellowship or traineeship,4,14.1,7.9,19.1,16.8,24.2,33.2,33.3,16.4,30.0,18.2,22.0,14.7,4.7
1559,r075,All fields (number)<sup>c</sup> -> S&E (number) -> Physical sciences (number) -> Grant<sup>d</sup>,All fields (number)<sup>c</sup>,S&E (number),Physical sciences (number),Grant<sup>d</sup>,4,4.1,2.7,5.2,5.4,4.8,5.6,s,s,3.9,5.3,6.3,2.9,2.0
1559,r076,All fields (number)<sup>c</sup> -> S&E (number) -> Physical sciences (number) -> Teaching assistantship,All fields (number)<sup>c</sup>,S&E (number),Physical sciences (number),Teaching assistantship,4,23.5,28.8,21.7,21.3,22.6,18.7,s,23.5,30.4,21.5,s,16.2,4.7
1559,r077,All fields (number)<sup>c</sup> -> S&E (number) -> Physical sciences (number) -> Research assistantship,All fields (number)<sup>c</sup>,S&E (number),Physical sciences (number),Research assistantship,4,45.0,51.5,44.0,45.9,39.6,30.7,s,43.3,23.3,46.9,s,33.8,12.2
1559,r078,All fields (number)<sup>c</sup> -> S&E (number) -> Physical sciences (number) -> Personal,All fields (number)<sup>c</sup>,S&E (number),Physical sciences (number),Personal,4,1.8,0.4,2.9,3.1,2.5,2.3,s,s,3.9,3.0,s,0.0,1.4
1559,r079,All fields (number)<sup>c</sup> -> S&E (number) -> Physical sciences (number) -> Other,All fields (number)<sup>c</sup>,S&E (number),Physical sciences (number),Other,4,1.4,1.9,1.2,1.4,0.7,1.1,6.7,1.7,1.2,1.1,0.8,1.5,0.7
1559,r080,All fields (number)<sup>c</sup> -> S&E (number) -> Physical sciences (number) -> Unknown,All fields (number)<sup>c</sup>,S&E (number),Physical sciences (number),Unknown,4,10.2,6.8,5.9,6.1,5.6,8.4,13.3,7.3,7.4,3.9,2.4,30.9,74.3
1559,r081,All fields (number)<sup>c</sup> -> S&E (number) -> Psychology (number),All fields (number)<sup>c</sup>,S&E (number),Psychology (number),,3,11667,861,9863,2814,7049,841,s,597,699,7106,296,s,222
1559,r082,All fields (number)<sup>c</sup> -> S&E (number) -> Psychology (number) -> Fellowship or traineeship,All fields (number)<sup>c</sup>,S&E (number),Psychology (number),Fellowship or traineeship,4,16.2,21.8,17.2,18.0,16.8,20.2,28.1,22.8,18.9,16.4,20.3,12.9,4.5
1559,r083,All fields (number)<sup>c</sup> -> S&E (number) -> Psychology (number) -> Grant<sup>d</sup>,All fields (number)<sup>c</sup>,S&E (number),Psychology (number),Grant<sup>d</sup>,4,1.7,1.0,1.9,1.8,1.9,3.4,s,1.5,1.0,1.9,1.7,s,0.5
1559,r084,All fields (number)<sup>c</sup> -> S&E (number) -> Psychology (number) -> Teaching assistantship,All fields (number)<sup>c</sup>,S&E (number),Psychology (number),Teaching assistantship,4,18.5,28.5,19.3,23.1,17.8,12.0,21.9,21.1,10.4,21.4,19.9,12.9,3.2
1559,r085,All fields (number)<sup>c</sup> -> S&E (number) -> Psychology (number) -> Research assistantship,All fields (number)<sup>c</sup>,S&E (number),Psychology (number),Research assistantship,4,16.6,24.5,17.3,15.2,18.2,12.6,s,19.9,10.0,19.1,17.6,s,2.7
1559,r086,All fields (number)<sup>c</sup> -> S&E (number) -> Psychology (number) -> Personal,All fields (number)<sup>c</sup>,S&E (number),Psychology (number),Personal,4,27.2,9.5,31.2,28.2,32.3,34.8,25.0,22.9,45.6,30.9,33.8,22.9,3.6
1559,r087,All fields (number)<sup>c</sup> -> S&E (number) -> Psychology (number) -> Other,All fields (number)<sup>c</sup>,S&E (number),Psychology (number),Other,4,1.5,5.3,1.3,2.0,1.1,0.7,3.1,0.5,2.1,1.4,1.4,0.0,0.0
1559,r088,All fields (number)<sup>c</sup> -> S&E (number) -> Psychology (number) -> Unknown,All fields (number)<sup>c</sup>,S&E (number),Psychology (number),Unknown,4,18.3,9.3,11.8,11.6,11.9,16.2,s,11.2,11.9,8.9,5.4,s,85.6
1559,r089,All fields (number)<sup>c</sup> -> S&E (number) -> Social sciences (number),All fields (number)<sup>c</sup>,S&E (number),Social sciences (number),,3,17068,4617,11531,5520,6010,863,63,849,954,8076,338,137,251
1559,r090,All fields (number)<sup>c</sup> -> S&E (number) -> Social sciences (number) -> Fellowship or traineeship,All fields (number)<sup>c</sup>,S&E (number),Social sciences (number),Fellowship or traineeship,4,26.6,29.3,27.3,27.7,27.0,31.7,34.9,30.4,24.8,27.1,37.0,24.8,6.8
1559,r091,All fields (number)<sup>c</sup> -> S&E (number) -> Social sciences (number) -> Grant<sup>d</sup>,All fields (number)<sup>c</sup>,S&E (number),Social sciences (number),Grant<sup>d</sup>,4,0.8,0.7,0.8,0.7,1.0,s,s,0.9,0.8,0.9,s,2.2,0.0
1559,r092,All fields (number)<sup>c</sup> -> S&E (number) -> Social sciences (number) -> Teaching assistantship,All fields (number)<sup>c</sup>,S&E (number),Social sciences (number),Teaching assistantship,4,28.7,36.1,27.8,28.3,27.5,27.2,15.9,32.5,16.2,29.7,26.9,21.2,6.8
1559,r093,All fields (number)<sup>c</sup> -> S&E (number) -> Social sciences (number) -> Research assistantship,All fields (number)<sup>c</sup>,S&E (number),Social sciences (number),Research assistantship,4,12.4,16.4,11.6,11.7,11.6,9.8,s,13.8,5.7,12.8,s,4.4,3.6
1559,r094,All fields (number)<sup>c</sup> -> S&E (number) -> Social sciences (number) -> Personal,All fields (number)<sup>c</sup>,S&E (number),Social sciences (number),Personal,4,16.8,5.7,22.5,21.3,23.6,21.7,31.7,13.5,41.5,21.9,21.3,21.9,5.2
1559,r095,All fields (number)<sup>c</sup> -> S&E (number) -> Social sciences (number) -> Other,All fields (number)<sup>c</sup>,S&E (number),Social sciences (number),Other,4,3.8,5.6,3.3,3.6,3.1,s,s,1.5,4.8,3.6,2.1,2.9,2.0
1559,r096,All fields (number)<sup>c</sup> -> S&E (number) -> Social sciences (number) -> Unknown,All fields (number)<sup>c</sup>,S&E (number),Social sciences (number),Unknown,4,10.9,6.3,6.5,6.8,6.1,6.8,9.5,7.3,6.1,4.1,2.4,22.6,75.7
1559,r097,All fields (number)<sup>c</sup> -> Non-S&E (number),All fields (number)<sup>c</sup>,Non-S&E (number),,,2,39360,6227,30544,12368,18176,2268,146,1728,2874,21925,729,279,595
