table_id,row_id,sex_field_citizenship_ethnicity_and_race_full_path,sex_field_citizenship_ethnicity_and_race_level_1,sex_field_citizenship_ethnicity_and_race_level_2,sex_field_citizenship_ethnicity_and_race_level_3,sex_field_citizenship_ethnicity_and_race_level_4,sex_field_citizenship_ethnicity_and_race_level_5,sex_field_citizenship_ethnicity_and_race_level_6,sex_field_citizenship_ethnicity_and_race_level_7,sex_field_citizenship_ethnicity_and_race_level_8,sex_field_citizenship_ethnicity_and_race_level_9,sex_field_citizenship_ethnicity_and_race_level_10,sex_field_citizenship_ethnicity_and_race_hierarchy_depth,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018
3259,r057,Both sexes -> All fields -> All S&E -> Science -> Biological sciences -> U.S. citizen and permanent resident -> Not Hispanic or Latino,Both sexes,All fields,All S&E,Science,Biological sciences,U.S. citizen and permanent resident,Not Hispanic or Latino,,,,7,74073,76761,79936,83112,88133,91582,95059,98918,101102,102690,103394
3259,r058,Both sexes -> All fields -> All S&E -> Science -> Biological sciences -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> American Indian or Alaska Native,Both sexes,All fields,All S&E,Science,Biological sciences,U.S. citizen and permanent resident,Not Hispanic or Latino,American Indian or Alaska Native,,,8,508,577,550,546,576,528,493,435,473,452,452
3259,r059,Both sexes -> All fields -> All S&E -> Science -> Biological sciences -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Asian ,Both sexes,All fields,All S&E,Science,Biological sciences,U.S. citizen and permanent resident,Not Hispanic or Latino,Asian ,,,8,na,na,na,14496,15403,15791,16125,16658,17142,17560,18116
3259,r060,Both sexes -> All fields -> All S&E -> Science -> Biological sciences -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Asian or Pacific Islander<sup>b</sup>,Both sexes,All fields,All S&E,Science,Biological sciences,U.S. citizen and permanent resident,Not Hispanic or Latino,Asian or Pacific Islander<sup>b</sup>,,,8,12866,13578,14327,na,na,na,na,na,na,na,na
3259,r061,Both sexes -> All fields -> All S&E -> Science -> Biological sciences -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Black or African American,Both sexes,All fields,All S&E,Science,Biological sciences,U.S. citizen and permanent resident,Not Hispanic or Latino,Black or African American,,,8,6003,6253,6434,6677,7073,7494,7663,8250,8804,9344,9365
3259,r062,Both sexes -> All fields -> All S&E -> Science -> Biological sciences -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,Both sexes,All fields,All S&E,Science,Biological sciences,U.S. citizen and permanent resident,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,,8,na,na,na,220,261,250,269,291,244,246,249
3259,r063,Both sexes -> All fields -> All S&E -> Science -> Biological sciences -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> White,Both sexes,All fields,All S&E,Science,Biological sciences,U.S. citizen and permanent resident,Not Hispanic or Latino,White,,,8,50367,51756,53192,55171,58368,60732,63320,65376,66726,67048,67176
3259,r064,Both sexes -> All fields -> All S&E -> Science -> Biological sciences -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> More than one race<sup>c</sup>,Both sexes,All fields,All S&E,Science,Biological sciences,U.S. citizen and permanent resident,Not Hispanic or Latino,More than one race<sup>c</sup>,,,8,na,na,na,1142,1593,2047,3030,3878,4263,4699,5100
3259,r065,Both sexes -> All fields -> All S&E -> Science -> Biological sciences -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Other or unknown race and ethnicity,Both sexes,All fields,All S&E,Science,Biological sciences,U.S. citizen and permanent resident,Not Hispanic or Latino,Other or unknown race and ethnicity,,,8,4329,4597,5433,4860,4859,4740,4159,4030,3450,3341,2936
3259,r066,Both sexes -> All fields -> All S&E -> Science -> Biological sciences -> Temporary resident,Both sexes,All fields,All S&E,Science,Biological sciences,Temporary resident,,,,,6,2330,2429,2555,2781,2870,3040,2919,3035,3400,3691,4041
3259,r067,Both sexes -> All fields -> All S&E -> Science -> Computer sciences,Both sexes,All fields,All S&E,Science,Computer sciences,,,,,,5,38922,38496,40107,43586,48034,51586,56130,60309,65186,72129,80271
3259,r068,Both sexes -> All fields -> All S&E -> Science -> Computer sciences -> U.S. citizen and permanent resident,Both sexes,All fields,All S&E,Science,Computer sciences,U.S. citizen and permanent resident,,,,,6,37118,36677,38240,41558,45672,49204,53311,56940,61100,66988,73474
3259,r069,Both sexes -> All fields -> All S&E -> Science -> Computer sciences -> U.S. citizen and permanent resident -> Hispanic or Latino<sup>a</sup>,Both sexes,All fields,All S&E,Science,Computer sciences,U.S. citizen and permanent resident,Hispanic or Latino<sup>a</sup>,,,,7,2923,2999,3124,3539,4216,4719,5469,5912,6612,7544,8370
3259,r070,Both sexes -> All fields -> All S&E -> Science -> Computer sciences -> U.S. citizen and permanent resident -> Not Hispanic or Latino,Both sexes,All fields,All S&E,Science,Computer sciences,U.S. citizen and permanent resident,Not Hispanic or Latino,,,,7,34195,33678,35116,38019,41456,44485,47842,51028,54488,59444,65104
3259,r071,Both sexes -> All fields -> All S&E -> Science -> Computer sciences -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> American Indian or Alaska Native,Both sexes,All fields,All S&E,Science,Computer sciences,U.S. citizen and permanent resident,Not Hispanic or Latino,American Indian or Alaska Native,,,8,221,213,248,226,231,267,278,281,229,255,250
3259,r072,Both sexes -> All fields -> All S&E -> Science -> Computer sciences -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Asian ,Both sexes,All fields,All S&E,Science,Computer sciences,U.S. citizen and permanent resident,Not Hispanic or Latino,Asian ,,,8,na,na,na,3439,3823,4520,5364,6326,7933,9713,11898
3259,r073,Both sexes -> All fields -> All S&E -> Science -> Computer sciences -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Asian or Pacific Islander<sup>b</sup>,Both sexes,All fields,All S&E,Science,Computer sciences,U.S. citizen and permanent resident,Not Hispanic or Latino,Asian or Pacific Islander<sup>b</sup>,,,8,3133,2894,3015,na,na,na,na,na,na,na,na
3259,r074,Both sexes -> All fields -> All S&E -> Science -> Computer sciences -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Black or African American,Both sexes,All fields,All S&E,Science,Computer sciences,U.S. citizen and permanent resident,Not Hispanic or Latino,Black or African American,,,8,4011,3868,4066,4418,4851,5497,5472,5746,5658,6068,6558
3259,r075,Both sexes -> All fields -> All S&E -> Science -> Computer sciences -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,Both sexes,All fields,All S&E,Science,Computer sciences,U.S. citizen and permanent resident,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,,8,na,na,na,101,145,159,179,180,194,180,162
3259,r076,Both sexes -> All fields -> All S&E -> Science -> Computer sciences -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> White,Both sexes,All fields,All S&E,Science,Computer sciences,U.S. citizen and permanent resident,Not Hispanic or Latino,White,,,8,23189,23021,23702,25293,27128,29031,31206,33112,34904,37470,40196
3259,r077,Both sexes -> All fields -> All S&E -> Science -> Computer sciences -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> More than one race<sup>c</sup>,Both sexes,All fields,All S&E,Science,Computer sciences,U.S. citizen and permanent resident,Not Hispanic or Latino,More than one race<sup>c</sup>,,,8,na,na,na,496,655,864,1238,1569,2075,2343,2775
3259,r078,Both sexes -> All fields -> All S&E -> Science -> Computer sciences -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Other or unknown race and ethnicity,Both sexes,All fields,All S&E,Science,Computer sciences,U.S. citizen and permanent resident,Not Hispanic or Latino,Other or unknown race and ethnicity,,,8,3641,3682,4085,4046,4623,4147,4105,3814,3495,3415,3265
3259,r079,Both sexes -> All fields -> All S&E -> Science -> Computer sciences -> Temporary resident,Both sexes,All fields,All S&E,Science,Computer sciences,Temporary resident,,,,,6,1804,1819,1867,2028,2362,2382,2819,3369,4086,5141,6797
3259,r080,"Both sexes -> All fields -> All S&E -> Science -> Earth, atmospheric, and ocean sciences",Both sexes,All fields,All S&E,Science,"Earth, atmospheric, and ocean sciences",,,,,,5,4314,4542,4802,5299,5865,6291,6730,7155,7283,7320,7431
3259,r081,"Both sexes -> All fields -> All S&E -> Science -> Earth, atmospheric, and ocean sciences -> U.S. citizen and permanent resident",Both sexes,All fields,All S&E,Science,"Earth, atmospheric, and ocean sciences",U.S. citizen and permanent resident,,,,,6,4244,4460,4698,5177,5749,6110,6504,6936,7040,7066,7113
3259,r082,"Both sexes -> All fields -> All S&E -> Science -> Earth, atmospheric, and ocean sciences -> U.S. citizen and permanent resident -> Hispanic or Latino<sup>a</sup>",Both sexes,All fields,All S&E,Science,"Earth, atmospheric, and ocean sciences",U.S. citizen and permanent resident,Hispanic or Latino<sup>a</sup>,,,,7,192,221,246,265,323,390,495,539,640,685,721
3259,r083,"Both sexes -> All fields -> All S&E -> Science -> Earth, atmospheric, and ocean sciences -> U.S. citizen and permanent resident -> Not Hispanic or Latino",Both sexes,All fields,All S&E,Science,"Earth, atmospheric, and ocean sciences",U.S. citizen and permanent resident,Not Hispanic or Latino,,,,7,4052,4239,4452,4912,5426,5720,6009,6397,6400,6381,6392
3259,r084,"Both sexes -> All fields -> All S&E -> Science -> Earth, atmospheric, and ocean sciences -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> American Indian or Alaska Native",Both sexes,All fields,All S&E,Science,"Earth, atmospheric, and ocean sciences",U.S. citizen and permanent resident,Not Hispanic or Latino,American Indian or Alaska Native,,,8,28,29,44,31,47,33,43,44,36,37,46
3259,r085,"Both sexes -> All fields -> All S&E -> Science -> Earth, atmospheric, and ocean sciences -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Asian ",Both sexes,All fields,All S&E,Science,"Earth, atmospheric, and ocean sciences",U.S. citizen and permanent resident,Not Hispanic or Latino,Asian ,,,8,na,na,na,148,185,210,213,247,256,255,248
3259,r086,"Both sexes -> All fields -> All S&E -> Science -> Earth, atmospheric, and ocean sciences -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Asian or Pacific Islander<sup>b</sup>",Both sexes,All fields,All S&E,Science,"Earth, atmospheric, and ocean sciences",U.S. citizen and permanent resident,Not Hispanic or Latino,Asian or Pacific Islander<sup>b</sup>,,,8,121,143,158,na,na,na,na,na,na,na,na
3259,r087,"Both sexes -> All fields -> All S&E -> Science -> Earth, atmospheric, and ocean sciences -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Black or African American",Both sexes,All fields,All S&E,Science,"Earth, atmospheric, and ocean sciences",U.S. citizen and permanent resident,Not Hispanic or Latino,Black or African American,,,8,89,88,97,105,119,134,143,166,155,165,207
3259,r088,"Both sexes -> All fields -> All S&E -> Science -> Earth, atmospheric, and ocean sciences -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander",Both sexes,All fields,All S&E,Science,"Earth, atmospheric, and ocean sciences",U.S. citizen and permanent resident,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,,8,na,na,na,8,8,13,10,9,7,10,12
3259,r089,"Both sexes -> All fields -> All S&E -> Science -> Earth, atmospheric, and ocean sciences -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> White",Both sexes,All fields,All S&E,Science,"Earth, atmospheric, and ocean sciences",U.S. citizen and permanent resident,Not Hispanic or Latino,White,,,8,3565,3718,3879,4256,4713,4970,5211,5492,5493,5439,5383
