table_id,row_id,_b_broad_field_b_full_path,_b_broad_field_b_level_1,_b_broad_field_b_level_2,_b_broad_field_b_level_3,_b_broad_field_b_level_4,_b_broad_field_b_hierarchy_depth,field_total_number,field_total_percent,field_hispanic_or_latino_number,field_hispanic_or_latino_percent,field_not_hispanic_or_latino_american_indian_or_alaska_native_number,field_not_hispanic_or_latino_american_indian_or_alaska_native_percent,field_not_hispanic_or_latino_asian_number,field_not_hispanic_or_latino_asian_percent,field_not_hispanic_or_latino_black_or_african_american_number,field_not_hispanic_or_latino_black_or_african_american_percent,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander_number,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander_percent,field_not_hispanic_or_latino_white_number,field_not_hispanic_or_latino_white_percent,field_not_hispanic_or_latino_more_than_one_race_number,field_not_hispanic_or_latino_more_than_one_race_percent,field_unknown_ethnicity_and_race_number,field_unknown_ethnicity_and_race_percent,field_temporary_visa_holders_number,field_temporary_visa_holders_percent
6080,r011,All graduate students -> Science -> Psychology,All graduate students,Science,Psychology,,3,68394,9.8,11776,18.8,302,14.8,3445,6.5,7044,16.8,124,15.9,35344,12.4,2558,14.6,3993,16.0,3808,1.8
6080,r012,All graduate students -> Science -> Social sciences,All graduate students,Science,Social sciences,,3,78353,11.2,8350,13.3,417,20.4,3706,7.0,6442,15.4,120,15.4,34646,12.2,2200,12.5,3402,13.7,19070,9.0
6080,r013,All graduate students -> Engineering,All graduate students,Engineering,,,2,157729,22.6,9644,15.4,239,11.7,12020,22.6,4583,10.9,101,13.0,50847,17.9,3143,17.9,3826,15.4,73326,34.8
6080,r014,"All graduate students -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All graduate students,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,6971,1.0,532,0.8,14,0.7,608,1.1,163,0.4,10,1.3,3552,1.3,233,1.3,188,0.8,1671,0.8
6080,r015,"All graduate students -> Engineering -> Biological, biomedical, and biosystems engineering",All graduate students,Engineering,"Biological, biomedical, and biosystems engineering",,3,12775,1.8,956,1.5,22,1.1,1690,3.2,450,1.1,14,1.8,4953,1.7,399,2.3,406,1.6,3885,1.8
6080,r016,"All graduate students -> Engineering -> Chemical, petroleum, and chemical-related engineering",All graduate students,Engineering,"Chemical, petroleum, and chemical-related engineering",,3,10554,1.5,506,0.8,16,0.8,821,1.5,255,0.6,4,0.5,3281,1.2,205,1.2,197,0.8,5269,2.5
6080,r017,"All graduate students -> Engineering -> Civil, environmental, transportation and related engineering fields",All graduate students,Engineering,"Civil, environmental, transportation and related engineering fields",,3,18304,2.6,1391,2.2,46,2.3,1060,2.0,509,1.2,17,2.2,5962,2.1,347,2.0,469,1.9,8503,4.0
6080,r018,"All graduate students -> Engineering -> Electrical, electronics, communications and computer engineering",All graduate students,Engineering,"Electrical, electronics, communications and computer engineering",,3,43032,6.2,1918,3.1,35,1.7,3302,6.2,974,2.3,8,1.0,9316,3.3,595,3.4,930,3.7,25954,12.3
6080,r019,"All graduate students -> Engineering -> Industrial, manufacturing, systems engineering and operations research",All graduate students,Engineering,"Industrial, manufacturing, systems engineering and operations research",,3,14869,2.1,1120,1.8,19,0.9,975,1.8,623,1.5,17,2.2,4879,1.7,246,1.4,422,1.7,6568,3.1
6080,r020,All graduate students -> Engineering -> Mechanical engineering,All graduate students,Engineering,Mechanical engineering,,3,25782,3.7,1818,2.9,38,1.9,1800,3.4,561,1.3,9,1.2,8990,3.2,538,3.1,608,2.4,11420,5.4
6080,r021,"All graduate students -> Engineering -> Metallurgical, mining, materials and related engineering fields",All graduate students,Engineering,"Metallurgical, mining, materials and related engineering fields",,3,7181,1.0,423,0.7,9,0.4,536,1.0,168,0.4,4,0.5,2502,0.9,166,0.9,135,0.5,3238,1.5
6080,r022,All graduate students -> Engineering -> Other engineering,All graduate students,Engineering,Other engineering,,3,18261,2.6,980,1.6,40,2.0,1228,2.3,880,2.1,18,2.3,7412,2.6,414,2.4,471,1.9,6818,3.2
6080,r023,All graduate students -> Health,All graduate students,Health,,,2,75438,10.8,9330,14.9,335,16.4,6262,11.8,8282,19.8,124,15.9,37802,13.3,2192,12.5,3362,13.5,7749,3.7
6080,r024,All graduate students -> Health -> Clinical medicine<sup>a</sup>,All graduate students,Health,Clinical medicine<sup>a</sup>,,3,34544,5.0,4614,7.4,224,11.0,3570,6.7,5126,12.2,69,8.9,14675,5.2,1143,6.5,1818,7.3,3305,1.6
6080,r025,All graduate students -> Health -> Other health,All graduate students,Health,Other health,,3,40894,5.9,4716,7.5,111,5.4,2692,5.1,3156,7.5,55,7.1,23127,8.1,1049,6.0,1544,6.2,4444,2.1
6080,r026,All graduate students -> Master's students,All graduate students,Master's students,,,2,414478,59.4,43750,69.8,1284,62.9,35075,66.1,30842,73.6,578,74.3,175090,61.6,11069,63.0,16617,66.7,100173,47.5
6080,r027,All graduate students -> Master's students -> Science,All graduate students,Master's students,Science,,3,267904,38.4,28849,46.0,851,41.7,22270,41.9,21126,50.4,403,51.8,112534,39.6,7293,41.5,11351,45.6,63227,30.0
6080,r028,All graduate students -> Master's students -> Science -> Agricultural and veterinary sciences,All graduate students,Master's students,Science,Agricultural and veterinary sciences,4,6487,0.9,626,1.0,20,1.0,207,0.4,279,0.7,14,1.8,3949,1.4,153,0.9,205,0.8,1034,0.5
6080,r029,All graduate students -> Master's students -> Science -> Biological and biomedical sciences,All graduate students,Master's students,Science,Biological and biomedical sciences,4,39920,5.7,4464,7.1,111,5.4,4682,8.8,3834,9.1,84,10.8,19042,6.7,1308,7.4,1701,6.8,4694,2.2
6080,r030,All graduate students -> Master's students -> Science -> Computer and information sciences,All graduate students,Master's students,Science,Computer and information sciences,4,80690,11.6,4541,7.2,113,5.5,9479,17.9,5171,12.3,62,8.0,21380,7.5,1519,8.6,2664,10.7,35761,17.0
6080,r031,"All graduate students -> Master's students -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All graduate students,Master's students,Science,"Geosciences, atmospheric sciences, and ocean sciences",4,5277,0.8,496,0.8,17,0.8,141,0.3,148,0.4,7,0.9,3703,1.3,170,1.0,179,0.7,416,0.2
6080,r032,All graduate students -> Master's students -> Science -> Mathematics and statistics,All graduate students,Master's students,Science,Mathematics and statistics,4,18284,2.6,1239,2.0,23,1.1,1742,3.3,573,1.4,9,1.2,5904,2.1,295,1.7,572,2.3,7927,3.8
6080,r033,All graduate students -> Master's students -> Science -> Multidisciplinary and interdisciplinary studies,All graduate students,Master's students,Science,Multidisciplinary and interdisciplinary studies,4,10980,1.6,1084,1.7,20,1.0,1038,2.0,746,1.8,11,1.4,4432,1.6,293,1.7,388,1.6,2968,1.4
6080,r034,All graduate students -> Master's students -> Science -> Natural resources and conservation,All graduate students,Master's students,Science,Natural resources and conservation,4,8793,1.3,858,1.4,88,4.3,269,0.5,248,0.6,30,3.9,6040,2.1,306,1.7,267,1.1,687,0.3
6080,r035,All graduate students -> Master's students -> Science -> Physical sciences,All graduate students,Master's students,Science,Physical sciences,4,6275,0.9,757,1.2,24,1.2,455,0.9,338,0.8,3,0.4,2978,1.0,177,1.0,188,0.8,1355,0.6
6080,r036,All graduate students -> Master's students -> Science -> Psychology,All graduate students,Master's students,Science,Psychology,4,47279,6.8,8978,14.3,205,10.0,2180,4.1,5425,12.9,103,13.2,23932,8.4,1688,9.6,3199,12.8,1569,0.7
6080,r037,All graduate students -> Master's students -> Science -> Social sciences,All graduate students,Master's students,Science,Social sciences,4,43919,6.3,5806,9.3,230,11.3,2077,3.9,4364,10.4,80,10.3,21174,7.5,1384,7.9,1988,8.0,6816,3.2
6080,r038,All graduate students -> Master's students -> Engineering,All graduate students,Master's students,Engineering,,3,86450,12.4,6704,10.7,160,7.8,7628,14.4,2952,7.0,71,9.1,31783,11.2,1949,11.1,2396,9.6,32807,15.6
6080,r039,"All graduate students -> Master's students -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All graduate students,Master's students,Engineering,"Aerospace, aeronautical, and astronautical engineering",4,4326,0.6,416,0.7,10,0.5,425,0.8,115,0.3,5,0.6,2479,0.9,158,0.9,144,0.6,574,0.3
6080,r040,"All graduate students -> Master's students -> Engineering -> Biological, biomedical, and biosystems engineering",All graduate students,Master's students,Engineering,"Biological, biomedical, and biosystems engineering",4,4536,0.7,383,0.6,7,0.3,688,1.3,188,0.4,4,0.5,1713,0.6,153,0.9,167,0.7,1233,0.6
6080,r041,"All graduate students -> Master's students -> Engineering -> Chemical, petroleum, and chemical-related engineering",All graduate students,Master's students,Engineering,"Chemical, petroleum, and chemical-related engineering",4,2942,0.4,199,0.3,4,0.2,261,0.5,112,0.3,1,0.1,952,0.3,69,0.4,78,0.3,1266,0.6
6080,r042,"All graduate students -> Master's students -> Engineering -> Civil, environmental, transportation and related engineering fields",All graduate students,Master's students,Engineering,"Civil, environmental, transportation and related engineering fields",4,10819,1.6,1103,1.8,36,1.8,817,1.5,347,0.8,14,1.8,4413,1.6,261,1.5,348,1.4,3480,1.7
6080,r043,"All graduate students -> Master's students -> Engineering -> Electrical, electronics, communications and computer engineering",All graduate students,Master's students,Engineering,"Electrical, electronics, communications and computer engineering",4,25312,3.6,1460,2.3,28,1.4,2346,4.4,674,1.6,7,0.9,6217,2.2,434,2.5,583,2.3,13563,6.4
6080,r044,"All graduate students -> Master's students -> Engineering -> Industrial, manufacturing, systems engineering and operations research",All graduate students,Master's students,Engineering,"Industrial, manufacturing, systems engineering and operations research",4,11030,1.6,1024,1.6,17,0.8,798,1.5,488,1.2,16,2.1,4011,1.4,196,1.1,327,1.3,4153,2.0
6080,r045,All graduate students -> Master's students -> Engineering -> Mechanical engineering,All graduate students,Master's students,Engineering,Mechanical engineering,4,14305,2.0,1262,2.0,24,1.2,1220,2.3,336,0.8,8,1.0,5986,2.1,341,1.9,380,1.5,4748,2.3
6080,r046,"All graduate students -> Master's students -> Engineering -> Metallurgical, mining, materials and related engineering fields",All graduate students,Master's students,Engineering,"Metallurgical, mining, materials and related engineering fields",4,2299,0.3,160,0.3,4,0.2,198,0.4,65,0.2,2,0.3,945,0.3,66,0.4,54,0.2,805,0.4
6080,r047,All graduate students -> Master's students -> Engineering -> Other engineering,All graduate students,Master's students,Engineering,Other engineering,4,10881,1.6,697,1.1,30,1.5,875,1.6,627,1.5,14,1.8,5067,1.8,271,1.5,315,1.3,2985,1.4
6080,r048,All graduate students -> Master's students -> Health,All graduate students,Master's students,Health,,3,60124,8.6,8197,13.1,273,13.4,5177,9.8,6764,16.1,104,13.4,30773,10.8,1827,10.4,2870,11.5,4139,2.0
6080,r049,All graduate students -> Master's students -> Health -> Clinical medicine<sup>a</sup>,All graduate students,Master's students,Health,Clinical medicine<sup>a</sup>,4,29748,4.3,4132,6.6,185,9.1,3181,6.0,4511,10.8,57,7.3,12672,4.5,991,5.6,1662,6.7,2357,1.1
6080,r050,All graduate students -> Master's students -> Health -> Other health,All graduate students,Master's students,Health,Other health,4,30376,4.4,4065,6.5,88,4.3,1996,3.8,2253,5.4,47,6.0,18101,6.4,836,4.8,1208,4.8,1782,0.8
6080,r051,All graduate students -> Doctoral students,All graduate students,Doctoral students,,,2,283335,40.6,18929,30.2,758,37.1,18019,33.9,11074,26.4,200,25.7,108965,38.4,6510,37.0,8291,33.3,110589,52.5
6080,r052,All graduate students -> Doctoral students -> Science,All graduate students,Doctoral students,Science,,3,196742,28.2,14856,23.7,617,30.2,12542,23.6,7925,18.9,150,19.3,82872,29.2,4951,28.2,6369,25.6,66460,31.5
6080,r053,All graduate students -> Doctoral students -> Science -> Agricultural and veterinary sciences,All graduate students,Doctoral students,Science,Agricultural and veterinary sciences,4,4313,0.6,197,0.3,7,0.3,128,0.2,99,0.2,1,0.1,1794,0.6,78,0.4,87,0.3,1922,0.9
6080,r054,All graduate students -> Doctoral students -> Science -> Biological and biomedical sciences,All graduate students,Doctoral students,Science,Biological and biomedical sciences,4,54905,7.9,4978,7.9,186,9.1,4838,9.1,2215,5.3,53,6.8,25932,9.1,1543,8.8,1746,7.0,13414,6.4
6080,r055,All graduate students -> Doctoral students -> Science -> Computer and information sciences,All graduate students,Doctoral students,Science,Computer and information sciences,4,18174,2.6,448,0.7,14,0.7,1220,2.3,468,1.1,8,1.0,3931,1.4,270,1.5,508,2.0,11307,5.4
6080,r056,"All graduate students -> Doctoral students -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All graduate students,Doctoral students,Science,"Geosciences, atmospheric sciences, and ocean sciences",4,6515,0.9,447,0.7,14,0.7,246,0.5,119,0.3,1,0.1,3333,1.2,196,1.1,212,0.9,1947,0.9
6080,r057,All graduate students -> Doctoral students -> Science -> Mathematics and statistics,All graduate students,Doctoral students,Science,Mathematics and statistics,4,13687,2.0,625,1.0,13,0.6,833,1.6,204,0.5,3,0.4,4488,1.6,251,1.4,376,1.5,6894,3.3
6080,r058,All graduate students -> Doctoral students -> Science -> Multidisciplinary and interdisciplinary studies,All graduate students,Doctoral students,Science,Multidisciplinary and interdisciplinary studies,4,3553,0.5,249,0.4,9,0.4,243,0.5,209,0.5,6,0.8,1576,0.6,77,0.4,125,0.5,1059,0.5
6080,r059,All graduate students -> Doctoral students -> Science -> Natural resources and conservation,All graduate students,Doctoral students,Science,Natural resources and conservation,4,3705,0.5,298,0.5,35,1.7,99,0.2,156,0.4,3,0.4,1977,0.7,81,0.5,146,0.6,910,0.4
6080,r060,All graduate students -> Doctoral students -> Science -> Physical sciences,All graduate students,Doctoral students,Science,Physical sciences,4,36341,5.2,2272,3.6,55,2.7,2041,3.8,758,1.8,14,1.8,14957,5.3,769,4.4,961,3.9,14514,6.9
6080,r061,All graduate students -> Doctoral students -> Science -> Psychology,All graduate students,Doctoral students,Science,Psychology,4,21115,3.0,2798,4.5,97,4.8,1265,2.4,1619,3.9,21,2.7,11412,4.0,870,4.9,794,3.2,2239,1.1
6080,r062,All graduate students -> Doctoral students -> Science -> Social sciences,All graduate students,Doctoral students,Science,Social sciences,4,34434,4.9,2544,4.1,187,9.2,1629,3.1,2078,5.0,40,5.1,13472,4.7,816,4.6,1414,5.7,12254,5.8
6080,r063,All graduate students -> Doctoral students -> Engineering,All graduate students,Doctoral students,Engineering,,3,71279,10.2,2940,4.7,79,3.9,4392,8.3,1631,3.9,30,3.9,19064,6.7,1194,6.8,1430,5.7,40519,19.2
6080,r064,"All graduate students -> Doctoral students -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All graduate students,Doctoral students,Engineering,"Aerospace, aeronautical, and astronautical engineering",4,2645,0.4,116,0.2,4,0.2,183,0.3,48,0.1,5,0.6,1073,0.4,75,0.4,44,0.2,1097,0.5
6080,r065,"All graduate students -> Doctoral students -> Engineering -> Biological, biomedical, and biosystems engineering",All graduate students,Doctoral students,Engineering,"Biological, biomedical, and biosystems engineering",4,8239,1.2,573,0.9,15,0.7,1002,1.9,262,0.6,10,1.3,3240,1.1,246,1.4,239,1.0,2652,1.3
6080,r066,"All graduate students -> Doctoral students -> Engineering -> Chemical, petroleum, and chemical-related engineering",All graduate students,Doctoral students,Engineering,"Chemical, petroleum, and chemical-related engineering",4,7612,1.1,307,0.5,12,0.6,560,1.1,143,0.3,3,0.4,2329,0.8,136,0.8,119,0.5,4003,1.9
6080,r067,"All graduate students -> Doctoral students -> Engineering -> Civil, environmental, transportation and related engineering fields",All graduate students,Doctoral students,Engineering,"Civil, environmental, transportation and related engineering fields",4,7485,1.1,288,0.5,10,0.5,243,0.5,162,0.4,3,0.4,1549,0.5,86,0.5,121,0.5,5023,2.4
6080,r068,"All graduate students -> Doctoral students -> Engineering -> Electrical, electronics, communications and computer engineering",All graduate students,Doctoral students,Engineering,"Electrical, electronics, communications and computer engineering",4,17720,2.5,458,0.7,7,0.3,956,1.8,300,0.7,1,0.1,3099,1.1,161,0.9,347,1.4,12391,5.9
6080,r069,"All graduate students -> Doctoral students -> Engineering -> Industrial, manufacturing, systems engineering and operations research",All graduate students,Doctoral students,Engineering,"Industrial, manufacturing, systems engineering and operations research",4,3839,0.6,96,0.2,2,0.1,177,0.3,135,0.3,1,0.1,868,0.3,50,0.3,95,0.4,2415,1.1
6080,r070,All graduate students -> Doctoral students -> Engineering -> Mechanical engineering,All graduate students,Doctoral students,Engineering,Mechanical engineering,4,11477,1.6,556,0.9,14,0.7,580,1.1,225,0.5,1,0.1,3004,1.1,197,1.1,228,0.9,6672,3.2
6080,r071,"All graduate students -> Doctoral students -> Engineering -> Metallurgical, mining, materials and related engineering fields",All graduate students,Doctoral students,Engineering,"Metallurgical, mining, materials and related engineering fields",4,4882,0.7,263,0.4,5,0.2,338,0.6,103,0.2,2,0.3,1557,0.5,100,0.6,81,0.3,2433,1.2
6080,r072,All graduate students -> Doctoral students -> Engineering -> Other engineering,All graduate students,Doctoral students,Engineering,Other engineering,4,7380,1.1,283,0.5,10,0.5,353,0.7,253,0.6,4,0.5,2345,0.8,143,0.8,156,0.6,3833,1.8
6080,r073,All graduate students -> Doctoral students -> Health,All graduate students,Doctoral students,Health,,3,15314,2.2,1133,1.8,62,3.0,1085,2.0,1518,3.6,20,2.6,7029,2.5,365,2.1,492,2.0,3610,1.7
6080,r074,All graduate students -> Doctoral students -> Health -> Clinical medicine<sup>a</sup>,All graduate students,Doctoral students,Health,Clinical medicine<sup>a</sup>,4,4796,0.7,482,0.8,39,1.9,389,0.7,615,1.5,12,1.5,2003,0.7,152,0.9,156,0.6,948,0.4
6080,r075,All graduate students -> Doctoral students -> Health -> Other health,All graduate students,Doctoral students,Health,Other health,4,10518,1.5,651,1.0,23,1.1,696,1.3,903,2.2,8,1.0,5026,1.8,213,1.2,336,1.3,2662,1.3
