table_id,row_id,_b_field_and_primary_source_of_support_b_full_path,_b_field_and_primary_source_of_support_b_level_1,_b_field_and_primary_source_of_support_b_level_2,_b_field_and_primary_source_of_support_b_level_3,_b_field_and_primary_source_of_support_b_level_4,_b_field_and_primary_source_of_support_b_hierarchy_depth,field_totala,field_sex_male,field_sex_female,field_citizenship_status_u_s_citizen_or_permanent_resident,field_citizenship_status_temporary_visa_holder,field_u_s_citizens_and_permanent_residents_hispanic_or_latino,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_other_race_or_race_not_reported,field_u_s_citizens_and_permanent_residents_ethnicity_not_reported
7550,r031,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Computer and information sciences (number) -> Employer or other sources","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Computer and information sciences (number),Employer or other sources,4,4.8,5.3,3.3,7.0,3.6,0.0,0.0,5.3,8.6,7.5,7.7,9.1,33.3
7550,r032,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Engineering (number)","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Engineering (number),,3,8511,6312,2199,3543,4912,294,,551,148,2382,,32,23
7550,r033,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Engineering (number) -> Teaching assistantships","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Engineering (number),Teaching assistantships,4,11.9,12.0,11.7,8.5,14.4,9.9,0.0,8.3,12.8,8.3,4.6,6.3,8.7
7550,r034,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Engineering (number) -> Research assistantships or traineeships<sup>b</sup>","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Engineering (number),Research assistantships or traineeships<sup>b</sup>,4,59.6,61.0,55.8,49.1,67.3,35.4,,55.7,25.0,51.3,,53.1,34.8
7550,r035,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Engineering (number) -> Fellowships, scholarships, or dissertation grants","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Engineering (number),"Fellowships, scholarships, or dissertation grants",4,18.4,16.4,24.1,28.9,10.9,40.1,0.0,26.0,41.9,26.7,46.8,18.8,26.1
7550,r036,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Engineering (number) -> Own resources","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Engineering (number),Own resources,4,4.9,4.9,4.8,7.6,2.9,9.9,,6.7,14.9,7.0,,6.3,17.4
7550,r037,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Engineering (number) -> Employer or other sources","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Engineering (number),Employer or other sources,4,5.1,5.7,3.5,6.0,4.6,4.8,0.0,3.3,5.4,6.7,4.6,15.6,13.0
7550,r038,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Geosciences, atmospheric, and ocean sciences (number)","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),"Geosciences, atmospheric, and ocean sciences (number)",,3,954,534,420,633,318,42,,30,11,508,33,,2
7550,r039,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Geosciences, atmospheric, and ocean sciences (number) -> Teaching assistantships","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),"Geosciences, atmospheric, and ocean sciences (number)",Teaching assistantships,4,21.0,19.5,22.9,19.4,23.9,21.4,0.0,20.0,45.5,19.1,15.2,0.0,50.0
7550,r040,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Geosciences, atmospheric, and ocean sciences (number) -> Research assistantships or traineeships<sup>b</sup>","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),"Geosciences, atmospheric, and ocean sciences (number)",Research assistantships or traineeships<sup>b</sup>,4,46.8,49.1,43.8,42.7,55.0,19.0,,50.0,,44.5,,,0.0
7550,r041,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Geosciences, atmospheric, and ocean sciences (number) -> Fellowships, scholarships, or dissertation grants","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),"Geosciences, atmospheric, and ocean sciences (number)","Fellowships, scholarships, or dissertation grants",4,24.4,22.7,26.7,28.4,16.7,,0.0,,,27.0,39.4,0.0,0.0
7550,r042,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Geosciences, atmospheric, and ocean sciences (number) -> Own resources","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),"Geosciences, atmospheric, and ocean sciences (number)",Own resources,4,6.0,6.2,5.7,8.1,1.6,,,,0.0,8.1,,0.0,50.0
7550,r043,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Geosciences, atmospheric, and ocean sciences (number) -> Employer or other sources","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),"Geosciences, atmospheric, and ocean sciences (number)",Employer or other sources,4,1.9,2.6,1.0,1.4,2.8,4.8,0.0,0.0,0.0,1.4,0.0,0.0,0.0
7550,r044,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Health sciences (number)","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Health sciences (number),,3,2250,699,1551,1753,478,129,9,174,242,1123,52,11,13
7550,r045,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Health sciences (number) -> Teaching assistantships","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Health sciences (number),Teaching assistantships,4,11.0,13.4,9.9,8.3,21.1,10.9,,9.2,,8.5,,27.3,0.0
7550,r046,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Health sciences (number) -> Research assistantships or traineeships<sup>b</sup>","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Health sciences (number),Research assistantships or traineeships<sup>b</sup>,4,22.9,29.5,19.9,18.8,37.9,16.3,0.0,25.3,9.5,20.1,19.2,9.1,38.5
7550,r047,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Health sciences (number) -> Fellowships, scholarships, or dissertation grants","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Health sciences (number),"Fellowships, scholarships, or dissertation grants",4,22.0,24.0,21.1,22.1,21.5,27.9,,31.0,,21.5,25.0,27.3,7.7
7550,r048,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Health sciences (number) -> Own resources","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Health sciences (number),Own resources,4,35.2,24.0,40.3,42.8,7.5,40.3,,27.6,64.0,40.9,,27.3,46.2
7550,r049,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Health sciences (number) -> Employer or other sources","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Health sciences (number),Employer or other sources,4,8.9,9.0,8.8,8.0,11.9,4.7,11.1,6.9,6.6,9.0,3.8,9.1,7.7
7550,r050,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Mathematics and statistics (number)","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Mathematics and statistics (number),,3,1732,1246,486,801,922,61,0,87,28,574,31,11,9
7550,r051,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Mathematics and statistics (number) -> Teaching assistantships","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Mathematics and statistics (number),Teaching assistantships,4,63.4,65.2,58.8,61.3,65.3,52.5,0.0,60.9,42.9,63.6,51.6,45.5,88.9
7550,r052,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Mathematics and statistics (number) -> Research assistantships or traineeships<sup>b</sup>","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Mathematics and statistics (number),Research assistantships or traineeships<sup>b</sup>,4,14.7,14.7,14.8,12.9,16.2,13.1,0.0,13.8,,12.7,,18.2,0.0
7550,r053,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Mathematics and statistics (number) -> Fellowships, scholarships, or dissertation grants","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Mathematics and statistics (number),"Fellowships, scholarships, or dissertation grants",4,16.1,14.2,20.8,19.4,13.2,,0.0,,32.1,17.1,22.6,27.3,0.0
7550,r054,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Mathematics and statistics (number) -> Own resources","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Mathematics and statistics (number),Own resources,4,4.0,4.4,3.1,5.1,3.1,,0.0,,,5.1,,9.1,11.1
7550,r055,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Mathematics and statistics (number) -> Employer or other sources","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Mathematics and statistics (number),Employer or other sources,4,1.8,1.5,2.5,1.4,2.2,1.6,0.0,1.1,0.0,1.6,0.0,0.0,0.0
7550,r056,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Multidisciplinary/ interdisciplinary sciences (number)","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Multidisciplinary/ interdisciplinary sciences (number),,3,1143,683,460,622,517,61,,66,42,415,26,,2
7550,r057,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Multidisciplinary/ interdisciplinary sciences (number) -> Teaching assistantships","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Multidisciplinary/ interdisciplinary sciences (number),Teaching assistantships,4,20.8,21.2,20.2,18.5,23.6,21.3,0.0,,14.3,19.8,,25.0,0.0
7550,r058,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Multidisciplinary/ interdisciplinary sciences (number) -> Research assistantships or traineeships<sup>b</sup>","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Multidisciplinary/ interdisciplinary sciences (number),Research assistantships or traineeships<sup>b</sup>,4,41.8,46.1,35.4,33.6,51.5,24.6,0.0,51.5,19.0,33.0,46.2,25.0,50.0
7550,r059,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Multidisciplinary/ interdisciplinary sciences (number) -> Fellowships, scholarships, or dissertation grants","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Multidisciplinary/ interdisciplinary sciences (number),"Fellowships, scholarships, or dissertation grants",4,21.3,18.7,25.2,24.4,17.8,31.1,,,26.2,22.9,30.8,25.0,50.0
7550,r060,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Multidisciplinary/ interdisciplinary sciences (number) -> Own resources","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Multidisciplinary/ interdisciplinary sciences (number),Own resources,4,11.7,10.0,14.3,18.3,3.9,16.4,0.0,7.6,35.7,19.3,,,0.0
7550,r061,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Multidisciplinary/ interdisciplinary sciences (number) -> Employer or other sources","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Multidisciplinary/ interdisciplinary sciences (number),Employer or other sources,4,4.3,4.0,4.8,5.1,3.3,6.6,0.0,6.1,4.8,5.1,0.0,12.5,0.0
7550,r062,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Physical sciences (number)","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Physical sciences (number),,3,4361,2937,1423,2564,1776,204,,250,71,1908,,22,12
7550,r063,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Physical sciences (number) -> Teaching assistantships","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Physical sciences (number),Teaching assistantships,4,24.9,24.9,24.9,22.5,28.4,25.0,,20.8,,22.7,21.5,18.2,8.3
7550,r064,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Physical sciences (number) -> Research assistantships or traineeships<sup>b</sup>","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Physical sciences (number),Research assistantships or traineeships<sup>b</sup>,4,53.5,56.0,48.3,49.8,58.7,35.3,,57.6,,51.4,46.2,40.9,66.7
7550,r065,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Physical sciences (number) -> Fellowships, scholarships, or dissertation grants","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Physical sciences (number),"Fellowships, scholarships, or dissertation grants",4,17.6,15.3,22.3,22.7,10.4,33.8,,18.8,45.1,20.9,,27.3,8.3
7550,r066,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Physical sciences (number) -> Own resources","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Physical sciences (number),Own resources,4,2.6,2.3,3.2,3.8,0.9,4.9,0.0,2.4,,3.7,,9.1,16.7
7550,r067,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Physical sciences (number) -> Employer or other sources","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Physical sciences (number),Employer or other sources,4,1.4,1.5,1.3,1.2,1.6,1.0,0.0,0.4,1.4,1.4,1.1,4.5,0.0
7550,r068,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Psychology (number)","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Psychology (number),,3,3013,828,2185,2726,271,305,7,172,215,1864,118,32,13
7550,r069,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Psychology (number) -> Teaching assistantships","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Psychology (number),Teaching assistantships,4,23.1,26.4,21.8,22.3,31.0,15.1,,27.3,7.0,25.1,19.5,,30.8
7550,r070,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Psychology (number) -> Research assistantships or traineeships<sup>b</sup>","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Psychology (number),Research assistantships or traineeships<sup>b</sup>,4,23.9,22.5,24.4,23.4,28.8,18.4,0.0,24.4,13.0,25.8,22.0,18.8,0.0
7550,r071,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Psychology (number) -> Fellowships, scholarships, or dissertation grants","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Psychology (number),"Fellowships, scholarships, or dissertation grants",4,17.6,18.1,17.3,17.1,23.2,20.7,,20.3,22.8,15.1,20.3,,23.1
7550,r072,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Psychology (number) -> Own resources","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Psychology (number),Own resources,4,33.5,30.3,34.6,35.4,12.5,44.9,,26.7,55.3,31.9,37.3,,46.2
7550,r073,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Psychology (number) -> Employer or other sources","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Psychology (number),Employer or other sources,4,2.1,2.7,1.8,1.8,4.4,1.0,0.0,1.2,1.9,2.1,0.8,0.0,0.0
7550,r074,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Social sciences (number)","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Social sciences (number),,3,4277,2125,2151,2833,1420,299,15,241,270,1868,95,32,13
7550,r075,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Social sciences (number) -> Teaching assistantships","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Social sciences (number),Teaching assistantships,4,31.8,33.5,30.1,27.1,40.9,24.4,,23.7,,29.1,33.7,43.8,38.5
7550,r076,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Social sciences (number) -> Research assistantships or traineeships<sup>b</sup>","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Social sciences (number),Research assistantships or traineeships<sup>b</sup>,4,14.8,14.7,14.9,14.7,14.9,11.4,,17.4,,15.6,10.5,9.4,15.4
7550,r077,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Social sciences (number) -> Fellowships, scholarships, or dissertation grants","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Social sciences (number),"Fellowships, scholarships, or dissertation grants",4,32.3,32.7,31.8,31.0,34.8,38.8,,,28.1,28.6,31.6,28.1,46.2
7550,r078,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Social sciences (number) -> Own resources","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Social sciences (number),Own resources,4,17.2,14.7,19.8,23.1,5.5,21.1,,,41.9,22.1,22.1,15.6,0.0
7550,r079,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Social sciences (number) -> Employer or other sources","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Social sciences (number),Employer or other sources,4,4.0,4.5,3.4,4.1,3.9,4.3,13.3,0.8,3.3,4.6,2.1,3.1,0.0
