table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_total_number,field_total_se,field_male_number,field_male_se,field_female_number,field_female_se
8217,r036,"All occupations -> Science occupations -> Social scientists -> Sociologists, anthropologists",All occupations,Science occupations,Social scientists,"Sociologists, anthropologists",4,4900,375,2300,300,2650,225
8217,r037,All occupations -> Science occupations -> Social scientists -> Other social scientists,All occupations,Science occupations,Social scientists,Other social scientists,4,11200,525,3900,300,7250,375
8217,r038,All occupations -> Engineering occupations,All occupations,Engineering occupations,,,2,138100,1575,115050,1525,23050,650
8217,r039,"All occupations -> Engineering occupations -> Aerospace, aeronautical, astronautical engineers",All occupations,Engineering occupations,"Aerospace, aeronautical, astronautical engineers",,3,8000,450,6850,400,1150,175
8217,r040,All occupations -> Engineering occupations -> Chemical engineers,All occupations,Engineering occupations,Chemical engineers,,3,10050,500,8200,500,1850,200
8217,r041,"All occupations -> Engineering occupations -> Civil, architectural, sanitary engineers",All occupations,Engineering occupations,"Civil, architectural, sanitary engineers",,3,8050,450,6900,425,1150,150
8217,r042,All occupations -> Engineering occupations -> Electrical engineers,All occupations,Engineering occupations,Electrical engineers,,3,29850,875,26350,850,3500,275
8217,r043,All occupations -> Engineering occupations -> Industrial engineers,All occupations,Engineering occupations,Industrial engineers,,3,1550,225,1050,175,500,125
8217,r044,All occupations -> Engineering occupations -> Mechanical engineers,All occupations,Engineering occupations,Mechanical engineers,,3,16150,650,14650,675,1500,200
8217,r045,"All occupations -> Engineering occupations -> Postsecondary teachers, engineering",All occupations,Engineering occupations,"Postsecondary teachers, engineering",,3,28550,775,23200,725,5350,325
8217,r046,All occupations -> Engineering occupations -> Other engineers,All occupations,Engineering occupations,Other engineers,,3,35900,925,27800,850,8100,425
8217,r047,All occupations -> S&E-related occupations,All occupations,S&E-related occupations,,,2,119200,1700,66750,1350,52450,1100
8217,r048,"All occupations -> S&E-related occupations -> Health occupations, except postsecondary teachers and managers",All occupations,S&E-related occupations,"Health occupations, except postsecondary teachers and managers",,3,36550,975,18050,850,18550,625
8217,r049,"All occupations -> S&E-related occupations -> Postsecondary teachers, health and related science",All occupations,S&E-related occupations,"Postsecondary teachers, health and related science",,3,28650,875,11500,600,17150,600
8217,r050,"All occupations -> S&E-related occupations -> S&E managers, including health",All occupations,S&E-related occupations,"S&E managers, including health",,3,35350,1025,24650,900,10650,575
8217,r051,All occupations -> S&E-related occupations -> S&E precollege teachers,All occupations,S&E-related occupations,S&E precollege teachers,,3,7100,400,3550,300,3550,250
8217,r052,All occupations -> S&E-related occupations -> S&E technicians/ technologists,All occupations,S&E-related occupations,S&E technicians/ technologists,,3,10400,625,8250,575,2150,250
8217,r053,All occupations -> S&E-related occupations -> Other S&E-related occupations,All occupations,S&E-related occupations,Other S&E-related occupations,,3,1150,175,750,175,400,100
8217,r054,All occupations -> Non-S&E occupations,All occupations,Non-S&E occupations,,,2,178900,1950,102450,1550,76450,1075
8217,r055,"All occupations -> Non-S&E occupations -> Arts, humanities-related occupations",All occupations,Non-S&E occupations,"Arts, humanities-related occupations",,3,11500,600,3950,350,7550,450
8217,r056,All occupations -> Non-S&E occupations -> Management-related occupations,All occupations,Non-S&E occupations,Management-related occupations,,3,35200,1025,19750,825,15400,575
8217,r057,All occupations -> Non-S&E occupations -> Non-S&E managers,All occupations,Non-S&E occupations,Non-S&E managers,,3,70100,1350,45550,1200,24550,725
8217,r058,All occupations -> Non-S&E occupations -> Non-S&E postsecondary teachers,All occupations,Non-S&E occupations,Non-S&E postsecondary teachers,,3,21050,675,11200,475,9850,450
8217,r059,All occupations -> Non-S&E occupations -> Non-S&E precollege/ other teachers,All occupations,Non-S&E occupations,Non-S&E precollege/ other teachers,,3,5950,475,2400,300,3500,325
8217,r060,"All occupations -> Non-S&E occupations -> Sales, marketing occupations",All occupations,Non-S&E occupations,"Sales, marketing occupations",,3,10800,600,6650,525,4150,325
8217,r061,All occupations -> Non-S&E occupations -> Social service-related occupations,All occupations,Non-S&E occupations,Social service-related occupations,,3,7600,400,3200,300,4400,325
8217,r062,All occupations -> Non-S&E occupations -> Other non-S&E occupations,All occupations,Non-S&E occupations,Other non-S&E occupations,,3,16750,650,9650,575,7050,375
