table_id,row_id,field_full_path,field_level_1,field_level_2,field_level_3,field_level_4,field_hierarchy_depth,field_all_citizenship_categories_all_s_e_postdoctoral_fellows,field_all_citizenship_categories_female,field_all_citizenship_categories_male,field_u_s_citizens_and_permanent_residents_all_s_e_postdoctoral_fellows,field_u_s_citizens_and_permanent_residents_female,field_u_s_citizens_and_permanent_residents_male,field_temporary_residents_all_s_e_postdoctoral_fellows,field_temporary_residents_female,field_temporary_residents_male
1134,r061,S&E -> Engineering -> Civil engineering,S&E,Engineering,Civil engineering,,3,706,176,530,270,90,180,436,86,350
1134,r062,S&E -> Engineering -> Electrical engineering,S&E,Engineering,Electrical engineering,,3,1186,163,1023,314,47,267,872,116,756
1134,r063,"S&E -> Engineering -> Engineering science, mechanics, and physics",S&E,Engineering,"Engineering science, mechanics, and physics",,3,284,56,228,85,20,65,199,36,163
1134,r064,S&E -> Engineering -> Industrial and manufacturing engineering,S&E,Engineering,Industrial and manufacturing engineering,,3,130,27,103,39,14,25,91,13,78
1134,r065,S&E -> Engineering -> Mechanical engineering,S&E,Engineering,Mechanical engineering,,3,1080,178,902,357,69,288,723,109,614
1134,r066,S&E -> Engineering -> Metallurgical and materials engineering,S&E,Engineering,Metallurgical and materials engineering,,3,882,181,701,234,56,178,648,125,523
1134,r067,S&E -> Engineering -> Mining engineering,S&E,Engineering,Mining engineering,,3,10,3,7,4,1,3,6,2,4
1134,r068,S&E -> Engineering -> Nuclear engineering,S&E,Engineering,Nuclear engineering,,3,100,12,88,24,1,23,76,11,65
1134,r069,S&E -> Engineering -> Petroleum engineering,S&E,Engineering,Petroleum engineering,,3,72,9,63,9,1,8,63,8,55
1134,r070,S&E -> Engineering -> Engineering nec,S&E,Engineering,Engineering nec,,3,468,107,361,162,43,119,306,64,242
