table_id,row_id,_b_ffrdc_b_full_path,_b_ffrdc_b_level_1,_b_ffrdc_b_level_2,_b_ffrdc_b_hierarchy_depth,field_2001,field_2002,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011a,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
9326,r011,All FFRDCs -> Center for Nuclear Waste Regulatory Analyses,All FFRDCs,Center for Nuclear Waste Regulatory Analyses,2,"['14,977', '']","['16,398', '']","['17,625', '']","['16,847', '']","['16,391', '']","['16,397', '']","['17,007', '']","['17,960', '']","['16,614', '']","['15,346', '']","['16,377', '']","['13,147', '']","['12,331', '']","['12,314', '']","['12,636', '']","['8,600', '']","['6,312', '']","['5,054', '']","['6,987', '']","['6,762', '']","['5,630', '']","['4,323', '']"
9326,r012,All FFRDCs -> CMS Alliance to Modernize Healthcare,All FFRDCs,CMS Alliance to Modernize Healthcare,2,"['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['17,521', '']","['70,458', '']","['168,142', '']","['141,860', '']","['169,013', '']","['175,030', '']","['213,369', '']","['228,162', '']","['348,269', '']","['286,693', '']"
9326,r013,All FFRDCs -> Fermi National Accelerator Laboratory,All FFRDCs,Fermi National Accelerator Laboratory,2,"['310,928', '']","['313,556', '']","['303,340', '']","['318,435', '']","['323,153', '']","['330,980', '']","['337,306', '']","['340,486', '']","['376,791', '']","['402,658', '']","['420,119', '']","['412,438', '']","['376,472', '']","['334,522', '']","['319,700', '']","['323,507', '']","['320,516', '']","['328,419', '']","['334,258', '']","['300,002', '']","['319,051', '']","['330,294', '']"
9326,r014,All FFRDCs -> Frederick National Laboratory for Cancer Research,All FFRDCs,Frederick National Laboratory for Cancer Research,2,"['187,222', '']","['260,000', '']","['296,000', '']","['335,000', '']","['334,400', '']","['334,500', '']","['339,800', '']","['509,700', '']","['378,200', '']","['643,935', '']","['431,600', '']","['430,100', '']","['433,900', '']","['448,500', '']","['495,300', '']","['642,165', '']","['704,223', '']","['748,500', '']","['751,452', '']","['745,726', '']","['861,605', '']","['904,182', '']"
9326,r015,All FFRDCs -> Green Bank Observatory<sup>c</sup>,All FFRDCs,Green Bank Observatory<sup>c</sup>,2,"['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['NA', '']","['NA', '']","['NA', '']","['NA', '']","['8,629', '']","['10,752', '']"
9326,r016,All FFRDCs -> Homeland Security Institute,All FFRDCs,Homeland Security Institute,2,"['na', '']","['na', '']","['na', '']","['na', '']","['NA', '']","['20,521', '']","['25,370', '']","['27,400', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']"
9326,r017,All FFRDCs -> Homeland Security Operational Analysis Center,All FFRDCs,Homeland Security Operational Analysis Center,2,"['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['8,622', '']","['46,321', '']","['54,751', '']","['44,736', '']","['34,888', '']","['52,984', '']"
9326,r018,All FFRDCs -> Homeland Security Studies and Analysis Institute,All FFRDCs,Homeland Security Studies and Analysis Institute,2,"['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['32,173', '']","['33,402', '']","['36,870', '']","['30,213', '']","['22,452', '']","['20,866', '']","['16,965', '']","['22,038', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']"
9326,r019,All FFRDCs -> Homeland Security Systems Engineering and Development Institute,All FFRDCs,Homeland Security Systems Engineering and Development Institute,2,"['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['3,387', '']","['58,715', '']","['85,154', '']","['77,159', '']","['75,530', '']","['94,353', '']","['77,176', '']","['101,628', '']","['104,414', '']","['104,689', '']","['115,813', '']","['136,874', '']","['183,588', '']","['183,261', '']"
9326,r020,All FFRDCs -> Idaho National Laboratory,All FFRDCs,Idaho National Laboratory,2,"['270,636', '']","['259,562', '']","['330,154', '']","['180,306', '']","['232,289', '']","['163,074', '']","['248,322', '']","['236,037', '']","['388,062', '']","['478,356', '']","['425,072', '']","['536,399', '']","['496,818', '']","['479,801', '']","['476,376', '']","['521,618', '']","['482,840', '']","['395,112', '']","['478,324', '']","['494,094', '']","['516,691', '']","['637,579', '']"
9326,r021,All FFRDCs -> Jet Propulsion Laboratory,All FFRDCs,Jet Propulsion Laboratory,2,"['1,355,463', '']","['1,435,039', '']","['1,390,560', '']","['1,551,171', '']","['1,606,409', '']","['1,548,019', '']","['1,717,203', '']","['1,733,597', '']","['1,711,528', '']","['1,640,341', '']","['1,543,969', '']","['1,493,613', '']","['1,519,258', '']","['1,664,539', '']","['1,749,689', '']","['1,852,369', '']","['2,324,826', '']","['2,733,908', '']","['2,709,063', '']","['2,638,412', '']","['2,388,355', '']","['2,417,556', '']"
9326,r022,All FFRDCs -> Judiciary Engineering and Modernization Center,All FFRDCs,Judiciary Engineering and Modernization Center,2,"['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['4,650', '']","['5,309', '']","['6,399', '']","['2,299', '']","['4,318', '']","['9,289', '']","['8,030', '']","['6,697', '']","['7,331', '']","['6,765', '']","['5,493', '']","['na', '']"
9326,r023,All FFRDCs -> Lawrence Berkeley National Laboratory,All FFRDCs,Lawrence Berkeley National Laboratory,2,"['408,487', '']","['467,461', '']","['441,500', '']","['482,159', '']","['482,672', '']","['485,626', '']","['503,775', '']","['573,917', '']","['611,711', '']","['759,381', '']","['788,386', '']","['767,554', '']","['768,563', '']","['762,601', '']","['792,457', '']","['797,831', '']","['813,267', '']","['832,457', '']","['872,237', '']","['916,082', '']","['966,972', '']","['1,031,716', '']"
9326,r024,All FFRDCs -> Lawrence Livermore National Laboratory,All FFRDCs,Lawrence Livermore National Laboratory,2,"['1,090,875', '']","['1,227,111', '']","['1,286,215', '']","['1,425,840', '']","['1,456,368', '']","['1,431,019', '']","['1,353,980', '']","['1,301,874', '']","['1,321,633', '']","['1,370,747', '']","['1,424,993', '']","['1,353,454', '']","['1,313,293', '']","['1,170,571', '']","['1,273,066', '']","['1,363,525', '']","['1,290,134', '']","['1,386,687', '']","['1,517,429', '']","['1,558,071', '']","['1,613,673', '']","['1,659,808', '']"
9326,r025,All FFRDCs -> Lincoln Laboratory,All FFRDCs,Lincoln Laboratory,2,"['380,200', '']","['451,200', '']","['522,851', '']","['594,822', '']","['627,201', '']","['622,993', '']","['618,011', '']","['641,386', '']","['706,555', '']","['789,502', '']","['822,358', '']","['873,104', '']","['872,298', '']","['830,076', '']","['914,071', '']","['949,138', '']","['969,090', '']","['1,013,320', '']","['1,103,870', '']","['1,115,927', '']","['1,136,133', '']","['1,142,615', '']"
9326,r026,All FFRDCs -> Los Alamos National Laboratory,All FFRDCs,Los Alamos National Laboratory,2,"['1,333,194', 'e']","['1,994,031', '']","['2,106,145', '']","['1,986,235', '']","['2,101,211', '']","['2,145,200', '']","['2,046,260', '']","['2,073,538', '']","['2,172,179', '']","['2,505,913', '']","['2,307,197', '']","['2,056,878', '']","['1,708,000', '']","['1,767,000', '']","['1,865,000', '']","['1,987,000', '']","['1,972,769', '']","['2,145,232', '']","['2,461,275', '']","['2,722,375', '']","['2,974,164', '']","['3,811,602', '']"
9326,r027,All FFRDCs -> National Astronomy and Ionosphere Center,All FFRDCs,National Astronomy and Ionosphere Center,2,"['10,986', '']","['12,295', '']","['11,508', '']","['12,285', '']","['13,831', '']","['14,108', '']","['13,591', '']","['12,586', '']","['14,738', '']","['13,203', '']","['14,317', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']"
9326,r028,All FFRDCs -> National Biodefense Analysis and Countermeasures Center,All FFRDCs,National Biodefense Analysis and Countermeasures Center,2,"['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['6,320', '']","['12,979', '']","['19,934', '']","['50,058', '']","['41,786', '']","['31,201', '']","['29,849', '']","['30,310', '']","['30,716', '']","['32,902', '']","['34,991', '']","['37,598', '']","['39,003', '']","['42,330', '']","['44,968', '']","['45,870', '']"
9326,r029,All FFRDCs -> National Center for Atmospheric Research,All FFRDCs,National Center for Atmospheric Research,2,"['119,846', '']","['157,173', '']","['140,756', '']","['154,714', '']","['135,893', '']","['153,343', '']","['144,293', '']","['161,130', '']","['203,627', '']","['220,328', '']","['198,231', '']","['169,743', '']","['172,527', '']","['162,259', '']","['166,385', '']","['177,422', '']","['171,551', '']","['158,260', '']","['199,476', '']","['188,484', '']","['181,010', '']","['188,238', '']"
9326,r030,All FFRDCs -> National Cybersecurity Center of Excellence,All FFRDCs,National Cybersecurity Center of Excellence,2,"['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['7,843', '']","['13,076', '']","['13,436', '']","['19,556', '']","['22,205', '']","['23,557', '']","['33,671', '']","['27,955', '']"
9326,r031,All FFRDCs -> National Defense Research Institute,All FFRDCs,National Defense Research Institute,2,"['25,512', '']","['25,317', '']","['26,908', '']","['26,550', '']","['25,747', '']","['34,203', '']","['38,152', '']","['40,051', '']","['42,265', '']","['51,652', '']","['46,330', '']","['53,832', '']","['59,460', '']","['62,073', '']","['56,736', '']","['62,848', '']","['69,013', '']","['57,743', '']","['67,647', '']","['64,134', '']","['66,170', '']","['61,097', '']"
9326,r032,All FFRDCs -> National Radio Astronomy Observatory,All FFRDCs,National Radio Astronomy Observatory,2,"['34,208', '']","['43,900', '']","['42,842', '']","['42,215', '']","['52,023', '']","['40,771', '']","['129,000', '']","['146,098', '']","['151,396', '']","['137,607', '']","['81,305', '']","['79,168', '']","['93,253', '']","['85,327', '']","['89,689', '']","['90,411', '']","['91,720', '']","['100,691', '']","['101,901', '']","['100,078', '']","['94,202', '']","['92,476', '']"
9326,r033,All FFRDCs -> National Renewable Energy Laboratory,All FFRDCs,National Renewable Energy Laboratory,2,"['207,230', '']","['197,438', '']","['221,496', '']","['226,460', '']","['211,323', '']","['196,449', '']","['190,874', '']","['229,399', '']","['273,640', '']","['326,652', '']","['386,539', '']","['398,873', '']","['347,368', '']","['359,998', '']","['378,436', '']","['362,087', '']","['357,916', '']","['388,500', '']","['455,016', '']","['511,585', '']","['559,151', '']","['603,356', '']"
9326,r034,All FFRDCs -> National Security Engineering Center,All FFRDCs,National Security Engineering Center,2,"['29,458', '']","['31,163', '']","['32,696', '']","['35,932', '']","['37,213', '']","['37,073', '']","['46,368', '']","['936,228', '']","['939,312', '']","['925,027', '']","['941,187', '']","['946,737', '']","['928,614', '']","['885,382', '']","['919,441', '']","['966,542', '']","['1,012,155', '']","['1,078,610', '']","['1,124,861', '']","['1,143,701', '']","['1,468,298', '']","['1,286,520', '']"
9326,r035,All FFRDCs -> National Solar Observatory,All FFRDCs,National Solar Observatory,2,"['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['11,549', '']","['11,724', '']","['10,236', '']","['10,648', '']","['10,039', '']","['11,752', '']","['12,783', '']","['11,841', '']","['14,733', '']","['15,931', '']","['16,892', '']","['17,684', '']","['33,849', '']"
9326,r036,All FFRDCs -> NSF's National Optical-Infrared Astronomy Research Laboratory (NSF's NOIRLab),All FFRDCs,NSF's National Optical-Infrared Astronomy Research Laboratory (NSF's NOIRLab),2,"['37,364', '']","['41,051', '']","['44,409', '']","['43,020', '']","['52,775', '']","['54,616', '']","['53,608', '']","['55,922', '']","['56,972', '']","['45,596', '']","['36,165', '']","['36,321', '']","['30,021', '']","['25,161', '']","['23,660', '']","['24,917', '']","['25,906', '']","['33,874', '']","['38,262', '']","['72,686', '']","['75,251', '']","['81,505', '']"
9326,r037,All FFRDCs -> Oak Ridge National Laboratory,All FFRDCs,Oak Ridge National Laboratory,2,"['581,135', '']","['620,328', '']","['690,538', '']","['776,203', '']","['897,252', '']","['928,090', '']","['1,083,509', '']","['1,251,336', '']","['1,259,259', '']","['1,538,412', '']","['1,558,073', '']","['1,553,460', '']","['1,451,684', '']","['1,293,722', '']","['1,333,332', '']","['1,283,729', '']","['1,403,204', '']","['1,399,445', '']","['1,470,372', '']","['1,632,684', '']","['1,760,578', '']","['1,803,543', '']"
9326,r038,All FFRDCs -> Pacific Northwest National Laboratory,All FFRDCs,Pacific Northwest National Laboratory,2,"['562,000', '']","['608,500', '']","['679,000', '']","['692,370', '']","['779,522', '']","['749,365', '']","['851,512', '']","['885,984', '']","['1,064,230', '']","['1,116,648', '']","['1,095,923', '']","['1,033,768', '']","['934,491', '']","['1,021,912', '']","['951,099', '']","['914,747', '']","['983,962', '']","['956,193', '']","['1,012,136', '']","['1,071,249', '']","['1,168,268', '']","['1,294,614', '']"
9326,r039,All FFRDCs -> Princeton Plasma Physics Laboratory,All FFRDCs,Princeton Plasma Physics Laboratory,2,"['76,021', '']","['73,610', '']","['66,764', '']","['75,255', '']","['81,803', '']","['78,151', '']","['75,720', '']","['78,154', '']","['81,113', '']","['83,932', '']","['84,863', '']","['81,389', '']","['85,088', '']","['97,768', '']","['81,348', '']","['82,246', '']","['81,444', '']","['82,435', '']","['91,271', '']","['107,662', '']","['115,505', '']","['120,347', '']"
9326,r040,All FFRDCs -> Project Air Force,All FFRDCs,Project Air Force,2,"['29,361', '']","['32,439', '']","['33,555', '']","['33,049', '']","['35,742', '']","['39,107', '']","['39,315', '']","['41,794', '']","['45,162', '']","['43,957', '']","['44,171', '']","['41,031', '']","['36,003', '']","['39,351', '']","['44,393', '']","['49,165', '']","['48,521', '']","['48,858', '']","['48,325', '']","['46,936', '']","['47,966', '']","['46,517', '']"
9326,r041,All FFRDCs -> Sandia National Laboratories,All FFRDCs,Sandia National Laboratories,2,"['1,416,796', '']","['1,583,348', '']","['1,742,861', '']","['1,833,571', '']","['1,946,435', '']","['1,968,488', '']","['2,031,309', '']","['2,076,786', '']","['2,043,509', '']","['2,157,022', '']","['2,277,166', '']","['2,293,307', '']","['2,412,476', '']","['2,507,099', '']","['2,621,891', '']","['2,781,547', '']","['2,878,000', '']","['3,009,105', '']","['3,373,217', '']","['3,395,241', '']","['3,542,756', '']","['3,811,529', '']"
9326,r042,All FFRDCs -> Savannah River National Laboratory,All FFRDCs,Savannah River National Laboratory,2,"['87,164', '']","['93,602', '']","['94,423', '']","['94,326', '']","['98,650', '']","['102,547', '']","['114,895', '']","['118,400', '']","['130,292', '']","['127,160', '']","['134,530', '']","['132,357', '']","['115,857', '']","['121,013', '']","['121,675', '']","['125,881', '']","['141,477', '']","['154,281', '']","['176,379', '']","['176,093', '']","['191,803', '']","['182,654', '']"
9326,r043,All FFRDCs -> Science and Technology Policy Institute,All FFRDCs,Science and Technology Policy Institute,2,"['7,311', '']","['8,878', '']","['6,710', '']","['3,681', '']","['5,415', '']","['6,800', '']","['5,600', '']","['6,000', '']","['5,100', '']","['6,000', '']","['8,700', '']","['7,547', '']","['5,010', '']","['10,949', '']","['8,724', '']","['7,459', '']","['8,401', '']","['8,086', '']","['9,080', '']","['9,256', '']","['9,784', '']","['10,593', '']"
9326,r044,All FFRDCs -> SLAC National Accelerator Laboratory,All FFRDCs,SLAC National Accelerator Laboratory,2,"['145,979', '']","['171,343', '']","['164,747', '']","['206,402', '']","['205,690', '']","['214,026', '']","['231,960', '']","['234,316', '']","['294,421', '']","['354,393', '']","['327,716', '']","['329,747', '']","['327,005', '']","['316,646', '']","['310,167', '']","['313,031', '']","['327,453', '']","['341,615', '']","['368,938', '']","['382,264', '']","['396,780', '']","['432,078', '']"
9326,r045,All FFRDCs -> Software Engineering Institute,All FFRDCs,Software Engineering Institute,2,"['37,052', '']","['45,088', '']","['45,412', '']","['57,920', '']","['62,262', '']","['75,636', '']","['80,566', '']","['80,963', '']","['89,077', '']","['99,334', '']","['107,837', '']","['113,371', '']","['134,973', '']","['123,217', '']","['131,146', '']","['145,981', '']","['132,967', '']","['142,891', '']","['140,954', '']","['141,291', '']","['120,443', '']","['129,316', '']"
9326,r046,All FFRDCs -> Systems and Analyses Center,All FFRDCs,Systems and Analyses Center,2,"['92,930', '']","['98,236', '']","['110,200', '']","['126,226', '']","['118,600', '']","['130,400', '']","['141,500', '']","['146,500', '']","['166,000', '']","['156,000', '']","['156,200', '']","['149,150', '']","['142,977', '']","['145,211', '']","['157,645', '']","['169,580', '']","['163,125', '']","['168,034', '']","['177,948', '']","['171,335', '']","['173,792', '']","['201,338', '']"
9326,r047,All FFRDCs -> Thomas Jefferson National Accelerator Facility,All FFRDCs,Thomas Jefferson National Accelerator Facility,2,"['102,202', '']","['106,305', '']","['106,966', '']","['104,659', '']","['113,349', '']","['96,228', '']","['81,242', '']","['82,254', '']","['88,834', '']","['90,456', '']","['90,456', '']","['94,167', '']","['100,031', '']","['105,868', '']","['128,036', '']","['120,009', '']","['107,320', '']","['118,631', '']","['125,796', '']","['130,850', '']","['139,479', '']","['152,832', '']"
