table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_level_4,_b_field_b_hierarchy_depth,field_all_expenditures_total,field_all_expenditures_public,field_all_expenditures_private,field_federal_total,field_federal_public,field_federal_private,field_nonfederal_total,field_nonfederal_public,field_nonfederal_private
5399,r027,"All R&D fields -> Science -> Social sciences -> Sociology, demography, and population studies",All R&D fields,Science,Social sciences,"Sociology, demography, and population studies",4,2108,1488,620,906,844,62,1202,644,558
5399,r028,All R&D fields -> Science -> Social sciences -> Social sciences nec,All R&D fields,Science,Social sciences,Social sciences nec,4,6155,5609,546,1409,1366,43,4746,4243,503
5399,r029,All R&D fields -> Science -> Sciences nec,All R&D fields,Science,Sciences nec,,3,41326,34112,7214,9128,6509,2619,32198,27603,4595
5399,r030,All R&D fields -> Engineering,All R&D fields,Engineering,,,2,741873,578237,163636,335816,245892,89924,406057,332345,73712
5399,r031,"All R&D fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All R&D fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,62078,49333,12745,37169,30461,6708,24909,18872,6037
5399,r032,All R&D fields -> Engineering -> Bioengineering and biomedical engineering,All R&D fields,Engineering,Bioengineering and biomedical engineering,,3,56178,35949,20229,26692,13542,13150,29486,22407,7079
5399,r033,All R&D fields -> Engineering -> Chemical engineering,All R&D fields,Engineering,Chemical engineering,,3,53400,41779,11621,23898,17108,6790,29502,24671,4831
5399,r034,All R&D fields -> Engineering -> Civil engineering,All R&D fields,Engineering,Civil engineering,,3,39656,33962,5694,17784,15861,1923,21872,18101,3771
5399,r035,"All R&D fields -> Engineering -> Electrical, electronic, and communications engineering",All R&D fields,Engineering,"Electrical, electronic, and communications engineering",,3,138659,97305,41354,88821,69725,19096,49838,27580,22258
5399,r036,All R&D fields -> Engineering -> Industrial and manufacturing engineering,All R&D fields,Engineering,Industrial and manufacturing engineering,,3,22505,14754,7751,15311,11769,3542,7194,2985,4209
5399,r037,All R&D fields -> Engineering -> Mechanical engineering,All R&D fields,Engineering,Mechanical engineering,,3,95127,70335,24792,52675,39207,13468,42452,31128,11324
5399,r038,All R&D fields -> Engineering -> Metallurgical and materials engineering,All R&D fields,Engineering,Metallurgical and materials engineering,,3,58883,38066,20817,35461,17660,17801,23422,20406,3016
5399,r039,All R&D fields -> Engineering -> Engineering nec,All R&D fields,Engineering,Engineering nec,,3,215387,196754,18633,38005,30559,7446,177382,166195,11187
5399,r040,All R&D fields -> Non-S&E,All R&D fields,Non-S&E,,,2,59706,54205,5501,5479,4826,653,54227,49379,4848
5399,r041,All R&D fields -> Non-S&E -> Business management and business administration,All R&D fields,Non-S&E,Business management and business administration,,3,4885,3713,1172,165,149,16,4720,3564,1156
5399,r042,All R&D fields -> Non-S&E -> Communication and communications technologies,All R&D fields,Non-S&E,Communication and communications technologies,,3,1208,1075,133,106,106,0,1102,969,133
5399,r043,All R&D fields -> Non-S&E -> Education,All R&D fields,Non-S&E,Education,,3,8660,7712,948,937,884,53,7723,6828,895
5399,r044,All R&D fields -> Non-S&E -> Humanities,All R&D fields,Non-S&E,Humanities,,3,4108,3020,1088,310,152,158,3798,2868,930
5399,r045,All R&D fields -> Non-S&E -> Law,All R&D fields,Non-S&E,Law,,3,667,526,141,106,1,105,561,525,36
5399,r046,All R&D fields -> Non-S&E -> Social work,All R&D fields,Non-S&E,Social work,,3,1177,1111,66,103,42,61,1074,1069,5
5399,r047,All R&D fields -> Non-S&E -> Visual and performing arts,All R&D fields,Non-S&E,Visual and performing arts,,3,1768,1501,267,320,304,16,1448,1197,251
5399,r048,All R&D fields -> Non-S&E -> Non-S&E nec,All R&D fields,Non-S&E,Non-S&E nec,,3,37233,35547,1686,3432,3188,244,33801,32359,1442
