table_id,row_id,_b_ffrdc_b_full_path,_b_ffrdc_b_level_1,_b_ffrdc_b_level_2,_b_ffrdc_b_level_3,_b_ffrdc_b_hierarchy_depth,field_all_r_d_expenditures,field_federal_government,field_state_and_local_government,field_business,field_nonprofit_organizations,field_all_other_sources
9272,r011,All FFRDCs -> University-administered FFRDCs -> National Radio Astronomy Observatory,All FFRDCs,University-administered FFRDCs,National Radio Astronomy Observatory,3,"['92,476', '']","['91,913', '']","['0', '']","['307', '']","['174', '']","['82', '']"
9272,r012,All FFRDCs -> University-administered FFRDCs -> National Solar Observatory,All FFRDCs,University-administered FFRDCs,National Solar Observatory,3,"['33,849', '']","['33,800', '']","['0', '']","['0', '']","['0', '']","['49', '']"
9272,r013,All FFRDCs -> University-administered FFRDCs -> NSF's National Optical-Infrared Astronomy Research Laboratory (NSF's NOIRLab),All FFRDCs,University-administered FFRDCs,NSF's National Optical-Infrared Astronomy Research Laboratory (NSF's NOIRLab),3,"['81,505', '']","['79,193', '']","['0', '']","['0', '']","['0', '']","['2,312', '']"
9272,r014,All FFRDCs -> University-administered FFRDCs -> Princeton Plasma Physics Laboratory,All FFRDCs,University-administered FFRDCs,Princeton Plasma Physics Laboratory,3,"['120,347', '']","['119,828', '']","['0', '']","['372', '']","['0', '']","['147', '']"
9272,r015,All FFRDCs -> University-administered FFRDCs -> SLAC National Accelerator Laboratory,All FFRDCs,University-administered FFRDCs,SLAC National Accelerator Laboratory,3,"['432,078', '']","['419,094', '']","['825', '']","['4,096', '']","['1,563', '']","['6,500', '']"
9272,r016,All FFRDCs -> University-administered FFRDCs -> Software Engineering Institute,All FFRDCs,University-administered FFRDCs,Software Engineering Institute,3,"['129,316', '']","['129,316', '']","['0', '']","['0', '']","['0', '']","['0', '']"
9272,r017,All FFRDCs -> University-administered FFRDCs -> Thomas Jefferson National Accelerator Facility,All FFRDCs,University-administered FFRDCs,Thomas Jefferson National Accelerator Facility,3,"['152,832', '']","['150,374', '']","['1,879', '']","['503', '']","['13', '']","['63', '']"
9272,r018,All FFRDCs -> Nonprofit-administered FFRDCs,All FFRDCs,Nonprofit-administered FFRDCs,,2,"['9,171,826', ' ']","['8,998,910', ' ']","['21,734', ' ']","['90,827', ' ']","['28,847', ' ']","['31,508', ' ']"
9272,r019,All FFRDCs -> Nonprofit-administered FFRDCs -> Aerospace Federally Funded Research and Development Center,All FFRDCs,Nonprofit-administered FFRDCs,Aerospace Federally Funded Research and Development Center,3,"['1,152,833', '']","['1,147,041', '']","['0', '']","['4,707', '']","['0', '']","['1,085', '']"
9272,r020,All FFRDCs -> Nonprofit-administered FFRDCs -> Arroyo Center,All FFRDCs,Nonprofit-administered FFRDCs,Arroyo Center,3,"['40,856', '']","['40,856', '']","['0', '']","['0', '']","['0', '']","['0', '']"
9272,r021,All FFRDCs -> Nonprofit-administered FFRDCs -> Brookhaven National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Brookhaven National Laboratory,3,"['655,988', '']","['639,527', '']","['7,369', '']","['6,264', '']","['140', '']","['2,688', '']"
9272,r022,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Advanced Aviation System Development,All FFRDCs,Nonprofit-administered FFRDCs,Center for Advanced Aviation System Development,3,"['189,490', '']","['164,992', '']","['866', '']","['5,382', '']","['1,966', '']","['16,284', '']"
9272,r023,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Communications and Computing,All FFRDCs,Nonprofit-administered FFRDCs,Center for Communications and Computing,3,"['74,759', '']","['74,759', '']","['0', '']","['0', '']","['0', '']","['0', '']"
9272,r024,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Enterprise Modernization,All FFRDCs,Nonprofit-administered FFRDCs,Center for Enterprise Modernization,3,"['235,436', '']","['235,317', '']","['0', '']","['0', '']","['119', '']","['0', '']"
9272,r025,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Naval Analyses,All FFRDCs,Nonprofit-administered FFRDCs,Center for Naval Analyses,3,"['93,567', '']","['93,567', '']","['0', '']","['0', '']","['0', '']","['0', '']"
9272,r026,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Nuclear Waste Regulatory Analyses,All FFRDCs,Nonprofit-administered FFRDCs,Center for Nuclear Waste Regulatory Analyses,3,"['4,323', '']","['3,595', '']","['15', '']","['295', '']","['0', '']","['418', '']"
9272,r027,All FFRDCs -> Nonprofit-administered FFRDCs -> CMS Alliance to Modernize Healthcare,All FFRDCs,Nonprofit-administered FFRDCs,CMS Alliance to Modernize Healthcare,3,"['286,693', '']","['286,693', '']","['0', '']","['0', '']","['0', '']","['0', '']"
9272,r028,All FFRDCs -> Nonprofit-administered FFRDCs -> Homeland Security Operational Analysis Center,All FFRDCs,Nonprofit-administered FFRDCs,Homeland Security Operational Analysis Center,3,"['52,984', '']","['52,984', '']","['0', '']","['0', '']","['0', '']","['0', '']"
9272,r029,All FFRDCs -> Nonprofit-administered FFRDCs -> Homeland Security Systems Engineering and Development Institute,All FFRDCs,Nonprofit-administered FFRDCs,Homeland Security Systems Engineering and Development Institute,3,"['183,261', '']","['181,702', '']","['823', '']","['516', '']","['75', '']","['145', '']"
9272,r030,All FFRDCs -> Nonprofit-administered FFRDCs -> Idaho National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Idaho National Laboratory,3,"['637,579', '']","['630,446', '']","['388', '']","['5,803', '']","['195', '']","['747', '']"
9272,r031,All FFRDCs -> Nonprofit-administered FFRDCs -> National Biodefense Analysis and Countermeasures Center,All FFRDCs,Nonprofit-administered FFRDCs,National Biodefense Analysis and Countermeasures Center,3,"['45,870', '']","['45,869', '']","['0', '']","['0', '']","['1', '']","['0', '']"
9272,r032,All FFRDCs -> Nonprofit-administered FFRDCs -> National Cybersecurity Center of Excellence,All FFRDCs,Nonprofit-administered FFRDCs,National Cybersecurity Center of Excellence,3,"['27,955', '']","['27,955', '']","['0', '']","['0', '']","['0', '']","['0', '']"
9272,r033,All FFRDCs -> Nonprofit-administered FFRDCs -> National Defense Research Institute,All FFRDCs,Nonprofit-administered FFRDCs,National Defense Research Institute,3,"['61,097', '']","['61,097', '']","['0', '']","['0', '']","['0', '']","['0', '']"
9272,r034,All FFRDCs -> Nonprofit-administered FFRDCs -> National Renewable Energy Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,National Renewable Energy Laboratory,3,"['603,356', '']","['536,683', '']","['3,278', '']","['46,963', '']","['16,432', '']","['0', '']"
9272,r035,All FFRDCs -> Nonprofit-administered FFRDCs -> National Security Engineering Center,All FFRDCs,Nonprofit-administered FFRDCs,National Security Engineering Center,3,"['1,286,520', '']","['1,282,762', '']","['0', '']","['423', '']","['519', '']","['2,816', '']"
9272,r036,All FFRDCs -> Nonprofit-administered FFRDCs -> Oak Ridge National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Oak Ridge National Laboratory,3,"['1,803,543', '']","['1,789,100', '']","['527', '']","['8,144', '']","['1,714', '']","['4,058', '']"
9272,r037,All FFRDCs -> Nonprofit-administered FFRDCs -> Pacific Northwest National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Pacific Northwest National Laboratory,3,"['1,294,614', '']","['1,266,328', '']","['8,468', '']","['9,524', '']","['7,686', '']","['2,608', '']"
9272,r038,All FFRDCs -> Nonprofit-administered FFRDCs -> Project Air Force,All FFRDCs,Nonprofit-administered FFRDCs,Project Air Force,3,"['46,517', '']","['46,517', '']","['0', '']","['0', '']","['0', '']","['0', '']"
9272,r039,All FFRDCs -> Nonprofit-administered FFRDCs -> Savannah River National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Savannah River National Laboratory,3,"['182,654', '']","['179,848', '']","['0', '']","['2,806', '']","['0', '']","['0', '']"
9272,r040,All FFRDCs -> Nonprofit-administered FFRDCs -> Science and Technology Policy Institute,All FFRDCs,Nonprofit-administered FFRDCs,Science and Technology Policy Institute,3,"['10,593', '']","['10,593', '']","['0', '']","['0', '']","['0', '']","['0', '']"
9272,r041,All FFRDCs -> Nonprofit-administered FFRDCs -> Systems and Analyses Center,All FFRDCs,Nonprofit-administered FFRDCs,Systems and Analyses Center,3,"['201,338', '']","['200,679', '']","['0', '']","['0', '']","['0', '']","['659', '']"
9272,r042,All FFRDCs -> Industry-administered FFRDCs,All FFRDCs,Industry-administered FFRDCs,,2,"['10,187,121', ' ']","['9,947,548', ' ']","['355', ' ']","['211,675', ' ']","['547', ' ']","['26,996', ' ']"
9272,r043,All FFRDCs -> Industry-administered FFRDCs -> Frederick National Laboratory for Cancer Research,All FFRDCs,Industry-administered FFRDCs,Frederick National Laboratory for Cancer Research,3,"['904,182', '']","['904,182', '']","['0', '']","['0', '']","['0', '']","['0', '']"
9272,r044,All FFRDCs -> Industry-administered FFRDCs -> Lawrence Livermore National Laboratory,All FFRDCs,Industry-administered FFRDCs,Lawrence Livermore National Laboratory,3,"['1,659,808', '']","['1,633,185', '']","['187', '']","['11,498', '']","['547', '']","['14,391', '']"
9272,r045,All FFRDCs -> Industry-administered FFRDCs -> Los Alamos National Laboratory,All FFRDCs,Industry-administered FFRDCs,Los Alamos National Laboratory,3,"['3,811,602', '']","['3,629,955', '']","['0', '']","['181,647', '']","['0', '']","['0', '']"
9272,r046,All FFRDCs -> Industry-administered FFRDCs -> Sandia National Laboratories,All FFRDCs,Industry-administered FFRDCs,Sandia National Laboratories,3,"['3,811,529', '']","['3,780,226', '']","['168', '']","['18,530', '']","['0', '']","['12,605', '']"
