table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_hierarchy_depth,field__naics_code,field__companies_in_target_populationa,field_companies_selected_for_the_sample_all_companies,field_companies_selected_for_the_sample_noncertainties,field_companies_selected_for_the_sample_certainties
5563,r049,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,3,52,222000,8100,6800,1300
5563,r050,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,3,53,293000,9900,9400,450
5563,r051,All industries -> Nonmanufacturing industries -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Lessors of nonfinancial intangible assets (except copyrighted works),3,533,2100,90,70,20
5563,r052,All industries -> Nonmanufacturing industries -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Other real estate and rental and leasing,3,other 53,291000,9800,9400,400
5563,r053,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",3,54,762000,58000,50500,7700
5563,r054,All industries -> Nonmanufacturing industries -> Legal services,All industries,Nonmanufacturing industries,Legal services,3,5411,164000,8400,7600,800
5563,r055,"All industries -> Nonmanufacturing industries -> Accounting, tax preparation, bookkeeping, and payroll services",All industries,Nonmanufacturing industries,"Accounting, tax preparation, bookkeeping, and payroll services",3,5412,107000,5300,4900,400
5563,r056,"All industries -> Nonmanufacturing industries -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Architectural, engineering, and related services",3,5413,88500,10500,9200,1400
5563,r057,All industries -> Nonmanufacturing industries -> Specialized design services,All industries,Nonmanufacturing industries,Specialized design services,3,5414,31000,1400,1300,50
5563,r058,All industries -> Nonmanufacturing industries -> Computer and electronic products,All industries,Nonmanufacturing industries,Computer and electronic products,3,5415,113000,10000,8000,2000
5563,r059,"All industries -> Nonmanufacturing industries -> Management, scientific, and technical consulting services",All industries,Nonmanufacturing industries,"Management, scientific, and technical consulting services",3,5416,152000,7800,6800,1000
5563,r060,All industries -> Nonmanufacturing industries -> Scientific research and development services,All industries,Nonmanufacturing industries,Scientific research and development services,3,5417,12500,5300,4400,850
5563,r061,"All industries -> Nonmanufacturing industries -> Advertising, public relations, and related services",All industries,Nonmanufacturing industries,"Advertising, public relations, and related services",3,5418,32000,6300,5400,900
5563,r062,"All industries -> Nonmanufacturing industries -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Other professional, scientific, and technical services",3,5419,61500,3100,2800,250
5563,r063,All industries -> Nonmanufacturing industries -> Management of companies and enterprises,All industries,Nonmanufacturing industries,Management of companies and enterprises,3,55,3300,150,100,50
5563,r064,All industries -> Nonmanufacturing industries -> Administrative and support and waste management and remediation services,All industries,Nonmanufacturing industries,Administrative and support and waste management and remediation services,3,56,317000,12500,10000,2500
5563,r065,All industries -> Nonmanufacturing industries -> Educational services,All industries,Nonmanufacturing industries,Educational services,3,61,64000,2300,2100,200
5563,r066,All industries -> Nonmanufacturing industries -> Health care and social assistance,All industries,Nonmanufacturing industries,Health care and social assistance,3,62,569000,21000,18500,2500
5563,r067,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,3,621–23,484000,18000,16000,2200
5563,r068,All industries -> Nonmanufacturing industries -> Social assistance,All industries,Nonmanufacturing industries,Social assistance,3,624,84500,3100,2800,250
5563,r069,"All industries -> Nonmanufacturing industries -> Arts, entertainment, and recreation",All industries,Nonmanufacturing industries,"Arts, entertainment, and recreation",3,71,100000,3700,3300,400
5563,r070,All industries -> Nonmanufacturing industries -> Accommodation and food services,All industries,Nonmanufacturing industries,Accommodation and food services,3,72,496000,19000,17000,2000
5563,r071,All industries -> Nonmanufacturing industries -> Other services,All industries,Nonmanufacturing industries,Other services,3,81,366000,12500,12000,250
