table_id,row_id,_b_ffrdc_b_full_path,_b_ffrdc_b_level_1,_b_ffrdc_b_level_2,_b_ffrdc_b_level_3,_b_ffrdc_b_hierarchy_depth,field_total_2018,field_total_2019,field_total_2020,field_total_2021,field_federally_financed_2018,field_federally_financed_2019,field_federally_financed_2020,field_federally_financed_2021
6880,r032,All FFRDCs -> Nonprofit-administered FFRDCs -> National Cybersecurity Center of Excellence,All FFRDCs,Nonprofit-administered FFRDCs,National Cybersecurity Center of Excellence,3,"['19,556', '']","['22,205', '']","['23,557', '']","['33,671', '']","['19,556', '']","['22,205', '']","['23,557', '']","['33,671', '']"
6880,r033,All FFRDCs -> Nonprofit-administered FFRDCs -> National Defense Research Institute,All FFRDCs,Nonprofit-administered FFRDCs,National Defense Research Institute,3,"['57,743', '']","['67,647', '']","['64,134', '']","['66,170', '']","['57,743', '']","['67,647', '']","['64,134', '']","['66,170', '']"
6880,r034,All FFRDCs -> Nonprofit-administered FFRDCs -> National Renewable Energy Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,National Renewable Energy Laboratory,3,"['388,500', '']","['455,016', '']","['511,585', '']","['559,151', '']","['349,410', '']","['405,923', '']","['456,336', '']","['497,047', '']"
6880,r035,All FFRDCs -> Nonprofit-administered FFRDCs -> National Security Engineering Center,All FFRDCs,Nonprofit-administered FFRDCs,National Security Engineering Center,3,"['1,078,610', '']","['1,124,861', '']","['1,143,701', '']","['1,468,298', '']","['1,077,697', '']","['1,123,616', '']","['1,142,013', '']","['1,463,965', '']"
6880,r036,All FFRDCs -> Nonprofit-administered FFRDCs -> Oak Ridge National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Oak Ridge National Laboratory,3,"['1,399,445', '']","['1,470,372', '']","['1,632,684', '']","['1,760,578', '']","['1,378,398', '']","['1,454,122', '']","['1,616,580', '']","['1,746,756', '']"
6880,r037,All FFRDCs -> Nonprofit-administered FFRDCs -> Pacific Northwest National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Pacific Northwest National Laboratory,3,"['956,193', '']","['1,012,136', '']","['1,071,249', '']","['1,168,268', '']","['943,147', '']","['993,733', '']","['1,053,982', '']","['1,142,925', '']"
6880,r038,All FFRDCs -> Nonprofit-administered FFRDCs -> Project Air Force,All FFRDCs,Nonprofit-administered FFRDCs,Project Air Force,3,"['48,858', '']","['48,325', '']","['46,936', '']","['47,966', '']","['48,858', '']","['48,325', '']","['46,936', '']","['47,966', '']"
6880,r039,All FFRDCs -> Nonprofit-administered FFRDCs -> Science and Technology Policy Institute,All FFRDCs,Nonprofit-administered FFRDCs,Science and Technology Policy Institute,3,"['8,086', '']","['9,080', '']","['9,256', '']","['9,784', '']","['8,086', '']","['9,080', '']","['9,256', '']","['9,784', '']"
6880,r040,All FFRDCs -> Nonprofit-administered FFRDCs -> Systems and Analyses Center,All FFRDCs,Nonprofit-administered FFRDCs,Systems and Analyses Center,3,"['168,034', '']","['177,948', '']","['171,335', '']","['173,792', '']","['168,034', '']","['177,948', '']","['170,949', '']","['173,320', '']"
6880,r041,All FFRDCs -> Industry-administered FFRDCs,All FFRDCs,Industry-administered FFRDCs,,2,"['7,838,917', ' ']","['8,758,076', ' ']","['9,091,600', ' ']","['9,700,692', ' ']","['7,719,730', ' ']","['8,650,429', ' ']","['8,986,694', ' ']","['9,593,260', ' ']"
6880,r042,All FFRDCs -> Industry-administered FFRDCs -> Frederick National Laboratory for Cancer Research,All FFRDCs,Industry-administered FFRDCs,Frederick National Laboratory for Cancer Research,3,"['748,500', '']","['751,452', '']","['745,726', '']","['861,605', '']","['748,500', '']","['751,452', '']","['745,726', '']","['861,605', '']"
6880,r043,All FFRDCs -> Industry-administered FFRDCs -> Idaho National Laboratory,All FFRDCs,Industry-administered FFRDCs,Idaho National Laboratory,3,"['395,112', '']","['478,324', '']","['494,094', '']","['516,691', '']","['376,053', '']","['463,588', '']","['481,146', '']","['503,977', '']"
6880,r044,All FFRDCs -> Industry-administered FFRDCs -> Lawrence Livermore National Laboratory,All FFRDCs,Industry-administered FFRDCs,Lawrence Livermore National Laboratory,3,"['1,386,687', '']","['1,517,429', '']","['1,558,071', '']","['1,613,673', '']","['1,353,502', '']","['1,480,978', '']","['1,526,467', '']","['1,580,263', '']"
6880,r045,All FFRDCs -> Industry-administered FFRDCs -> Los Alamos National Laboratory,All FFRDCs,Industry-administered FFRDCs,Los Alamos National Laboratory,3,"['2,145,232', '']","['2,461,275', '']","['2,722,375', '']","['2,974,164', '']","['2,120,857', '']","['2,440,514', '']","['2,701,388', '']","['2,950,380', '']"
6880,r046,All FFRDCs -> Industry-administered FFRDCs -> Sandia National Laboratories,All FFRDCs,Industry-administered FFRDCs,Sandia National Laboratories,3,"['3,009,105', '']","['3,373,217', '']","['3,395,241', '']","['3,542,756', '']","['2,967,822', '']","['3,340,658', '']","['3,358,481', '']","['3,507,607', '']"
6880,r047,All FFRDCs -> Industry-administered FFRDCs -> Savannah River National Laboratory,All FFRDCs,Industry-administered FFRDCs,Savannah River National Laboratory,3,"['154,281', '']","['176,379', '']","['176,093', '']","['191,803', '']","['152,996', '']","['173,239', '']","['173,486', '']","['189,428', '']"
