table_id,row_id,_b_sex_citizenship_ethnicity_race_and_broad_field_b_full_path,_b_sex_citizenship_ethnicity_race_and_broad_field_b_level_1,_b_sex_citizenship_ethnicity_race_and_broad_field_b_level_2,_b_sex_citizenship_ethnicity_race_and_broad_field_b_level_3,_b_sex_citizenship_ethnicity_race_and_broad_field_b_level_4,_b_sex_citizenship_ethnicity_race_and_broad_field_b_hierarchy_depth,field_graduate_students_all_graduate_students_total_number,field_graduate_students_all_graduate_students_percent_in_hbcus,field_graduate_students_master_s_total_number,field_graduate_students_master_s_percent_in_hbcus,field_graduate_students_doctoral_total_number,field_graduate_students_doctoral_percent_in_hbcus,field_postdoctoral_appointees_total_number,field_postdoctoral_appointees_percent_in_hbcus,field_doctorate_holding_nonfaculty_researchers_total_number,field_doctorate_holding_nonfaculty_researchers_percent_in_hbcus
10740,r044,All individuals -> Black or African American individuals -> Science -> Biological and biomedical sciences,All individuals,Black or African American individuals,Science,Biological and biomedical sciences,4,6413,9.4,3807,11.2,2606,6.9,271,4.1,na,na
10740,r045,All individuals -> Black or African American individuals -> Science -> Computer and information sciences,All individuals,Black or African American individuals,Science,Computer and information sciences,4,5590,7.4,4989,7.1,601,10.5,12,8.3,na,na
10740,r046,"All individuals -> Black or African American individuals -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All individuals,Black or African American individuals,Science,"Geosciences, atmospheric sciences, and ocean sciences",4,313,10.5,161,15.5,152,5.3,20,0.0,na,na
10740,r047,All individuals -> Black or African American individuals -> Science -> Mathematics and statistics,All individuals,Black or African American individuals,Science,Mathematics and statistics,4,737,8.0,514,8.2,223,7.6,21,0.0,na,na
10740,r048,All individuals -> Black or African American individuals -> Science -> Multidisciplinary and interdisciplinary sciences,All individuals,Black or African American individuals,Science,Multidisciplinary and interdisciplinary sciences,4,1218,0.5,1009,0.6,209,0.0,19,0.0,na,na
10740,r049,All individuals -> Black or African American individuals -> Science -> Natural resources and conservation,All individuals,Black or African American individuals,Science,Natural resources and conservation,4,478,22.8,306,13.7,172,39.0,11,9.1,na,na
10740,r050,All individuals -> Black or African American individuals -> Science -> Physical sciences,All individuals,Black or African American individuals,Science,Physical sciences,4,1143,17.4,314,27.1,829,13.8,55,3.6,na,na
10740,r051,All individuals -> Black or African American individuals -> Science -> Psychology,All individuals,Black or African American individuals,Science,Psychology,4,6991,8.6,5173,8.8,1818,8.0,47,0.0,na,na
10740,r052,All individuals -> Black or African American individuals -> Science -> Social sciences,All individuals,Black or African American individuals,Science,Social sciences,4,6374,7.9,4173,8.4,2201,7.1,83,1.2,na,na
10740,r053,All individuals -> Black or African American individuals -> Engineering,All individuals,Black or African American individuals,Engineering,,3,4752,9.0,2983,9.1,1769,8.9,85,3.5,na,na
10740,r054,"All individuals -> Black or African American individuals -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All individuals,Black or African American individuals,Engineering,"Aerospace, aeronautical, and astronautical engineering",4,176,0.0,114,0.0,62,0.0,1,0.0,na,na
10740,r055,"All individuals -> Black or African American individuals -> Engineering -> Biological, biomedical, and biosystems engineering",All individuals,Black or African American individuals,Engineering,"Biological, biomedical, and biosystems engineering",4,562,2.7,217,5.5,345,0.9,24,0.0,na,na
10740,r056,"All individuals -> Black or African American individuals -> Engineering -> Chemical, petroleum, and chemical-related engineering",All individuals,Black or African American individuals,Engineering,"Chemical, petroleum, and chemical-related engineering",4,238,6.3,94,10.6,144,3.5,7,0.0,na,na
10740,r057,"All individuals -> Black or African American individuals -> Engineering -> Civil, environmental, transportation and related engineering fields",All individuals,Black or African American individuals,Engineering,"Civil, environmental, transportation and related engineering fields",4,562,2.5,398,1.5,164,4.9,8,12.5,na,na
10740,r058,"All individuals -> Black or African American individuals -> Engineering -> Electrical, electronics, communications and computer engineering",All individuals,Black or African American individuals,Engineering,"Electrical, electronics, communications and computer engineering",4,1018,9.2,703,6.4,315,15.6,15,0.0,na,na
10740,r059,"All individuals -> Black or African American individuals -> Engineering -> Industrial, manufacturing, systems engineering and operations research",All individuals,Black or African American individuals,Engineering,"Industrial, manufacturing, systems engineering and operations research",4,560,7.5,415,4.3,145,16.6,1,0.0,na,na
10740,r060,All individuals -> Black or African American individuals -> Engineering -> Mechanical engineering,All individuals,Black or African American individuals,Engineering,Mechanical engineering,4,587,6.3,362,6.1,225,6.7,8,12.5,na,na
10740,r061,"All individuals -> Black or African American individuals -> Engineering -> Metallurgical, mining, materials and related engineering fields",All individuals,Black or African American individuals,Engineering,"Metallurgical, mining, materials and related engineering fields",4,163,1.8,65,1.5,98,2.0,2,0.0,na,na
10740,r062,All individuals -> Black or African American individuals -> Engineering -> Other engineering,All individuals,Black or African American individuals,Engineering,Other engineering,4,886,23.6,615,25.7,271,18.8,19,5.3,na,na
10740,r063,All individuals -> Black or African American individuals -> Health,All individuals,Black or African American individuals,Health,,3,9550,6.6,7605,6.7,1945,6.5,484,6.2,na,na
10740,r064,All individuals -> Black or African American individuals -> Health -> Clinical medicine<sup>b</sup>,All individuals,Black or African American individuals,Health,Clinical medicine<sup>b</sup>,4,5843,5.5,5050,5.2,793,7.1,396,0.3,na,na
10740,r065,All individuals -> Black or African American individuals -> Health -> Other health,All individuals,Black or African American individuals,Health,Other health,4,3707,8.4,2555,9.4,1152,6.2,88,33.0,na,na
