table_id,row_id,_b_state_and_department_or_agency_b_full_path,_b_state_and_department_or_agency_b_level_1,_b_state_and_department_or_agency_b_level_2,_b_state_and_department_or_agency_b_level_3,_b_state_and_department_or_agency_b_hierarchy_depth,field_r_d_expenditures_for_intramural_performers,field_source_of_funds_federal_government,field_source_of_funds_own_state_government,field_source_of_funds_other_nonfederal_governments,field_source_of_funds_nonprofit_organizations,field_source_of_funds_businesses_and_individuals,field_source_of_funds_higher_education_institutions
5215,r029,"United States<sup>a</sup> -> California -> Rehabilitation, Department of ",United States<sup>a</sup>,California,"Rehabilitation, Department of ",3,439191,439191,0,0,0,0,0
5215,r030,United States<sup>a</sup> -> California -> State Water Resources Control Board,United States<sup>a</sup>,California,State Water Resources Control Board,3,3188854,1414404,1774450,0,0,0,0
5215,r031,"United States<sup>a</sup> -> California -> Transportation, Department of",United States<sup>a</sup>,California,"Transportation, Department of",3,15881012,3550610,12330402,0,0,0,0
5215,r032,"United States<sup>a</sup> -> California -> Water Resources, Department of",United States<sup>a</sup>,California,"Water Resources, Department of",3,1299343,45830,1253513,0,0,0,0
5215,r033,United States<sup>a</sup> -> Colorado,United States<sup>a</sup>,Colorado,,2,12047699,3720497,8256689,69999,0,514,0
5215,r034,"United States<sup>a</sup> -> Colorado -> Agriculture, Department of",United States<sup>a</sup>,Colorado,"Agriculture, Department of",3,305327,300327,5000,0,0,0,0
5215,r035,"United States<sup>a</sup> -> Colorado -> Higher Education, Department of ",United States<sup>a</sup>,Colorado,"Higher Education, Department of ",3,53135,53135,0,0,0,0,0
5215,r036,"United States<sup>a</sup> -> Colorado -> Natural Resources, Department of",United States<sup>a</sup>,Colorado,"Natural Resources, Department of",3,7914944,2708309,5136122,69999,0,514,0
5215,r037,"United States<sup>a</sup> -> Colorado -> Public Health and Environment, Department of",United States<sup>a</sup>,Colorado,"Public Health and Environment, Department of",3,2344944,0,2344944,0,0,0,0
5215,r038,"United States<sup>a</sup> -> Colorado -> Public Safety, Department of",United States<sup>a</sup>,Colorado,"Public Safety, Department of",3,826494,55871,770623,0,0,0,0
5215,r039,"United States<sup>a</sup> -> Colorado -> Transportation, Department of",United States<sup>a</sup>,Colorado,"Transportation, Department of",3,602855,602855,0,0,0,0,0
5215,r040,United States<sup>a</sup> -> Connecticut,United States<sup>a</sup>,Connecticut,,2,25868030,10960026,14908004,0,0,0,0
5215,r041,United States<sup>a</sup> -> Connecticut -> Agricultural Experiment Station,United States<sup>a</sup>,Connecticut,Agricultural Experiment Station,3,12445226,5337429,7107797,0,0,0,0
5215,r042,"United States<sup>a</sup> -> Connecticut -> Energy and Environmental Protection, Department of",United States<sup>a</sup>,Connecticut,"Energy and Environmental Protection, Department of",3,6802949,4790186,2012763,0,0,0,0
5215,r043,"United States<sup>a</sup> -> Connecticut -> Mental Health and Addiction Services, Department of",United States<sup>a</sup>,Connecticut,"Mental Health and Addiction Services, Department of",3,6310349,626074,5684275,0,0,0,0
5215,r044,"United States<sup>a</sup> -> Connecticut -> Transportation, Department of",United States<sup>a</sup>,Connecticut,"Transportation, Department of",3,309506,206337,103169,0,0,0,0
5215,r045,United States<sup>a</sup> -> Delaware,United States<sup>a</sup>,Delaware,,2,2312965,515084,1777081,0,20800,0,0
5215,r046,United States<sup>a</sup> -> Delaware -> Geological Survey,United States<sup>a</sup>,Delaware,Geological Survey,3,2133165,405384,1727781,0,0,0,0
5215,r047,"United States<sup>a</sup> -> Delaware -> Natural Resources and Environmental Control, Department of",United States<sup>a</sup>,Delaware,"Natural Resources and Environmental Control, Department of",3,159000,109700,49300,0,0,0,0
5215,r048,United States<sup>a</sup> -> Delaware -> Sustainable Energy Utility,United States<sup>a</sup>,Delaware,Sustainable Energy Utility,3,20800,0,0,0,20800,0,0
5215,r049,United States<sup>a</sup> -> District of Columbia,United States<sup>a</sup>,District of Columbia,,2,2510818,1151218,1328100,0,31500,0,0
5215,r050,"United States<sup>a</sup> -> District of Columbia -> Energy and Environment, Department of",United States<sup>a</sup>,District of Columbia,"Energy and Environment, Department of",3,230000,70000,160000,0,0,0,0
5215,r051,"United States<sup>a</sup> -> District of Columbia -> Forensic Sciences, Department of",United States<sup>a</sup>,District of Columbia,"Forensic Sciences, Department of",3,114283,30000,52783,0,31500,0,0
5215,r052,"United States<sup>a</sup> -> District of Columbia -> Health, Department of",United States<sup>a</sup>,District of Columbia,"Health, Department of",3,1037450,947950,89500,0,0,0,0
5215,r053,"United States<sup>a</sup> -> District of Columbia -> Transportation, Department of",United States<sup>a</sup>,District of Columbia,"Transportation, Department of",3,129085,103268,25817,0,0,0,0
5215,r054,United States<sup>a</sup> -> District of Columbia -> Water and Sewer Authority,United States<sup>a</sup>,District of Columbia,Water and Sewer Authority,3,1000000,0,1000000,0,0,0,0
5215,r055,United States<sup>a</sup> -> Florida,United States<sup>a</sup>,Florida,,2,52430371,14172701,32435980,2837,214843,5192342,411668
5215,r056,"United States<sup>a</sup> -> Florida -> Agriculture and Consumer Services, Department of",United States<sup>a</sup>,Florida,"Agriculture and Consumer Services, Department of",3,2169058,2013715,155343,0,0,0,0
5215,r057,"United States<sup>a</sup> -> Florida -> Citrus, Department of",United States<sup>a</sup>,Florida,"Citrus, Department of",3,156535,0,156535,0,0,0,0
5215,r058,United States<sup>a</sup> -> Florida -> Fish and Wildlife Conservation Commission,United States<sup>a</sup>,Florida,Fish and Wildlife Conservation Commission,3,48601987,12158986,30621311,2837,214843,5192342,411668
5215,r059,"United States<sup>a</sup> -> Florida -> Transportation, Department of",United States<sup>a</sup>,Florida,"Transportation, Department of",3,1502791,0,1502791,0,0,0,0
5215,r060,United States<sup>a</sup> -> Georgia,United States<sup>a</sup>,Georgia,,2,2648196,2549282,98914,0,0,0,0
5215,r061,"United States<sup>a</sup> -> Georgia -> Natural Resources, Department of",United States<sup>a</sup>,Georgia,"Natural Resources, Department of",3,214928,116014,98914,0,0,0,0
5215,r062,United States<sup>a</sup> -> Georgia -> Southern States Energy Board,United States<sup>a</sup>,Georgia,Southern States Energy Board,3,2433268,2433268,0,0,0,0,0
5215,r063,United States<sup>a</sup> -> Hawaii,United States<sup>a</sup>,Hawaii,,2,6531042,5876055,654987,0,0,0,0
5215,r064,"United States<sup>a</sup> -> Hawaii -> Agriculture, Department of",United States<sup>a</sup>,Hawaii,"Agriculture, Department of",3,384418,384418,0,0,0,0,0
5215,r065,"United States<sup>a</sup> -> Hawaii -> Business, Economic Development, and Tourism, Department of",United States<sup>a</sup>,Hawaii,"Business, Economic Development, and Tourism, Department of",3,5996624,5491637,504987,0,0,0,0
5215,r066,United States<sup>a</sup> -> Hawaii -> Natural Energy Laboratory,United States<sup>a</sup>,Hawaii,Natural Energy Laboratory,3,150000,0,150000,0,0,0,0
5215,r067,United States<sup>a</sup> -> Idaho,United States<sup>a</sup>,Idaho,,2,7967885,6773965,1123739,0,0,70181,0
5215,r068,"United States<sup>a</sup> -> Idaho -> Agriculture, Department of",United States<sup>a</sup>,Idaho,"Agriculture, Department of",3,1300,1300,0,0,0,0,0
5215,r069,"United States<sup>a</sup> -> Idaho -> Fish and Game, Department of",United States<sup>a</sup>,Idaho,"Fish and Game, Department of",3,7845168,6675531,1099456,0,0,70181,0
5215,r070,United States<sup>a</sup> -> Idaho -> Transportation Department,United States<sup>a</sup>,Idaho,Transportation Department,3,121417,97134,24283,0,0,0,0
5215,r071,United States<sup>a</sup> -> Illinois,United States<sup>a</sup>,Illinois,,2,626262,0,626262,0,0,0,0
5215,r072,"United States<sup>a</sup> -> Illinois -> Transportation, Department of",United States<sup>a</sup>,Illinois,"Transportation, Department of",3,626262,0,626262,0,0,0,0
5215,r073,United States<sup>a</sup> -> Indiana,United States<sup>a</sup>,Indiana,,2,92268,69814,17454,5000,0,0,0
5215,r074,United States<sup>a</sup> -> Indiana -> St. Joseph River Basin Commission,United States<sup>a</sup>,Indiana,St. Joseph River Basin Commission,3,5000,0,0,5000,0,0,0
5215,r075,"United States<sup>a</sup> -> Indiana -> Transportation, Department of",United States<sup>a</sup>,Indiana,"Transportation, Department of",3,87268,69814,17454,0,0,0,0
5215,r076,United States<sup>a</sup> -> Iowa,United States<sup>a</sup>,Iowa,,2,3430444,1447181,1951954,31309,0,0,0
5215,r077,United States<sup>a</sup> -> Iowa -> Corrections,United States<sup>a</sup>,Iowa,Corrections,3,470931,0,454931,16000,0,0,0
5215,r078,"United States<sup>a</sup> -> Iowa -> Human Rights, Criminal and Juvenile Justice Planning, Division of, Department of",United States<sup>a</sup>,Iowa,"Human Rights, Criminal and Juvenile Justice Planning, Division of, Department of",3,417493,220463,181721,15309,0,0,0
5215,r079,"United States<sup>a</sup> -> Iowa -> Natural Resources, Department of",United States<sup>a</sup>,Iowa,"Natural Resources, Department of",3,2542020,1226718,1315302,0,0,0,0
5215,r080,United States<sup>a</sup> -> Kansas,United States<sup>a</sup>,Kansas,,2,999734,753195,246539,0,0,0,0
5215,r081,United States<sup>a</sup> -> Kansas -> State Board of Regents,United States<sup>a</sup>,Kansas,State Board of Regents,3,5491,0,5491,0,0,0,0
5215,r082,"United States<sup>a</sup> -> Kansas -> Transportation, Department of",United States<sup>a</sup>,Kansas,"Transportation, Department of",3,937241,746193,191048,0,0,0,0
5215,r083,United States<sup>a</sup> -> Kansas -> Water Office,United States<sup>a</sup>,Kansas,Water Office,3,57002,7002,50000,0,0,0,0
5215,r084,United States<sup>a</sup> -> Kentucky,United States<sup>a</sup>,Kentucky,,2,1752643,1073088,679555,0,0,0,0
5215,r085,"United States<sup>a</sup> -> Kentucky -> Fish and Wildlife Resources, Department of ",United States<sup>a</sup>,Kentucky,"Fish and Wildlife Resources, Department of ",3,1752643,1073088,679555,0,0,0,0
5215,r086,United States<sup>a</sup> -> Louisiana,United States<sup>a</sup>,Louisiana,,2,11101353,8193096,2908257,0,0,0,0
5215,r087,United States<sup>a</sup> -> Louisiana -> Coastal Protection and Restoration Authority,United States<sup>a</sup>,Louisiana,Coastal Protection and Restoration Authority,3,475534,25612,449922,0,0,0,0
5215,r088,"United States<sup>a</sup> -> Louisiana -> Education, Department of",United States<sup>a</sup>,Louisiana,"Education, Department of",3,326982,155251,171731,0,0,0,0
5215,r089,"United States<sup>a</sup> -> Louisiana -> Transportation and Development, Department of ",United States<sup>a</sup>,Louisiana,"Transportation and Development, Department of ",3,4500000,3600000,900000,0,0,0,0
5215,r090,"United States<sup>a</sup> -> Louisiana -> Wildlife and Fisheries, Department of",United States<sup>a</sup>,Louisiana,"Wildlife and Fisheries, Department of",3,5798837,4412233,1386604,0,0,0,0
5215,r091,United States<sup>a</sup> -> Maine,United States<sup>a</sup>,Maine,,2,4038999,2853740,1166343,0,0,18916,0
5215,r092,"United States<sup>a</sup> -> Maine -> Agriculture, Conservation and Forestry, Department of ",United States<sup>a</sup>,Maine,"Agriculture, Conservation and Forestry, Department of ",3,565473,120746,444727,0,0,0,0
5215,r093,"United States<sup>a</sup> -> Maine -> Inland Fisheries and Wildlife, Department of",United States<sup>a</sup>,Maine,"Inland Fisheries and Wildlife, Department of",3,763201,590794,153491,0,0,18916,0
5215,r094,"United States<sup>a</sup> -> Maine -> Marine Resources, Department of",United States<sup>a</sup>,Maine,"Marine Resources, Department of",3,2348325,1852200,496125,0,0,0,0
5215,r095,"United States<sup>a</sup> -> Maine -> Transportation, Department of ",United States<sup>a</sup>,Maine,"Transportation, Department of ",3,362000,290000,72000,0,0,0,0
5215,r096,United States<sup>a</sup> -> Maryland,United States<sup>a</sup>,Maryland,,2,659436,180086,344167,0,55183,80000,0
5215,r097,"United States<sup>a</sup> -> Maryland -> Natural Resources, Department of",United States<sup>a</sup>,Maryland,"Natural Resources, Department of",3,79183,12000,12000,0,55183,0,0
5215,r098,"United States<sup>a</sup> -> Maryland -> Transportation, Department of",United States<sup>a</sup>,Maryland,"Transportation, Department of",3,580253,168086,332167,0,0,80000,0
5215,r099,United States<sup>a</sup> -> Massachusetts,United States<sup>a</sup>,Massachusetts,,2,9681990,6242507,3439483,0,0,0,0
5215,r100,"United States<sup>a</sup> -> Massachusetts -> Environmental Protection, Department of ",United States<sup>a</sup>,Massachusetts,"Environmental Protection, Department of ",3,248990,22507,226483,0,0,0,0
5215,r101,"United States<sup>a</sup> -> Massachusetts -> Fish and Game, Department of ",United States<sup>a</sup>,Massachusetts,"Fish and Game, Department of ",3,9333000,6220000,3113000,0,0,0,0
5215,r102,United States<sup>a</sup> -> Massachusetts -> Water Resources Authority,United States<sup>a</sup>,Massachusetts,Water Resources Authority,3,100000,0,100000,0,0,0,0
5215,r103,United States<sup>a</sup> -> Michigan,United States<sup>a</sup>,Michigan,,2,527096,0,527096,0,0,0,0
5215,r104,"United States<sup>a</sup> -> Michigan -> Environmental, Great Lakes and Energy, Department of",United States<sup>a</sup>,Michigan,"Environmental, Great Lakes and Energy, Department of",3,527096,0,527096,0,0,0,0
5215,r105,United States<sup>a</sup> -> Minnesota,United States<sup>a</sup>,Minnesota,,2,2583398,947024,1636374,0,0,0,0
5215,r106,"United States<sup>a</sup> -> Minnesota -> Agriculture, Department of",United States<sup>a</sup>,Minnesota,"Agriculture, Department of",3,886703,0,886703,0,0,0,0
5215,r107,United States<sup>a</sup> -> Minnesota -> Forest Resources Council,United States<sup>a</sup>,Minnesota,Forest Resources Council,3,100000,0,100000,0,0,0,0
5215,r108,"United States<sup>a</sup> -> Minnesota -> Natural Resources, Department of",United States<sup>a</sup>,Minnesota,"Natural Resources, Department of",3,1591195,947024,644171,0,0,0,0
5215,r109,"United States<sup>a</sup> -> Minnesota -> Transportation, Department of",United States<sup>a</sup>,Minnesota,"Transportation, Department of",3,5500,0,5500,0,0,0,0
5215,r110,United States<sup>a</sup> -> Mississippi,United States<sup>a</sup>,Mississippi,,2,1236050,765127,409288,61635,0,0,0
5215,r111,"United States<sup>a</sup> -> Mississippi -> Environmental Quality, Department of",United States<sup>a</sup>,Mississippi,"Environmental Quality, Department of",3,110635,110635,0,0,0,0,0
5215,r112,"United States<sup>a</sup> -> Mississippi -> Marine Resources, Department of",United States<sup>a</sup>,Mississippi,"Marine Resources, Department of",3,304290,111240,131415,61635,0,0,0
5215,r113,"United States<sup>a</sup> -> Mississippi -> Transportation, Department of",United States<sup>a</sup>,Mississippi,"Transportation, Department of",3,3071,2457,614,0,0,0,0
5215,r114,"United States<sup>a</sup> -> Mississippi -> Wildlife, Fisheries, and Parks, Department of ",United States<sup>a</sup>,Mississippi,"Wildlife, Fisheries, and Parks, Department of ",3,818054,540795,277259,0,0,0,0
5215,r115,United States<sup>a</sup> -> Missouri,United States<sup>a</sup>,Missouri,,2,8112983,3249228,4863755,0,0,0,0
5215,r116,"United States<sup>a</sup> -> Missouri -> Conservation, Department of",United States<sup>a</sup>,Missouri,"Conservation, Department of",3,8068161,3237906,4830255,0,0,0,0
5215,r117,"United States<sup>a</sup> -> Missouri -> Health and Senior Services, Department of",United States<sup>a</sup>,Missouri,"Health and Senior Services, Department of",3,29761,11322,18439,0,0,0,0
5215,r118,"United States<sup>a</sup> -> Missouri -> Natural Resources, Department of",United States<sup>a</sup>,Missouri,"Natural Resources, Department of",3,15061,0,15061,0,0,0,0
5215,r119,United States<sup>a</sup> -> Montana,United States<sup>a</sup>,Montana,,2,6104413,2567184,556128,0,2981101,0,0
5215,r120,"United States<sup>a</sup> -> Montana -> Environmental Quality, Department of",United States<sup>a</sup>,Montana,"Environmental Quality, Department of",3,92296,40921,51375,0,0,0,0
5215,r121,"United States<sup>a</sup> -> Montana -> Fish, Wildlife and Parks, Department of",United States<sup>a</sup>,Montana,"Fish, Wildlife and Parks, Department of",3,5916231,2449554,485576,0,2981101,0,0
5215,r122,"United States<sup>a</sup> -> Montana -> Transportation, Department of",United States<sup>a</sup>,Montana,"Transportation, Department of",3,95886,76709,19177,0,0,0,0
5215,r123,United States<sup>a</sup> -> Nebraska,United States<sup>a</sup>,Nebraska,,2,2342783,1614866,727917,0,0,0,0
5215,r124,United States<sup>a</sup> -> Nebraska -> Game and Parks Commission,United States<sup>a</sup>,Nebraska,Game and Parks Commission,3,2332795,1614866,717929,0,0,0,0
5215,r125,"United States<sup>a</sup> -> Nebraska -> Natural Resources, Department of",United States<sup>a</sup>,Nebraska,"Natural Resources, Department of",3,9988,0,9988,0,0,0,0
5215,r126,United States<sup>a</sup> -> Nevada,United States<sup>a</sup>,Nevada,,2,188146,128146,60000,0,0,0,0
5215,r127,"United States<sup>a</sup> -> Nevada -> Agriculture, Department of",United States<sup>a</sup>,Nevada,"Agriculture, Department of",3,188146,128146,60000,0,0,0,0
5215,r128,United States<sup>a</sup> -> New Hampshire,United States<sup>a</sup>,New Hampshire,,2,49309,39447,9862,0,0,0,0
5215,r129,"United States<sup>a</sup> -> New Hampshire -> Transportation, Department of",United States<sup>a</sup>,New Hampshire,"Transportation, Department of",3,49309,39447,9862,0,0,0,0
5215,r130,United States<sup>a</sup> -> New Jersey,United States<sup>a</sup>,New Jersey,,2,2624342,437738,2186604,0,0,0,0
5215,r131,"United States<sup>a</sup> -> New Jersey -> Children and Families, Department of",United States<sup>a</sup>,New Jersey,"Children and Families, Department of",3,181115,9406,171709,0,0,0,0
5215,r132,"United States<sup>a</sup> -> New Jersey -> Corrections, Department of",United States<sup>a</sup>,New Jersey,"Corrections, Department of",3,305895,0,305895,0,0,0,0
5215,r133,"United States<sup>a</sup> -> New Jersey -> Environmental Protection, Department of",United States<sup>a</sup>,New Jersey,"Environmental Protection, Department of",3,1802000,93000,1709000,0,0,0,0
5215,r134,United States<sup>a</sup> -> New Jersey -> Pinelands Commission,United States<sup>a</sup>,New Jersey,Pinelands Commission,3,335332,335332,0,0,0,0,0
5215,r135,United States<sup>a</sup> -> New Mexico,United States<sup>a</sup>,New Mexico,,2,2594660,1864128,627532,0,103000,0,0
5215,r136,"United States<sup>a</sup> -> New Mexico -> Cultural Affairs, Department of",United States<sup>a</sup>,New Mexico,"Cultural Affairs, Department of",3,103000,0,0,0,103000,0,0
5215,r137,"United States<sup>a</sup> -> New Mexico -> Game and Fish, Department of",United States<sup>a</sup>,New Mexico,"Game and Fish, Department of",3,500000,250000,250000,0,0,0,0
5215,r138,"United States<sup>a</sup> -> New Mexico -> Transportation, Department of",United States<sup>a</sup>,New Mexico,"Transportation, Department of",3,1991660,1614128,377532,0,0,0,0
5215,r139,United States<sup>a</sup> -> New York,United States<sup>a</sup>,New York,,2,278751443,143087081,101573996,1668591,10928665,18691286,2801824
5215,r140,"United States<sup>a</sup> -> New York -> Agriculture and Markets, Department of ",United States<sup>a</sup>,New York,"Agriculture and Markets, Department of ",3,2290000,2290000,0,0,0,0,0
5215,r141,United States<sup>a</sup> -> New York -> Energy Research and Development Authority,United States<sup>a</sup>,New York,Energy Research and Development Authority,3,8152894,0,8152894,0,0,0,0
5215,r142,"United States<sup>a</sup> -> New York -> Environmental Conservation, Department of ",United States<sup>a</sup>,New York,"Environmental Conservation, Department of ",3,4490190,1372807,3117383,0,0,0,0
5215,r143,"United States<sup>a</sup> -> New York -> Health, Department of ",United States<sup>a</sup>,New York,"Health, Department of ",3,32566879,19197650,10157327,1396591,1655018,131922,28371
5215,r144,"United States<sup>a</sup> -> New York -> Mental Health, Office of ",United States<sup>a</sup>,New York,"Mental Health, Office of ",3,144972379,72133317,57000000,0,7865806,5807396,2165860
5215,r145,"United States<sup>a</sup> -> New York -> People with Developmental Disabilities, Office of",United States<sup>a</sup>,New York,"People with Developmental Disabilities, Office of",3,2136105,1624860,157402,0,353843,0,0
5215,r146,United States<sup>a</sup> -> New York -> Power Authority,United States<sup>a</sup>,New York,Power Authority,3,5915635,0,5643635,272000,0,0,0
5215,r147,United States<sup>a</sup> -> New York -> Roswell Park Comprehensive Cancer Center,United States<sup>a</sup>,New York,Roswell Park Comprehensive Cancer Center,3,66297074,44803984,7079531,0,1053998,12751968,607593
5215,r148,United States<sup>a</sup> -> New York -> State Museum,United States<sup>a</sup>,New York,State Museum,3,10089582,191899,9897683,0,0,0,0
5215,r149,"United States<sup>a</sup> -> New York -> Transportation, Department of ",United States<sup>a</sup>,New York,"Transportation, Department of ",3,1840705,1472564,368141,0,0,0,0
5215,r150,United States<sup>a</sup> -> North Carolina,United States<sup>a</sup>,North Carolina,,2,17813294,1369902,16443392,0,0,0,0
5215,r151,"United States<sup>a</sup> -> North Carolina -> Agriculture and Consumer Services, Department of",United States<sup>a</sup>,North Carolina,"Agriculture and Consumer Services, Department of",3,13922911,0,13922911,0,0,0,0
5215,r152,"United States<sup>a</sup> -> North Carolina -> Environmental Quality, Department of",United States<sup>a</sup>,North Carolina,"Environmental Quality, Department of",3,1421353,871398,549955,0,0,0,0
5215,r153,"United States<sup>a</sup> -> North Carolina -> Natural and Cultural Resources, Department of",United States<sup>a</sup>,North Carolina,"Natural and Cultural Resources, Department of",3,1690939,4844,1686095,0,0,0,0
5215,r154,"United States<sup>a</sup> -> North Carolina -> Transportation, Department of",United States<sup>a</sup>,North Carolina,"Transportation, Department of",3,778091,493660,284431,0,0,0,0
5215,r155,United States<sup>a</sup> -> North Dakota,United States<sup>a</sup>,North Dakota,,2,346342,156288,190054,0,0,0,0
5215,r156,United States<sup>a</sup> -> North Dakota -> Historical Society of North Dakota,United States<sup>a</sup>,North Dakota,Historical Society of North Dakota,3,223743,58209,165534,0,0,0,0
5215,r157,"United States<sup>a</sup> -> North Dakota -> Transportation, Department of",United States<sup>a</sup>,North Dakota,"Transportation, Department of",3,122599,98079,24520,0,0,0,0
5215,r158,United States<sup>a</sup> -> Ohio,United States<sup>a</sup>,Ohio,,2,2005523,1305632,699891,0,0,0,0
5215,r159,United States<sup>a</sup> -> Ohio -> Environmental Protection Agency,United States<sup>a</sup>,Ohio,Environmental Protection Agency,3,53352,53352,0,0,0,0,0
5215,r160,"United States<sup>a</sup> -> Ohio -> Natural Resources, Department of",United States<sup>a</sup>,Ohio,"Natural Resources, Department of",3,1952171,1252280,699891,0,0,0,0
5215,r161,United States<sup>a</sup> -> Oklahoma,United States<sup>a</sup>,Oklahoma,,2,2015986,1373253,622733,20000,0,0,0
5215,r162,United States<sup>a</sup> -> Oklahoma -> Grand River Dam Authority,United States<sup>a</sup>,Oklahoma,Grand River Dam Authority,3,140000,0,140000,0,0,0,0
5215,r163,"United States<sup>a</sup> -> Oklahoma -> Health, Department of",United States<sup>a</sup>,Oklahoma,"Health, Department of",3,527041,457041,50000,20000,0,0,0
5215,r164,"United States<sup>a</sup> -> Oklahoma -> Human Services, Department of",United States<sup>a</sup>,Oklahoma,"Human Services, Department of",3,457147,380434,76713,0,0,0,0
