table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_level_6,industry_hierarchy_depth,field_naics_code,field_active_reporting_unitsa,field_reporting_units_that_met_the_response_criteriab,field_reporting_units_that_met_the_response_criteria_
800,r088,Form BRDI-1 companies -> All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,Form BRDI-1 companies,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,5,3254,458,385,84.1
800,r089,"Form BRDI-1 companies -> All industries -> Manufacturing industries -> Chemicals -> Soaps, cleaning compounds, and toilet preparations",Form BRDI-1 companies,All industries,Manufacturing industries,Chemicals,"Soaps, cleaning compounds, and toilet preparations",,5,3256,54,48,88.9
800,r090,"Form BRDI-1 companies -> All industries -> Manufacturing industries -> Chemicals -> Paints, coatings, adhesives, and other chemicals",Form BRDI-1 companies,All industries,Manufacturing industries,Chemicals,"Paints, coatings, adhesives, and other chemicals",,5,"3255, 3259",86,69,80.2
800,r091,Form BRDI-1 companies -> All industries -> Manufacturing industries -> Plastics and rubber products,Form BRDI-1 companies,All industries,Manufacturing industries,Plastics and rubber products,,,4,326,212,163,76.9
800,r092,Form BRDI-1 companies -> All industries -> Manufacturing industries -> Nonmetallic mineral products,Form BRDI-1 companies,All industries,Manufacturing industries,Nonmetallic mineral products,,,4,327,60,54,90.0
800,r093,Form BRDI-1 companies -> All industries -> Manufacturing industries -> Primary metals,Form BRDI-1 companies,All industries,Manufacturing industries,Primary metals,,,4,331,74,60,81.1
800,r094,Form BRDI-1 companies -> All industries -> Manufacturing industries -> Fabricated metal products,Form BRDI-1 companies,All industries,Manufacturing industries,Fabricated metal products,,,4,332,263,216,82.1
800,r095,Form BRDI-1 companies -> All industries -> Manufacturing industries -> Machinery,Form BRDI-1 companies,All industries,Manufacturing industries,Machinery,,,4,333,521,416,79.8
800,r096,Form BRDI-1 companies -> All industries -> Manufacturing industries -> Machinery -> Agricultural implements,Form BRDI-1 companies,All industries,Manufacturing industries,Machinery,Agricultural implements,,5,33311,43,36,83.7
800,r097,Form BRDI-1 companies -> All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,Form BRDI-1 companies,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,5,333242,27,20,74.1
800,r098,"Form BRDI-1 companies -> All industries -> Manufacturing industries -> Machinery -> Engines, turbines, and power transmission equipment",Form BRDI-1 companies,All industries,Manufacturing industries,Machinery,"Engines, turbines, and power transmission equipment",,5,3336,40,29,72.5
800,r099,Form BRDI-1 companies -> All industries -> Manufacturing industries -> Machinery -> Other machinery,Form BRDI-1 companies,All industries,Manufacturing industries,Machinery,Other machinery,,5,other 333,411,331,80.5
800,r100,Form BRDI-1 companies -> All industries -> Manufacturing industries -> Computer and electronic products,Form BRDI-1 companies,All industries,Manufacturing industries,Computer and electronic products,,,4,334,708,581,82.1
800,r101,Form BRDI-1 companies -> All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,Form BRDI-1 companies,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,5,3342,108,92,85.2
800,r102,Form BRDI-1 companies -> All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductors and other electronic components,Form BRDI-1 companies,All industries,Manufacturing industries,Computer and electronic products,Semiconductors and other electronic components,,5,3344,198,164,82.8
800,r103,"Form BRDI-1 companies -> All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",Form BRDI-1 companies,All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,5,3345,305,249,81.6
800,r104,"Form BRDI-1 companies -> All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatuses",Form BRDI-1 companies,All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatuses",6,"334510, 334517",81,62,76.5
800,r105,"Form BRDI-1 companies -> All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments",Form BRDI-1 companies,All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments",6,334511,39,34,87.2
800,r106,"Form BRDI-1 companies -> All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling devices",Form BRDI-1 companies,All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling devices,6,other 3345,185,153,82.7
800,r107,Form BRDI-1 companies -> All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,Form BRDI-1 companies,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,5,other 334,97,76,78.4
800,r108,"Form BRDI-1 companies -> All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",Form BRDI-1 companies,All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,4,335,208,168,80.8
800,r109,Form BRDI-1 companies -> All industries -> Manufacturing industries -> Transportation equipment,Form BRDI-1 companies,All industries,Manufacturing industries,Transportation equipment,,,4,336,322,271,84.2
800,r110,"Form BRDI-1 companies -> All industries -> Manufacturing industries -> Transportation equipment -> Motor vehicles, bodies, trailers, and parts",Form BRDI-1 companies,All industries,Manufacturing industries,Transportation equipment,"Motor vehicles, bodies, trailers, and parts",,5,3361–63,189,158,83.6
800,r111,Form BRDI-1 companies -> All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,Form BRDI-1 companies,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,5,3364,82,68,82.9
800,r112,"Form BRDI-1 companies -> All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engines, and aircraft parts",Form BRDI-1 companies,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engines, and aircraft parts",6,336411–13,68,59,86.8
800,r113,"Form BRDI-1 companies -> All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missiles, space vehicles, and related parts",Form BRDI-1 companies,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missiles, space vehicles, and related parts",6,"336414–15, 336419",14,9,64.3
800,r114,"Form BRDI-1 companies -> All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicles, tanks, and tank components",Form BRDI-1 companies,All industries,Manufacturing industries,Transportation equipment,"Military armored vehicles, tanks, and tank components",,5,336992,7,6,85.7
800,r115,Form BRDI-1 companies -> All industries -> Manufacturing industries -> Transportation equipment -> Other transportation equipment,Form BRDI-1 companies,All industries,Manufacturing industries,Transportation equipment,Other transportation equipment,,5,other 336,44,39,88.6
800,r116,Form BRDI-1 companies -> All industries -> Manufacturing industries -> Furniture and related products,Form BRDI-1 companies,All industries,Manufacturing industries,Furniture and related products,,,4,337,44,28,63.6
800,r117,Form BRDI-1 companies -> All industries -> Manufacturing industries -> Miscellaneous manufacturing,Form BRDI-1 companies,All industries,Manufacturing industries,Miscellaneous manufacturing,,,4,339,342,273,79.8
800,r118,Form BRDI-1 companies -> All industries -> Manufacturing industries -> Miscellaneous manufacturing -> Medical equipment and supplies,Form BRDI-1 companies,All industries,Manufacturing industries,Miscellaneous manufacturing,Medical equipment and supplies,,5,3391,226,174,77.0
800,r119,Form BRDI-1 companies -> All industries -> Manufacturing industries -> Miscellaneous manufacturing -> Other miscellaneous,Form BRDI-1 companies,All industries,Manufacturing industries,Miscellaneous manufacturing,Other miscellaneous,,5,3399,116,99,85.3
800,r120,Form BRDI-1 companies -> All industries -> Nonmanufacturing industries,Form BRDI-1 companies,All industries,Nonmanufacturing industries,,,,3,"21–23, 42–81",2672,2069,77.4
800,r121,"Form BRDI-1 companies -> All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",Form BRDI-1 companies,All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,4,21,55,49,89.1
800,r122,Form BRDI-1 companies -> All industries -> Nonmanufacturing industries -> Utilities,Form BRDI-1 companies,All industries,Nonmanufacturing industries,Utilities,,,4,22,40,36,90.0
800,r123,Form BRDI-1 companies -> All industries -> Nonmanufacturing industries -> Wholesale trade,Form BRDI-1 companies,All industries,Nonmanufacturing industries,Wholesale trade,,,4,42,106,58,54.7
800,r124,Form BRDI-1 companies -> All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,Form BRDI-1 companies,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,4,454111–12,11,9,81.8
