table_id,row_id,_b_detailed_field_b_full_path,_b_detailed_field_b_level_1,_b_detailed_field_b_level_2,_b_detailed_field_b_level_3,_b_detailed_field_b_level_4,_b_detailed_field_b_hierarchy_depth,field_graduate_students_all_graduate_students_total_number,field_graduate_students_all_graduate_students_percent_female,field_graduate_students_master_s_total_number,field_graduate_students_master_s_percent_female,field_graduate_students_doctoral_total_number,field_graduate_students_doctoral_percent_female,field_postdoctoral_appointees_total_number,field_postdoctoral_appointees_percent_female,field_doctorate_holding_nonfaculty_researchers_total_number,field_doctorate_holding_nonfaculty_researchers_percent_female
8321,r056,All detailed fields -> Science -> Physical sciences -> Materials sciences,All detailed fields,Science,Physical sciences,Materials sciences,4,1441,33.4,439,31.0,1002,34.4,213,24.4,64,18.8
8321,r057,All detailed fields -> Science -> Physical sciences -> Physics,All detailed fields,Science,Physical sciences,Physics,4,16779,23.6,2278,23.9,14501,23.6,2677,20.8,1235,19.9
8321,r058,All detailed fields -> Science -> Physical sciences -> Physical sciences nec,All detailed fields,Science,Physical sciences,Physical sciences nec,4,1082,48.1,541,58.2,541,37.9,209,25.8,190,22.6
8321,r059,All detailed fields -> Science -> Psychology,All detailed fields,Science,Psychology,,3,73325,80.3,51878,82.3,21447,75.3,1325,65.8,803,66.1
8321,r060,All detailed fields -> Science -> Psychology -> Applied psychology,All detailed fields,Science,Psychology,Applied psychology,4,24427,81.5,19517,82.6,4910,77.1,110,80.9,60,71.7
8321,r061,All detailed fields -> Science -> Psychology -> Clinical psychology,All detailed fields,Science,Psychology,Clinical psychology,4,7556,81.3,4167,82.9,3389,79.3,63,79.4,23,82.6
8321,r062,All detailed fields -> Science -> Psychology -> Counseling psychology,All detailed fields,Science,Psychology,Counseling psychology,4,18426,82.8,16965,83.2,1461,77.7,10,90.0,15,93.3
8321,r063,All detailed fields -> Science -> Psychology -> Human development,All detailed fields,Science,Psychology,Human development,4,2363,88.6,1566,91.7,797,82.4,106,82.1,110,80.9
8321,r064,"All detailed fields -> Science -> Psychology -> Psychology, general",All detailed fields,Science,Psychology,"Psychology, general",4,13883,75.5,7329,77.4,6554,73.3,705,62.3,389,59.9
8321,r065,All detailed fields -> Science -> Psychology -> Research and experimental psychology,All detailed fields,Science,Psychology,Research and experimental psychology,4,6670,74.7,2334,81.8,4336,70.8,331,59.8,206,64.6
8321,r066,All detailed fields -> Science -> Social sciences,All detailed fields,Science,Social sciences,,3,82223,54.6,47616,56.3,34607,52.2,1645,53.1,1505,54.0
8321,r067,All detailed fields -> Science -> Social sciences -> Agricultural and natural resource economics,All detailed fields,Science,Social sciences,Agricultural and natural resource economics,4,1194,46.7,672,46.6,522,46.9,42,45.2,41,41.5
8321,r068,All detailed fields -> Science -> Social sciences -> Anthropology,All detailed fields,Science,Social sciences,Anthropology,4,6421,67.1,2292,69.9,4129,65.6,149,63.1,79,53.2
8321,r069,"All detailed fields -> Science -> Social sciences -> Area, ethnic, cultural, gender, and group studies",All detailed fields,Science,Social sciences,"Area, ethnic, cultural, gender, and group studies",4,5093,66.8,2767,67.4,2326,66.1,230,54.8,122,65.6
8321,r070,All detailed fields -> Science -> Social sciences -> Criminal justice and safety studies,All detailed fields,Science,Social sciences,Criminal justice and safety studies,4,6829,62.8,5602,64.7,1227,54.4,16,62.5,8,50.0
8321,r071,All detailed fields -> Science -> Social sciences -> Criminology,All detailed fields,Science,Social sciences,Criminology,4,1580,70.6,1272,71.4,308,67.5,3,100.0,11,72.7
8321,r072,All detailed fields -> Science -> Social sciences -> Economics (except agricultural and natural resource),All detailed fields,Science,Social sciences,Economics (except agricultural and natural resource),4,15148,38.6,6882,41.3,8266,36.4,165,37.6,164,42.1
8321,r073,All detailed fields -> Science -> Social sciences -> Geography and cartography,All detailed fields,Science,Social sciences,Geography and cartography,4,4876,48.9,3147,45.9,1729,54.2,127,55.1,106,38.7
8321,r074,All detailed fields -> Science -> Social sciences -> International relations and national security studies,All detailed fields,Science,Social sciences,International relations and national security studies,4,8782,50.9,8308,50.9,474,50.8,117,47.0,76,39.5
8321,r075,All detailed fields -> Science -> Social sciences -> Linguistics,All detailed fields,Science,Social sciences,Linguistics,4,2840,61.2,1188,64.4,1652,59.0,50,42.0,40,57.5
8321,r076,All detailed fields -> Science -> Social sciences -> Political science and government,All detailed fields,Science,Social sciences,Political science and government,4,8602,45.3,3270,46.5,5332,44.6,164,46.3,74,54.1
