table_id,row_id,location_full_path,location_level_1,location_level_2,location_level_3,location_hierarchy_depth,field_employees_total,field_employees_r_d
9705,r020,Total -> Asia and Pacific -> Malaysia,Total,Asia and Pacific,Malaysia,3,"['114', '  ']","['9', '  ']"
9705,r021,Total -> Asia and Pacific -> New Zealand,Total,Asia and Pacific,New Zealand,3,"['19', '  ']","['2', '  ']"
9705,r022,Total -> Asia and Pacific -> Singapore,Total,Asia and Pacific,Singapore,3,"['141', '  ']","['14', '  ']"
9705,r023,Total -> Asia and Pacific -> South Korea,Total,Asia and Pacific,South Korea,3,"['99', '  ']","['12', '  ']"
9705,r024,Total -> Asia and Pacific -> Taiwan,Total,Asia and Pacific,Taiwan,3,"['110', '  ']","['19', '  ']"
9705,r025,Total -> Asia and Pacific -> Thailand,Total,Asia and Pacific,Thailand,3,"['124', '  ']","['5', '  ']"
9705,r026,Total -> Asia and Pacific -> Other Asian or Pacific locations,Total,Asia and Pacific,Other Asian or Pacific locations,3,"['261', '  ']","['12', '  ']"
9705,r027,Total -> Europe,Total,Europe,,2,"['3,441', '  ']","['338', '  ']"
9705,r028,Total -> Europe -> Austria,Total,Europe,Austria,3,"['47', '  ']","['3', '  ']"
9705,r029,Total -> Europe -> Belgium,Total,Europe,Belgium,3,"['111', '  ']","['12', '  ']"
9705,r030,Total -> Europe -> Czechia,Total,Europe,Czechia,3,"['77', '  ']","['7', '  ']"
9705,r031,Total -> Europe -> Denmark,Total,Europe,Denmark,3,"['30', '  ']","['5', '  ']"
9705,r032,Total -> Europe -> Finland,Total,Europe,Finland,3,"['17', '  ']","['3', '  ']"
9705,r033,Total -> Europe -> France,Total,Europe,France,3,"['296', '  ']","['24', '  ']"
9705,r034,Total -> Europe -> Germany,Total,Europe,Germany,3,"['550', '  ']","['58', '  ']"
9705,r035,Total -> Europe -> Hungary,Total,Europe,Hungary,3,"['62', '  ']","['4', '  ']"
9705,r036,Total -> Europe -> Ireland,Total,Europe,Ireland,3,"['143', '  ']","['20', '  ']"
9705,r037,Total -> Europe -> Italy,Total,Europe,Italy,3,"['172', '  ']","['15', '  ']"
9705,r038,Total -> Europe -> Luxembourg,Total,Europe,Luxembourg,3,"['14', '  ']","['3', '  ']"
9705,r039,Total -> Europe -> Netherlands,Total,Europe,Netherlands,3,"['119', '  ']","['11', '  ']"
9705,r040,Total -> Europe -> Norway,Total,Europe,Norway,3,"['25', '  ']","['3', '  ']"
9705,r041,Total -> Europe -> Poland,Total,Europe,Poland,3,"['249', '  ']","['14', '  ']"
9705,r042,Total -> Europe -> Russia,Total,Europe,Russia,3,"['99', '  ']","['6', '  ']"
9705,r043,Total -> Europe -> Spain,Total,Europe,Spain,3,"['149', '  ']","['13', '  ']"
9705,r044,Total -> Europe -> Sweden,Total,Europe,Sweden,3,"['51', '  ']","['8', '  ']"
9705,r045,Total -> Europe -> Switzerland,Total,Europe,Switzerland,3,"['69', '  ']","['14', '  ']"
9705,r046,Total -> Europe -> Turkey,Total,Europe,Turkey,3,"['48', '  ']","['2', '  ']"
9705,r047,Total -> Europe -> United Kingdom,Total,Europe,United Kingdom,3,"['789', '  ']","['87', '  ']"
9705,r048,Total -> Europe -> Other European locations,Total,Europe,Other European locations,3,"['322', '  ']","['28', '  ']"
9705,r049,Total -> Middle East,Total,Middle East,,2,"['197', '  ']","['36', '  ']"
9705,r050,Total -> Middle East -> Israel,Total,Middle East,Israel,3,"['77', '  ']","['31', '  ']"
9705,r051,Total -> Middle East -> Other Middle Eastern locations,Total,Middle East,Other Middle Eastern locations,3,"['120', '  ']","['6', '  ']"
9705,r052,Total -> Undistributed<sup>c</sup>,Total,Undistributed<sup>c</sup>,,2,"['1,985', 'i ']","['56', 'i ']"
