table_id,row_id,_b_state_and_department_or_agency_b_full_path,_b_state_and_department_or_agency_b_level_1,_b_state_and_department_or_agency_b_level_2,_b_state_and_department_or_agency_b_level_3,_b_state_and_department_or_agency_b_hierarchy_depth,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_all_othersa
12536,r025,"United States<sup>b</sup> -> Arizona -> Juvenile Corrections, Department of ",United States<sup>b</sup>,Arizona,"Juvenile Corrections, Department of ",3,600000,0,600000
12536,r026,"United States<sup>b</sup> -> Arizona -> Transportation, Department of",United States<sup>b</sup>,Arizona,"Transportation, Department of",3,2064934,1714947,349987
12536,r027,United States<sup>b</sup> -> Arkansas,United States<sup>b</sup>,Arkansas,,2,9521076,3269056,6252020
12536,r028,United States<sup>b</sup> -> Arkansas -> Beef Council,United States<sup>b</sup>,Arkansas,Beef Council,3,76605,0,76605
12536,r029,United States<sup>b</sup> -> Arkansas -> Corn and Grain Sorghum Promotion Board,United States<sup>b</sup>,Arkansas,Corn and Grain Sorghum Promotion Board,3,965315,0,965315
12536,r030,United States<sup>b</sup> -> Arkansas -> Economic Development Commission,United States<sup>b</sup>,Arkansas,Economic Development Commission,3,605749,505749,100000
12536,r031,United States<sup>b</sup> -> Arkansas -> Game and Fish Commission,United States<sup>b</sup>,Arkansas,Game and Fish Commission,3,1966097,1689405,276692
12536,r032,"United States<sup>b</sup> -> Arkansas -> Midwest Dairy Association, Arkansas Division",United States<sup>b</sup>,Arkansas,"Midwest Dairy Association, Arkansas Division",3,7425,0,7425
12536,r033,United States<sup>b</sup> -> Arkansas -> Natural Heritage Commission,United States<sup>b</sup>,Arkansas,Natural Heritage Commission,3,208588,16874,191714
12536,r034,United States<sup>b</sup> -> Arkansas -> Rice Research and Promotion Board,United States<sup>b</sup>,Arkansas,Rice Research and Promotion Board,3,2500050,0,2500050
12536,r035,United States<sup>b</sup> -> Arkansas -> Soybean Promotion Board,United States<sup>b</sup>,Arkansas,Soybean Promotion Board,3,1221170,0,1221170
12536,r036,"United States<sup>b</sup> -> Arkansas -> Transportation, Department of",United States<sup>b</sup>,Arkansas,"Transportation, Department of",3,1936385,1057028,879357
12536,r037,United States<sup>b</sup> -> Arkansas -> Wheat Promotion Board,United States<sup>b</sup>,Arkansas,Wheat Promotion Board,3,33692,0,33692
12536,r038,United States<sup>b</sup> -> California,United States<sup>b</sup>,California,,2,594541351,31928041,562613310
12536,r039,United States<sup>b</sup> -> California -> Air Resources Board,United States<sup>b</sup>,California,Air Resources Board,3,17641553,0,17641553
12536,r040,United States<sup>b</sup> -> California -> Coachella Valley Mountains,United States<sup>b</sup>,California,Coachella Valley Mountains,3,215912,0,215912
12536,r041,"United States<sup>b</sup> -> California -> Conservation, Department of",United States<sup>b</sup>,California,"Conservation, Department of",3,1490818,459600,1031218
12536,r042,"United States<sup>b</sup> -> California -> Corrections and Rehabilitation, Department of",United States<sup>b</sup>,California,"Corrections and Rehabilitation, Department of",3,6466366,0,6466366
12536,r043,United States<sup>b</sup> -> California -> Covered California,United States<sup>b</sup>,California,Covered California,3,5765443,0,5765443
12536,r044,United States<sup>b</sup> -> California -> Dairy Council,United States<sup>b</sup>,California,Dairy Council,3,69421,0,69421
12536,r045,United States<sup>b</sup> -> California -> Delta Stewardship Council,United States<sup>b</sup>,California,Delta Stewardship Council,3,5138976,1539483,3599493
12536,r046,United States<sup>b</sup> -> California -> Emergency Services Governor's Office,United States<sup>b</sup>,California,Emergency Services Governor's Office,3,2020000,0,2020000
12536,r047,United States<sup>b</sup> -> California -> Energy Commission,United States<sup>b</sup>,California,Energy Commission,3,170673193,0,170673193
12536,r048,"United States<sup>b</sup> -> California -> Environmental Health Hazard Assessment, Office of",United States<sup>b</sup>,California,"Environmental Health Hazard Assessment, Office of",3,25263123,0,25263123
12536,r049,United States<sup>b</sup> -> California -> First 5 California (Children and Families Commission),United States<sup>b</sup>,California,First 5 California (Children and Families Commission),3,6000000,0,6000000
12536,r050,"United States<sup>b</sup> -> California -> Food and Agriculture, Department of",United States<sup>b</sup>,California,"Food and Agriculture, Department of",3,6187795,126894,6060901
12536,r051,"United States<sup>b</sup> -> California -> Forestry and Fire Protection, Department of",United States<sup>b</sup>,California,"Forestry and Fire Protection, Department of",3,16600000,0,16600000
12536,r052,United States<sup>b</sup> -> California -> Horse Racing Board,United States<sup>b</sup>,California,Horse Racing Board,3,976291,0,976291
12536,r053,"United States<sup>b</sup> -> California -> Housing and Community Development, Department of",United States<sup>b</sup>,California,"Housing and Community Development, Department of",3,79000,0,79000
12536,r054,United States<sup>b</sup> -> California -> Institute for Regenerative Medicine,United States<sup>b</sup>,California,Institute for Regenerative Medicine,3,152261013,0,152261013
12536,r055,"United States<sup>b</sup> -> California -> Motor Vehicles, Department of",United States<sup>b</sup>,California,"Motor Vehicles, Department of",3,1714131,0,1714131
12536,r056,"United States<sup>b</sup> -> California -> Parks And Recreation, Department of",United States<sup>b</sup>,California,"Parks And Recreation, Department of",3,3297362,0,3297362
12536,r057,"United States<sup>b</sup> -> California -> Pesticide Regulation, Department of ",United States<sup>b</sup>,California,"Pesticide Regulation, Department of ",3,20772486,116499,20655987
12536,r058,"United States<sup>b</sup> -> California -> Public Health, Department of",United States<sup>b</sup>,California,"Public Health, Department of",3,8500000,0,8500000
12536,r059,"United States<sup>b</sup> -> California -> Public Utilities Commission, Executive Division",United States<sup>b</sup>,California,"Public Utilities Commission, Executive Division",3,55035940,0,55035940
12536,r060,"United States<sup>b</sup> -> California -> Resources Recycling and Recovery, Department of",United States<sup>b</sup>,California,"Resources Recycling and Recovery, Department of",3,250112,0,250112
12536,r061,United States<sup>b</sup> -> California -> San Diego River Conservancy ,United States<sup>b</sup>,California,San Diego River Conservancy ,3,495155,0,495155
12536,r062,United States<sup>b</sup> -> California -> State Coastal Conservancy,United States<sup>b</sup>,California,State Coastal Conservancy,3,751289,0,751289
12536,r063,United States<sup>b</sup> -> California -> State Water Resources Control Board,United States<sup>b</sup>,California,State Water Resources Control Board,3,24800361,365406,24434955
12536,r064,"United States<sup>b</sup> -> California -> Toxic Substances Control, Department of",United States<sup>b</sup>,California,"Toxic Substances Control, Department of",3,221058,0,221058
12536,r065,"United States<sup>b</sup> -> California -> Transportation, Department of",United States<sup>b</sup>,California,"Transportation, Department of",3,49446825,29320159,20126666
12536,r066,"United States<sup>b</sup> -> California -> Water Resources, Department of",United States<sup>b</sup>,California,"Water Resources, Department of",3,12407728,0,12407728
12536,r067,United States<sup>b</sup> -> Colorado,United States<sup>b</sup>,Colorado,,2,39665229,6114448,33550781
12536,r068,"United States<sup>b</sup> -> Colorado -> Agriculture, Department of",United States<sup>b</sup>,Colorado,"Agriculture, Department of",3,362802,362802,0
12536,r069,"United States<sup>b</sup> -> Colorado -> Economic Development and International Trade, Office of",United States<sup>b</sup>,Colorado,"Economic Development and International Trade, Office of",3,22767255,0,22767255
12536,r070,United States<sup>b</sup> -> Colorado -> Higher Education Competitive Research Authority,United States<sup>b</sup>,Colorado,Higher Education Competitive Research Authority,3,1843141,0,1843141
12536,r071,"United States<sup>b</sup> -> Colorado -> Natural Resources, Department of",United States<sup>b</sup>,Colorado,"Natural Resources, Department of",3,6892590,1598311,5294279
12536,r072,"United States<sup>b</sup> -> Colorado -> Public Health and Environment, Department of",United States<sup>b</sup>,Colorado,"Public Health and Environment, Department of",3,3439025,0,3439025
12536,r073,"United States<sup>b</sup> -> Colorado -> Transportation, Department of",United States<sup>b</sup>,Colorado,"Transportation, Department of",3,4153335,4153335,0
12536,r074,United States<sup>b</sup> -> Colorado -> Wine Industry Development Board,United States<sup>b</sup>,Colorado,Wine Industry Development Board,3,207081,0,207081
12536,r075,United States<sup>b</sup> -> Connecticut,United States<sup>b</sup>,Connecticut,,2,55924506,21341245,34583261
12536,r076,United States<sup>b</sup> -> Connecticut -> Agricultural Experiment Station,United States<sup>b</sup>,Connecticut,Agricultural Experiment Station,3,14165952,6197219,7968733
12536,r077,"United States<sup>b</sup> -> Connecticut -> Energy and Environmental Protection, Department of",United States<sup>b</sup>,Connecticut,"Energy and Environmental Protection, Department of",3,8086000,6456950,1629050
12536,r078,United States<sup>b</sup> -> Connecticut -> Innovation Inc.,United States<sup>b</sup>,Connecticut,Innovation Inc.,3,22043617,4544999,17498618
12536,r079,"United States<sup>b</sup> -> Connecticut -> Mental Health and Addiction Services, Department of",United States<sup>b</sup>,Connecticut,"Mental Health and Addiction Services, Department of",3,7079816,578179,6501637
12536,r080,"United States<sup>b</sup> -> Connecticut -> Social Services, Department of",United States<sup>b</sup>,Connecticut,"Social Services, Department of",3,641305,0,641305
12536,r081,"United States<sup>b</sup> -> Connecticut -> Transportation, Department of",United States<sup>b</sup>,Connecticut,"Transportation, Department of",3,3907816,3563898,343918
12536,r082,United States<sup>b</sup> -> Delaware,United States<sup>b</sup>,Delaware,,2,3584063,1721282,1862781
12536,r083,United States<sup>b</sup> -> Delaware -> Geological Survey,United States<sup>b</sup>,Delaware,Geological Survey,3,1651264,482103,1169161
12536,r084,"United States<sup>b</sup> -> Delaware -> Natural Resources and Environmental Control, Department of",United States<sup>b</sup>,Delaware,"Natural Resources and Environmental Control, Department of",3,488092,155291,332801
12536,r085,United States<sup>b</sup> -> Delaware -> Sustainable Energy Utility,United States<sup>b</sup>,Delaware,Sustainable Energy Utility,3,50500,0,50500
12536,r086,"United States<sup>b</sup> -> Delaware -> Transportation, Department of",United States<sup>b</sup>,Delaware,"Transportation, Department of",3,1394207,1083888,310319
12536,r087,United States<sup>b</sup> -> District of Columbia,United States<sup>b</sup>,District of Columbia,,2,10563918,8515771,2048147
12536,r088,"United States<sup>b</sup> -> District of Columbia -> Energy and Environment, Department of",United States<sup>b</sup>,District of Columbia,"Energy and Environment, Department of",3,348077,57777,290300
12536,r089,"United States<sup>b</sup> -> District of Columbia -> Health, Department of",United States<sup>b</sup>,District of Columbia,"Health, Department of",3,7909103,7812603,96500
12536,r090,"United States<sup>b</sup> -> District of Columbia -> Transportation, Department of",United States<sup>b</sup>,District of Columbia,"Transportation, Department of",3,806738,645391,161347
12536,r091,United States<sup>b</sup> -> District of Columbia -> Water and Sewer Authority,United States<sup>b</sup>,District of Columbia,Water and Sewer Authority,3,1500000,0,1500000
12536,r092,United States<sup>b</sup> -> Florida,United States<sup>b</sup>,Florida,,2,222882689,25903893,196978796
12536,r093,"United States<sup>b</sup> -> Florida -> Agriculture and Consumer Services, Department of",United States<sup>b</sup>,Florida,"Agriculture and Consumer Services, Department of",3,22629310,3841336,18787974
12536,r094,"United States<sup>b</sup> -> Florida -> Citrus, Department of",United States<sup>b</sup>,Florida,"Citrus, Department of",3,2067852,0,2067852
12536,r095,"United States<sup>b</sup> -> Florida -> Environmental Protection, Department of",United States<sup>b</sup>,Florida,"Environmental Protection, Department of",3,60125,60125,0
12536,r096,United States<sup>b</sup> -> Florida -> Fish and Wildlife Conservation Commission,United States<sup>b</sup>,Florida,Fish and Wildlife Conservation Commission,3,60990297,17681763,43308534
12536,r097,United States<sup>b</sup> -> Florida -> Gaming Control Commission,United States<sup>b</sup>,Florida,Gaming Control Commission,3,100000,0,100000
12536,r098,"United States<sup>b</sup> -> Florida -> Health, Department of",United States<sup>b</sup>,Florida,"Health, Department of",3,121558745,0,121558745
12536,r099,United States<sup>b</sup> -> Florida -> Space Florida,United States<sup>b</sup>,Florida,Space Florida,3,1110000,0,1110000
12536,r100,"United States<sup>b</sup> -> Florida -> Transportation, Department of",United States<sup>b</sup>,Florida,"Transportation, Department of",3,14366360,4320669,10045691
12536,r101,United States<sup>b</sup> -> Georgia,United States<sup>b</sup>,Georgia,,2,20739193,16287488,4451705
12536,r102,"United States<sup>b</sup> -> Georgia -> Commodity Commission, Agriculture, Department of",United States<sup>b</sup>,Georgia,"Commodity Commission, Agriculture, Department of",3,2513762,0,2513762
12536,r103,"United States<sup>b</sup> -> Georgia -> Natural Resources, Department of",United States<sup>b</sup>,Georgia,"Natural Resources, Department of",3,2297557,1678486,619071
12536,r104,United States<sup>b</sup> -> Georgia -> Southern States Energy Board,United States<sup>b</sup>,Georgia,Southern States Energy Board,3,9213432,8663914,549518
12536,r105,"United States<sup>b</sup> -> Georgia -> Transportation, Department of",United States<sup>b</sup>,Georgia,"Transportation, Department of",3,6714442,5945088,769354
12536,r106,United States<sup>b</sup> -> Hawaii,United States<sup>b</sup>,Hawaii,,2,5280407,2563321,2717086
12536,r107,"United States<sup>b</sup> -> Hawaii -> Agriculture, Department of",United States<sup>b</sup>,Hawaii,"Agriculture, Department of",3,652670,652670,0
12536,r108,"United States<sup>b</sup> -> Hawaii -> Business, Economic Development, and Tourism, Department of",United States<sup>b</sup>,Hawaii,"Business, Economic Development, and Tourism, Department of",3,2447125,430125,2017000
12536,r109,"United States<sup>b</sup> -> Hawaii -> Land and Natural Resources, Department of",United States<sup>b</sup>,Hawaii,"Land and Natural Resources, Department of",3,445210,155489,289721
12536,r110,"United States<sup>b</sup> -> Hawaii -> Transportation, Department of",United States<sup>b</sup>,Hawaii,"Transportation, Department of",3,1735402,1325037,410365
12536,r111,United States<sup>b</sup> -> Idaho,United States<sup>b</sup>,Idaho,,2,18670602,11364333,7306269
12536,r112,"United States<sup>b</sup> -> Idaho -> Agriculture, Department of",United States<sup>b</sup>,Idaho,"Agriculture, Department of",3,1020066,1020066,0
12536,r113,United States<sup>b</sup> -> Idaho -> Barley Commission,United States<sup>b</sup>,Idaho,Barley Commission,3,254646,0,254646
12536,r114,United States<sup>b</sup> -> Idaho -> Bean Commission,United States<sup>b</sup>,Idaho,Bean Commission,3,33575,0,33575
12536,r115,"United States<sup>b</sup> -> Idaho -> Commerce, Department of ",United States<sup>b</sup>,Idaho,"Commerce, Department of ",3,784945,0,784945
12536,r116,United States<sup>b</sup> -> Idaho -> Dairy West,United States<sup>b</sup>,Idaho,Dairy West,3,2843786,0,2843786
12536,r117,"United States<sup>b</sup> -> Idaho -> Fish and Game, Department of",United States<sup>b</sup>,Idaho,"Fish and Game, Department of",3,9232224,7722369,1509855
12536,r118,United States<sup>b</sup> -> Idaho -> Oilseed Commission,United States<sup>b</sup>,Idaho,Oilseed Commission,3,66548,0,66548
12536,r119,United States<sup>b</sup> -> Idaho -> Pea and Lentil Commission,United States<sup>b</sup>,Idaho,Pea and Lentil Commission,3,61179,0,61179
12536,r120,United States<sup>b</sup> -> Idaho -> Potato Commission,United States<sup>b</sup>,Idaho,Potato Commission,3,650880,0,650880
12536,r121,United States<sup>b</sup> -> Idaho -> Transportation Department,United States<sup>b</sup>,Idaho,Transportation Department,3,2832749,2621898,210851
12536,r122,United States<sup>b</sup> -> Idaho -> Wheat Commission,United States<sup>b</sup>,Idaho,Wheat Commission,3,890004,0,890004
12536,r123,United States<sup>b</sup> -> Illinois,United States<sup>b</sup>,Illinois,,2,45907372,25771315,20136057
12536,r124,"United States<sup>b</sup> -> Illinois -> Children and Family Services, Department of",United States<sup>b</sup>,Illinois,"Children and Family Services, Department of",3,2814959,0,2814959
12536,r125,United States<sup>b</sup> -> Illinois -> Great Lakes - St. Lawrence River Basin,United States<sup>b</sup>,Illinois,Great Lakes - St. Lawrence River Basin,3,100000,0,100000
12536,r126,"United States<sup>b</sup> -> Illinois -> Midwest Dairy Association, Illinois Division",United States<sup>b</sup>,Illinois,"Midwest Dairy Association, Illinois Division",3,15345,0,15345
12536,r127,"United States<sup>b</sup> -> Illinois -> Natural Resources, Department of",United States<sup>b</sup>,Illinois,"Natural Resources, Department of",3,27317164,17727420,9589744
12536,r128,United States<sup>b</sup> -> Illinois -> Nature Preserves Commission,United States<sup>b</sup>,Illinois,Nature Preserves Commission,3,1065000,0,1065000
12536,r129,United States<sup>b</sup> -> Illinois -> Nutrient Research and Education Council,United States<sup>b</sup>,Illinois,Nutrient Research and Education Council,3,3844915,0,3844915
12536,r130,"United States<sup>b</sup> -> Illinois -> Public Health, Department of",United States<sup>b</sup>,Illinois,"Public Health, Department of",3,516000,0,516000
12536,r131,"United States<sup>b</sup> -> Illinois -> Transportation, Department of",United States<sup>b</sup>,Illinois,"Transportation, Department of",3,10233989,8043895,2190094
12536,r132,United States<sup>b</sup> -> Indiana,United States<sup>b</sup>,Indiana,,2,24179311,9162767,15016544
12536,r133,United States<sup>b</sup> -> Indiana -> Economic Development Corporation,United States<sup>b</sup>,Indiana,Economic Development Corporation,3,9961588,0,9961588
12536,r134,"United States<sup>b</sup> -> Indiana -> Natural Resources, Department of",United States<sup>b</sup>,Indiana,"Natural Resources, Department of",3,4366329,1281652,3084677
12536,r135,"United States<sup>b</sup> -> Indiana -> Transportation, Department of",United States<sup>b</sup>,Indiana,"Transportation, Department of",3,9851394,7881115,1970279
12536,r136,United States<sup>b</sup> -> Iowa,United States<sup>b</sup>,Iowa,,2,9809708,5714355,4095353
12536,r137,"United States<sup>b</sup> -> Iowa -> Human Rights, Criminal and Juvenile Justice Planning, Division of, Department of",United States<sup>b</sup>,Iowa,"Human Rights, Criminal and Juvenile Justice Planning, Division of, Department of",3,632002,240471,391531
12536,r138,"United States<sup>b</sup> -> Iowa -> Midwest Dairy Association, Iowa Division",United States<sup>b</sup>,Iowa,"Midwest Dairy Association, Iowa Division",3,113850,0,113850
12536,r139,"United States<sup>b</sup> -> Iowa -> Natural Resources, Department of",United States<sup>b</sup>,Iowa,"Natural Resources, Department of",3,1945868,1669114,276754
12536,r140,"United States<sup>b</sup> -> Iowa -> Transportation, Department of",United States<sup>b</sup>,Iowa,"Transportation, Department of",3,7117988,3804770,3313218
12536,r141,United States<sup>b</sup> -> Kansas,United States<sup>b</sup>,Kansas,,2,10364853,2627935,7736918
12536,r142,United States<sup>b</sup> -> Kansas -> Corn Commission,United States<sup>b</sup>,Kansas,Corn Commission,3,375941,0,375941
12536,r143,United States<sup>b</sup> -> Kansas -> Grain Sorghum Commission,United States<sup>b</sup>,Kansas,Grain Sorghum Commission,3,553341,0,553341
12536,r144,"United States<sup>b</sup> -> Kansas -> Midwest Dairy Association, Kansas Division",United States<sup>b</sup>,Kansas,"Midwest Dairy Association, Kansas Division",3,13860,0,13860
12536,r145,United States<sup>b</sup> -> Kansas -> Soybean Commission,United States<sup>b</sup>,Kansas,Soybean Commission,3,1400000,0,1400000
12536,r146,United States<sup>b</sup> -> Kansas -> State Board of Regents,United States<sup>b</sup>,Kansas,State Board of Regents,3,1000314,0,1000314
12536,r147,United States<sup>b</sup> -> Kansas -> Sunflower Commission,United States<sup>b</sup>,Kansas,Sunflower Commission,3,11248,0,11248
12536,r148,"United States<sup>b</sup> -> Kansas -> Transportation, Department of",United States<sup>b</sup>,Kansas,"Transportation, Department of",3,3882450,2182766,1699684
12536,r149,United States<sup>b</sup> -> Kansas -> Water Office,United States<sup>b</sup>,Kansas,Water Office,3,1805720,445169,1360551
12536,r150,United States<sup>b</sup> -> Kansas -> Wheat Commission,United States<sup>b</sup>,Kansas,Wheat Commission,3,1321979,0,1321979
12536,r151,United States<sup>b</sup> -> Kentucky,United States<sup>b</sup>,Kentucky,,2,37765916,9546502,28219414
12536,r152,"United States<sup>b</sup> -> Kentucky -> Economic Development, Cabinet for",United States<sup>b</sup>,Kentucky,"Economic Development, Cabinet for",3,3126802,0,3126802
12536,r153,"United States<sup>b</sup> -> Kentucky -> Fish and Wildlife Resources, Department of ",United States<sup>b</sup>,Kentucky,"Fish and Wildlife Resources, Department of ",3,7566970,5237651,2329319
12536,r154,United States<sup>b</sup> -> Kentucky -> Horse Racing Commission,United States<sup>b</sup>,Kentucky,Horse Racing Commission,3,140153,0,140153
12536,r155,"United States<sup>b</sup> -> Kentucky -> Nature Preserves, Office of Kentucky",United States<sup>b</sup>,Kentucky,"Nature Preserves, Office of Kentucky",3,55409,47954,7455
12536,r156,"United States<sup>b</sup> -> Kentucky -> Postsecondary Education, Council on",United States<sup>b</sup>,Kentucky,"Postsecondary Education, Council on",3,11029618,0,11029618
12536,r157,"United States<sup>b</sup> -> Kentucky -> Public Health, Department for ",United States<sup>b</sup>,Kentucky,"Public Health, Department for ",3,7256093,0,7256093
12536,r158,United States<sup>b</sup> -> Kentucky -> Soybean Promotion Board,United States<sup>b</sup>,Kentucky,Soybean Promotion Board,3,502893,0,502893
12536,r159,United States<sup>b</sup> -> Kentucky -> Transportation Cabinet,United States<sup>b</sup>,Kentucky,Transportation Cabinet,3,8087978,4260897,3827081
12536,r160,United States<sup>b</sup> -> Louisiana,United States<sup>b</sup>,Louisiana,,2,31663714,18445998,13217716
12536,r161,United States<sup>b</sup> -> Louisiana -> Board of Regents,United States<sup>b</sup>,Louisiana,Board of Regents,3,12395006,5572107,6822899
12536,r162,United States<sup>b</sup> -> Louisiana -> Coastal Protection and Restoration Authority,United States<sup>b</sup>,Louisiana,Coastal Protection and Restoration Authority,3,3791442,708513,3082929
12536,r163,"United States<sup>b</sup> -> Louisiana -> Transportation and Development, Department of ",United States<sup>b</sup>,Louisiana,"Transportation and Development, Department of ",3,8500000,6800000,1700000
12536,r164,"United States<sup>b</sup> -> Louisiana -> Wildlife and Fisheries, Department of",United States<sup>b</sup>,Louisiana,"Wildlife and Fisheries, Department of",3,6977266,5365378,1611888
12536,r165,United States<sup>b</sup> -> Maine,United States<sup>b</sup>,Maine,,2,47576007,37765217,9810790
12536,r166,"United States<sup>b</sup> -> Maine -> Agriculture, Conservation and Forestry, Department of ",United States<sup>b</sup>,Maine,"Agriculture, Conservation and Forestry, Department of ",3,1697100,690300,1006800
12536,r167,United States<sup>b</sup> -> Maine -> Aquaculture Innovation Center,United States<sup>b</sup>,Maine,Aquaculture Innovation Center,3,587473,470720,116753
12536,r168,"United States<sup>b</sup> -> Maine -> Inland Fisheries and Wildlife, Department of",United States<sup>b</sup>,Maine,"Inland Fisheries and Wildlife, Department of",3,1776000,1332000,444000
12536,r169,"United States<sup>b</sup> -> Maine -> Marine Resources, Department of",United States<sup>b</sup>,Maine,"Marine Resources, Department of",3,2790668,2230207,560461
12536,r170,"United States<sup>b</sup> -> Maine -> MDI Biological Laboratory, Center for Biomedical Innovation",United States<sup>b</sup>,Maine,"MDI Biological Laboratory, Center for Biomedical Innovation",3,7615174,6753246,861928
12536,r171,United States<sup>b</sup> -> Maine -> Technology Institute,United States<sup>b</sup>,Maine,Technology Institute,3,31923642,25236084,6687558
12536,r172,"United States<sup>b</sup> -> Maine -> Transportation, Department of ",United States<sup>b</sup>,Maine,"Transportation, Department of ",3,1185950,1052660,133290
12536,r173,United States<sup>b</sup> -> Maryland,United States<sup>b</sup>,Maryland,,2,46489603,1336954,45152649
12536,r174,United States<sup>b</sup> -> Maryland -> Energy Administration,United States<sup>b</sup>,Maryland,Energy Administration,3,250000,0,250000
12536,r175,"United States<sup>b</sup> -> Maryland -> Health, Department of",United States<sup>b</sup>,Maryland,"Health, Department of",3,15000000,0,15000000
12536,r176,"United States<sup>b</sup> -> Maryland -> Natural Resources, Department of",United States<sup>b</sup>,Maryland,"Natural Resources, Department of",3,670841,0,670841
12536,r177,United States<sup>b</sup> -> Maryland -> Technology Development Corporation,United States<sup>b</sup>,Maryland,Technology Development Corporation,3,28682169,0,28682169
12536,r178,"United States<sup>b</sup> -> Maryland -> Transportation, Department of",United States<sup>b</sup>,Maryland,"Transportation, Department of",3,1886593,1336954,549639
12536,r179,United States<sup>b</sup> -> Massachusetts,United States<sup>b</sup>,Massachusetts,,2,48424086,8462093,39961993
12536,r180,United States<sup>b</sup> -> Massachusetts -> Clean Energy Technology Center,United States<sup>b</sup>,Massachusetts,Clean Energy Technology Center,3,27560771,0,27560771
12536,r181,"United States<sup>b</sup> -> Massachusetts -> Environmental Protection, Department of ",United States<sup>b</sup>,Massachusetts,"Environmental Protection, Department of ",3,2125890,26843,2099047
