table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_total,field_paid_for_by_the_company,field_paid_for_by_others
1395,r048,All business activities -> Measuring and control instruments manufacturing (not listed elsewhere),All business activities,Measuring and control instruments manufacturing (not listed elsewhere),2,33459,"['4,223', '  ']","['4,068', '  ']","['155', '&nbsp;']"
1395,r049,"All business activities -> Electrical equipment, appliances, and components manufacturing",All business activities,"Electrical equipment, appliances, and components manufacturing",2,33500,"['4,816', '  ']","['4,337', '  ']","['478', 'i']"
1395,r050,All business activities -> Motor vehicles manufacturing,All business activities,Motor vehicles manufacturing,2,33610,"['14,810', '  ']","['13,184', '  ']","['1,627', '&nbsp;']"
1395,r051,All business activities -> Motor vehicle body and trailer manufacturing,All business activities,Motor vehicle body and trailer manufacturing,2,33620,"['114', '  ']","['114', '  ']","['0', '&nbsp;']"
1395,r052,All business activities -> Motor vehicle parts manufacturing,All business activities,Motor vehicle parts manufacturing,2,33630,"['6,613', '  ']","['5,619', '  ']","['994', 'i']"
1395,r053,All business activities -> Aircraft manufacturing,All business activities,Aircraft manufacturing,2,33641,"['11,989', 'i ']","['5,501', '  ']","['6,488', 'i']"
1395,r054,All business activities -> Aircraft engine and engine parts manufacturing,All business activities,Aircraft engine and engine parts manufacturing,2,33642,"['1,738', '  ']","['1,196', '  ']","['542', '&nbsp;']"
1395,r055,All business activities -> Other aircraft parts and auxiliary equipment manufacturing,All business activities,Other aircraft parts and auxiliary equipment manufacturing,2,33643,"['3,817', '  ']","['2,398', '  ']","['1,420', '&nbsp;']"
1395,r056,"All business activities -> Guided missiles, space vehicles, and related parts manufacturing",All business activities,"Guided missiles, space vehicles, and related parts manufacturing",2,33644,"['3,063', 'i ']","['810', '  ']","['2,253', 'i']"
1395,r057,All business activities -> Railroad rolling stock manufacturing,All business activities,Railroad rolling stock manufacturing,2,33651,"['D', '  ']","['186', '  ']","['D', '&nbsp;']"
1395,r058,All business activities -> Ship and boat building,All business activities,Ship and boat building,2,33660,"['D', '&nbsp;']","['574', 'i ']","['D', '&nbsp;']"
1395,r059,"All business activities -> Motorcycle, bicycle, and parts manufacturing",All business activities,"Motorcycle, bicycle, and parts manufacturing",2,33691,"['286', '  ']","['285', '  ']","['1', '&nbsp;']"
1395,r060,"All business activities -> Military armored vehicles, tanks, and tank components manufacturing",All business activities,"Military armored vehicles, tanks, and tank components manufacturing",2,33692,"['392', '  ']","['111', '  ']","['281', '&nbsp;']"
1395,r061,All business activities -> All other transportation equipment manufacturing,All business activities,All other transportation equipment manufacturing,2,33699,"['368', '  ']","['365', '  ']","['3', '&nbsp;']"
1395,r062,All business activities -> Furniture and related products manufacturing,All business activities,Furniture and related products manufacturing,2,33700,"['405', '  ']","['405', '  ']","['*', '&nbsp;']"
1395,r063,All business activities -> Medical equipment and supplies manufacturing,All business activities,Medical equipment and supplies manufacturing,2,33910,"['11,727', '  ']","['11,254', '  ']","['474', '&nbsp;']"
1395,r064,"All business activities -> Miscellaneous manufacturing not listed elsewhere (games, office supplies, slot machines, etc.)",All business activities,"Miscellaneous manufacturing not listed elsewhere (games, office supplies, slot machines, etc.)",2,33990,"['2,600', 'i ']","['2,558', 'i ']","['42', '&nbsp;']"
1395,r065,"All business activities -> Merchant wholesalers, durable goods",All business activities,"Merchant wholesalers, durable goods",2,42300,"['559', 'i ']","['540', 'i ']","['19', '&nbsp;']"
1395,r066,"All business activities -> Merchant wholesalers, nondurable goods",All business activities,"Merchant wholesalers, nondurable goods",2,42400,"['153', 'i ']","['148', 'i ']","['6', '&nbsp;']"
1395,r067,All business activities -> Wholesale electronic markets and agents and brokers (business to business),All business activities,Wholesale electronic markets and agents and brokers (business to business),2,42500,"['23', '  ']","['23', '  ']","['*', '&nbsp;']"
1395,r068,All business activities -> Retail trade (except electronic shopping and electronic auctions),All business activities,Retail trade (except electronic shopping and electronic auctions),2,44000,"['153', '  ']","['69', '  ']","['83', '&nbsp;']"
1395,r069,All business activities -> Electronic shopping and electronic auctions,All business activities,Electronic shopping and electronic auctions,2,45411,"['1,587', 'i ']","['1,587', 'i ']","['0', '&nbsp;']"
1395,r070,All business activities -> Transportation,All business activities,Transportation,2,48000,"['100', '  ']","['97', '  ']","['3', '&nbsp;']"
1395,r071,"All business activities -> Couriers, messengers, and express delivery services",All business activities,"Couriers, messengers, and express delivery services",2,49200,"['394', '  ']","['394', '  ']","['0', '&nbsp;']"
1395,r072,All business activities -> Warehousing and storage,All business activities,Warehousing and storage,2,49300,"['0', '  ']","['0', '  ']","['0', '&nbsp;']"
1395,r073,"All business activities -> Newspaper, periodical, book, and directory publishers (except Internet)",All business activities,"Newspaper, periodical, book, and directory publishers (except Internet)",2,51110,"['80', 'i ']","['77', 'i ']","['3', 'i']"
1395,r074,All business activities -> Software publishers (except Internet),All business activities,Software publishers (except Internet),2,51120,"['26,811', '  ']","['26,571', '  ']","['239', '&nbsp;']"
1395,r075,All business activities -> Motion picture and sound recording (except Internet),All business activities,Motion picture and sound recording (except Internet),2,51200,"['16', '  ']","['16', '  ']","['0', '&nbsp;']"
1395,r076,All business activities -> Broadcasting (except Internet),All business activities,Broadcasting (except Internet),2,51500,"['D', '&nbsp;']","['149', 'i ']","['D', '&nbsp;']"
1395,r077,All business activities -> Wired telecommunications carriers,All business activities,Wired telecommunications carriers,2,51710,"['1,067', 'i ']","['1,060', 'i ']","['8', '&nbsp;']"
1395,r078,All business activities -> Wireless telecommunications carriers (except satellite),All business activities,Wireless telecommunications carriers (except satellite),2,51720,"['1,477', 'i ']","['1,417', 'i ']","['60', '&nbsp;']"
1395,r079,All business activities -> Satellite telecommunications,All business activities,Satellite telecommunications,2,51740,"['699', 'i ']","['698', 'i ']","['1', '&nbsp;']"
1395,r080,All business activities -> Other telecommunications (not listed elsewhere),All business activities,Other telecommunications (not listed elsewhere),2,51790,"['448', '  ']","['321', '  ']","['126', '&nbsp;']"
1395,r081,"All business activities -> Data processing, hosting, and related services",All business activities,"Data processing, hosting, and related services",2,51800,"['6,130', '  ']","['5,951', '  ']","['179', 'i']"
1395,r082,All business activities -> Cloud computing applications and Internet-based software services,All business activities,Cloud computing applications and Internet-based software services,2,51801,"['9,798', '  ']","['9,706', '  ']","['92', '&nbsp;']"
1395,r083,"All business activities -> Other information services, including Internet publishing, broadcasting, and Web search portals",All business activities,"Other information services, including Internet publishing, broadcasting, and Web search portals",2,51910,"['D', '  ']","['23,910', '  ']","['D', '&nbsp;']"
1395,r084,All business activities -> Finance: banking and credit intermediation,All business activities,Finance: banking and credit intermediation,2,52200,"['4,474', '  ']","['4,380', '  ']","['94', '&nbsp;']"
1395,r085,"All business activities -> Securities, commodity contracts, and other financial investments and related activities, including funds and trusts",All business activities,"Securities, commodity contracts, and other financial investments and related activities, including funds and trusts",2,52310,"['1,516', '  ']","['1,516', '  ']","['0', '&nbsp;']"
