table_id,row_id,time_period,estimates_level_1,estimates_level_2,estimates_hierarchy_depth,value
6993,r047,All doctorates -> Engineering,Standard errors,No award,2,800
6993,r048,All doctorates -> Engineering,Standard errors,Share (%),2,0.35
6993,r049,All doctorates -> Health,Estimates,NSF award,2,650
6993,r050,All doctorates -> Health,Estimates,No award,2,47850
6993,r051,All doctorates -> Health,Estimates,Share (%),2,1.3
6993,r052,All doctorates -> Health,Standard errors,NSF award,2,150
6993,r053,All doctorates -> Health,Standard errors,No award,2,275
6993,r054,All doctorates -> Health,Standard errors,Share (%),2,0.3
6993,r055,Doctorates since 2005,Estimates,NSF award,2,17450
6993,r056,Doctorates since 2005,Estimates,No award,2,281800
6993,r057,Doctorates since 2005,Estimates,Share (%),2,5.8
6993,r058,Doctorates since 2005,Standard errors,NSF award,2,575
6993,r059,Doctorates since 2005,Standard errors,No award,2,775
6993,r060,Doctorates since 2005,Standard errors,Share (%),2,0.2
6993,r061,"Doctorates since 2005 -> Biological, agricultural, and environmental life sciences",Estimates,NSF award,2,2650
6993,r062,"Doctorates since 2005 -> Biological, agricultural, and environmental life sciences",Estimates,No award,2,73550
6993,r063,"Doctorates since 2005 -> Biological, agricultural, and environmental life sciences",Estimates,Share (%),2,3.5
6993,r064,"Doctorates since 2005 -> Biological, agricultural, and environmental life sciences",Standard errors,NSF award,2,225
6993,r065,"Doctorates since 2005 -> Biological, agricultural, and environmental life sciences",Standard errors,No award,2,725
6993,r066,"Doctorates since 2005 -> Biological, agricultural, and environmental life sciences",Standard errors,Share (%),2,0.3
6993,r067,Doctorates since 2005 -> Computer and information sciences,Estimates,NSF award,2,1950
6993,r068,Doctorates since 2005 -> Computer and information sciences,Estimates,No award,2,11950
6993,r069,Doctorates since 2005 -> Computer and information sciences,Estimates,Share (%),2,14.1
6993,r070,Doctorates since 2005 -> Computer and information sciences,Standard errors,NSF award,2,225
6993,r071,Doctorates since 2005 -> Computer and information sciences,Standard errors,No award,2,325
6993,r072,Doctorates since 2005 -> Computer and information sciences,Standard errors,Share (%),2,1.5
6993,r073,Doctorates since 2005 -> Mathematics and statistics,Estimates,NSF award,2,1400
6993,r074,Doctorates since 2005 -> Mathematics and statistics,Estimates,No award,2,13000
6993,r075,Doctorates since 2005 -> Mathematics and statistics,Estimates,Share (%),2,9.6
6993,r076,Doctorates since 2005 -> Mathematics and statistics,Standard errors,NSF award,2,150
6993,r077,Doctorates since 2005 -> Mathematics and statistics,Standard errors,No award,2,375
6993,r078,Doctorates since 2005 -> Mathematics and statistics,Standard errors,Share (%),2,1.1
6993,r079,Doctorates since 2005 -> Physical sciences,Estimates,NSF award,2,4100
6993,r080,Doctorates since 2005 -> Physical sciences,Estimates,No award,2,38950
6993,r081,Doctorates since 2005 -> Physical sciences,Estimates,Share (%),2,9.6
6993,r082,Doctorates since 2005 -> Physical sciences,Standard errors,NSF award,2,250
6993,r083,Doctorates since 2005 -> Physical sciences,Standard errors,No award,2,550
6993,r084,Doctorates since 2005 -> Physical sciences,Standard errors,Share (%),2,0.6
6993,r085,Doctorates since 2005 -> Psychology,Estimates,NSF award,2,800
6993,r086,Doctorates since 2005 -> Psychology,Estimates,No award,2,29350
6993,r087,Doctorates since 2005 -> Psychology,Estimates,Share (%),2,2.7
6993,r088,Doctorates since 2005 -> Psychology,Standard errors,NSF award,2,125
6993,r089,Doctorates since 2005 -> Psychology,Standard errors,No award,2,475
6993,r090,Doctorates since 2005 -> Psychology,Standard errors,Share (%),2,0.4
6993,r091,Doctorates since 2005 -> Social sciences,Estimates,NSF award,2,1850
6993,r092,Doctorates since 2005 -> Social sciences,Estimates,No award,2,35550
6993,r093,Doctorates since 2005 -> Social sciences,Estimates,Share (%),2,5.0
6993,r094,Doctorates since 2005 -> Social sciences,Standard errors,NSF award,2,175
6993,r095,Doctorates since 2005 -> Social sciences,Standard errors,No award,2,525
6993,r096,Doctorates since 2005 -> Social sciences,Standard errors,Share (%),2,0.45
6993,r097,Doctorates since 2005 -> Engineering,Estimates,NSF award,2,4500
6993,r098,Doctorates since 2005 -> Engineering,Estimates,No award,2,61500
6993,r099,Doctorates since 2005 -> Engineering,Estimates,Share (%),2,6.8
6993,r100,Doctorates since 2005 -> Engineering,Standard errors,NSF award,2,325
6993,r101,Doctorates since 2005 -> Engineering,Standard errors,No award,2,725
6993,r102,Doctorates since 2005 -> Engineering,Standard errors,Share (%),2,0.5
6993,r103,Doctorates since 2005 -> Health,Estimates,NSF award,2,200
6993,r104,Doctorates since 2005 -> Health,Estimates,No award,2,18000
6993,r105,Doctorates since 2005 -> Health,Estimates,Share (%),2,1.1
6993,r106,Doctorates since 2005 -> Health,Standard errors,NSF award,2,75
6993,r107,Doctorates since 2005 -> Health,Standard errors,No award,2,375
6993,r108,Doctorates since 2005 -> Health,Standard errors,Share (%),2,0.35
