table_id,row_id,_b_field_of_doctorate_b_full_path,_b_field_of_doctorate_b_level_1,_b_field_of_doctorate_b_level_2,_b_field_of_doctorate_b_level_3,_b_field_of_doctorate_b_level_4,_b_field_of_doctorate_b_hierarchy_depth,field_field_levela,field_sed_cip_series_codes
7620,r049,"Science and engineering -> Biological and biomedical sciences -> Microbiology and immunology -> Microbiology, general",Science and engineering,Biological and biomedical sciences,Microbiology and immunology,"Microbiology, general",4,Detailed,26.0502
7620,r050,Science and engineering -> Biological and biomedical sciences -> Microbiology and immunology -> Virology,Science and engineering,Biological and biomedical sciences,Microbiology and immunology,Virology,4,Detailed,26.0504
7620,r051,Science and engineering -> Biological and biomedical sciences -> Microbiology and immunology -> Microbiology and immunology nec,Science and engineering,Biological and biomedical sciences,Microbiology and immunology,Microbiology and immunology nec,4,Detailed,all other 26.05
7620,r052,Science and engineering -> Biological and biomedical sciences -> Neurobiology and neurosciences,Science and engineering,Biological and biomedical sciences,Neurobiology and neurosciences,,3,Major,26.15
7620,r053,Science and engineering -> Biological and biomedical sciences -> Neurobiology and neurosciences -> Cognitive neuroscience,Science and engineering,Biological and biomedical sciences,Neurobiology and neurosciences,Cognitive neuroscience,4,Detailed,26.1599b
7620,r054,Science and engineering -> Biological and biomedical sciences -> Neurobiology and neurosciences -> Neurobiology and anatomy,Science and engineering,Biological and biomedical sciences,Neurobiology and neurosciences,Neurobiology and anatomy,4,Detailed,26.1503
7620,r055,Science and engineering -> Biological and biomedical sciences -> Neurobiology and neurosciences -> Neuroscience,Science and engineering,Biological and biomedical sciences,Neurobiology and neurosciences,Neuroscience,4,Detailed,26.1501
7620,r056,Science and engineering -> Biological and biomedical sciences -> Neurobiology and neurosciences -> Neurobiology and neurosciences nec,Science and engineering,Biological and biomedical sciences,Neurobiology and neurosciences,Neurobiology and neurosciences nec,4,Detailed,all other 26.15
7620,r057,Science and engineering -> Biological and biomedical sciences -> Pharmacology and toxicology,Science and engineering,Biological and biomedical sciences,Pharmacology and toxicology,,3,Major,26.1
7620,r058,Science and engineering -> Biological and biomedical sciences -> Pharmacology and toxicology -> Pharmacology,Science and engineering,Biological and biomedical sciences,Pharmacology and toxicology,Pharmacology,4,Detailed,26.1001
7620,r059,Science and engineering -> Biological and biomedical sciences -> Pharmacology and toxicology -> Toxicology,Science and engineering,Biological and biomedical sciences,Pharmacology and toxicology,Toxicology,4,Detailed,"26.1004, 26.1005, 26.1006"
7620,r060,Science and engineering -> Biological and biomedical sciences -> Pharmacology and toxicology -> Pharmacology and toxicology nec,Science and engineering,Biological and biomedical sciences,Pharmacology and toxicology,Pharmacology and toxicology nec,4,Detailed,all other 26.10
7620,r061,"Science and engineering -> Biological and biomedical sciences -> Physiology, oncology and cancer biology",Science and engineering,Biological and biomedical sciences,"Physiology, oncology and cancer biology",,3,Major,26.09
7620,r062,"Science and engineering -> Biological and biomedical sciences -> Physiology, oncology and cancer biology -> Biomechanics",Science and engineering,Biological and biomedical sciences,"Physiology, oncology and cancer biology",Biomechanics,4,Detailed,26.0913
7620,r063,"Science and engineering -> Biological and biomedical sciences -> Physiology, oncology and cancer biology -> Exercise physiology and kinesiology",Science and engineering,Biological and biomedical sciences,"Physiology, oncology and cancer biology",Exercise physiology and kinesiology,4,Detailed,26.0908
7620,r064,"Science and engineering -> Biological and biomedical sciences -> Physiology, oncology and cancer biology -> Oncology and cancer biology",Science and engineering,Biological and biomedical sciences,"Physiology, oncology and cancer biology",Oncology and cancer biology,4,Detailed,26.0911
7620,r065,"Science and engineering -> Biological and biomedical sciences -> Physiology, oncology and cancer biology -> Physiology, general",Science and engineering,Biological and biomedical sciences,"Physiology, oncology and cancer biology","Physiology, general",4,Detailed,26.0901
7620,r066,"Science and engineering -> Biological and biomedical sciences -> Physiology, oncology and cancer biology -> Physiology, oncology and cancer biology nec",Science and engineering,Biological and biomedical sciences,"Physiology, oncology and cancer biology","Physiology, oncology and cancer biology nec",4,Detailed,all other 26.09
7620,r067,"Science and engineering -> Biological and biomedical sciences -> Biological and biomedical sciences, other",Science and engineering,Biological and biomedical sciences,"Biological and biomedical sciences, other",,3,Major,all other 26
7620,r068,"Science and engineering -> Biological and biomedical sciences -> Biological and biomedical sciences, other -> Biology/ biological sciences, general",Science and engineering,Biological and biomedical sciences,"Biological and biomedical sciences, other","Biology/ biological sciences, general",4,Detailed,26.0101
7620,r069,"Science and engineering -> Biological and biomedical sciences -> Biological and biomedical sciences, other -> Biomedical sciences, general",Science and engineering,Biological and biomedical sciences,"Biological and biomedical sciences, other","Biomedical sciences, general",4,Detailed,26.0102
7620,r070,"Science and engineering -> Biological and biomedical sciences -> Biological and biomedical sciences, other -> Botany and plant biology",Science and engineering,Biological and biomedical sciences,"Biological and biomedical sciences, other",Botany and plant biology,4,Detailed,26.0301
7620,r071,"Science and engineering -> Biological and biomedical sciences -> Biological and biomedical sciences, other -> Entomology",Science and engineering,Biological and biomedical sciences,"Biological and biomedical sciences, other",Entomology,4,Detailed,26.0702
7620,r072,"Science and engineering -> Biological and biomedical sciences -> Biological and biomedical sciences, other -> Plant pathology and phytopathology",Science and engineering,Biological and biomedical sciences,"Biological and biomedical sciences, other",Plant pathology and phytopathology,4,Detailed,26.0305
7620,r073,"Science and engineering -> Biological and biomedical sciences -> Biological and biomedical sciences, other -> Plant physiology and biology nec",Science and engineering,Biological and biomedical sciences,"Biological and biomedical sciences, other",Plant physiology and biology nec,4,Detailed,"all 26.03 except 26.0301, 26.0305"
7620,r074,"Science and engineering -> Biological and biomedical sciences -> Biological and biomedical sciences, other -> Zoology and animal biology",Science and engineering,Biological and biomedical sciences,"Biological and biomedical sciences, other",Zoology and animal biology,4,Detailed,all 26.07 except 26.0702
7620,r075,"Science and engineering -> Biological and biomedical sciences -> Biological and biomedical sciences, other -> Biological and biomedical sciences nec",Science and engineering,Biological and biomedical sciences,"Biological and biomedical sciences, other",Biological and biomedical sciences nec,4,Detailed,"26.1201, 26.1401, 26.9999"
7620,r076,Science and engineering -> Computer and information sciences,Science and engineering,Computer and information sciences,,,2,Broad,11 except 11.06
7620,r077,Science and engineering -> Computer and information sciences -> Computer science,Science and engineering,Computer and information sciences,Computer science,,3,Major,11.07
7620,r078,Science and engineering -> Computer and information sciences -> Computer science -> Computer science,Science and engineering,Computer and information sciences,Computer science,Computer science,4,Detailed,11.07
7620,r079,"Science and engineering -> Computer and information sciences -> Computer and information sciences, other",Science and engineering,Computer and information sciences,"Computer and information sciences, other",,3,Major,all 11 except 11.07
7620,r080,"Science and engineering -> Computer and information sciences -> Computer and information sciences, other -> Artificial intelligence",Science and engineering,Computer and information sciences,"Computer and information sciences, other",Artificial intelligence,4,Detailed,11.0102
7620,r081,"Science and engineering -> Computer and information sciences -> Computer and information sciences, other -> Computer and information sciences, general",Science and engineering,Computer and information sciences,"Computer and information sciences, other","Computer and information sciences, general",4,Detailed,11.0101
7620,r082,"Science and engineering -> Computer and information sciences -> Computer and information sciences, other -> Computer systems networking and telecommunications",Science and engineering,Computer and information sciences,"Computer and information sciences, other",Computer systems networking and telecommunications,4,Detailed,"11.09, 11.10"
7620,r083,"Science and engineering -> Computer and information sciences -> Computer and information sciences, other -> Informatics and information technology ",Science and engineering,Computer and information sciences,"Computer and information sciences, other",Informatics and information technology ,4,Detailed,"11.0103, 11.0104, 11.0105"
7620,r084,"Science and engineering -> Computer and information sciences -> Computer and information sciences, other -> Information science/ studies",Science and engineering,Computer and information sciences,"Computer and information sciences, other",Information science/ studies,4,Detailed,11.04
7620,r085,"Science and engineering -> Computer and information sciences -> Computer and information sciences, other -> Computer and information sciences nec",Science and engineering,Computer and information sciences,"Computer and information sciences, other",Computer and information sciences nec,4,Detailed,"11.0199, 11.02, 11.03, 11.05, 11.08, 11.99"
7620,r086,Science and engineering -> Engineering,Science and engineering,Engineering,,,2,Broad,"14, most 15 (see below)"
7620,r087,"Science and engineering -> Engineering -> Biological, biomedical, and biosystems engineering",Science and engineering,Engineering,"Biological, biomedical, and biosystems engineering",,3,Major,"14.05, 14.45, 15.0401"
7620,r088,"Science and engineering -> Engineering -> Biological, biomedical, and biosystems engineering -> Bioengineering and biomedical engineering",Science and engineering,Engineering,"Biological, biomedical, and biosystems engineering",Bioengineering and biomedical engineering,4,Detailed,14.05
7620,r089,"Science and engineering -> Engineering -> Biological, biomedical, and biosystems engineering -> Biological and biosystems engineering and biomedical technology",Science and engineering,Engineering,"Biological, biomedical, and biosystems engineering",Biological and biosystems engineering and biomedical technology,4,Detailed,"14.45, 15.0401"
7620,r090,Science and engineering -> Engineering -> Chemical and petroleum engineering,Science and engineering,Engineering,Chemical and petroleum engineering,,3,Major,"14.07, 14.25, 14.32, 14.40–14.44"
7620,r091,Science and engineering -> Engineering -> Chemical and petroleum engineering -> Chemical and biomolecular engineering,Science and engineering,Engineering,Chemical and petroleum engineering,Chemical and biomolecular engineering,4,Detailed,14.0702
7620,r092,Science and engineering -> Engineering -> Chemical and petroleum engineering -> Chemical engineering,Science and engineering,Engineering,Chemical and petroleum engineering,Chemical engineering,4,Detailed,14.0701
7620,r093,Science and engineering -> Engineering -> Chemical and petroleum engineering -> Petroleum engineering,Science and engineering,Engineering,Chemical and petroleum engineering,Petroleum engineering,4,Detailed,14.25
7620,r094,Science and engineering -> Engineering -> Chemical and petroleum engineering -> Chemical and petroleum engineering nec,Science and engineering,Engineering,Chemical and petroleum engineering,Chemical and petroleum engineering nec,4,Detailed,"14.0799, 14.32, 14.40–14.44"
7620,r095,"Science and engineering -> Engineering -> Civil, environmental, and transportation engineering",Science and engineering,Engineering,"Civil, environmental, and transportation engineering",,3,Major,"14.08, 14.14, 14.33, 14.38, 14.39"
7620,r096,"Science and engineering -> Engineering -> Civil, environmental, and transportation engineering -> Civil engineering",Science and engineering,Engineering,"Civil, environmental, and transportation engineering",Civil engineering,4,Detailed,"14.0801, 14.0899"
7620,r097,"Science and engineering -> Engineering -> Civil, environmental, and transportation engineering -> Environmental/ environmental health engineering",Science and engineering,Engineering,"Civil, environmental, and transportation engineering",Environmental/ environmental health engineering,4,Detailed,14.1401
7620,r098,"Science and engineering -> Engineering -> Civil, environmental, and transportation engineering -> Geotechnical and geoenvironmental engineering",Science and engineering,Engineering,"Civil, environmental, and transportation engineering",Geotechnical and geoenvironmental engineering,4,Detailed,"14.0802, 14.3901"
7620,r099,"Science and engineering -> Engineering -> Civil, environmental, and transportation engineering -> Structural engineering",Science and engineering,Engineering,"Civil, environmental, and transportation engineering",Structural engineering,4,Detailed,14.0803
7620,r100,"Science and engineering -> Engineering -> Civil, environmental, and transportation engineering -> Transportation and highway engineering",Science and engineering,Engineering,"Civil, environmental, and transportation engineering",Transportation and highway engineering,4,Detailed,14.0804
7620,r101,"Science and engineering -> Engineering -> Civil, environmental, and transportation engineering -> Civil, environmental, and transportation engineering nec",Science and engineering,Engineering,"Civil, environmental, and transportation engineering","Civil, environmental, and transportation engineering nec",4,Detailed,"14.04, 14.0805, 14.33, 14.38"
7620,r102,Science and engineering -> Engineering -> Electrical and computer engineering,Science and engineering,Engineering,Electrical and computer engineering,,3,Major,"14.09, 14.10, 14.47"
7620,r103,Science and engineering -> Engineering -> Electrical and computer engineering -> Computer engineering,Science and engineering,Engineering,Electrical and computer engineering,Computer engineering,4,Detailed,14.09
7620,r104,Science and engineering -> Engineering -> Electrical and computer engineering -> Electrical and computer engineering,Science and engineering,Engineering,Electrical and computer engineering,Electrical and computer engineering,4,Detailed,14.47
7620,r105,Science and engineering -> Engineering -> Electrical and computer engineering -> Electrical and electronics engineering,Science and engineering,Engineering,Electrical and computer engineering,Electrical and electronics engineering,4,Detailed,14.1001
7620,r106,Science and engineering -> Engineering -> Electrical and computer engineering -> Electrical and computer engineering nec,Science and engineering,Engineering,Electrical and computer engineering,Electrical and computer engineering nec,4,Detailed,"14.1003, 14.1004, 14.1099"
7620,r107,Science and engineering -> Engineering -> Engineering technologies,Science and engineering,Engineering,Engineering technologies,,3,Major,"all 15 except 15.0401, 15.0801, 15.1102, 15.15, 15.16"
7620,r108,Science and engineering -> Engineering -> Engineering technologies -> Electrical and electronic engineering technologies,Science and engineering,Engineering,Engineering technologies,Electrical and electronic engineering technologies,4,Detailed,15.03
7620,r109,Science and engineering -> Engineering -> Engineering technologies -> Electromechanical technologies,Science and engineering,Engineering,Engineering technologies,Electromechanical technologies,4,Detailed,15.04 except 15.0401
7620,r110,Science and engineering -> Engineering -> Engineering technologies -> Environmental control technologies,Science and engineering,Engineering,Engineering technologies,Environmental control technologies,4,Detailed,15.05
7620,r111,Science and engineering -> Engineering -> Engineering technologies -> Engineering technologies nec,Science and engineering,Engineering,Engineering technologies,Engineering technologies nec,4,Detailed,"all other 15 except 15.0801, 15.1102, 15.15, 15.16"
7620,r112,Science and engineering -> Engineering -> Industrial engineering and operations research,Science and engineering,Engineering,Industrial engineering and operations research,,3,Major,"14.27, 14.35, 14.36, 14.37"
7620,r113,Science and engineering -> Engineering -> Industrial engineering and operations research -> Industrial engineering,Science and engineering,Engineering,Industrial engineering and operations research,Industrial engineering,4,Detailed,14.35
7620,r114,Science and engineering -> Engineering -> Industrial engineering and operations research -> Operations research,Science and engineering,Engineering,Industrial engineering and operations research,Operations research,4,Detailed,14.37
7620,r115,Science and engineering -> Engineering -> Industrial engineering and operations research -> Systems and manufacturing engineering,Science and engineering,Engineering,Industrial engineering and operations research,Systems and manufacturing engineering,4,Detailed,"14.27, 14.36"
7620,r116,Science and engineering -> Engineering -> Materials and mining engineering,Science and engineering,Engineering,Materials and mining engineering,,3,Major,"14.06, 14.18, 14.20, 14.21, 14.28"
7620,r117,Science and engineering -> Engineering -> Materials and mining engineering -> Materials engineering,Science and engineering,Engineering,Materials and mining engineering,Materials engineering,4,Detailed,14.1801a
7620,r118,Science and engineering -> Engineering -> Materials and mining engineering -> Materials science and engineering,Science and engineering,Engineering,Materials and mining engineering,Materials science and engineering,4,Detailed,14.1801b
7620,r119,Science and engineering -> Engineering -> Materials and mining engineering -> Materials and mining engineering nec,Science and engineering,Engineering,Materials and mining engineering,Materials and mining engineering nec,4,Detailed,"14.06, 14.20, 14.21, 14.28"
7620,r120,Science and engineering -> Engineering -> Mechanical engineering,Science and engineering,Engineering,Mechanical engineering,,3,Major,14.19
7620,r121,"Science and engineering -> Engineering -> Mechanical engineering -> Mechanical engineering, general",Science and engineering,Engineering,Mechanical engineering,"Mechanical engineering, general",4,Detailed,14.1901
7620,r122,"Science and engineering -> Engineering -> Engineering, other",Science and engineering,Engineering,"Engineering, other",,3,Major,"all other 14, 15.0801, 15.15, 15.16"
7620,r123,"Science and engineering -> Engineering -> Engineering, other -> Aerospace, aeronautical, astronautical, and space engineering",Science and engineering,Engineering,"Engineering, other","Aerospace, aeronautical, astronautical, and space engineering",4,Detailed,"14.02, 15.0801"
7620,r124,"Science and engineering -> Engineering -> Engineering, other -> Engineering mechanics, physics, and science",Science and engineering,Engineering,"Engineering, other","Engineering mechanics, physics, and science",4,Detailed,"14.11, 14.12, 14.13"
7620,r125,"Science and engineering -> Engineering -> Engineering, other -> Nanotechnology",Science and engineering,Engineering,"Engineering, other",Nanotechnology,4,Detailed,15.16
7620,r126,"Science and engineering -> Engineering -> Engineering, other -> Nuclear engineering",Science and engineering,Engineering,"Engineering, other",Nuclear engineering,4,Detailed,14.23
7620,r127,"Science and engineering -> Engineering -> Engineering, other -> Engineering nec",Science and engineering,Engineering,"Engineering, other",Engineering nec,4,Detailed,"14.01, 14.03, 14.22, 14.24, 14.34, 14.48, 14.99, 15.15"
7620,r128,"Science and engineering -> Geosciences, atmospheric and ocean sciences",Science and engineering,"Geosciences, atmospheric and ocean sciences",,,2,Broad,"40.04, 40.06, 15.1102, 26.1302, 30.32, 30.35, 30.38, 30.41"
7620,r129,"Science and engineering -> Geosciences, atmospheric and ocean sciences -> Geological and earth sciences",Science and engineering,"Geosciences, atmospheric and ocean sciences",Geological and earth sciences,,3,Major,"40.06, 15.1102, 30.38, 30.41"
7620,r130,"Science and engineering -> Geosciences, atmospheric and ocean sciences -> Geological and earth sciences -> Geochemistry",Science and engineering,"Geosciences, atmospheric and ocean sciences",Geological and earth sciences,Geochemistry,4,Detailed,"40.0602, 40.0606"
7620,r131,"Science and engineering -> Geosciences, atmospheric and ocean sciences -> Geological and earth sciences -> Geology",Science and engineering,"Geosciences, atmospheric and ocean sciences",Geological and earth sciences,Geology,4,Detailed,40.0601c
7620,r132,"Science and engineering -> Geosciences, atmospheric and ocean sciences -> Geological and earth sciences -> Geology/ earth science, general",Science and engineering,"Geosciences, atmospheric and ocean sciences",Geological and earth sciences,"Geology/ earth science, general",4,Detailed,40.0601a/b
7620,r133,"Science and engineering -> Geosciences, atmospheric and ocean sciences -> Geological and earth sciences -> Geophysics and seismology",Science and engineering,"Geosciences, atmospheric and ocean sciences",Geological and earth sciences,Geophysics and seismology,4,Detailed,40.0603
