table_id,row_id,state_or_location_full_path,state_or_location_level_1,state_or_location_level_2,state_or_location_hierarchy_depth,field_totala_male,field_totala_female,field_life_sciencesb_male,field_life_sciencesb_female,field_physical_sciences_and_earth_sciences_male,field_physical_sciences_and_earth_sciences_female,field_mathematics_and_computer_sciences_male,field_mathematics_and_computer_sciences_female,field_psychology_and_social_sciences_male,field_psychology_and_social_sciences_female,field_engineering_male,field_engineering_female,field_education_male,field_education_female,field_humanities_and_arts_male,field_humanities_and_arts_female,field_otherc_male,field_otherc_female
946,r040,United States<sup>d</sup> -> Pennsylvania,United States<sup>d</sup>,Pennsylvania,2,1408,1218,263,325,163,85,148,58,148,208,407,138,78,152,123,162,78,90
946,r041,United States<sup>d</sup> -> Puerto Rico,United States<sup>d</sup>,Puerto Rico,2,29,54,,,,,,,9,33,,,0,0,8,10,,
946,r042,United States<sup>d</sup> -> Rhode Island,United States<sup>d</sup>,Rhode Island,2,169,153,31,36,31,16,,,17,41,31,8,,,27,35,,
946,r043,United States<sup>d</sup> -> South Carolina,United States<sup>d</sup>,South Carolina,2,266,240,36,64,32,27,24,8,34,31,92,49,20,38,15,9,13,14
946,r044,United States<sup>d</sup> -> South Dakota,United States<sup>d</sup>,South Dakota,2,76,34,24,13,,,,,10,9,,,,,,,0,0
946,r045,United States<sup>d</sup> -> Tennessee,United States<sup>d</sup>,Tennessee,2,524,508,105,165,59,28,42,10,64,89,137,48,44,98,53,44,20,26
946,r046,United States<sup>d</sup> -> Texas,United States<sup>d</sup>,Texas,2,2186,1879,412,493,282,142,209,87,200,353,660,217,117,269,178,171,128,147
946,r047,United States<sup>d</sup> -> Utah,United States<sup>d</sup>,Utah,2,315,193,71,45,40,14,42,7,35,47,82,17,27,36,8,17,10,10
946,r048,United States<sup>d</sup> -> Vermont,United States<sup>d</sup>,Vermont,2,29,32,10,15,,,,,,,,,,,,,0,0
946,r049,United States<sup>d</sup> -> Virginia,United States<sup>d</sup>,Virginia,2,799,714,114,151,96,49,73,30,125,152,222,69,61,142,53,74,55,47
946,r050,United States<sup>d</sup> -> Washington,United States<sup>d</sup>,Washington,2,470,444,103,153,72,38,47,21,47,69,127,44,25,50,25,36,24,33
946,r051,United States<sup>d</sup> -> West Virginia,United States<sup>d</sup>,West Virginia,2,96,87,26,26,,,,,11,20,26,6,,,7,13,,
946,r052,United States<sup>d</sup> -> Wisconsin,United States<sup>d</sup>,Wisconsin,2,633,496,148,163,85,36,62,13,64,74,146,29,35,75,76,64,17,42
946,r053,United States<sup>d</sup> -> Wyoming,United States<sup>d</sup>,Wyoming,2,62,39,19,9,11,7,,,12,6,,,,,,,,
