table_id,row_id,_b_broad_field_b_full_path,_b_broad_field_b_level_1,_b_broad_field_b_level_2,_b_broad_field_b_level_3,_b_broad_field_b_level_4,_b_broad_field_b_hierarchy_depth,field_total,field_fellowships_number,field_fellowships_percent,field_research_assistantships_number,field_research_assistantships_percent,field_teaching_assistantships_number,field_teaching_assistantships_percent,field_traineeships_number,field_traineeships_percent,field_other_types_of_support_self_support_number,field_other_types_of_support_self_support_percent,field_other_types_of_support_other_number,field_other_types_of_support_other_percent
6085,r019,"All graduate students -> Engineering -> Industrial, manufacturing, systems engineering and operations research",All graduate students,Engineering,"Industrial, manufacturing, systems engineering and operations research",,3,7728,404,5.2,1545,20.0,982,12.7,62,0.8,3769,48.8,966,12.5
6085,r020,All graduate students -> Engineering -> Mechanical engineering,All graduate students,Engineering,Mechanical engineering,,3,18680,1448,7.8,6682,35.8,2985,16.0,174,0.9,5643,30.2,1748,9.4
6085,r021,"All graduate students -> Engineering -> Metallurgical, mining, materials and related engineering fields",All graduate students,Engineering,"Metallurgical, mining, materials and related engineering fields",,3,6063,700,11.5,2770,45.7,616,10.2,57,0.9,1506,24.8,414,6.8
6085,r022,All graduate students -> Engineering -> Other engineering,All graduate students,Engineering,Other engineering,,3,10701,751,7.0,4025,37.6,1039,9.7,86,0.8,3693,34.5,1107,10.3
6085,r023,All graduate students -> Health,All graduate students,Health,,,2,49734,1732,3.5,4761,9.6,3812,7.7,1450,2.9,31980,64.3,5999,12.1
6085,r024,All graduate students -> Health -> Clinical medicine<sup>a</sup>,All graduate students,Health,Clinical medicine<sup>a</sup>,,3,20528,733,3.6,1864,9.1,1021,5.0,786,3.8,13816,67.3,2308,11.2
6085,r025,All graduate students -> Health -> Other health,All graduate students,Health,Other health,,3,29206,999,3.4,2897,9.9,2791,9.6,664,2.3,18164,62.2,3691,12.6
6085,r026,All graduate students -> Master's students,All graduate students,Master's students,,,2,243859,6112,2.5,19274,7.9,21699,8.9,2268,0.9,169099,69.3,25407,10.4
6085,r027,All graduate students -> Master's students -> Science,All graduate students,Master's students,Science,,3,155502,3977,2.6,11699,7.5,15580,10.0,1144,0.7,107842,69.4,15260,9.8
6085,r028,All graduate students -> Master's students -> Science -> Agricultural and veterinary sciences,All graduate students,Master's students,Science,Agricultural and veterinary sciences,4,3731,119,3.2,1880,50.4,468,12.5,45,1.2,974,26.1,245,6.6
6085,r029,All graduate students -> Master's students -> Science -> Biological and biomedical sciences,All graduate students,Master's students,Science,Biological and biomedical sciences,4,26473,473,1.8,2294,8.7,3059,11.6,157,0.6,18062,68.2,2428,9.2
6085,r030,All graduate students -> Master's students -> Science -> Computer and information sciences,All graduate students,Master's students,Science,Computer and information sciences,4,39929,465,1.2,1668,4.2,3258,8.2,205,0.5,30649,76.8,3684,9.2
6085,r031,"All graduate students -> Master's students -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All graduate students,Master's students,Science,"Geosciences, atmospheric sciences, and ocean sciences",4,3649,130,3.6,1051,28.8,1186,32.5,16,0.4,979,26.8,287,7.9
6085,r032,All graduate students -> Master's students -> Science -> Mathematics and statistics,All graduate students,Master's students,Science,Mathematics and statistics,4,11622,169,1.5,325,2.8,1668,14.4,60,0.5,8498,73.1,902,7.8
6085,r033,All graduate students -> Master's students -> Science -> Multidisciplinary and interdisciplinary studies,All graduate students,Master's students,Science,Multidisciplinary and interdisciplinary studies,4,6169,251,4.1,236,3.8,273,4.4,24,0.4,4884,79.2,501,8.1
6085,r034,All graduate students -> Master's students -> Science -> Natural resources and conservation,All graduate students,Master's students,Science,Natural resources and conservation,4,5536,446,8.1,1183,21.4,625,11.3,56,1.0,2788,50.4,438,7.9
6085,r035,All graduate students -> Master's students -> Science -> Physical sciences,All graduate students,Master's students,Science,Physical sciences,4,3686,70,1.9,528,14.3,1077,29.2,61,1.7,1606,43.6,344,9.3
6085,r036,All graduate students -> Master's students -> Science -> Psychology,All graduate students,Master's students,Science,Psychology,4,28716,120,0.4,1017,3.5,1250,4.4,227,0.8,23609,82.2,2493,8.7
6085,r037,All graduate students -> Master's students -> Science -> Social sciences,All graduate students,Master's students,Science,Social sciences,4,25991,1734,6.7,1517,5.8,2716,10.4,293,1.1,15793,60.8,3938,15.2
6085,r038,All graduate students -> Master's students -> Engineering,All graduate students,Master's students,Engineering,,3,49179,1426,2.9,5840,11.9,4253,8.6,413,0.8,31736,64.5,5511,11.2
6085,r039,"All graduate students -> Master's students -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All graduate students,Master's students,Engineering,"Aerospace, aeronautical, and astronautical engineering",4,2298,111,4.8,464,20.2,214,9.3,39,1.7,1184,51.5,286,12.4
6085,r040,"All graduate students -> Master's students -> Engineering -> Biological, biomedical, and biosystems engineering",All graduate students,Master's students,Engineering,"Biological, biomedical, and biosystems engineering",4,3416,106,3.1,277,8.1,304,8.9,32,0.9,2349,68.8,348,10.2
6085,r041,"All graduate students -> Master's students -> Engineering -> Chemical, petroleum, and chemical-related engineering",All graduate students,Master's students,Engineering,"Chemical, petroleum, and chemical-related engineering",4,1898,60,3.2,246,13.0,189,10.0,20,1.1,1168,61.5,215,11.3
6085,r042,"All graduate students -> Master's students -> Engineering -> Civil, environmental, transportation and related engineering fields",All graduate students,Master's students,Engineering,"Civil, environmental, transportation and related engineering fields",4,6487,353,5.4,1148,17.7,716,11.0,67,1.0,3437,53.0,766,11.8
6085,r043,"All graduate students -> Master's students -> Engineering -> Electrical, electronics, communications and computer engineering",All graduate students,Master's students,Engineering,"Electrical, electronics, communications and computer engineering",4,15329,232,1.5,1157,7.5,1301,8.5,95,0.6,11209,73.1,1335,8.7
6085,r044,"All graduate students -> Master's students -> Engineering -> Industrial, manufacturing, systems engineering and operations research",All graduate students,Master's students,Engineering,"Industrial, manufacturing, systems engineering and operations research",4,4820,125,2.6,320,6.6,237,4.9,49,1.0,3380,70.1,709,14.7
6085,r045,All graduate students -> Master's students -> Engineering -> Mechanical engineering,All graduate students,Master's students,Engineering,Mechanical engineering,4,8461,197,2.3,1315,15.5,859,10.2,80,0.9,4882,57.7,1128,13.3
6085,r046,"All graduate students -> Master's students -> Engineering -> Metallurgical, mining, materials and related engineering fields",All graduate students,Master's students,Engineering,"Metallurgical, mining, materials and related engineering fields",4,1566,81,5.2,263,16.8,127,8.1,8,0.5,957,61.1,130,8.3
6085,r047,All graduate students -> Master's students -> Engineering -> Other engineering,All graduate students,Master's students,Engineering,Other engineering,4,4904,161,3.3,650,13.3,306,6.2,23,0.5,3170,64.6,594,12.1
6085,r048,All graduate students -> Master's students -> Health,All graduate students,Master's students,Health,,3,39178,709,1.8,1735,4.4,1866,4.8,711,1.8,29521,75.4,4636,11.8
6085,r049,All graduate students -> Master's students -> Health -> Clinical medicine<sup>a</sup>,All graduate students,Master's students,Health,Clinical medicine<sup>a</sup>,4,17186,456,2.7,799,4.6,573,3.3,431,2.5,13000,75.6,1927,11.2
6085,r050,All graduate students -> Master's students -> Health -> Other health,All graduate students,Master's students,Health,Other health,4,21992,253,1.2,936,4.3,1293,5.9,280,1.3,16521,75.1,2709,12.3
6085,r051,All graduate students -> Doctoral students,All graduate students,Doctoral students,,,2,247656,37350,15.1,95827,38.7,63593,25.7,9751,3.9,23572,9.5,17563,7.1
6085,r052,All graduate students -> Doctoral students -> Science,All graduate students,Doctoral students,Science,,3,175039,28021,16.0,59411,33.9,51713,29.5,8030,4.6,16055,9.2,11809,6.7
6085,r053,All graduate students -> Doctoral students -> Science -> Agricultural and veterinary sciences,All graduate students,Doctoral students,Science,Agricultural and veterinary sciences,4,3540,287,8.1,2248,63.5,524,14.8,24,0.7,332,9.4,125,3.5
6085,r054,All graduate students -> Doctoral students -> Science -> Biological and biomedical sciences,All graduate students,Doctoral students,Science,Biological and biomedical sciences,4,51107,9544,18.7,22002,43.1,7585,14.8,5733,11.2,2245,4.4,3998,7.8
6085,r055,All graduate students -> Doctoral students -> Science -> Computer and information sciences,All graduate students,Doctoral students,Science,Computer and information sciences,4,15473,1853,12.0,6890,44.5,4010,25.9,166,1.1,1709,11.0,845,5.5
6085,r056,"All graduate students -> Doctoral students -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All graduate students,Doctoral students,Science,"Geosciences, atmospheric sciences, and ocean sciences",4,5807,1003,17.3,2700,46.5,1343,23.1,83,1.4,417,7.2,261,4.5
6085,r057,All graduate students -> Doctoral students -> Science -> Mathematics and statistics,All graduate students,Doctoral students,Science,Mathematics and statistics,4,12419,1690,13.6,1783,14.4,7430,59.8,157,1.3,859,6.9,500,4.0
6085,r058,All graduate students -> Doctoral students -> Science -> Multidisciplinary and interdisciplinary studies,All graduate students,Doctoral students,Science,Multidisciplinary and interdisciplinary studies,4,2870,673,23.4,769,26.8,569,19.8,70,2.4,480,16.7,309,10.8
6085,r059,All graduate students -> Doctoral students -> Science -> Natural resources and conservation,All graduate students,Doctoral students,Science,Natural resources and conservation,4,2912,429,14.7,1250,42.9,652,22.4,35,1.2,378,13.0,168,5.8
6085,r060,All graduate students -> Doctoral students -> Science -> Physical sciences,All graduate students,Doctoral students,Science,Physical sciences,4,33952,4124,12.1,14028,41.3,12345,36.4,596,1.8,1475,4.3,1384,4.1
6085,r061,All graduate students -> Doctoral students -> Science -> Psychology,All graduate students,Doctoral students,Science,Psychology,4,17452,1804,10.3,3709,21.3,5381,30.8,589,3.4,4273,24.5,1696,9.7
6085,r062,All graduate students -> Doctoral students -> Science -> Social sciences,All graduate students,Doctoral students,Science,Social sciences,4,29507,6614,22.4,4032,13.7,11874,40.2,577,2.0,3887,13.2,2523,8.6
6085,r063,All graduate students -> Doctoral students -> Engineering,All graduate students,Doctoral students,Engineering,,3,62061,8306,13.4,33390,53.8,9934,16.0,982,1.6,5058,8.2,4391,7.1
6085,r064,"All graduate students -> Doctoral students -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All graduate students,Doctoral students,Engineering,"Aerospace, aeronautical, and astronautical engineering",4,2301,317,13.8,1272,55.3,377,16.4,22,1.0,172,7.5,141,6.1
6085,r065,"All graduate students -> Doctoral students -> Engineering -> Biological, biomedical, and biosystems engineering",All graduate students,Doctoral students,Engineering,"Biological, biomedical, and biosystems engineering",4,7659,1578,20.6,3936,51.4,662,8.6,463,6.0,328,4.3,692,9.0
6085,r066,"All graduate students -> Doctoral students -> Engineering -> Chemical, petroleum, and chemical-related engineering",All graduate students,Doctoral students,Engineering,"Chemical, petroleum, and chemical-related engineering",4,7132,1280,17.9,4097,57.4,971,13.6,110,1.5,341,4.8,333,4.7
6085,r067,"All graduate students -> Doctoral students -> Engineering -> Civil, environmental, transportation and related engineering fields",All graduate students,Doctoral students,Engineering,"Civil, environmental, transportation and related engineering fields",4,6374,699,11.0,3340,52.4,1159,18.2,68,1.1,688,10.8,420,6.6
6085,r068,"All graduate students -> Doctoral students -> Engineering -> Electrical, electronics, communications and computer engineering",All graduate students,Doctoral students,Engineering,"Electrical, electronics, communications and computer engineering",4,15174,1693,11.2,8271,54.5,2672,17.6,100,0.7,1307,8.6,1131,7.5
6085,r069,"All graduate students -> Doctoral students -> Engineering -> Industrial, manufacturing, systems engineering and operations research",All graduate students,Doctoral students,Engineering,"Industrial, manufacturing, systems engineering and operations research",4,2908,279,9.6,1225,42.1,745,25.6,13,0.4,389,13.4,257,8.8
6085,r070,All graduate students -> Doctoral students -> Engineering -> Mechanical engineering,All graduate students,Doctoral students,Engineering,Mechanical engineering,4,10219,1251,12.2,5367,52.5,2126,20.8,94,0.9,761,7.4,620,6.1
6085,r071,"All graduate students -> Doctoral students -> Engineering -> Metallurgical, mining, materials and related engineering fields",All graduate students,Doctoral students,Engineering,"Metallurgical, mining, materials and related engineering fields",4,4497,619,13.8,2507,55.7,489,10.9,49,1.1,549,12.2,284,6.3
6085,r072,All graduate students -> Doctoral students -> Engineering -> Other engineering,All graduate students,Doctoral students,Engineering,Other engineering,4,5797,590,10.2,3375,58.2,733,12.6,63,1.1,523,9.0,513,8.8
6085,r073,All graduate students -> Doctoral students -> Health,All graduate students,Doctoral students,Health,,3,10556,1023,9.7,3026,28.7,1946,18.4,739,7.0,2459,23.3,1363,12.9
6085,r074,All graduate students -> Doctoral students -> Health -> Clinical medicine<sup>a</sup>,All graduate students,Doctoral students,Health,Clinical medicine<sup>a</sup>,4,3342,277,8.3,1065,31.9,448,13.4,355,10.6,816,24.4,381,11.4
6085,r075,All graduate students -> Doctoral students -> Health -> Other health,All graduate students,Doctoral students,Health,Other health,4,7214,746,10.3,1961,27.2,1498,20.8,384,5.3,1643,22.8,982,13.6
