table_id,row_id,_b_detailed_field_b_full_path,_b_detailed_field_b_level_1,_b_detailed_field_b_level_2,_b_detailed_field_b_level_3,_b_detailed_field_b_level_4,_b_detailed_field_b_hierarchy_depth,field_total_number,field_total_percent,field_u_s_citizens_and_permanent_residents_hispanic_or_latino_number,field_u_s_citizens_and_permanent_residents_hispanic_or_latino_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race_percent,field_u_s_citizens_and_permanent_residents_unknown_ethnicity_and_race_number,field_u_s_citizens_and_permanent_residents_unknown_ethnicity_and_race_percent,field_temporary_visa_holders_number,field_temporary_visa_holders_percent
8324,r013,All detailed fields -> Science -> Biological and biomedical sciences -> Botany and plant biology,All detailed fields,Science,Biological and biomedical sciences,Botany and plant biology,4,363,0.1,38,0.1,0,0.0,9,0.05,10,0.05,1,0.2,207,0.1,13,0.1,11,0.1,74,0.1
8324,r014,"All detailed fields -> Science -> Biological and biomedical sciences -> Cell, cellular biology, and anatomical sciences",All detailed fields,Science,Biological and biomedical sciences,"Cell, cellular biology, and anatomical sciences",4,1210,0.3,165,0.3,3,0.2,140,0.3,81,0.2,4,0.7,492,0.3,61,0.5,94,0.6,170,0.1
8324,r015,All detailed fields -> Science -> Biological and biomedical sciences -> Ecology and population biology,All detailed fields,Science,Biological and biomedical sciences,Ecology and population biology,4,1201,0.3,101,0.2,8,0.6,27,0.1,32,0.1,5,0.8,849,0.5,40,0.3,50,0.3,89,0.1
8324,r016,All detailed fields -> Science -> Biological and biomedical sciences -> Epidemiology,All detailed fields,Science,Biological and biomedical sciences,Epidemiology,4,3623,0.8,459,0.9,3,0.2,527,1.3,376,1.1,5,0.8,1372,0.7,110,0.9,112,0.7,659,0.5
8324,r017,All detailed fields -> Science -> Biological and biomedical sciences -> Genetics,All detailed fields,Science,Biological and biomedical sciences,Genetics,4,718,0.2,60,0.1,3,0.2,81,0.2,32,0.1,2,0.3,418,0.2,30,0.2,21,0.1,71,0.1
8324,r018,All detailed fields -> Science -> Biological and biomedical sciences -> Microbiological sciences and immunology,All detailed fields,Science,Biological and biomedical sciences,Microbiological sciences and immunology,4,2011,0.4,335,0.7,6,0.4,209,0.5,133,0.4,1,0.2,964,0.5,69,0.6,104,0.6,190,0.1
8324,r019,All detailed fields -> Science -> Biological and biomedical sciences -> Molecular biology,All detailed fields,Science,Biological and biomedical sciences,Molecular biology,4,405,0.1,55,0.1,0,0.0,47,0.1,38,0.1,1,0.2,171,0.1,14,0.1,17,0.1,62,0.05
8324,r020,All detailed fields -> Science -> Biological and biomedical sciences -> Neurobiology and neuroscience,All detailed fields,Science,Biological and biomedical sciences,Neurobiology and neuroscience,4,591,0.1,96,0.2,2,0.1,79,0.2,39,0.1,1,0.2,285,0.2,15,0.1,20,0.1,54,0.05
8324,r021,All detailed fields -> Science -> Biological and biomedical sciences -> Nutrition science,All detailed fields,Science,Biological and biomedical sciences,Nutrition science,4,2871,0.6,331,0.7,8,0.6,220,0.5,140,0.4,2,0.3,1679,0.9,82,0.7,130,0.8,279,0.2
8324,r022,All detailed fields -> Science -> Biological and biomedical sciences -> Pathology and experimental pathology,All detailed fields,Science,Biological and biomedical sciences,Pathology and experimental pathology,4,100,0.05,5,0.05,0,0.0,13,0.05,6,0.05,1,0.2,43,0.05,4,0.05,1,0.05,27,0.05
8324,r023,All detailed fields -> Science -> Biological and biomedical sciences -> Pharmacology and toxicology,All detailed fields,Science,Biological and biomedical sciences,Pharmacology and toxicology,4,926,0.2,74,0.2,2,0.1,128,0.3,48,0.1,1,0.2,397,0.2,13,0.1,33,0.2,230,0.2
8324,r024,All detailed fields -> Science -> Biological and biomedical sciences -> Physiology,All detailed fields,Science,Biological and biomedical sciences,Physiology,4,2898,0.6,292,0.6,5,0.4,335,0.8,323,1.0,6,1.0,1403,0.8,110,0.9,140,0.9,284,0.2
8324,r025,All detailed fields -> Science -> Biological and biomedical sciences -> Zoology and animal biology,All detailed fields,Science,Biological and biomedical sciences,Zoology and animal biology,4,927,0.2,75,0.2,4,0.3,24,0.1,37,0.1,0,0.0,644,0.3,33,0.3,24,0.1,86,0.1
8324,r026,All detailed fields -> Science -> Biological and biomedical sciences -> Biological and biomedical sciences nec,All detailed fields,Science,Biological and biomedical sciences,Biological and biomedical sciences nec,4,2871,0.6,409,0.8,3,0.2,334,0.8,540,1.6,16,2.7,1203,0.7,92,0.7,135,0.8,139,0.1
8324,r027,All detailed fields -> Science -> Computer and information sciences,All detailed fields,Science,Computer and information sciences,,3,102199,21.9,5106,10.5,121,8.9,11428,28.1,5390,16.3,76,12.7,22742,12.3,1742,14.2,2965,18.1,52629,40.8
8324,r028,"All detailed fields -> Science -> Computer and information sciences -> Artificial intelligence, informatics, and computer and information science topics ",All detailed fields,Science,Computer and information sciences,"Artificial intelligence, informatics, and computer and information science topics ",4,4504,1.0,223,0.5,15,1.1,479,1.2,219,0.7,1,0.2,1191,0.6,70,0.6,99,0.6,2207,1.7
8324,r029,All detailed fields -> Science -> Computer and information sciences -> Computer and information sciences,All detailed fields,Science,Computer and information sciences,Computer and information sciences,4,30804,6.6,1391,2.9,23,1.7,3898,9.6,860,2.6,18,3.0,6939,3.8,507,4.1,511,3.1,16657,12.9
8324,r030,All detailed fields -> Science -> Computer and information sciences -> Computer and information systems security ,All detailed fields,Science,Computer and information sciences,Computer and information systems security ,4,8401,1.8,794,1.6,19,1.4,1039,2.6,1430,4.3,12,2.0,2933,1.6,253,2.1,493,3.0,1428,1.1
8324,r031,All detailed fields -> Science -> Computer and information sciences -> Computer science,All detailed fields,Science,Computer and information sciences,Computer science,4,30361,6.5,806,1.7,20,1.5,2965,7.3,552,1.7,11,1.8,4316,2.3,379,3.1,785,4.8,20527,15.9
8324,r032,All detailed fields -> Science -> Computer and information sciences -> Information science and studies,All detailed fields,Science,Computer and information sciences,Information science and studies,4,13098,2.8,854,1.8,16,1.2,1537,3.8,1331,4.0,18,3.0,3776,2.0,245,2.0,519,3.2,4802,3.7
8324,r033,All detailed fields -> Science -> Computer and information sciences -> Information technology,All detailed fields,Science,Computer and information sciences,Information technology,4,7527,1.6,502,1.0,18,1.3,787,1.9,515,1.6,9,1.5,1493,0.8,137,1.1,181,1.1,3885,3.0
8324,r034,All detailed fields -> Science -> Computer and information sciences -> Computer and information sciences nec ,All detailed fields,Science,Computer and information sciences,Computer and information sciences nec ,4,7504,1.6,536,1.1,10,0.7,723,1.8,483,1.5,7,1.2,2094,1.1,151,1.2,377,2.3,3123,2.4
8324,r035,"All detailed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All detailed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,5520,1.2,571,1.2,18,1.3,168,0.4,159,0.5,6,1.0,3748,2.0,186,1.5,161,1.0,503,0.4
8324,r036,"All detailed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric sciences and meteorology",All detailed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric sciences and meteorology,4,487,0.1,29,0.1,1,0.1,14,0.05,11,0.05,1,0.2,333,0.2,22,0.2,11,0.1,65,0.1
8324,r037,"All detailed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All detailed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,4,3534,0.8,378,0.8,17,1.3,110,0.3,101,0.3,2,0.3,2382,1.3,104,0.8,93,0.6,347,0.3
8324,r038,"All detailed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean and marine sciences",All detailed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Ocean and marine sciences,4,1499,0.3,164,0.3,0,0.0,44,0.1,47,0.1,3,0.5,1033,0.6,60,0.5,57,0.3,91,0.1
8324,r039,"All detailed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences nec",All detailed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences nec",4,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne
8324,r040,All detailed fields -> Science -> Mathematics and statistics,All detailed fields,Science,Mathematics and statistics,,3,20639,4.4,1310,2.7,22,1.6,1951,4.8,535,1.6,9,1.5,5913,3.2,309,2.5,502,3.1,10088,7.8
8324,r041,All detailed fields -> Science -> Mathematics and statistics -> Applied mathematics,All detailed fields,Science,Mathematics and statistics,Applied mathematics,4,8899,1.9,389,0.8,5,0.4,662,1.6,148,0.4,4,0.7,1597,0.9,99,0.8,178,1.1,5817,4.5
8324,r042,All detailed fields -> Science -> Mathematics and statistics -> Mathematics,All detailed fields,Science,Mathematics and statistics,Mathematics,4,4164,0.9,490,1.0,10,0.7,291,0.7,178,0.5,0,0.0,2134,1.2,92,0.7,136,0.8,833,0.6
8324,r043,All detailed fields -> Science -> Mathematics and statistics -> Statistics,All detailed fields,Science,Mathematics and statistics,Statistics,4,7576,1.6,431,0.9,7,0.5,998,2.5,209,0.6,5,0.8,2182,1.2,118,1.0,188,1.1,3438,2.7
8324,r044,All detailed fields -> Science -> Multidisciplinary and interdisciplinary studies,All detailed fields,Science,Multidisciplinary and interdisciplinary studies,,3,11994,2.6,1228,2.5,20,1.5,1237,3.0,754,2.3,11,1.8,4766,2.6,344,2.8,371,2.3,3263,2.5
8324,r045,All detailed fields -> Science -> Multidisciplinary and interdisciplinary studies -> Biological and physical sciences,All detailed fields,Science,Multidisciplinary and interdisciplinary studies,Biological and physical sciences,4,874,0.2,88,0.2,1,0.1,115,0.3,65,0.2,1,0.2,349,0.2,37,0.3,41,0.3,177,0.1
8324,r046,All detailed fields -> Science -> Multidisciplinary and interdisciplinary studies -> Computational science,All detailed fields,Science,Multidisciplinary and interdisciplinary studies,Computational science,4,2088,0.4,130,0.3,3,0.2,212,0.5,67,0.2,3,0.5,773,0.4,47,0.4,40,0.2,813,0.6
8324,r047,All detailed fields -> Science -> Multidisciplinary and interdisciplinary studies -> Data science and data analytics,All detailed fields,Science,Multidisciplinary and interdisciplinary studies,Data science and data analytics,4,2358,0.5,229,0.5,2,0.1,324,0.8,100,0.3,2,0.3,955,0.5,50,0.4,67,0.4,629,0.5
8324,r048,All detailed fields -> Science -> Multidisciplinary and interdisciplinary studies -> International and global studies,All detailed fields,Science,Multidisciplinary and interdisciplinary studies,International and global studies,4,1267,0.3,247,0.5,1,0.1,100,0.2,111,0.3,0,0.0,557,0.3,49,0.4,49,0.3,153,0.1
8324,r049,All detailed fields -> Science -> Multidisciplinary and interdisciplinary studies -> Multidisciplinary and interdisciplinary studies nec,All detailed fields,Science,Multidisciplinary and interdisciplinary studies,Multidisciplinary and interdisciplinary studies nec,4,5407,1.2,534,1.1,13,1.0,486,1.2,411,1.2,5,0.8,2132,1.2,161,1.3,174,1.1,1491,1.2
8324,r050,All detailed fields -> Science -> Natural resources and conservation,All detailed fields,Science,Natural resources and conservation,,3,10012,2.1,1028,2.1,81,6.0,344,0.8,335,1.0,31,5.2,6611,3.6,386,3.1,279,1.7,917,0.7
8324,r051,All detailed fields -> Science -> Natural resources and conservation -> Environmental science and studies,All detailed fields,Science,Natural resources and conservation,Environmental science and studies,4,4851,1.0,602,1.2,39,2.9,217,0.5,155,0.5,24,4.0,2975,1.6,168,1.4,134,0.8,537,0.4
8324,r052,"All detailed fields -> Science -> Natural resources and conservation -> Forestry, natural resources, and conservation",All detailed fields,Science,Natural resources and conservation,"Forestry, natural resources, and conservation",4,5161,1.1,426,0.9,42,3.1,127,0.3,180,0.5,7,1.2,3636,2.0,218,1.8,145,0.9,380,0.3
8324,r053,All detailed fields -> Science -> Physical sciences,All detailed fields,Science,Physical sciences,,3,6409,1.4,782,1.6,24,1.8,463,1.1,334,1.0,7,1.2,2964,1.6,177,1.4,187,1.1,1471,1.1
8324,r054,All detailed fields -> Science -> Physical sciences -> Astronomy and astrophysics,All detailed fields,Science,Physical sciences,Astronomy and astrophysics,4,85,0.05,12,0.05,0,0.0,11,0.05,4,0.05,0,0.0,40,0.05,4,0.05,3,0.05,11,0.05
8324,r055,All detailed fields -> Science -> Physical sciences -> Chemistry,All detailed fields,Science,Physical sciences,Chemistry,4,3066,0.7,419,0.9,13,1.0,246,0.6,220,0.7,6,1.0,1359,0.7,74,0.6,72,0.4,657,0.5
8324,r056,All detailed fields -> Science -> Physical sciences -> Materials sciences,All detailed fields,Science,Physical sciences,Materials sciences,4,439,0.1,37,0.1,0,0.0,41,0.1,16,0.05,0,0.0,131,0.1,7,0.1,8,0.05,199,0.2
8324,r057,All detailed fields -> Science -> Physical sciences -> Physics,All detailed fields,Science,Physical sciences,Physics,4,2278,0.5,280,0.6,9,0.7,135,0.3,72,0.2,1,0.2,1085,0.6,70,0.6,81,0.5,545,0.4
8324,r058,All detailed fields -> Science -> Physical sciences -> Physical sciences nec,All detailed fields,Science,Physical sciences,Physical sciences nec,4,541,0.1,34,0.1,2,0.1,30,0.1,22,0.1,0,0.0,349,0.2,22,0.2,23,0.1,59,0.05
8324,r059,All detailed fields -> Science -> Psychology,All detailed fields,Science,Psychology,,3,51878,11.1,10248,21.1,195,14.4,2483,6.1,5808,17.5,91,15.2,26061,14.1,1886,15.3,3268,20.0,1838,1.4
8324,r060,All detailed fields -> Science -> Psychology -> Applied psychology,All detailed fields,Science,Psychology,Applied psychology,4,19517,4.2,4293,8.8,55,4.1,1004,2.5,1763,5.3,32,5.4,10110,5.5,675,5.5,1104,6.7,481,0.4
8324,r061,All detailed fields -> Science -> Psychology -> Clinical psychology,All detailed fields,Science,Psychology,Clinical psychology,4,4167,0.9,1116,2.3,14,1.0,262,0.6,366,1.1,22,3.7,1844,1.0,240,2.0,153,0.9,150,0.1
8324,r062,All detailed fields -> Science -> Psychology -> Counseling psychology,All detailed fields,Science,Psychology,Counseling psychology,4,16965,3.6,2953,6.1,86,6.3,591,1.5,2416,7.3,24,4.0,8450,4.6,562,4.6,1637,10.0,246,0.2
8324,r063,All detailed fields -> Science -> Psychology -> Human development,All detailed fields,Science,Psychology,Human development,4,1566,0.3,263,0.5,9,0.7,59,0.1,149,0.4,1,0.2,883,0.5,44,0.4,68,0.4,90,0.1
8324,r064,"All detailed fields -> Science -> Psychology -> Psychology, general",All detailed fields,Science,Psychology,"Psychology, general",4,7329,1.6,1240,2.5,25,1.8,365,0.9,890,2.7,10,1.7,3742,2.0,301,2.4,218,1.3,538,0.4
8324,r065,All detailed fields -> Science -> Psychology -> Research and experimental psychology,All detailed fields,Science,Psychology,Research and experimental psychology,4,2334,0.5,383,0.8,6,0.4,202,0.5,224,0.7,2,0.3,1032,0.6,64,0.5,88,0.5,333,0.3
8324,r066,All detailed fields -> Science -> Social sciences,All detailed fields,Science,Social sciences,,3,47616,10.2,6377,13.1,238,17.6,2460,6.1,4569,13.8,81,13.6,22346,12.1,1471,12.0,1884,11.5,8190,6.4
8324,r067,All detailed fields -> Science -> Social sciences -> Agricultural and natural resource economics,All detailed fields,Science,Social sciences,Agricultural and natural resource economics,4,672,0.1,46,0.1,4,0.3,17,0.05,19,0.1,0,0.0,341,0.2,10,0.1,12,0.1,223,0.2
8324,r068,All detailed fields -> Science -> Social sciences -> Anthropology,All detailed fields,Science,Social sciences,Anthropology,4,2292,0.5,337,0.7,27,2.0,62,0.2,95,0.3,1,0.2,1473,0.8,117,1.0,73,0.4,107,0.1
8324,r069,"All detailed fields -> Science -> Social sciences -> Area, ethnic, cultural, gender, and group studies",All detailed fields,Science,Social sciences,"Area, ethnic, cultural, gender, and group studies",4,2767,0.6,582,1.2,47,3.5,191,0.5,262,0.8,25,4.2,974,0.5,130,1.1,76,0.5,480,0.4
8324,r070,All detailed fields -> Science -> Social sciences -> Criminal justice and safety studies,All detailed fields,Science,Social sciences,Criminal justice and safety studies,4,5602,1.2,963,2.0,25,1.8,144,0.4,1160,3.5,12,2.0,2688,1.5,207,1.7,307,1.9,96,0.1
8324,r071,All detailed fields -> Science -> Social sciences -> Criminology,All detailed fields,Science,Social sciences,Criminology,4,1272,0.3,237,0.5,6,0.4,26,0.1,161,0.5,4,0.7,659,0.4,50,0.4,29,0.2,100,0.1
8324,r072,All detailed fields -> Science -> Social sciences -> Economics (except agricultural and natural resource),All detailed fields,Science,Social sciences,Economics (except agricultural and natural resource),4,6882,1.5,512,1.1,10,0.7,386,1.0,239,0.7,10,1.7,2046,1.1,113,0.9,207,1.3,3359,2.6
8324,r073,All detailed fields -> Science -> Social sciences -> Geography and cartography,All detailed fields,Science,Social sciences,Geography and cartography,4,3147,0.7,328,0.7,23,1.7,112,0.3,108,0.3,1,0.2,2009,1.1,75,0.6,111,0.7,380,0.3
8324,r074,All detailed fields -> Science -> Social sciences -> International relations and national security studies,All detailed fields,Science,Social sciences,International relations and national security studies,4,8308,1.8,1027,2.1,22,1.6,502,1.2,653,2.0,16,2.7,4270,2.3,267,2.2,479,2.9,1072,0.8
8324,r075,All detailed fields -> Science -> Social sciences -> Linguistics,All detailed fields,Science,Social sciences,Linguistics,4,1188,0.3,163,0.3,14,1.0,89,0.2,51,0.2,2,0.3,601,0.3,33,0.3,52,0.3,183,0.1
8324,r076,All detailed fields -> Science -> Social sciences -> Political science and government,All detailed fields,Science,Social sciences,Political science and government,4,3270,0.7,505,1.0,14,1.0,132,0.3,303,0.9,4,0.7,1722,0.9,103,0.8,143,0.9,344,0.3
8324,r077,All detailed fields -> Science -> Social sciences -> Public policy analysis,All detailed fields,Science,Social sciences,Public policy analysis,4,7290,1.6,850,1.7,27,2.0,579,1.4,681,2.1,2,0.3,3424,1.9,181,1.5,220,1.3,1326,1.0
8324,r078,All detailed fields -> Science -> Social sciences -> Sociology and population studies,All detailed fields,Science,Social sciences,Sociology and population studies,4,2331,0.5,526,1.1,10,0.7,87,0.2,395,1.2,4,0.7,970,0.5,99,0.8,78,0.5,162,0.1
8324,r079,All detailed fields -> Science -> Social sciences -> Urban studies and affairs ,All detailed fields,Science,Social sciences,Urban studies and affairs ,4,827,0.2,108,0.2,1,0.1,47,0.1,139,0.4,0,0.0,427,0.2,32,0.3,21,0.1,52,0.05
8324,r080,"All detailed fields -> Science -> Social sciences -> Social sciences, other",All detailed fields,Science,Social sciences,"Social sciences, other",4,1768,0.4,193,0.4,8,0.6,86,0.2,303,0.9,0,0.0,742,0.4,54,0.4,76,0.5,306,0.2
8324,r081,All detailed fields -> Engineering,All detailed fields,Engineering,,,2,95126,20.4,7612,15.6,205,15.1,8685,21.4,3141,9.5,70,11.7,32987,17.9,2155,17.5,2178,13.3,38093,29.5
8324,r082,"All detailed fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All detailed fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,5065,1.1,545,1.1,12,0.9,559,1.4,114,0.3,8,1.3,2840,1.5,189,1.5,135,0.8,663,0.5
8324,r083,"All detailed fields -> Engineering -> Biological, biomedical, and biosystems engineering",All detailed fields,Engineering,"Biological, biomedical, and biosystems engineering",,3,5192,1.1,408,0.8,4,0.3,795,2.0,230,0.7,6,1.0,1953,1.1,168,1.4,118,0.7,1510,1.2
8324,r084,"All detailed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering",All detailed fields,Engineering,"Chemical, petroleum, and chemical-related engineering",,3,2983,0.6,244,0.5,10,0.7,283,0.7,109,0.3,0,0.0,988,0.5,75,0.6,70,0.4,1204,0.9
8324,r085,"All detailed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering -> Chemical engineering",All detailed fields,Engineering,"Chemical, petroleum, and chemical-related engineering",Chemical engineering,4,2555,0.5,212,0.4,7,0.5,269,0.7,78,0.2,0,0.0,893,0.5,66,0.5,60,0.4,970,0.8
8324,r086,"All detailed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering -> Petroleum engineering",All detailed fields,Engineering,"Chemical, petroleum, and chemical-related engineering",Petroleum engineering,4,428,0.1,32,0.1,3,0.2,14,0.05,31,0.1,0,0.0,95,0.1,9,0.1,10,0.1,234,0.2
8324,r087,"All detailed fields -> Engineering -> Civil, environmental, transportation and related engineering fields",All detailed fields,Engineering,"Civil, environmental, transportation and related engineering fields",,3,11730,2.5,1196,2.5,41,3.0,923,2.3,409,1.2,12,2.0,4604,2.5,267,2.2,253,1.5,4025,3.1
8324,r088,"All detailed fields -> Engineering -> Civil, environmental, transportation and related engineering fields -> Civil engineering",All detailed fields,Engineering,"Civil, environmental, transportation and related engineering fields",Civil engineering,4,9352,2.0,957,2.0,35,2.6,774,1.9,320,1.0,10,1.7,3657,2.0,213,1.7,195,1.2,3191,2.5
8324,r089,"All detailed fields -> Engineering -> Civil, environmental, transportation and related engineering fields -> Architectural, environmental, construction and surveying engineering",All detailed fields,Engineering,"Civil, environmental, transportation and related engineering fields","Architectural, environmental, construction and surveying engineering",4,2378,0.5,239,0.5,6,0.4,149,0.4,89,0.3,2,0.3,947,0.5,54,0.4,58,0.4,834,0.6
8324,r090,"All detailed fields -> Engineering -> Electrical, electronics, communications and computer engineering",All detailed fields,Engineering,"Electrical, electronics, communications and computer engineering",,3,27695,5.9,1707,3.5,45,3.3,2643,6.5,691,2.1,10,1.7,6209,3.4,464,3.8,494,3.0,15432,12.0
8324,r091,"All detailed fields -> Engineering -> Electrical, electronics, communications and computer engineering -> Electrical, electronics, and communications engineering",All detailed fields,Engineering,"Electrical, electronics, communications and computer engineering","Electrical, electronics, and communications engineering",4,17866,3.8,1247,2.6,35,2.6,1786,4.4,467,1.4,6,1.0,4702,2.5,338,2.7,351,2.1,8934,6.9
8324,r092,"All detailed fields -> Engineering -> Electrical, electronics, communications and computer engineering -> Computer engineering",All detailed fields,Engineering,"Electrical, electronics, communications and computer engineering",Computer engineering,4,9829,2.1,460,0.9,10,0.7,857,2.1,224,0.7,4,0.7,1507,0.8,126,1.0,143,0.9,6498,5.0
8324,r093,"All detailed fields -> Engineering -> Industrial, manufacturing, systems engineering and operations research",All detailed fields,Engineering,"Industrial, manufacturing, systems engineering and operations research",,3,11949,2.6,1069,2.2,21,1.5,919,2.3,506,1.5,11,1.8,4061,2.2,229,1.9,332,2.0,4801,3.7
