table_id,row_id,_b_state_and_outlying_area_b_full_path,_b_state_and_outlying_area_b_level_1,_b_state_and_outlying_area_b_level_2,_b_state_and_outlying_area_b_level_3,_b_state_and_outlying_area_b_hierarchy_depth,field_all_federal_obligations,field_r_d,field_r_d_plant,field_facilities_and_equipment_for_instruction_in_s_e,field_s_e_fellowships_traineeships_and_training_grants,field_other_general_support_for_s_e
11227,r038,All states and outlying areas -> Hawaii -> Obligations ($thousands),All states and outlying areas,Hawaii,Obligations ($thousands),3,156569,141677,601,0,10641,3650
11227,r039,All states and outlying areas -> Hawaii -> Institutions (number),All states and outlying areas,Hawaii,Institutions (number),3,6,6,2,0,3,2
11227,r040,All states and outlying areas -> Idaho,All states and outlying areas,Idaho,,2,,,,,,
11227,r041,All states and outlying areas -> Idaho -> Obligations ($thousands),All states and outlying areas,Idaho,Obligations ($thousands),3,92061,59753,12492,0,12663,7152
11227,r042,All states and outlying areas -> Idaho -> Institutions (number),All states and outlying areas,Idaho,Institutions (number),3,5,4,3,0,4,2
11227,r043,All states and outlying areas -> Illinois,All states and outlying areas,Illinois,,2,,,,,,
11227,r044,All states and outlying areas -> Illinois -> Obligations ($thousands),All states and outlying areas,Illinois,Obligations ($thousands),3,1646088,1531129,18506,0,69547,26906
11227,r045,All states and outlying areas -> Illinois -> Institutions (number),All states and outlying areas,Illinois,Institutions (number),3,40,39,5,0,27,9
11227,r046,All states and outlying areas -> Indiana,All states and outlying areas,Indiana,,2,,,,,,
11227,r047,All states and outlying areas -> Indiana -> Obligations ($thousands),All states and outlying areas,Indiana,Obligations ($thousands),3,679480,636450,689,321,18208,23812
11227,r048,All states and outlying areas -> Indiana -> Institutions (number),All states and outlying areas,Indiana,Institutions (number),3,15,15,4,1,10,4
11227,r049,All states and outlying areas -> Iowa,All states and outlying areas,Iowa,,2,,,,,,
11227,r050,All states and outlying areas -> Iowa -> Obligations ($thousands),All states and outlying areas,Iowa,Obligations ($thousands),3,472468,417612,9598,0,22478,22780
11227,r051,All states and outlying areas -> Iowa -> Institutions (number),All states and outlying areas,Iowa,Institutions (number),3,13,13,3,0,6,1
11227,r052,All states and outlying areas -> Kansas,All states and outlying areas,Kansas,,2,,,,,,
11227,r053,All states and outlying areas -> Kansas -> Obligations ($thousands),All states and outlying areas,Kansas,Obligations ($thousands),3,287199,253924,1604,0,14488,17183
11227,r054,All states and outlying areas -> Kansas -> Institutions (number),All states and outlying areas,Kansas,Institutions (number),3,9,9,2,0,7,4
11227,r055,All states and outlying areas -> Kentucky,All states and outlying areas,Kentucky,,2,,,,,,
11227,r056,All states and outlying areas -> Kentucky -> Obligations ($thousands),All states and outlying areas,Kentucky,Obligations ($thousands),3,349323,306670,3247,0,22835,16572
11227,r057,All states and outlying areas -> Kentucky -> Institutions (number),All states and outlying areas,Kentucky,Institutions (number),3,16,13,3,0,12,5
11227,r058,All states and outlying areas -> Louisiana,All states and outlying areas,Louisiana,,2,,,,,,
11227,r059,All states and outlying areas -> Louisiana -> Obligations ($thousands),All states and outlying areas,Louisiana,Obligations ($thousands),3,346387,298713,17017,0,17366,13290
11227,r060,All states and outlying areas -> Louisiana -> Institutions (number),All states and outlying areas,Louisiana,Institutions (number),3,12,12,5,0,7,5
11227,r061,All states and outlying areas -> Maine,All states and outlying areas,Maine,,2,,,,,,
11227,r062,All states and outlying areas -> Maine -> Obligations ($thousands),All states and outlying areas,Maine,Obligations ($thousands),3,83967,70912,0,1000,6423,5633
11227,r063,All states and outlying areas -> Maine -> Institutions (number),All states and outlying areas,Maine,Institutions (number),3,9,8,0,1,5,4
11227,r064,All states and outlying areas -> Maryland,All states and outlying areas,Maryland,,2,,,,,,
11227,r065,All states and outlying areas -> Maryland -> Obligations ($thousands),All states and outlying areas,Maryland,Obligations ($thousands),3,2508610,2412866,7048,1157,73772,13767
11227,r066,All states and outlying areas -> Maryland -> Institutions (number),All states and outlying areas,Maryland,Institutions (number),3,22,21,3,1,16,6
11227,r067,All states and outlying areas -> Massachusetts,All states and outlying areas,Massachusetts,,2,,,,,,
11227,r068,All states and outlying areas -> Massachusetts -> Obligations ($thousands),All states and outlying areas,Massachusetts,Obligations ($thousands),3,2218729,2079365,37453,1756,71517,28638
11227,r069,All states and outlying areas -> Massachusetts -> Institutions (number),All states and outlying areas,Massachusetts,Institutions (number),3,49,40,12,3,30,13
11227,r070,All states and outlying areas -> Michigan,All states and outlying areas,Michigan,,2,,,,,,
11227,r071,All states and outlying areas -> Michigan -> Obligations ($thousands),All states and outlying areas,Michigan,Obligations ($thousands),3,1362081,1273507,10137,1325,54657,22455
11227,r072,All states and outlying areas -> Michigan -> Institutions (number),All states and outlying areas,Michigan,Institutions (number),3,27,21,5,2,19,8
11227,r073,All states and outlying areas -> Minnesota,All states and outlying areas,Minnesota,,2,,,,,,
11227,r074,All states and outlying areas -> Minnesota -> Obligations ($thousands),All states and outlying areas,Minnesota,Obligations ($thousands),3,643438,577122,980,0,37024,28312
11227,r075,All states and outlying areas -> Minnesota -> Institutions (number),All states and outlying areas,Minnesota,Institutions (number),3,27,22,2,0,16,5
11227,r076,All states and outlying areas -> Mississippi,All states and outlying areas,Mississippi,,2,,,,,,
11227,r077,All states and outlying areas -> Mississippi -> Obligations ($thousands),All states and outlying areas,Mississippi,Obligations ($thousands),3,207272,169701,2742,0,7029,27800
11227,r078,All states and outlying areas -> Mississippi -> Institutions (number),All states and outlying areas,Mississippi,Institutions (number),3,7,6,1,0,7,4
11227,r079,All states and outlying areas -> Missouri,All states and outlying areas,Missouri,,2,,,,,,
11227,r080,All states and outlying areas -> Missouri -> Obligations ($thousands),All states and outlying areas,Missouri,Obligations ($thousands),3,960493,874560,11530,0,56606,17797
11227,r081,All states and outlying areas -> Missouri -> Institutions (number),All states and outlying areas,Missouri,Institutions (number),3,22,19,2,0,18,7
11227,r082,All states and outlying areas -> Montana,All states and outlying areas,Montana,,2,,,,,,
11227,r083,All states and outlying areas -> Montana -> Obligations ($thousands),All states and outlying areas,Montana,Obligations ($thousands),3,214890,174384,1094,0,23002,16409
11227,r084,All states and outlying areas -> Montana -> Institutions (number),All states and outlying areas,Montana,Institutions (number),3,14,12,2,0,11,10
11227,r085,All states and outlying areas -> Nebraska,All states and outlying areas,Nebraska,,2,,,,,,
11227,r086,All states and outlying areas -> Nebraska -> Obligations ($thousands),All states and outlying areas,Nebraska,Obligations ($thousands),3,258403,224095,4265,0,18850,11193
11227,r087,All states and outlying areas -> Nebraska -> Institutions (number),All states and outlying areas,Nebraska,Institutions (number),3,13,12,2,0,11,4
11227,r088,All states and outlying areas -> Nevada,All states and outlying areas,Nevada,,2,,,,,,
11227,r089,All states and outlying areas -> Nevada -> Obligations ($thousands),All states and outlying areas,Nevada,Obligations ($thousands),3,106273,96042,1371,0,4379,4481
11227,r090,All states and outlying areas -> Nevada -> Institutions (number),All states and outlying areas,Nevada,Institutions (number),3,4,4,2,0,3,4
11227,r091,All states and outlying areas -> New Hampshire,All states and outlying areas,New Hampshire,,2,,,,,,
11227,r092,All states and outlying areas -> New Hampshire -> Obligations ($thousands),All states and outlying areas,New Hampshire,Obligations ($thousands),3,191241,180016,1030,0,6234,3961
11227,r093,All states and outlying areas -> New Hampshire -> Institutions (number),All states and outlying areas,New Hampshire,Institutions (number),3,6,5,1,0,4,3
11227,r094,All states and outlying areas -> New Jersey,All states and outlying areas,New Jersey,,2,,,,,,
11227,r095,All states and outlying areas -> New Jersey -> Obligations ($thousands),All states and outlying areas,New Jersey,Obligations ($thousands),3,568672,532366,9050,91,19664,7500
11227,r096,All states and outlying areas -> New Jersey -> Institutions (number),All states and outlying areas,New Jersey,Institutions (number),3,19,18,4,1,13,6
11227,r097,All states and outlying areas -> New Mexico,All states and outlying areas,New Mexico,,2,,,,,,
11227,r098,All states and outlying areas -> New Mexico -> Obligations ($thousands),All states and outlying areas,New Mexico,Obligations ($thousands),3,247571,202664,9250,0,21507,14150
11227,r099,All states and outlying areas -> New Mexico -> Institutions (number),All states and outlying areas,New Mexico,Institutions (number),3,10,10,2,0,9,8
11227,r100,All states and outlying areas -> New York,All states and outlying areas,New York,,2,,,,,,
11227,r101,All states and outlying areas -> New York -> Obligations ($thousands),All states and outlying areas,New York,Obligations ($thousands),3,3683461,3465709,51105,2024,130314,34308
11227,r102,All states and outlying areas -> New York -> Institutions (number),All states and outlying areas,New York,Institutions (number),3,99,92,18,4,72,23
11227,r103,All states and outlying areas -> North Carolina,All states and outlying areas,North Carolina,,2,,,,,,
11227,r104,All states and outlying areas -> North Carolina -> Obligations ($thousands),All states and outlying areas,North Carolina,Obligations ($thousands),3,1914718,1790982,7608,0,83643,32484
11227,r105,All states and outlying areas -> North Carolina -> Institutions (number),All states and outlying areas,North Carolina,Institutions (number),3,31,29,5,0,25,11
11227,r106,All states and outlying areas -> North Dakota,All states and outlying areas,North Dakota,,2,,,,,,
11227,r107,All states and outlying areas -> North Dakota -> Obligations ($thousands),All states and outlying areas,North Dakota,Obligations ($thousands),3,90117,76305,14,0,6839,6960
11227,r108,All states and outlying areas -> North Dakota -> Institutions (number),All states and outlying areas,North Dakota,Institutions (number),3,10,9,1,0,9,6
11227,r109,All states and outlying areas -> Ohio,All states and outlying areas,Ohio,,2,,,,,,
11227,r110,All states and outlying areas -> Ohio -> Obligations ($thousands),All states and outlying areas,Ohio,Obligations ($thousands),3,1054049,979136,3342,1003,44895,25672
11227,r111,All states and outlying areas -> Ohio -> Institutions (number),All states and outlying areas,Ohio,Institutions (number),3,37,31,6,1,26,11
11227,r112,All states and outlying areas -> Oklahoma,All states and outlying areas,Oklahoma,,2,,,,,,
11227,r113,All states and outlying areas -> Oklahoma -> Obligations ($thousands),All states and outlying areas,Oklahoma,Obligations ($thousands),3,246088,210839,5227,0,16892,13129
11227,r114,All states and outlying areas -> Oklahoma -> Institutions (number),All states and outlying areas,Oklahoma,Institutions (number),3,7,7,2,0,6,6
11227,r115,All states and outlying areas -> Oregon,All states and outlying areas,Oregon,,2,,,,,,
11227,r116,All states and outlying areas -> Oregon -> Obligations ($thousands),All states and outlying areas,Oregon,Obligations ($thousands),3,591292,517912,40544,0,22956,9881
11227,r117,All states and outlying areas -> Oregon -> Institutions (number),All states and outlying areas,Oregon,Institutions (number),3,15,15,3,0,11,4
11227,r118,All states and outlying areas -> Pennsylvania,All states and outlying areas,Pennsylvania,,2,,,,,,
11227,r119,All states and outlying areas -> Pennsylvania -> Obligations ($thousands),All states and outlying areas,Pennsylvania,Obligations ($thousands),3,2609776,2461686,18389,1004,102731,25966
11227,r120,All states and outlying areas -> Pennsylvania -> Institutions (number),All states and outlying areas,Pennsylvania,Institutions (number),3,50,49,8,3,29,8
11227,r121,All states and outlying areas -> Rhode Island,All states and outlying areas,Rhode Island,,2,,,,,,
11227,r122,All states and outlying areas -> Rhode Island -> Obligations ($thousands),All states and outlying areas,Rhode Island,Obligations ($thousands),3,269304,256476,0,530,9387,2911
11227,r123,All states and outlying areas -> Rhode Island -> Institutions (number),All states and outlying areas,Rhode Island,Institutions (number),3,6,5,0,1,3,2
11227,r124,All states and outlying areas -> South Carolina,All states and outlying areas,South Carolina,,2,,,,,,
11227,r125,All states and outlying areas -> South Carolina -> Obligations ($thousands),All states and outlying areas,South Carolina,Obligations ($thousands),3,360466,316673,874,0,32251,10669
11227,r126,All states and outlying areas -> South Carolina -> Institutions (number),All states and outlying areas,South Carolina,Institutions (number),3,17,17,1,0,12,3
11227,r127,All states and outlying areas -> South Dakota,All states and outlying areas,South Dakota,,2,,,,,,
11227,r128,All states and outlying areas -> South Dakota -> Obligations ($thousands),All states and outlying areas,South Dakota,Obligations ($thousands),3,69015,49070,1527,753,10070,7595
11227,r129,All states and outlying areas -> South Dakota -> Institutions (number),All states and outlying areas,South Dakota,Institutions (number),3,10,9,2,1,7,6
11227,r130,All states and outlying areas -> Tennessee,All states and outlying areas,Tennessee,,2,,,,,,
11227,r131,All states and outlying areas -> Tennessee -> Obligations ($thousands),All states and outlying areas,Tennessee,Obligations ($thousands),3,920433,820609,12748,0,63478,23598
11227,r132,All states and outlying areas -> Tennessee -> Institutions (number),All states and outlying areas,Tennessee,Institutions (number),3,24,21,8,0,18,9
11227,r133,All states and outlying areas -> Texas,All states and outlying areas,Texas,,2,,,,,,
11227,r134,All states and outlying areas -> Texas -> Obligations ($thousands),All states and outlying areas,Texas,Obligations ($thousands),3,2666814,2468086,24002,1249,125829,47648
11227,r135,All states and outlying areas -> Texas -> Institutions (number),All states and outlying areas,Texas,Institutions (number),3,70,66,9,2,53,26
11227,r136,All states and outlying areas -> Utah,All states and outlying areas,Utah,,2,,,,,,
11227,r137,All states and outlying areas -> Utah -> Obligations ($thousands),All states and outlying areas,Utah,Obligations ($thousands),3,475645,443411,2517,0,24348,5368
11227,r138,All states and outlying areas -> Utah -> Institutions (number),All states and outlying areas,Utah,Institutions (number),3,9,9,2,0,7,2
11227,r139,All states and outlying areas -> Vermont,All states and outlying areas,Vermont,,2,,,,,,
11227,r140,All states and outlying areas -> Vermont -> Obligations ($thousands),All states and outlying areas,Vermont,Obligations ($thousands),3,106516,95652,0,0,3310,7554
11227,r141,All states and outlying areas -> Vermont -> Institutions (number),All states and outlying areas,Vermont,Institutions (number),3,7,6,0,0,2,2
11227,r142,All states and outlying areas -> Virginia,All states and outlying areas,Virginia,,2,,,,,,
11227,r143,All states and outlying areas -> Virginia -> Obligations ($thousands),All states and outlying areas,Virginia,Obligations ($thousands),3,759182,684024,9983,4224,36564,24386
11227,r144,All states and outlying areas -> Virginia -> Institutions (number),All states and outlying areas,Virginia,Institutions (number),3,28,26,8,1,21,8
11227,r145,All states and outlying areas -> Washington,All states and outlying areas,Washington,,2,,,,,,
11227,r146,All states and outlying areas -> Washington -> Obligations ($thousands),All states and outlying areas,Washington,Obligations ($thousands),3,1075668,993788,2189,0,61913,17777
11227,r147,All states and outlying areas -> Washington -> Institutions (number),All states and outlying areas,Washington,Institutions (number),3,23,20,3,0,16,8
11227,r148,All states and outlying areas -> West Virginia,All states and outlying areas,West Virginia,,2,,,,,,
11227,r149,All states and outlying areas -> West Virginia -> Obligations ($thousands),All states and outlying areas,West Virginia,Obligations ($thousands),3,101649,87686,40,0,6047,7876
11227,r150,All states and outlying areas -> West Virginia -> Institutions (number),All states and outlying areas,West Virginia,Institutions (number),3,11,11,1,0,9,2
11227,r151,All states and outlying areas -> Wisconsin,All states and outlying areas,Wisconsin,,2,,,,,,
11227,r152,All states and outlying areas -> Wisconsin -> Obligations ($thousands),All states and outlying areas,Wisconsin,Obligations ($thousands),3,799791,728566,7824,0,46735,16665
11227,r153,All states and outlying areas -> Wisconsin -> Institutions (number),All states and outlying areas,Wisconsin,Institutions (number),3,25,23,2,0,18,6
11227,r154,All states and outlying areas -> Wyoming,All states and outlying areas,Wyoming,,2,,,,,,
11227,r155,All states and outlying areas -> Wyoming -> Obligations ($thousands),All states and outlying areas,Wyoming,Obligations ($thousands),3,52699,44701,0,0,4993,3006
11227,r156,All states and outlying areas -> Wyoming -> Institutions (number),All states and outlying areas,Wyoming,Institutions (number),3,2,2,0,0,2,1
11227,r157,All states and outlying areas -> American Samoa,All states and outlying areas,American Samoa,,2,,,,,,
11227,r158,All states and outlying areas -> American Samoa -> Obligations ($thousands),All states and outlying areas,American Samoa,Obligations ($thousands),3,4298,1918,0,0,300,2080
11227,r159,All states and outlying areas -> American Samoa -> Institutions (number),All states and outlying areas,American Samoa,Institutions (number),3,1,1,0,0,1,1
11227,r160,All states and outlying areas -> Guam,All states and outlying areas,Guam,,2,,,,,,
11227,r161,All states and outlying areas -> Guam -> Obligations ($thousands),All states and outlying areas,Guam,Obligations ($thousands),3,12204,9712,0,0,340,2152
11227,r162,All states and outlying areas -> Guam -> Institutions (number),All states and outlying areas,Guam,Institutions (number),3,1,1,0,0,1,1
11227,r163,All states and outlying areas -> Puerto Rico,All states and outlying areas,Puerto Rico,,2,,,,,,
11227,r164,All states and outlying areas -> Puerto Rico -> Obligations ($thousands),All states and outlying areas,Puerto Rico,Obligations ($thousands),3,90775,68603,304,0,11835,10033
11227,r165,All states and outlying areas -> Puerto Rico -> Institutions (number),All states and outlying areas,Puerto Rico,Institutions (number),3,17,14,1,0,13,6
11227,r166,All states and outlying areas -> Trust Territory of the Pacific Islands,All states and outlying areas,Trust Territory of the Pacific Islands,,2,,,,,,
11227,r167,All states and outlying areas -> Trust Territory of the Pacific Islands -> Obligations ($thousands),All states and outlying areas,Trust Territory of the Pacific Islands,Obligations ($thousands),3,8081,3719,0,0,165,4197
11227,r168,All states and outlying areas -> Trust Territory of the Pacific Islands -> Institutions (number),All states and outlying areas,Trust Territory of the Pacific Islands,Institutions (number),3,3,2,0,0,1,2
11227,r169,All states and outlying areas -> U.S. Virgin Islands,All states and outlying areas,U.S. Virgin Islands,,2,,,,,,
11227,r170,All states and outlying areas -> U.S. Virgin Islands -> Obligations ($thousands),All states and outlying areas,U.S. Virgin Islands,Obligations ($thousands),3,14644,10796,841,0,939,2069
11227,r171,All states and outlying areas -> U.S. Virgin Islands -> Institutions (number),All states and outlying areas,U.S. Virgin Islands,Institutions (number),3,1,1,1,0,1,1
