table_id,row_id,_b_state_or_location_and_agency_b_full_path,_b_state_or_location_and_agency_b_level_1,_b_state_or_location_and_agency_b_level_2,_b_state_or_location_and_agency_b_level_3,_b_state_or_location_and_agency_b_level_4,_b_state_or_location_and_agency_b_hierarchy_depth,field_total,field_intramural_federal_agenciesa,field_intramural_ffrdcs,field_extramural_united_states_and_u_s_territories_businesses,field_extramural_united_states_and_u_s_territories_higher_educationb,field_extramural_united_states_and_u_s_territories_nonprofit_organizations,field_extramural_united_states_and_u_s_territories_state_and_local_governments
10857,r027,Alaska -> Departments -> Department of Energy,Alaska,Departments,Department of Energy,,3,6060,0,0,2303,1332,2201,224
10857,r028,Alaska -> Departments -> Department of Health and Human Services,Alaska,Departments,Department of Health and Human Services,,3,21697,152,0,0,12889,6960,1696
10857,r029,Alaska -> Departments -> Department of Homeland Security,Alaska,Departments,Department of Homeland Security,,3,176,0,0,176,0,0,0
10857,r030,Alaska -> Departments -> Department of the Interior,Alaska,Departments,Department of the Interior,,3,61847,56841,0,697,2640,247,1422
10857,r031,Alaska -> Departments -> Department of Justice,Alaska,Departments,Department of Justice,,3,2000,0,0,0,2000,0,0
10857,r032,Alaska -> Departments -> Department of Transportation,Alaska,Departments,Department of Transportation,,3,7172,0,0,79,4975,0,2118
10857,r033,Alaska -> Other agencies,Alaska,Other agencies,,,2,,,,,,,
10857,r034,Alaska -> Other agencies -> Environmental Protection Agency,Alaska,Other agencies,Environmental Protection Agency,,3,725,0,0,725,0,0,0
10857,r035,Alaska -> Other agencies -> National Aeronautics and Space Administration,Alaska,Other agencies,National Aeronautics and Space Administration,,3,24969,11,0,3155,21803,0,0
10857,r036,Alaska -> Other agencies -> National Science Foundation,Alaska,Other agencies,National Science Foundation,,3,50284,0,0,969,44548,4767,0
10857,r037,Arizona,Arizona,,,,1,2387850,135318,82933,1460382,593475,104472,11270
10857,r038,Arizona -> Departments,Arizona,Departments,,,2,,,,,,,
10857,r039,Arizona -> Departments -> Department of Agriculture,Arizona,Departments,Department of Agriculture,,3,31163,22508,0,182,8289,19,166
10857,r040,Arizona -> Departments -> Department of Commerce,Arizona,Departments,Department of Commerce,,3,4303,0,0,320,3983,0,0
10857,r041,Arizona -> Departments -> Department of Defense,Arizona,Departments,Department of Defense,,3,1536478,60472,0,1391975,77924,0,6107
10857,r042,Arizona -> Departments -> Department of Education,Arizona,Departments,Department of Education,,3,3268,0,0,0,2373,896,0
10857,r043,Arizona -> Departments -> Department of Energy,Arizona,Departments,Department of Energy,,3,25393,70,0,10082,15234,7,0
10857,r044,Arizona -> Departments -> Department of Health and Human Services,Arizona,Departments,Department of Health and Human Services,,3,390181,7751,0,27206,269485,83112,2625
10857,r045,Arizona -> Departments -> Department of Homeland Security,Arizona,Departments,Department of Homeland Security,,3,5066,0,0,633,4433,0,0
10857,r046,Arizona -> Departments -> Department of the Interior,Arizona,Departments,Department of the Interior,,3,34351,34094,0,11,110,3,134
10857,r047,Arizona -> Departments -> Department of Justice,Arizona,Departments,Department of Justice,,3,1432,0,0,0,1432,0,0
10857,r048,Arizona -> Departments -> Department of Transportation,Arizona,Departments,Department of Transportation,,3,8160,0,0,5458,463,0,2238
10857,r049,Arizona -> Departments -> Department of Veterans Affairs,Arizona,Departments,Department of Veterans Affairs,,3,7844,7844,0,0,0,0,0
10857,r050,Arizona -> Other agencies,Arizona,Other agencies,,,2,,,,,,,
10857,r051,Arizona -> Other agencies -> Agency for International Development,Arizona,Other agencies,Agency for International Development,,3,1000,0,0,0,1000,0,0
10857,r052,Arizona -> Other agencies -> Environmental Protection Agency,Arizona,Other agencies,Environmental Protection Agency,,3,8,0,0,8,0,0,0
10857,r053,Arizona -> Other agencies -> National Aeronautics and Space Administration,Arizona,Other agencies,National Aeronautics and Space Administration,,3,106572,2578,0,19243,70686,14065,0
10857,r054,Arizona -> Other agencies -> National Science Foundation,Arizona,Other agencies,National Science Foundation,,3,232481,0,82933,5264,137914,6370,0
10857,r055,Arizona -> Other agencies -> Social Security Administration,Arizona,Other agencies,Social Security Administration,,3,150,0,0,0,150,0,0
10857,r056,Arkansas,Arkansas,,,,1,268319,52562,0,60748,126610,13661,14738
10857,r057,Arkansas -> Departments,Arkansas,Departments,,,2,,,,,,,
10857,r058,Arkansas -> Departments -> Department of Agriculture,Arkansas,Departments,Department of Agriculture,,3,50301,29680,0,1013,19161,0,447
10857,r059,Arkansas -> Departments -> Department of Defense,Arkansas,Departments,Department of Defense,,3,58239,108,0,43839,12539,893,860
10857,r060,Arkansas -> Departments -> Department of Energy,Arkansas,Departments,Department of Energy,,3,4146,0,0,606,3491,0,48
10857,r061,Arkansas -> Departments -> Department of Health and Human Services,Arkansas,Departments,Department of Health and Human Services,,3,101024,0,0,14539,70590,12768,3127
10857,r062,Arkansas -> Departments -> Department of the Interior,Arkansas,Departments,Department of the Interior,,3,8024,7940,0,0,0,0,84
10857,r063,Arkansas -> Departments -> Department of Justice,Arkansas,Departments,Department of Justice,,3,246,0,0,0,246,0,0
10857,r064,Arkansas -> Departments -> Department of Transportation,Arkansas,Departments,Department of Transportation,,3,2620,0,0,0,200,0,2420
10857,r065,Arkansas -> Departments -> Department of Veterans Affairs,Arkansas,Departments,Department of Veterans Affairs,,3,14833,14833,0,0,0,0,0
10857,r066,Arkansas -> Other agencies,Arkansas,Other agencies,,,2,,,,,,,
10857,r067,Arkansas -> Other agencies -> National Aeronautics and Space Administration,Arkansas,Other agencies,National Aeronautics and Space Administration,,3,1099,1,0,219,879,0,0
10857,r068,Arkansas -> Other agencies -> National Science Foundation,Arkansas,Other agencies,National Science Foundation,,3,27786,0,0,532,19504,0,7751
10857,r069,California,California,,,,1,23272011,2530252,5428274,8043185,5973327,1223029,73944
10857,r070,California -> Departments,California,Departments,,,2,,,,,,,
10857,r071,California -> Departments -> Department of Agriculture,California,Departments,Department of Agriculture,,3,160025,95102,0,6879,56905,789,350
10857,r072,California -> Departments -> Department of Commerce,California,Departments,Department of Commerce,,3,37139,849,0,1235,30799,4017,240
10857,r073,California -> Departments -> Department of Defense,California,Departments,Department of Defense,,3,9144281,2030596,724538,5656376,600050,130693,2029
10857,r074,California -> Departments -> Department of Education,California,Departments,Department of Education,,3,93684,0,0,5993,10371,55496,21824
10857,r075,California -> Departments -> Department of Energy,California,Departments,Department of Energy,,3,2810097,802,2348199,257174,178496,25044,381
10857,r076,California -> Departments -> Department of Health and Human Services,California,Departments,Department of Health and Human Services,,3,6201910,162,24398,1225428,4013865,907970,30086
10857,r077,California -> Departments -> Department of Homeland Security,California,Departments,Department of Homeland Security,,3,44302,7826,13270,20708,400,2098,0
10857,r078,California -> Departments -> Department of the Interior,California,Departments,Department of the Interior,,3,70910,56024,49,1381,11803,685,969
10857,r079,California -> Departments -> Department of Justice,California,Departments,Department of Justice,,3,5647,0,0,0,2800,2847,0
10857,r080,California -> Departments -> Department of Transportation,California,Departments,Department of Transportation,,3,34077,412,0,17882,3296,114,12374
10857,r081,California -> Departments -> Department of the Treasury,California,Departments,Department of the Treasury,,3,3500,0,2900,600,0,0,0
10857,r082,California -> Departments -> Department of Veterans Affairs,California,Departments,Department of Veterans Affairs,,3,279542,279542,0,0,0,0,0
10857,r083,California -> Other agencies,California,Other agencies,,,2,,,,,,,
10857,r084,California -> Other agencies -> Agency for Global Media,California,Other agencies,Agency for Global Media,,3,457,43,0,414,0,0,0
10857,r085,California -> Other agencies -> Agency for International Development,California,Other agencies,Agency for International Development,,3,7195,0,0,0,6795,400,0
10857,r086,California -> Other agencies -> Environmental Protection Agency,California,Other agencies,Environmental Protection Agency,,3,18461,0,10,10364,8087,0,0
10857,r087,California -> Other agencies -> National Aeronautics and Space Administration,California,Other agencies,National Aeronautics and Space Administration,,3,3466068,41281,2314397,788131,278683,38082,5494
10857,r088,California -> Other agencies -> National Science Foundation,California,Other agencies,National Science Foundation,,3,892725,17616,186,50541,769434,54751,196
10857,r089,California -> Other agencies -> Nuclear Regulatory Commission,California,Other agencies,Nuclear Regulatory Commission,,3,1249,0,326,79,800,44,0
10857,r090,California -> Other agencies -> Social Security Administration,California,Other agencies,Social Security Administration,,3,743,0,0,0,743,0,0
10857,r091,Colorado,Colorado,,,,1,4638849,426334,541731,2538031,1009654,111555,11543
10857,r092,Colorado -> Departments,Colorado,Departments,,,2,,,,,,,
10857,r093,Colorado -> Departments -> Department of Agriculture,Colorado,Departments,Department of Agriculture,,3,61175,40614,0,531,19453,577,0
10857,r094,Colorado -> Departments -> Department of Commerce,Colorado,Departments,Department of Commerce,,3,214489,136601,6787,437,70460,204,0
10857,r095,Colorado -> Departments -> Department of Defense,Colorado,Departments,Department of Defense,,3,2327477,134167,15650,2105731,63518,8401,11
10857,r096,Colorado -> Departments -> Department of Education,Colorado,Departments,Department of Education,,3,4002,0,0,0,969,3033,0
10857,r097,Colorado -> Departments -> Department of Energy,Colorado,Departments,Department of Energy,,3,511241,750,410136,47565,43131,9052,608
10857,r098,Colorado -> Departments -> Department of Health and Human Services,Colorado,Departments,Department of Health and Human Services,,3,570677,1994,0,107119,415896,38630,7039
10857,r099,Colorado -> Departments -> Department of Homeland Security,Colorado,Departments,Department of Homeland Security,,3,2957,428,0,2474,55,0,0
10857,r100,Colorado -> Departments -> Department of the Interior,Colorado,Departments,Department of the Interior,,3,77736,69768,0,2252,5445,246,25
10857,r101,Colorado -> Departments -> Department of Justice,Colorado,Departments,Department of Justice,,3,1332,0,0,0,1332,0,0
10857,r102,Colorado -> Departments -> Department of Transportation,Colorado,Departments,Department of Transportation,,3,14629,2328,0,3417,5024,0,3860
10857,r103,Colorado -> Departments -> Department of Veterans Affairs,Colorado,Departments,Department of Veterans Affairs,,3,30449,30449,0,0,0,0,0
10857,r104,Colorado -> Other agencies,Colorado,Other agencies,,,2,,,,,,,
10857,r105,Colorado -> Other agencies -> Environmental Protection Agency,Colorado,Other agencies,Environmental Protection Agency,,3,11004,1627,0,1440,4692,3246,0
10857,r106,Colorado -> Other agencies -> National Aeronautics and Space Administration,Colorado,Other agencies,National Aeronautics and Space Administration,,3,465659,6020,0,258387,197339,3912,0
10857,r107,Colorado -> Other agencies -> National Science Foundation,Colorado,Other agencies,National Science Foundation,,3,345622,1588,109159,8679,181941,44255,0
10857,r108,Colorado -> Other agencies -> Nuclear Regulatory Commission,Colorado,Other agencies,Nuclear Regulatory Commission,,3,400,0,0,0,400,0,0
10857,r109,Connecticut,Connecticut,,,,1,2642331,57741,5453,1705162,819440,12946,41588
10857,r110,Connecticut -> Departments,Connecticut,Departments,,,2,,,,,,,
10857,r111,Connecticut -> Departments -> Department of Agriculture,Connecticut,Departments,Department of Agriculture,,3,17004,2190,0,363,11136,450,2865
10857,r112,Connecticut -> Departments -> Department of Commerce,Connecticut,Departments,Department of Commerce,,3,7127,0,0,13,2885,4229,0
10857,r113,Connecticut -> Departments -> Department of Defense,Connecticut,Departments,Department of Defense,,3,1581930,12620,0,1524714,43851,745,0
10857,r114,Connecticut -> Departments -> Department of Education,Connecticut,Departments,Department of Education,,3,8262,0,0,1034,7229,0,0
10857,r115,Connecticut -> Departments -> Department of Energy,Connecticut,Departments,Department of Energy,,3,51016,0,5453,30582,14982,0,0
10857,r116,Connecticut -> Departments -> Department of Health and Human Services,Connecticut,Departments,Department of Health and Human Services,,3,732294,0,0,14949,673775,6512,37058
10857,r117,Connecticut -> Departments -> Department of Homeland Security,Connecticut,Departments,Department of Homeland Security,,3,4389,0,0,4389,0,0,0
10857,r118,Connecticut -> Departments -> Department of the Interior,Connecticut,Departments,Department of the Interior,,3,1126,587,0,55,387,0,97
10857,r119,Connecticut -> Departments -> Department of Transportation,Connecticut,Departments,Department of Transportation,,3,5316,0,0,3672,75,0,1568
10857,r120,Connecticut -> Departments -> Department of Veterans Affairs,Connecticut,Departments,Department of Veterans Affairs,,3,42344,42344,0,0,0,0,0
10857,r121,Connecticut -> Other agencies,Connecticut,Other agencies,,,2,,,,,,,
10857,r122,Connecticut -> Other agencies -> Agency for International Development,Connecticut,Other agencies,Agency for International Development,,3,1250,0,0,0,1250,0,0
10857,r123,Connecticut -> Other agencies -> Environmental Protection Agency,Connecticut,Other agencies,Environmental Protection Agency,,3,203,0,0,203,0,0,0
10857,r124,Connecticut -> Other agencies -> National Aeronautics and Space Administration,Connecticut,Other agencies,National Aeronautics and Space Administration,,3,127149,0,0,123358,3791,0,0
10857,r125,Connecticut -> Other agencies -> National Science Foundation,Connecticut,Other agencies,National Science Foundation,,3,62920,0,0,1831,60080,1010,0
10857,r126,Delaware,Delaware,,,,1,340648,28757,0,131264,162123,16444,2060
10857,r127,Delaware -> Departments,Delaware,Departments,,,2,,,,,,,
10857,r128,Delaware -> Departments -> Department of Agriculture,Delaware,Departments,Department of Agriculture,,3,12408,1923,0,166,10319,0,0
10857,r129,Delaware -> Departments -> Department of Commerce,Delaware,Departments,Department of Commerce,,3,16562,73,0,145,16344,0,0
10857,r130,Delaware -> Departments -> Department of Defense,Delaware,Departments,Department of Defense,,3,156085,26019,0,99336,28148,1571,1011
10857,r131,Delaware -> Departments -> Department of Education,Delaware,Departments,Department of Education,,3,2043,0,0,0,2043,0,0
10857,r132,Delaware -> Departments -> Department of Energy,Delaware,Departments,Department of Energy,,3,17975,0,0,5276,12681,0,18
10857,r133,Delaware -> Departments -> Department of Health and Human Services,Delaware,Departments,Department of Health and Human Services,,3,83973,0,0,21218,51118,11499,138
10857,r134,Delaware -> Departments -> Department of Homeland Security,Delaware,Departments,Department of Homeland Security,,3,122,0,0,122,0,0,0
10857,r135,Delaware -> Departments -> Department of the Interior,Delaware,Departments,Department of the Interior,,3,1382,743,0,0,639,0,0
10857,r136,Delaware -> Departments -> Department of Transportation,Delaware,Departments,Department of Transportation,,3,1008,0,0,0,115,0,893
10857,r137,Delaware -> Other agencies,Delaware,Other agencies,,,2,,,,,,,
10857,r138,Delaware -> Other agencies -> Environmental Protection Agency,Delaware,Other agencies,Environmental Protection Agency,,3,114,0,0,114,0,0,0
10857,r139,Delaware -> Other agencies -> National Aeronautics and Space Administration,Delaware,Other agencies,National Aeronautics and Space Administration,,3,9584,0,0,4118,3416,2051,0
10857,r140,Delaware -> Other agencies -> National Science Foundation,Delaware,Other agencies,National Science Foundation,,3,39391,0,0,767,37301,1322,0
10857,r141,District of Columbia,District of Columbia,,,,1,33916947,31563916,137557,877503,271082,1059234,7655
10857,r142,District of Columbia -> Departments,District of Columbia,Departments,,,2,,,,,,,
10857,r143,District of Columbia -> Departments -> Department of Agriculture,District of Columbia,Departments,Department of Agriculture,,3,342521,337146,0,750,3172,1453,0
10857,r144,District of Columbia -> Departments -> Department of Commerce,District of Columbia,Departments,Department of Commerce,,3,41261,28847,0,10431,1347,637,0
10857,r145,District of Columbia -> Departments -> Department of Defense,District of Columbia,Departments,Department of Defense,,3,3569978,2721414,10101,589331,39372,209759,0
10857,r146,District of Columbia -> Departments -> Department of Education,District of Columbia,Departments,Department of Education,,3,12063,0,0,1754,3028,6220,1060
10857,r147,District of Columbia -> Departments -> Department of Energy,District of Columbia,Departments,Department of Energy,,3,692580,668359,5411,6226,3023,9561,0
10857,r148,District of Columbia -> Departments -> Department of Health and Human Services,District of Columbia,Departments,Department of Health and Human Services,,3,26085754,25772092,0,24991,151412,131794,5464
10857,r149,District of Columbia -> Departments -> Department of Homeland Security,District of Columbia,Departments,Department of Homeland Security,,3,31733,24854,3249,3138,0,492,0
10857,r150,District of Columbia -> Departments -> Department of the Interior,District of Columbia,Departments,Department of the Interior,,3,20100,19721,0,53,43,283,0
10857,r151,District of Columbia -> Departments -> Department of Justice,District of Columbia,Departments,Department of Justice,,3,21161,6971,0,7488,3000,3701,0
10857,r152,District of Columbia -> Departments -> Department of Labor,District of Columbia,Departments,Department of Labor,,3,3698,2689,0,1009,0,0,0
10857,r153,District of Columbia -> Departments -> Department of State,District of Columbia,Departments,Department of State,,3,58000,58000,0,0,0,0,0
10857,r154,District of Columbia -> Departments -> Department of Transportation,District of Columbia,Departments,Department of Transportation,,3,163645,68495,553,80620,605,12373,999
10857,r155,District of Columbia -> Departments -> Department of the Treasury,District of Columbia,Departments,Department of the Treasury,,3,2000,2000,0,0,0,0,0
10857,r156,District of Columbia -> Departments -> Department of Veterans Affairs,District of Columbia,Departments,Department of Veterans Affairs,,3,124348,124348,0,0,0,0,0
10857,r157,District of Columbia -> Other agencies,District of Columbia,Other agencies,,,2,,,,,,,
10857,r158,District of Columbia -> Other agencies -> Agency for Global Media,District of Columbia,Other agencies,Agency for Global Media,,3,5536,520,0,5016,0,0,0
10857,r159,District of Columbia -> Other agencies -> Agency for International Development,District of Columbia,Other agencies,Agency for International Development,,3,28023,17752,0,6459,0,3812,0
10857,r160,District of Columbia -> Other agencies -> Appalachian Regional Commission,District of Columbia,Other agencies,Appalachian Regional Commission,,3,64,0,0,0,0,64,0
10857,r161,District of Columbia -> Other agencies -> Environmental Protection Agency,District of Columbia,Other agencies,Environmental Protection Agency,,3,107549,54331,0,52301,0,917,0
10857,r162,District of Columbia -> Other agencies -> Federal Trade Commission,District of Columbia,Other agencies,Federal Trade Commission,,3,2713,2713,0,0,0,0,0
10857,r163,District of Columbia -> Other agencies -> Library of Congress,District of Columbia,Other agencies,Library of Congress,,3,3055,3055,0,0,0,0,0
10857,r164,District of Columbia -> Other agencies -> National Aeronautics and Space Administration,District of Columbia,Other agencies,National Aeronautics and Space Administration,,3,1531141,1373541,0,55689,22296,79616,0
10857,r165,District of Columbia -> Other agencies -> National Science Foundation,District of Columbia,Other agencies,National Science Foundation,,3,242323,2759,118242,3850,43759,73581,132
10857,r166,District of Columbia -> Other agencies -> Nuclear Regulatory Commission,District of Columbia,Other agencies,Nuclear Regulatory Commission,,3,302,300,0,2,0,0,0
10857,r167,District of Columbia -> Other agencies -> Patient-Centered Outcomes Research Trust Fund,District of Columbia,Other agencies,Patient-Centered Outcomes Research Trust Fund,,3,521671,0,0,0,0,521671,0
10857,r168,District of Columbia -> Other agencies -> Postal Service,District of Columbia,Other agencies,Postal Service,,3,13860,0,0,13860,0,0,0
10857,r169,District of Columbia -> Other agencies -> Smithsonian Institution,District of Columbia,Other agencies,Smithsonian Institution,,3,227400,227400,0,0,0,0,0
10857,r170,District of Columbia -> Other agencies -> Social Security Administration,District of Columbia,Other agencies,Social Security Administration,,3,64471,46609,0,14536,25,3301,0
10857,r171,Florida,Florida,,,,1,4249966,799142,113,2099511,1138687,195545,16969
10857,r172,Florida -> Departments,Florida,Departments,,,2,,,,,,,
10857,r173,Florida -> Departments -> Department of Agriculture,Florida,Departments,Department of Agriculture,,3,91271,38477,0,1100,50840,854,0
10857,r174,Florida -> Departments -> Department of Commerce,Florida,Departments,Department of Commerce,,3,37788,14260,0,835,20324,1224,1145
10857,r175,Florida -> Departments -> Department of Defense,Florida,Departments,Department of Defense,,3,2689320,638347,0,1883469,115387,51014,1103
10857,r176,Florida -> Departments -> Department of Education,Florida,Departments,Department of Education,,3,13552,0,0,0,11181,0,2371
10857,r177,Florida -> Departments -> Department of Energy,Florida,Departments,Department of Energy,,3,38049,1,0,10119,27576,1,353
10857,r178,Florida -> Departments -> Department of Health and Human Services,Florida,Departments,Department of Health and Human Services,,3,854924,392,0,59326,656579,138355,274
10857,r179,Florida -> Departments -> Department of Homeland Security,Florida,Departments,Department of Homeland Security,,3,8097,624,113,7080,280,0,0
10857,r180,Florida -> Departments -> Department of the Interior,Florida,Departments,Department of the Interior,,3,58375,49348,0,1836,4989,2004,197
10857,r181,Florida -> Departments -> Department of Justice,Florida,Departments,Department of Justice,,3,2533,0,0,0,2533,0,0
10857,r182,Florida -> Departments -> Department of Transportation,Florida,Departments,Department of Transportation,,3,24555,526,0,3022,10594,0,10413
10857,r183,Florida -> Departments -> Department of Veterans Affairs,Florida,Departments,Department of Veterans Affairs,,3,43504,43504,0,0,0,0,0
10857,r184,Florida -> Other agencies,Florida,Other agencies,,,2,,,,,,,
10857,r185,Florida -> Other agencies -> Agency for International Development,Florida,Other agencies,Agency for International Development,,3,4627,0,0,0,4627,0,0
10857,r186,Florida -> Other agencies -> Environmental Protection Agency,Florida,Other agencies,Environmental Protection Agency,,3,10776,9923,0,826,28,0,0
10857,r187,Florida -> Other agencies -> National Aeronautics and Space Administration,Florida,Other agencies,National Aeronautics and Space Administration,,3,164422,3740,0,125594,33960,1124,3
10857,r188,Florida -> Other agencies -> National Science Foundation,Florida,Other agencies,National Science Foundation,,3,207850,0,0,6305,199465,969,1110
10857,r189,Florida -> Other agencies -> Nuclear Regulatory Commission,Florida,Other agencies,Nuclear Regulatory Commission,,3,200,0,0,0,200,0,0
10857,r190,Florida -> Other agencies -> Social Security Administration,Florida,Other agencies,Social Security Administration,,3,125,0,0,0,125,0,0
10857,r191,Georgia,Georgia,,,,1,1821438,225983,3697,239405,1291590,29422,31340
10857,r192,Georgia -> Departments,Georgia,Departments,,,2,,,,,,,
10857,r193,Georgia -> Departments -> Department of Agriculture,Georgia,Departments,Department of Agriculture,,3,109429,61628,0,103,47617,75,6
10857,r194,Georgia -> Departments -> Department of Commerce,Georgia,Departments,Department of Commerce,,3,9421,0,0,1243,8178,0,0
10857,r195,Georgia -> Departments -> Department of Defense,Georgia,Departments,Department of Defense,,3,460956,94783,15,135195,229490,1473,0
10857,r196,Georgia -> Departments -> Department of Education,Georgia,Departments,Department of Education,,3,3115,0,0,0,2705,409,0
10857,r197,Georgia -> Departments -> Department of Energy,Georgia,Departments,Department of Energy,,3,48978,2,0,9636,25110,13863,366
10857,r198,Georgia -> Departments -> Department of Health and Human Services,Georgia,Departments,Department of Health and Human Services,,3,910819,18725,0,59483,810341,4906,17364
10857,r199,Georgia -> Departments -> Department of Homeland Security,Georgia,Departments,Department of Homeland Security,,3,5023,1026,3683,215,100,0,0
10857,r200,Georgia -> Departments -> Department of the Interior,Georgia,Departments,Department of the Interior,,3,3351,2716,0,7,586,42,0
10857,r201,Georgia -> Departments -> Department of Justice,Georgia,Departments,Department of Justice,,3,1196,0,0,0,1196,0,0
10857,r202,Georgia -> Departments -> Department of Transportation,Georgia,Departments,Department of Transportation,,3,33759,1,0,17981,2242,0,13535
10857,r203,Georgia -> Departments -> Department of Veterans Affairs,Georgia,Departments,Department of Veterans Affairs,,3,39282,39282,0,0,0,0,0
10857,r204,Georgia -> Other agencies,Georgia,Other agencies,,,2,,,,,,,
10857,r205,Georgia -> Other agencies -> Agency for International Development,Georgia,Other agencies,Agency for International Development,,3,8000,0,0,0,3000,5000,0
10857,r206,Georgia -> Other agencies -> Environmental Protection Agency,Georgia,Other agencies,Environmental Protection Agency,,3,10916,7320,0,157,3439,0,0
10857,r207,Georgia -> Other agencies -> National Aeronautics and Space Administration,Georgia,Other agencies,National Aeronautics and Space Administration,,3,28628,499,0,5842,22287,0,0
10857,r208,Georgia -> Other agencies -> National Science Foundation,Georgia,Other agencies,National Science Foundation,,3,148098,0,0,9545,135263,3222,69
10857,r209,Georgia -> Other agencies -> Nuclear Regulatory Commission,Georgia,Other agencies,Nuclear Regulatory Commission,,3,431,0,0,0,0,431,0
10857,r210,Georgia -> Other agencies -> Social Security Administration,Georgia,Other agencies,Social Security Administration,,3,37,0,0,0,37,0,0
10857,r211,Hawaii,Hawaii,,,,1,371193,62910,0,133668,144109,23115,7390
10857,r212,Hawaii -> Departments,Hawaii,Departments,,,2,,,,,,,
10857,r213,Hawaii -> Departments -> Department of Agriculture,Hawaii,Departments,Department of Agriculture,,3,24726,17976,0,764,4475,1511,0
10857,r214,Hawaii -> Departments -> Department of Commerce,Hawaii,Departments,Department of Commerce,,3,5453,3956,0,535,962,0,0
10857,r215,Hawaii -> Departments -> Department of Defense,Hawaii,Departments,Department of Defense,,3,189922,30989,0,119080,23533,11225,5095
10857,r216,Hawaii -> Departments -> Department of Energy,Hawaii,Departments,Department of Energy,,3,8446,0,0,4896,3486,64,0
10857,r217,Hawaii -> Departments -> Department of Health and Human Services,Hawaii,Departments,Department of Health and Human Services,,3,60062,0,0,5249,49097,4777,940
