table_id,row_id,level_of_highest_degree_and_occupation_full_path,level_of_highest_degree_and_occupation_level_1,level_of_highest_degree_and_occupation_level_2,level_of_highest_degree_and_occupation_level_3,level_of_highest_degree_and_occupation_level_4,level_of_highest_degree_and_occupation_hierarchy_depth,field_total,field_obtained_a_certification_or_license_for_work_related_reasons,field_primary_field_of_certification_or_license_computer_applications_and_design,field_primary_field_of_certification_or_license_computer_networking_administration_and_security,field_primary_field_of_certification_or_license_other_information_technologies_and_computers,field_primary_field_of_certification_or_license_mathematics_statistics_and_data_analytics,field_primary_field_of_certification_or_license_life_sciences,field_primary_field_of_certification_or_license_physical_sciences,field_primary_field_of_certification_or_license_social_sciences,field_primary_field_of_certification_or_license_engineering,field_primary_field_of_certification_or_license_s_e_related,field_primary_field_of_certification_or_license_non_s_e,field_primary_field_of_certification_or_license_uncodeable_or_missing
5327,r011,All degree levels -> Bachelor's -> S&E occupations,All degree levels,Bachelor's,S&E occupations,,3,4176000,900000,81000,171000,81000,,18000,19000,8000,234000,65000,201000,22000
5327,r012,"All degree levels -> Bachelor's -> S&E occupations -> Biological, agricultural, and other life scientists",All degree levels,Bachelor's,S&E occupations,"Biological, agricultural, and other life scientists",4,277000,54000,,,,,12000,S,,,24000,14000,
5327,r013,All degree levels -> Bachelor's -> S&E occupations -> Computer and mathematical scientists,All degree levels,Bachelor's,S&E occupations,Computer and mathematical scientists,4,2403000,448000,72000,161000,76000,,,S,,1000,20000,99000,17000
5327,r014,All degree levels -> Bachelor's -> S&E occupations -> Physical and related scientists,All degree levels,Bachelor's,S&E occupations,Physical and related scientists,4,189000,41000,,,,,6000,14000,,S,9000,10000,
5327,r015,All degree levels -> Bachelor's -> S&E occupations -> Social and related scientists,All degree levels,Bachelor's,S&E occupations,Social and related scientists,4,147000,34000,,,,,,,8000,,,23000,
5327,r016,All degree levels -> Bachelor's -> S&E occupations -> Engineers,All degree levels,Bachelor's,S&E occupations,Engineers,4,1158000,324000,S,9000,S,,,1000,,232000,9000,55000,4000
5327,r017,All degree levels -> Bachelor's -> S&E-related occupations,All degree levels,Bachelor's,S&E-related occupations,,3,4794000,3260000,10000,20000,9000,19000,15000,16000,3000,75000,2501000,570000,23000
5327,r018,All degree levels -> Bachelor's -> Non-S&E occupations,All degree levels,Bachelor's,Non-S&E occupations,,3,22403000,6298000,32000,42000,24000,9000,37000,14000,14000,66000,392000,5562000,106000
5327,r019,All degree levels -> Master's,All degree levels,Master's,,,2,14158000,6777000,57000,81000,41000,7000,32000,39000,114000,223000,1222000,4837000,125000
5327,r020,All degree levels -> Master's -> S&E occupations,All degree levels,Master's,S&E occupations,,3,2286000,541000,40000,54000,24000,1000,9000,17000,37000,127000,23000,194000,13000
5327,r021,"All degree levels -> Master's -> S&E occupations -> Biological, agricultural, and other life scientists",All degree levels,Master's,S&E occupations,"Biological, agricultural, and other life scientists",4,152000,24000,,,,,6000,2000,,,6000,8000,
5327,r022,All degree levels -> Master's -> S&E occupations -> Computer and mathematical scientists,All degree levels,Master's,S&E occupations,Computer and mathematical scientists,4,1168000,231000,39000,53000,22000,1000,,1000,,3000,8000,93000,8000
5327,r023,All degree levels -> Master's -> S&E occupations -> Physical and related scientists,All degree levels,Master's,S&E occupations,Physical and related scientists,4,97000,21000,,,,,S,11000,,0.05,S,3000,
5327,r024,All degree levels -> Master's -> S&E occupations -> Social and related scientists,All degree levels,Master's,S&E occupations,Social and related scientists,4,249000,91000,,,,,,,35000,,1000,53000,0.05
5327,r025,All degree levels -> Master's -> S&E occupations -> Engineers,All degree levels,Master's,S&E occupations,Engineers,4,619000,174000,,1000,,,,3000,,123000,3000,37000,S
5327,r026,All degree levels -> Master's -> S&E-related occupations,All degree levels,Master's,S&E-related occupations,,3,2332000,1745000,7000,6000,5000,S,10000,11000,25000,36000,1021000,585000,32000
5327,r027,All degree levels -> Master's -> Non-S&E occupations,All degree levels,Master's,Non-S&E occupations,,3,9540000,4492000,9000,21000,11000,,12000,11000,52000,59000,178000,4058000,80000
5327,r028,All degree levels -> Doctorate,All degree levels,Doctorate,,,2,2090000,655000,S,4000,2000,,5000,8000,93000,26000,255000,234000,25000
5327,r029,All degree levels -> Doctorate -> S&E occupations,All degree levels,Doctorate,S&E occupations,,3,938000,154000,S,3000,,,1000,6000,73000,20000,13000,27000,7000
5327,r030,All degree levels -> Doctorate -> S&E-related occupations,All degree levels,Doctorate,S&E-related occupations,,3,387000,262000,,,,,0.05,1000,7000,3000,212000,26000,S
5327,r031,All degree levels -> Doctorate -> Non-S&E occupations,All degree levels,Doctorate,Non-S&E occupations,,3,765000,239000,,,,,S,,13000,4000,30000,181000,7000
5327,r032,All degree levels -> Professional,All degree levels,Professional,,,2,2903000,2493000,,,,,,,24000,,1316000,1118000,30000
5327,r033,All degree levels -> Professional -> S&E occupations,All degree levels,Professional,S&E occupations,,3,67000,34000,,,,,,,19000,,6000,6000,S
5327,r034,All degree levels -> Professional -> S&E-related occupations,All degree levels,Professional,S&E-related occupations,,3,1380000,1301000,,,,,,,2000,,1273000,16000,S
5327,r035,All degree levels -> Professional -> Non-S&E occupations,All degree levels,Professional,Non-S&E occupations,,3,1456000,1158000,,,,,,,4000,,36000,1096000,21000
