table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_level_6,budget_function_and_agency_hierarchy_depth,field_2021_actual,field_2022_preliminarya,field_2023_proposed,field_2021_22_change_,field_2022_23_change_
8451,r028,R&D and R&D plant -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Weather Service,R&D and R&D plant,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,National Weather Service,,5,48,42,72,-12.5,71.4
8451,r029,R&D and R&D plant -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Office of Oceanic and Atmospheric Research,R&D and R&D plant,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,Office of Oceanic and Atmospheric Research,,5,1094,1201,1355,9.8,12.8
8451,r030,R&D and R&D plant -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Office of Marine and Aviation Operations,R&D and R&D plant,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,Office of Marine and Aviation Operations,,5,240,314,270,30.8,-14.0
8451,r031,R&D and R&D plant -> Other natural resources (306) -> Department of the Interior<sup>b</sup>,R&D and R&D plant,Other natural resources (306),Department of the Interior<sup>b</sup>,,,,3,692,692,978,0.0,41.3
8451,r032,R&D and R&D plant -> Other natural resources (306) -> Department of the Interior<sup>b</sup> -> Geological Survey,R&D and R&D plant,Other natural resources (306),Department of the Interior<sup>b</sup>,Geological Survey,,,4,692,692,978,0.0,41.3
8451,r033,R&D and R&D plant -> Other natural resources (306) -> Department of the Interior<sup>b</sup> -> Geological Survey -> Core science systems,R&D and R&D plant,Other natural resources (306),Department of the Interior<sup>b</sup>,Geological Survey,Core science systems,,5,93,93,157,0.0,68.8
8451,r034,R&D and R&D plant -> Other natural resources (306) -> Department of the Interior<sup>b</sup> -> Geological Survey -> Ecosystems,R&D and R&D plant,Other natural resources (306),Department of the Interior<sup>b</sup>,Geological Survey,Ecosystems,,5,258,258,373,0.0,44.6
8451,r035,"R&D and R&D plant -> Other natural resources (306) -> Department of the Interior<sup>b</sup> -> Geological Survey -> Energy, minerals, and environmental health",R&D and R&D plant,Other natural resources (306),Department of the Interior<sup>b</sup>,Geological Survey,"Energy, minerals, and environmental health",,5,78,78,127,0.0,62.8
8451,r036,R&D and R&D plant -> Other natural resources (306) -> Department of the Interior<sup>b</sup> -> Geological Survey -> Natural hazards,R&D and R&D plant,Other natural resources (306),Department of the Interior<sup>b</sup>,Geological Survey,Natural hazards,,5,128,128,165,0.0,28.9
8451,r037,R&D and R&D plant -> Other natural resources (306) -> Department of the Interior<sup>b</sup> -> Geological Survey -> Water resources,R&D and R&D plant,Other natural resources (306),Department of the Interior<sup>b</sup>,Geological Survey,Water resources,,5,135,135,156,0.0,15.6
8451,r038,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,,2,3395,3644,4294,7.3,17.8
8451,r039,R&D and R&D plant -> R&D -> Conservation and land management (302),R&D and R&D plant,R&D,Conservation and land management (302),,,,3,422,540,597,28.0,10.6
8451,r040,R&D and R&D plant -> R&D -> Conservation and land management (302) -> Department of the Interior<sup>b</sup>,R&D and R&D plant,R&D,Conservation and land management (302),Department of the Interior<sup>b</sup>,,,4,164,193,229,17.7,18.7
8451,r041,R&D and R&D plant -> R&D -> Conservation and land management (302) -> Department of Agriculture,R&D and R&D plant,R&D,Conservation and land management (302),Department of Agriculture,,,4,258,347,368,34.5,6.1
8451,r042,R&D and R&D plant -> R&D -> Conservation and land management (302) -> Department of Agriculture -> Forest Service,R&D and R&D plant,R&D,Conservation and land management (302),Department of Agriculture,Forest Service,,5,258,347,368,34.5,6.1
8451,r043,R&D and R&D plant -> R&D -> Pollution control and abatement (304),R&D and R&D plant,R&D,Pollution control and abatement (304),,,,3,534,533,614,-0.2,15.2
8451,r044,R&D and R&D plant -> R&D -> Pollution control and abatement (304) -> Environmental Protection Agency,R&D and R&D plant,R&D,Pollution control and abatement (304),Environmental Protection Agency,,,4,524,523,604,-0.2,15.5
8451,r045,R&D and R&D plant -> R&D -> Pollution control and abatement (304) -> Environmental Protection Agency -> Oil spill response research,R&D and R&D plant,R&D,Pollution control and abatement (304),Environmental Protection Agency,Oil spill response research,,5,1,1,1,0.0,0.0
8451,r046,R&D and R&D plant -> R&D -> Pollution control and abatement (304) -> Environmental Protection Agency -> Science and technology,R&D and R&D plant,R&D,Pollution control and abatement (304),Environmental Protection Agency,Science and technology,,5,492,492,573,0.0,16.5
8451,r047,R&D and R&D plant -> R&D -> Pollution control and abatement (304) -> Environmental Protection Agency -> Superfund,R&D and R&D plant,R&D,Pollution control and abatement (304),Environmental Protection Agency,Superfund,,5,31,30,30,-3.2,0.0
8451,r048,R&D and R&D plant -> R&D -> Pollution control and abatement (304) -> Department of Homeland Security,R&D and R&D plant,R&D,Pollution control and abatement (304),Department of Homeland Security,,,4,10,10,10,0.0,0.0
8451,r049,R&D and R&D plant -> R&D -> Pollution control and abatement (304) -> Department of Homeland Security -> Coast Guard,R&D and R&D plant,R&D,Pollution control and abatement (304),Department of Homeland Security,Coast Guard,,5,10,10,10,0.0,0.0
8451,r050,R&D and R&D plant -> R&D -> Recreational resources (303),R&D and R&D plant,R&D,Recreational resources (303),,,,3,28,28,34,0.0,21.4
8451,r051,R&D and R&D plant -> R&D -> Recreational resources (303) -> Department of the Interior<sup>b</sup>,R&D and R&D plant,R&D,Recreational resources (303),Department of the Interior<sup>b</sup>,,,4,28,28,34,0.0,21.4
8451,r052,R&D and R&D plant -> R&D -> Recreational resources (303) -> Department of the Interior<sup>b</sup> -> National Park Service,R&D and R&D plant,R&D,Recreational resources (303),Department of the Interior<sup>b</sup>,National Park Service,,5,28,28,34,0.0,21.4
8451,r053,R&D and R&D plant -> R&D -> Water resources (301),R&D and R&D plant,R&D,Water resources (301),,,,3,146,138,146,-5.5,5.8
8451,r054,R&D and R&D plant -> R&D -> Water resources (301) -> Department of Defense,R&D and R&D plant,R&D,Water resources (301),Department of Defense,,,4,30,21,21,-30.0,0.0
8451,r055,R&D and R&D plant -> R&D -> Water resources (301) -> Department of Defense -> Army Corps of Engineers,R&D and R&D plant,R&D,Water resources (301),Department of Defense,Army Corps of Engineers,,5,30,21,21,-30.0,0.0
8451,r056,R&D and R&D plant -> R&D -> Water resources (301) -> Department of the Interior<sup>b</sup>,R&D and R&D plant,R&D,Water resources (301),Department of the Interior<sup>b</sup>,,,4,116,117,125,0.9,6.8
8451,r057,R&D and R&D plant -> R&D -> Water resources (301) -> Department of the Interior<sup>b</sup> -> Bureau of Reclamation,R&D and R&D plant,R&D,Water resources (301),Department of the Interior<sup>b</sup>,Bureau of Reclamation,,5,116,117,125,0.9,6.8
8451,r058,R&D and R&D plant -> R&D -> Other natural resources (306),R&D and R&D plant,R&D,Other natural resources (306),,,,3,2265,2405,2903,6.2,20.7
8451,r059,R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of Commerce,R&D and R&D plant,R&D,Other natural resources (306),Department of Commerce,,,4,1573,1713,1925,8.9,12.4
8451,r060,R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration,R&D and R&D plant,R&D,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,,5,1573,1713,1925,8.9,12.4
8451,r061,R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Mission Support / Spectrum,R&D and R&D plant,R&D,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,Mission Support / Spectrum,6,0,0,0,-,-
8451,r062,"R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Environmental Satellite, Data, and Information Service",R&D and R&D plant,R&D,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,"National Environmental Satellite, Data, and Information Service",6,58,84,140,44.8,66.7
8451,r063,R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service,R&D and R&D plant,R&D,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,6,152,154,144,1.3,-6.5
8451,r064,R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Ocean Service,R&D and R&D plant,R&D,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,National Ocean Service,6,206,216,257,4.9,19.0
8451,r065,R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Weather Service,R&D and R&D plant,R&D,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,National Weather Service,6,47,41,72,-12.8,75.6
8451,r066,R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Office of Oceanic and Atmospheric Research,R&D and R&D plant,R&D,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,Office of Oceanic and Atmospheric Research,6,1042,1145,1239,9.9,8.2
8451,r067,R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Office of Marine and Aviation Operations,R&D and R&D plant,R&D,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,Office of Marine and Aviation Operations,6,68,73,73,7.4,0.0
8451,r068,R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of the Interior<sup>b</sup>,R&D and R&D plant,R&D,Other natural resources (306),Department of the Interior<sup>b</sup>,,,4,692,692,978,0.0,41.3
8451,r069,R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of the Interior<sup>b</sup> -> Geological Survey,R&D and R&D plant,R&D,Other natural resources (306),Department of the Interior<sup>b</sup>,Geological Survey,,5,692,692,978,0.0,41.3
8451,r070,R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of the Interior<sup>b</sup> -> Geological Survey -> Core science systems,R&D and R&D plant,R&D,Other natural resources (306),Department of the Interior<sup>b</sup>,Geological Survey,Core science systems,6,93,93,157,0.0,68.8
8451,r071,R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of the Interior<sup>b</sup> -> Geological Survey -> Ecosystems,R&D and R&D plant,R&D,Other natural resources (306),Department of the Interior<sup>b</sup>,Geological Survey,Ecosystems,6,258,258,373,0.0,44.6
8451,r072,"R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of the Interior<sup>b</sup> -> Geological Survey -> Energy, minerals, and environmental health",R&D and R&D plant,R&D,Other natural resources (306),Department of the Interior<sup>b</sup>,Geological Survey,"Energy, minerals, and environmental health",6,78,78,127,0.0,62.8
8451,r073,R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of the Interior<sup>b</sup> -> Geological Survey -> Natural hazards,R&D and R&D plant,R&D,Other natural resources (306),Department of the Interior<sup>b</sup>,Geological Survey,Natural hazards,6,128,128,165,0.0,28.9
8451,r074,R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of the Interior<sup>b</sup> -> Geological Survey -> Water resources,R&D and R&D plant,R&D,Other natural resources (306),Department of the Interior<sup>b</sup>,Geological Survey,Water resources,6,135,135,156,0.0,15.6
