table_id,row_id,field_and_degree_full_path,field_and_degree_level_1,field_and_degree_level_2,field_and_degree_level_3,field_and_degree_level_4,field_and_degree_hierarchy_depth,field_all_institutions_number_all_s_e_graduate_students,field_all_institutions_number_female,field_all_institutions_number_male,field_hhes_number_all_s_e_graduate_students,field_hhes_number_female,field_hhes_number_male,field_hhes_all_s_e_graduate_students,field_hhes_female,field_hhes_male
3249,r068,All S&E graduate students -> All S&E doctoral students -> Science -> Physical sciences,All S&E graduate students,All S&E doctoral students,Science,Physical sciences,4,1928,688,1240,456,182,274,23.65,26.45,22.1
3249,r069,All S&E graduate students -> All S&E doctoral students -> Science -> Psychology,All S&E graduate students,All S&E doctoral students,Science,Psychology,4,2514,1838,676,977,730,247,38.86,39.72,36.54
3249,r070,All S&E graduate students -> All S&E doctoral students -> Science -> Social sciences,All S&E graduate students,All S&E doctoral students,Science,Social sciences,4,2296,1326,970,553,339,214,24.09,25.57,22.06
3249,r071,All S&E graduate students -> All S&E doctoral students -> Engineering,All S&E graduate students,All S&E doctoral students,Engineering,,3,2503,743,1760,465,151,314,18.58,20.32,17.84
3249,r072,"All S&E graduate students -> All S&E doctoral students -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All S&E graduate students,All S&E doctoral students,Engineering,"Aerospace, aeronautical, and astronautical engineering",4,109,17,92,4,0,4,3.67,0.0,4.35
3249,r073,All S&E graduate students -> All S&E doctoral students -> Engineering -> Agricultural engineering,All S&E graduate students,All S&E doctoral students,Engineering,Agricultural engineering,4,19,7,12,0,0,0,0.0,0.0,0.0
3249,r074,All S&E graduate students -> All S&E doctoral students -> Engineering -> Bioengineering and biomedical engineering,All S&E graduate students,All S&E doctoral students,Engineering,Bioengineering and biomedical engineering,4,480,224,256,89,42,47,18.54,18.75,18.36
3249,r075,All S&E graduate students -> All S&E doctoral students -> Engineering -> Biological and biosystems engineering,All S&E graduate students,All S&E doctoral students,Engineering,Biological and biosystems engineering,4,6,4,2,0,0,0,0.0,0.0,0.0
3249,r076,All S&E graduate students -> All S&E doctoral students -> Engineering -> Chemical engineering,All S&E graduate students,All S&E doctoral students,Engineering,Chemical engineering,4,241,81,160,33,17,16,13.69,20.99,10.0
3249,r077,All S&E graduate students -> All S&E doctoral students -> Engineering -> Civil engineering,All S&E graduate students,All S&E doctoral students,Engineering,Civil engineering,4,267,117,150,67,27,40,25.09,23.08,26.67
3249,r078,"All S&E graduate students -> All S&E doctoral students -> Engineering -> Electrical, electronics, and communications engineering",All S&E graduate students,All S&E doctoral students,Engineering,"Electrical, electronics, and communications engineering",4,387,53,334,87,14,73,22.48,26.42,21.86
3249,r079,"All S&E graduate students -> All S&E doctoral students -> Engineering -> Engineering mechanics, physics, and science",All S&E graduate students,All S&E doctoral students,Engineering,"Engineering mechanics, physics, and science",4,44,12,32,5,2,3,11.36,16.67,9.38
3249,r080,All S&E graduate students -> All S&E doctoral students -> Engineering -> Industrial and manufacturing engineering,All S&E graduate students,All S&E doctoral students,Engineering,Industrial and manufacturing engineering,4,83,27,56,13,6,7,15.66,22.22,12.5
3249,r081,All S&E graduate students -> All S&E doctoral students -> Engineering -> Mechanical engineering,All S&E graduate students,All S&E doctoral students,Engineering,Mechanical engineering,4,416,76,340,80,15,65,19.23,19.74,19.12
3249,r082,All S&E graduate students -> All S&E doctoral students -> Engineering -> Metallurgical and materials engineering,All S&E graduate students,All S&E doctoral students,Engineering,Metallurgical and materials engineering,4,226,70,156,37,14,23,16.37,20.0,14.74
3249,r083,All S&E graduate students -> All S&E doctoral students -> Engineering -> Mining engineering,All S&E graduate students,All S&E doctoral students,Engineering,Mining engineering,4,7,1,6,0,0,0,0.0,0.0,0.0
3249,r084,All S&E graduate students -> All S&E doctoral students -> Engineering -> Nanotechnology,All S&E graduate students,All S&E doctoral students,Engineering,Nanotechnology,4,2,1,1,0,0,0,0.0,0.0,0.0
3249,r085,All S&E graduate students -> All S&E doctoral students -> Engineering -> Nuclear engineering,All S&E graduate students,All S&E doctoral students,Engineering,Nuclear engineering,4,59,14,45,0,0,0,0.0,0.0,0.0
3249,r086,All S&E graduate students -> All S&E doctoral students -> Engineering -> Petroleum engineering,All S&E graduate students,All S&E doctoral students,Engineering,Petroleum engineering,4,6,1,5,1,1,0,16.67,100.0,0.0
3249,r087,All S&E graduate students -> All S&E doctoral students -> Engineering -> Engineering nec,All S&E graduate students,All S&E doctoral students,Engineering,Engineering nec,4,151,38,113,49,13,36,32.45,34.21,31.86
