table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_level_4,_b_field_b_hierarchy_depth,field_2020_all_units_with_students,field_2020_units_with_master_s_students,field_2020_units_with_doctoral_students,field_2021_all_units_with_students,field_2021_units_with_master_s_students,field_2021_units_with_doctoral_students,field_2022_all_units_with_students,field_2022_units_with_master_s_students,field_2022_units_with_doctoral_students
10631,r019,All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences -> Molecular biology,All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences,Molecular biology,4,54,20,41,54,21,40,53,22,39
10631,r020,All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences -> Neurobiology and neuroscience,All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences,Neurobiology and neuroscience,4,169,42,153,175,41,159,187,47,167
10631,r021,All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences -> Nutrition science,All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences,Nutrition science,4,103,87,56,112,97,55,116,100,58
10631,r022,All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences -> Pathology and experimental pathology,All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences,Pathology and experimental pathology,4,43,12,37,45,16,39,40,13,34
10631,r023,All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences -> Pharmacology and toxicology,All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences,Pharmacology and toxicology,4,135,56,117,141,57,122,147,61,129
10631,r024,All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences -> Physiology,All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences,Physiology,4,192,107,137,202,107,146,206,111,148
10631,r025,All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences -> Zoology and animal biology,All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences,Zoology and animal biology,4,72,59,64,70,59,60,79,65,66
10631,r026,All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences -> Biological and biomedical sciences nec,All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences,Biological and biomedical sciences nec,4,97,44,64,101,45,68,100,47,64
10631,r027,All surveyed fields<sup>a</sup> -> Science -> Computer and information sciences,All surveyed fields<sup>a</sup>,Science,Computer and information sciences,,3,976,899,275,1023,945,288,1075,982,308
10631,r028,"All surveyed fields<sup>a</sup> -> Science -> Computer and information sciences -> Artificial intelligence, informatics, and computer and information science topics ",All surveyed fields<sup>a</sup>,Science,Computer and information sciences,"Artificial intelligence, informatics, and computer and information science topics ",4,78,69,18,84,77,20,92,81,21
10631,r029,All surveyed fields<sup>a</sup> -> Science -> Computer and information sciences -> Computer and information sciences,All surveyed fields<sup>a</sup>,Science,Computer and information sciences,Computer and information sciences,4,209,180,81,215,185,86,213,178,91
10631,r030,All surveyed fields<sup>a</sup> -> Science -> Computer and information sciences -> Computer and information systems security ,All surveyed fields<sup>a</sup>,Science,Computer and information sciences,Computer and information systems security ,4,123,121,6,142,140,7,160,157,8
10631,r031,All surveyed fields<sup>a</sup> -> Science -> Computer and information sciences -> Computer science,All surveyed fields<sup>a</sup>,Science,Computer and information sciences,Computer science,4,268,252,116,273,254,125,291,266,137
10631,r032,All surveyed fields<sup>a</sup> -> Science -> Computer and information sciences -> Information science and studies,All surveyed fields<sup>a</sup>,Science,Computer and information sciences,Information science and studies,4,129,118,31,127,117,29,131,120,31
10631,r033,All surveyed fields<sup>a</sup> -> Science -> Computer and information sciences -> Information technology,All surveyed fields<sup>a</sup>,Science,Computer and information sciences,Information technology,4,84,81,10,90,86,11,98,94,11
10631,r034,All surveyed fields<sup>a</sup> -> Science -> Computer and information sciences -> Computer and information sciences nec ,All surveyed fields<sup>a</sup>,Science,Computer and information sciences,Computer and information sciences nec ,4,85,78,13,92,86,10,90,86,9
10631,r035,"All surveyed fields<sup>a</sup> -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All surveyed fields<sup>a</sup>,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,396,338,267,391,331,267,396,335,266
10631,r036,"All surveyed fields<sup>a</sup> -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric sciences and meteorology",All surveyed fields<sup>a</sup>,Science,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric sciences and meteorology,4,51,43,43,51,41,42,59,48,46
10631,r037,"All surveyed fields<sup>a</sup> -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All surveyed fields<sup>a</sup>,Science,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,4,260,225,166,258,223,166,260,224,163
10631,r038,"All surveyed fields<sup>a</sup> -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean and marine sciences",All surveyed fields<sup>a</sup>,Science,"Geosciences, atmospheric sciences, and ocean sciences",Ocean and marine sciences,4,85,70,58,82,67,59,77,63,57
10631,r039,All surveyed fields<sup>a</sup> -> Science -> Mathematics and statistics,All surveyed fields<sup>a</sup>,Science,Mathematics and statistics,,3,710,614,331,724,628,335,748,644,345
10631,r040,All surveyed fields<sup>a</sup> -> Science -> Mathematics and statistics -> Applied mathematics,All surveyed fields<sup>a</sup>,Science,Mathematics and statistics,Applied mathematics,4,200,162,79,212,176,80,218,183,80
10631,r041,All surveyed fields<sup>a</sup> -> Science -> Mathematics and statistics -> Mathematics,All surveyed fields<sup>a</sup>,Science,Mathematics and statistics,Mathematics,4,318,278,163,313,270,165,323,275,171
10631,r042,All surveyed fields<sup>a</sup> -> Science -> Mathematics and statistics -> Statistics,All surveyed fields<sup>a</sup>,Science,Mathematics and statistics,Statistics,4,192,174,89,199,182,90,207,186,94
10631,r043,All surveyed fields<sup>a</sup> -> Science -> Multidisciplinary and interdisciplinary sciences<sup>c</sup>,All surveyed fields<sup>a</sup>,Science,Multidisciplinary and interdisciplinary sciences<sup>c</sup>,,3,354,279,124,396,311,136,439,354,145
10631,r044,All surveyed fields<sup>a</sup> -> Science -> Multidisciplinary and interdisciplinary sciences<sup>c</sup> -> Biological and physical sciences,All surveyed fields<sup>a</sup>,Science,Multidisciplinary and interdisciplinary sciences<sup>c</sup>,Biological and physical sciences,4,37,31,15,34,26,16,38,29,17
10631,r045,All surveyed fields<sup>a</sup> -> Science -> Multidisciplinary and interdisciplinary sciences<sup>c</sup> -> Computational science,All surveyed fields<sup>a</sup>,Science,Multidisciplinary and interdisciplinary sciences<sup>c</sup>,Computational science,4,47,37,15,50,41,17,56,48,15
10631,r046,All surveyed fields<sup>a</sup> -> Science -> Multidisciplinary and interdisciplinary sciences<sup>c</sup> -> Data science and data analytics,All surveyed fields<sup>a</sup>,Science,Multidisciplinary and interdisciplinary sciences<sup>c</sup>,Data science and data analytics,4,35,34,2,50,49,2,70,69,5
10631,r047,All surveyed fields<sup>a</sup> -> Science -> Multidisciplinary and interdisciplinary sciences<sup>c</sup> -> International and global studies,All surveyed fields<sup>a</sup>,Science,Multidisciplinary and interdisciplinary sciences<sup>c</sup>,International and global studies,4,30,27,7,34,29,9,33,30,8
10631,r048,All surveyed fields<sup>a</sup> -> Science -> Multidisciplinary and interdisciplinary sciences<sup>c</sup> -> Multidisciplinary and interdisciplinary sciences nec,All surveyed fields<sup>a</sup>,Science,Multidisciplinary and interdisciplinary sciences<sup>c</sup>,Multidisciplinary and interdisciplinary sciences nec,4,205,150,85,228,166,92,242,178,100
10631,r049,All surveyed fields<sup>a</sup> -> Science -> Natural resources and conservation,All surveyed fields<sup>a</sup>,Science,Natural resources and conservation,,3,354,302,152,362,316,154,381,320,168
10631,r050,All surveyed fields<sup>a</sup> -> Science -> Natural resources and conservation -> Environmental science and studies,All surveyed fields<sup>a</sup>,Science,Natural resources and conservation,Environmental science and studies,4,199,163,70,207,179,70,218,177,81
10631,r051,"All surveyed fields<sup>a</sup> -> Science -> Natural resources and conservation -> Forestry, natural resources, and conservation",All surveyed fields<sup>a</sup>,Science,Natural resources and conservation,"Forestry, natural resources, and conservation",4,155,139,82,155,137,84,163,143,87
10631,r052,All surveyed fields<sup>a</sup> -> Science -> Physical sciences,All surveyed fields<sup>a</sup>,Science,Physical sciences,,3,783,572,545,779,570,544,806,577,565
10631,r053,All surveyed fields<sup>a</sup> -> Science -> Physical sciences -> Astronomy and astrophysics,All surveyed fields<sup>a</sup>,Science,Physical sciences,Astronomy and astrophysics,4,58,15,51,58,15,51,61,15,54
10631,r054,All surveyed fields<sup>a</sup> -> Science -> Physical sciences -> Chemistry,All surveyed fields<sup>a</sup>,Science,Physical sciences,Chemistry,4,354,284,224,355,287,228,356,292,229
10631,r055,All surveyed fields<sup>a</sup> -> Science -> Physical sciences -> Materials sciences,All surveyed fields<sup>a</sup>,Science,Physical sciences,Materials sciences,4,59,37,47,54,37,41,63,36,48
10631,r056,All surveyed fields<sup>a</sup> -> Science -> Physical sciences -> Physics,All surveyed fields<sup>a</sup>,Science,Physical sciences,Physics,4,284,215,210,282,209,211,298,216,219
10631,r057,All surveyed fields<sup>a</sup> -> Science -> Physical sciences -> Physical sciences nec,All surveyed fields<sup>a</sup>,Science,Physical sciences,Physical sciences nec,4,28,21,13,30,22,13,28,18,15
10631,r058,All surveyed fields<sup>a</sup> -> Science -> Psychology,All surveyed fields<sup>a</sup>,Science,Psychology,,3,1143,827,503,1141,818,509,1158,828,518
10631,r059,All surveyed fields<sup>a</sup> -> Science -> Psychology -> Applied psychology,All surveyed fields<sup>a</sup>,Science,Psychology,Applied psychology,4,391,330,141,399,337,143,416,352,148
10631,r060,All surveyed fields<sup>a</sup> -> Science -> Psychology -> Clinical psychology,All surveyed fields<sup>a</sup>,Science,Psychology,Clinical psychology,4,126,65,71,122,61,67,123,63,66
10631,r061,All surveyed fields<sup>a</sup> -> Science -> Psychology -> Counseling psychology,All surveyed fields<sup>a</sup>,Science,Psychology,Counseling psychology,4,130,97,44,127,94,48,121,90,47
10631,r062,All surveyed fields<sup>a</sup> -> Science -> Psychology -> Human development<sup>d</sup>,All surveyed fields<sup>a</sup>,Science,Psychology,Human development<sup>d</sup>,4,71,63,27,72,61,29,70,60,27
10631,r063,"All surveyed fields<sup>a</sup> -> Science -> Psychology -> Psychology, general",All surveyed fields<sup>a</sup>,Science,Psychology,"Psychology, general",4,274,204,117,267,199,110,264,197,109
10631,r064,All surveyed fields<sup>a</sup> -> Science -> Psychology -> Research and experimental psychology,All surveyed fields<sup>a</sup>,Science,Psychology,Research and experimental psychology,4,151,68,103,154,66,112,164,66,121
10631,r065,All surveyed fields<sup>a</sup> -> Science -> Social sciences,All surveyed fields<sup>a</sup>,Science,Social sciences,,3,2039,1643,938,2057,1647,952,2061,1622,965
10631,r066,All surveyed fields<sup>a</sup> -> Science -> Social sciences -> Agricultural and natural resource economics,All surveyed fields<sup>a</sup>,Science,Social sciences,Agricultural and natural resource economics,4,42,36,20,40,36,17,37,32,16
10631,r067,All surveyed fields<sup>a</sup> -> Science -> Social sciences -> Anthropology,All surveyed fields<sup>a</sup>,Science,Social sciences,Anthropology,4,173,134,103,175,127,108,178,128,111
10631,r068,"All surveyed fields<sup>a</sup> -> Science -> Social sciences -> Area, ethnic, cultural, gender, and group studies",All surveyed fields<sup>a</sup>,Science,Social sciences,"Area, ethnic, cultural, gender, and group studies",4,311,249,121,309,246,116,292,227,116
10631,r069,All surveyed fields<sup>a</sup> -> Science -> Social sciences -> Criminal justice and safety studies,All surveyed fields<sup>a</sup>,Science,Social sciences,Criminal justice and safety studies,4,112,108,21,115,110,22,119,114,23
10631,r070,All surveyed fields<sup>a</sup> -> Science -> Social sciences -> Criminology,All surveyed fields<sup>a</sup>,Science,Social sciences,Criminology,4,42,39,14,43,41,13,46,43,14
10631,r071,All surveyed fields<sup>a</sup> -> Science -> Social sciences -> Economics (except agricultural and natural resource),All surveyed fields<sup>a</sup>,Science,Social sciences,Economics (except agricultural and natural resource),4,268,211,146,276,219,157,295,229,164
10631,r072,All surveyed fields<sup>a</sup> -> Science -> Social sciences -> Geography and cartography,All surveyed fields<sup>a</sup>,Science,Social sciences,Geography and cartography,4,169,162,69,173,166,69,164,157,65
10631,r073,All surveyed fields<sup>a</sup> -> Science -> Social sciences -> International relations and national security studies,All surveyed fields<sup>a</sup>,Science,Social sciences,International relations and national security studies,4,98,94,13,104,98,16,100,96,12
10631,r074,All surveyed fields<sup>a</sup> -> Science -> Social sciences -> Linguistics,All surveyed fields<sup>a</sup>,Science,Social sciences,Linguistics,4,104,74,63,106,77,63,107,77,64
10631,r075,All surveyed fields<sup>a</sup> -> Science -> Social sciences -> Political science and government,All surveyed fields<sup>a</sup>,Science,Social sciences,Political science and government,4,211,161,127,210,166,125,213,158,131
10631,r076,All surveyed fields<sup>a</sup> -> Science -> Social sciences -> Public policy analysis,All surveyed fields<sup>a</sup>,Science,Social sciences,Public policy analysis,4,148,112,60,141,106,58,148,112,60
10631,r077,All surveyed fields<sup>a</sup> -> Science -> Social sciences -> Sociology,All surveyed fields<sup>a</sup>,Science,Social sciences,Sociology,4,230,162,127,228,154,129,224,148,127
10631,r078,All surveyed fields<sup>a</sup> -> Science -> Social sciences -> Urban studies and affairs ,All surveyed fields<sup>a</sup>,Science,Social sciences,Urban studies and affairs ,4,37,30,14,38,29,15,39,30,15
10631,r079,"All surveyed fields<sup>a</sup> -> Science -> Social sciences -> Social sciences, other<sup>e</sup>",All surveyed fields<sup>a</sup>,Science,Social sciences,"Social sciences, other<sup>e</sup>",4,94,71,40,99,72,44,99,71,47
10631,r080,All surveyed fields<sup>a</sup> -> Engineering<sup>f</sup>,All surveyed fields<sup>a</sup>,Engineering<sup>f</sup>,,,2,2459,2188,1416,2479,2204,1437,2545,2250,1455
10631,r081,"All surveyed fields<sup>a</sup> -> Engineering<sup>f</sup> -> Aerospace, aeronautical, and astronautical engineering",All surveyed fields<sup>a</sup>,Engineering<sup>f</sup>,"Aerospace, aeronautical, and astronautical engineering",,3,69,65,51,72,70,51,73,71,52
10631,r082,"All surveyed fields<sup>a</sup> -> Engineering<sup>f</sup> -> Biological, biomedical, and biosystems engineering<sup>e</sup>",All surveyed fields<sup>a</sup>,Engineering<sup>f</sup>,"Biological, biomedical, and biosystems engineering<sup>e</sup>",,3,220,186,155,228,191,163,234,193,167
10631,r083,"All surveyed fields<sup>a</sup> -> Engineering<sup>f</sup> -> Chemical, petroleum, and chemical-related engineering",All surveyed fields<sup>a</sup>,Engineering<sup>f</sup>,"Chemical, petroleum, and chemical-related engineering",,3,189,169,144,193,174,144,202,182,147
10631,r084,"All surveyed fields<sup>a</sup> -> Engineering<sup>f</sup> -> Chemical, petroleum, and chemical-related engineering -> Chemical engineering",All surveyed fields<sup>a</sup>,Engineering<sup>f</sup>,"Chemical, petroleum, and chemical-related engineering",Chemical engineering,4,163,145,128,169,152,128,174,157,130
10631,r085,"All surveyed fields<sup>a</sup> -> Engineering<sup>f</sup> -> Chemical, petroleum, and chemical-related engineering -> Petroleum engineering",All surveyed fields<sup>a</sup>,Engineering<sup>f</sup>,"Chemical, petroleum, and chemical-related engineering",Petroleum engineering,4,26,24,16,24,22,16,28,25,17
10631,r086,"All surveyed fields<sup>a</sup> -> Engineering<sup>f</sup> -> Civil, environmental, transportation and related engineering fields",All surveyed fields<sup>a</sup>,Engineering<sup>f</sup>,"Civil, environmental, transportation and related engineering fields",,3,379,350,203,367,336,205,388,357,209
10631,r087,"All surveyed fields<sup>a</sup> -> Engineering<sup>f</sup> -> Civil, environmental, transportation and related engineering fields -> Civil engineering",All surveyed fields<sup>a</sup>,Engineering<sup>f</sup>,"Civil, environmental, transportation and related engineering fields",Civil engineering,4,249,233,151,239,223,146,249,233,148
10631,r088,"All surveyed fields<sup>a</sup> -> Engineering<sup>f</sup> -> Civil, environmental, transportation and related engineering fields -> Architectural, environmental, construction and surveying engineering",All surveyed fields<sup>a</sup>,Engineering<sup>f</sup>,"Civil, environmental, transportation and related engineering fields","Architectural, environmental, construction and surveying engineering",4,130,117,52,128,113,59,139,124,61
10631,r089,"All surveyed fields<sup>a</sup> -> Engineering<sup>f</sup> -> Electrical, electronics, communications and computer engineering",All surveyed fields<sup>a</sup>,Engineering<sup>f</sup>,"Electrical, electronics, communications and computer engineering",,3,466,434,242,469,433,242,481,441,247
10631,r090,"All surveyed fields<sup>a</sup> -> Engineering<sup>f</sup> -> Electrical, electronics, communications and computer engineering -> Electrical, electronics, and communications engineering",All surveyed fields<sup>a</sup>,Engineering<sup>f</sup>,"Electrical, electronics, communications and computer engineering","Electrical, electronics, and communications engineering",4,287,265,172,290,265,174,299,272,178
10631,r091,"All surveyed fields<sup>a</sup> -> Engineering<sup>f</sup> -> Electrical, electronics, communications and computer engineering -> Computer engineering",All surveyed fields<sup>a</sup>,Engineering<sup>f</sup>,"Electrical, electronics, communications and computer engineering",Computer engineering,4,179,169,70,179,168,68,182,169,69
10631,r092,"All surveyed fields<sup>a</sup> -> Engineering<sup>f</sup> -> Industrial, manufacturing, systems engineering and operations research",All surveyed fields<sup>a</sup>,Engineering<sup>f</sup>,"Industrial, manufacturing, systems engineering and operations research",,3,243,222,110,248,225,115,241,224,107
10631,r093,"All surveyed fields<sup>a</sup> -> Engineering<sup>f</sup> -> Industrial, manufacturing, systems engineering and operations research -> Industrial and manufacturing engineering",All surveyed fields<sup>a</sup>,Engineering<sup>f</sup>,"Industrial, manufacturing, systems engineering and operations research",Industrial and manufacturing engineering,4,134,129,61,129,125,60,125,121,61
10631,r094,"All surveyed fields<sup>a</sup> -> Engineering<sup>f</sup> -> Industrial, manufacturing, systems engineering and operations research -> Systems engineering and operations research",All surveyed fields<sup>a</sup>,Engineering<sup>f</sup>,"Industrial, manufacturing, systems engineering and operations research",Systems engineering and operations research,4,109,93,49,119,100,55,116,103,46
10631,r095,All surveyed fields<sup>a</sup> -> Engineering<sup>f</sup> -> Mechanical engineering,All surveyed fields<sup>a</sup>,Engineering<sup>f</sup>,Mechanical engineering,,3,284,263,169,298,279,174,301,279,178
10631,r096,"All surveyed fields<sup>a</sup> -> Engineering<sup>f</sup> -> Metallurgical, mining, materials and related engineering fields<sup>e</sup>",All surveyed fields<sup>a</sup>,Engineering<sup>f</sup>,"Metallurgical, mining, materials and related engineering fields<sup>e</sup>",,3,152,133,109,154,133,114,147,127,106
10631,r097,All surveyed fields<sup>a</sup> -> Engineering<sup>f</sup> -> Other engineering,All surveyed fields<sup>a</sup>,Engineering<sup>f</sup>,Other engineering,,3,457,366,233,450,363,229,478,376,242
10631,r098,All surveyed fields<sup>a</sup> -> Engineering<sup>f</sup> -> Other engineering -> Agricultural engineering,All surveyed fields<sup>a</sup>,Engineering<sup>f</sup>,Other engineering,Agricultural engineering,4,32,29,27,31,29,26,34,31,27
10631,r099,"All surveyed fields<sup>a</sup> -> Engineering<sup>f</sup> -> Other engineering -> Engineering mechanics, physics, and science",All surveyed fields<sup>a</sup>,Engineering<sup>f</sup>,Other engineering,"Engineering mechanics, physics, and science",4,72,51,45,68,47,45,68,46,47
10631,r100,All surveyed fields<sup>a</sup> -> Engineering<sup>f</sup> -> Other engineering -> Nuclear engineering,All surveyed fields<sup>a</sup>,Engineering<sup>f</sup>,Other engineering,Nuclear engineering,4,33,31,30,32,30,28,29,27,26
10631,r101,"All surveyed fields<sup>a</sup> -> Engineering<sup>f</sup> -> Other engineering -> Engineering, other<sup>e</sup>",All surveyed fields<sup>a</sup>,Engineering<sup>f</sup>,Other engineering,"Engineering, other<sup>e</sup>",4,320,255,131,319,257,130,347,272,142
10631,r102,All surveyed fields<sup>a</sup> -> Health,All surveyed fields<sup>a</sup>,Health,,,2,1480,1152,628,1551,1193,653,1617,1232,697
10631,r103,All surveyed fields<sup>a</sup> -> Health -> Clinical medicine,All surveyed fields<sup>a</sup>,Health,Clinical medicine,,3,538,473,195,585,500,211,600,513,218
10631,r104,All surveyed fields<sup>a</sup> -> Health -> Clinical medicine -> Medical clinical sciences and clinical and medical laboratory sciences ,All surveyed fields<sup>a</sup>,Health,Clinical medicine,Medical clinical sciences and clinical and medical laboratory sciences ,4,62,50,23,80,61,29,75,56,30
10631,r105,All surveyed fields<sup>a</sup> -> Health -> Clinical medicine -> Public health,All surveyed fields<sup>a</sup>,Health,Clinical medicine,Public health,4,476,423,172,505,439,182,525,457,188
10631,r106,All surveyed fields<sup>a</sup> -> Health -> Other health,All surveyed fields<sup>a</sup>,Health,Other health,,3,942,679,433,966,693,442,1017,719,479
10631,r107,All surveyed fields<sup>a</sup> -> Health -> Other health -> Communication disorders sciences,All surveyed fields<sup>a</sup>,Health,Other health,Communication disorders sciences,4,249,228,68,250,234,67,259,240,72
10631,r108,All surveyed fields<sup>a</sup> -> Health -> Other health -> Dental sciences ,All surveyed fields<sup>a</sup>,Health,Other health,Dental sciences ,4,87,79,19,90,78,21,97,84,23
10631,r109,All surveyed fields<sup>a</sup> -> Health -> Other health -> Kinesiology and exercise science,All surveyed fields<sup>a</sup>,Health,Other health,Kinesiology and exercise science,4,159,151,42,170,158,46,176,162,47
10631,r110,All surveyed fields<sup>a</sup> -> Health -> Other health -> Nursing science,All surveyed fields<sup>a</sup>,Health,Other health,Nursing science,4,137,22,121,140,24,125,149,24,136
10631,r111,All surveyed fields<sup>a</sup> -> Health -> Other health -> Pharmaceutical sciences,All surveyed fields<sup>a</sup>,Health,Other health,Pharmaceutical sciences,4,127,83,95,127,83,94,135,88,101
10631,r112,All surveyed fields<sup>a</sup> -> Health -> Other health -> Other health nec,All surveyed fields<sup>a</sup>,Health,Other health,Other health nec,4,183,116,88,189,116,89,201,121,100
