table_id,row_id,_b_field_and_sex_b_full_path,_b_field_and_sex_b_level_1,_b_field_and_sex_b_level_2,_b_field_and_sex_b_level_3,_b_field_and_sex_b_hierarchy_depth,field_1990_number,field_1990_percent,field_1995_number,field_1995_percent,field_2000_number,field_2000_percent,field_2005_number,field_2005_percent,field_2010_number,field_2010_percent,field_2015_number,field_2015_percent,field_2020_number,field_2020_percent
4651,r013,All fields<sup>a</sup> -> Psychology and social sciences,All fields<sup>a</sup>,Psychology and social sciences,,2,6331,100.0,6906,100.0,7443,100.0,7144,100.0,7881,100.0,9072,100.0,8946,100.0
4651,r014,All fields<sup>a</sup> -> Psychology and social sciences -> Male,All fields<sup>a</sup>,Psychology and social sciences,Male,3,3378,53.4,3380,48.9,3370,45.3,3159,44.2,3357,42.6,3757,41.4,3588,40.1
4651,r015,All fields<sup>a</sup> -> Psychology and social sciences -> Female,All fields<sup>a</sup>,Psychology and social sciences,Female,3,2953,46.6,3526,51.1,4073,54.7,3985,55.8,4524,57.4,5315,58.6,5358,59.9
4651,r016,All fields<sup>a</sup> -> Engineering,All fields<sup>a</sup>,Engineering,,2,4894,100.0,5966,100.0,5297,100.0,6408,100.0,7575,100.0,9875,100.0,10475,100.0
4651,r017,All fields<sup>a</sup> -> Engineering -> Male,All fields<sup>a</sup>,Engineering,Male,3,4479,91.5,5270,88.3,4459,84.2,5226,81.6,5829,77.0,7578,76.7,7882,75.2
4651,r018,All fields<sup>a</sup> -> Engineering -> Female,All fields<sup>a</sup>,Engineering,Female,3,415,8.5,696,11.7,838,15.8,1182,18.4,1746,23.0,2297,23.3,2593,24.8
4651,r019,All fields<sup>a</sup> -> Education,All fields<sup>a</sup>,Education,,2,6509,100.0,6638,100.0,6439,100.0,6217,100.0,5285,100.0,5097,100.0,4715,100.0
4651,r020,All fields<sup>a</sup> -> Education -> Male,All fields<sup>a</sup>,Education,Male,3,2758,42.4,2546,38.4,2260,35.1,2065,33.2,1661,31.4,1605,31.5,1456,30.9
4651,r021,All fields<sup>a</sup> -> Education -> Female,All fields<sup>a</sup>,Education,Female,3,3751,57.6,4092,61.6,4179,64.9,4152,66.8,3624,68.6,3492,68.5,3259,69.1
4651,r022,All fields<sup>a</sup> -> Humanities and arts,All fields<sup>a</sup>,Humanities and arts,,2,3854,100.0,5034,100.0,5458,100.0,5181,100.0,5014,100.0,5593,100.0,4939,100.0
4651,r023,All fields<sup>a</sup> -> Humanities and arts -> Male,All fields<sup>a</sup>,Humanities and arts,Male,3,2188,56.8,2695,53.5,2786,51.0,2600,50.2,2462,49.1,2763,49.4,2516,50.9
4651,r024,All fields<sup>a</sup> -> Humanities and arts -> Female,All fields<sup>a</sup>,Humanities and arts,Female,3,1666,43.2,2339,46.5,2672,49.0,2581,49.8,2552,50.9,2830,50.6,2423,49.1
4651,r025,All fields<sup>a</sup> -> Other<sup>c</sup>,All fields<sup>a</sup>,Other<sup>c</sup>,,2,2012,100.0,2379,100.0,2078,100.0,2387,100.0,2726,100.0,3019,100.0,3006,100.0
4651,r026,All fields<sup>a</sup> -> Other<sup>c</sup> -> Male,All fields<sup>a</sup>,Other<sup>c</sup>,Male,3,1244,61.8,1445,60.7,1174,56.5,1203,50.4,1326,48.6,1461,48.4,1417,47.1
4651,r027,All fields<sup>a</sup> -> Other<sup>c</sup> -> Female,All fields<sup>a</sup>,Other<sup>c</sup>,Female,3,768,38.2,934,39.3,904,43.5,1184,49.6,1400,51.4,1558,51.6,1589,52.9
