table_id,row_id,rank,broad_field_and_baccalaureate_origin_institution,doctorate_recipients,institutional_yield_ratio,institutional_control,2018_carnegie_classification
6012,r063,7,Haverford C.,36,1.1,Private,Baccalaureate colleges: arts and sciences focus
6012,r064,8,Andrews U.,40,1.1,Private,D/PU: doctoral/professional universities
6012,r065,9,Bryn Mawr C.,36,1.1,Private,Baccalaureate colleges: arts and sciences focus
6012,r066,10,Berea C.,34,1.1,Private,Baccalaureate colleges: arts and sciences focus
6012,r067,,Humanities and arts,,,,
6012,r068,1,New England Conservatory,54,6.1,Private,"Special focus four-year: arts, music and design"
6012,r069,2,"St. John's C., Annapolis",62,5.5,Private,Baccalaureate colleges: arts and sciences focus
6012,r070,3,Swarthmore C.,193,4.8,Private,Baccalaureate colleges: arts and sciences focus
6012,r071,4,Reed C.,157,4.8,Private,Baccalaureate colleges: arts and sciences focus
6012,r072,5,"St. John's C., Santa Fe",38,3.8,Private,Baccalaureate colleges: arts and sciences focus
6012,r073,6,Oberlin C.,278,3.7,Private,Baccalaureate colleges: arts and sciences focus
6012,r074,7,Thomas Aquinas C.,28,3.6,Private,Baccalaureate colleges: arts and sciences focus
6012,r075,8,Yale U.,515,3.5,Private,R1: doctoral universities
6012,r076,9,U. Chicago,416,3.4,Private,R1: doctoral universities
6012,r077,10,Sarah Lawrence C.,109,3.4,Private,Baccalaureate colleges: arts and sciences focus
6012,r078,,Otherb,,,,
6012,r079,1,Swarthmore C.,32,0.8,Private,Baccalaureate colleges: arts and sciences focus
6012,r080,2,Harvard U.,129,0.7,Private,R1: doctoral universities
6012,r081,3,U. Chicago,75,0.6,Private,R1: doctoral universities
6012,r082,4,Spelman C.,28,0.6,Private,Baccalaureate colleges: arts and sciences focus
6012,r083,5,U. Pennsylvania,153,0.5,Private,R1: doctoral universities
6012,r084,6,"Brigham Young U., Provo",370,0.5,Private,R2: doctoral universities
6012,r085,7,"Williams C., Williamstown",26,0.5,Private,Baccalaureate colleges: arts and sciences focus
6012,r086,8,Massachusetts Institute of Technology,58,0.4,Private,R1: doctoral universities
6012,r087,9,Vassar C.,30,0.4,Private,Baccalaureate colleges: arts and sciences focus
6012,r088,10,Brown U.,73,0.4,Private,R1: doctoral universities
