table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_capital_expenditures,field_capital_expenditures_for_domestic_r_d_r_d_capital_expenditures_all_types_,field_capital_expenditures_for_domestic_r_d_land_acquisition,field_capital_expenditures_for_domestic_r_d_buildings_and_land_improvement,field_capital_expenditures_for_domestic_r_d_equipment,field_capital_expenditures_for_domestic_r_d_capitalized_software,field_capital_expenditures_for_domestic_r_d_all_other,field_share_of_r_d_capital_expenditures_to_capital_expenditures_
8661,r011,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['1,902', '']","['400', '']","['1', '']","['36', '']","['313', '']","['28', '']","['21', '']",21.0
8661,r012,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['39,845', '']","['7,578', '']","['4', 'i']","['532', '']","['5,349', '']","['1,207', '']","['485', '']",19.0
8661,r013,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['4,053', '']","['742', '']","['0', '']","['6', 'i']","['429', '']","['259', 'i']","['48', '']",18.3
8661,r014,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['21,535', 'i']","['3,850', '']","['0', '']","['88', '']","['2,983', '']","['561', '']","['218', '']",17.9
8661,r015,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['6,783', '']","['1,046', 'i']","['4', 'i']","['99', 'i']","['673', 'i']","['97', 'i']","['173', 'i']",15.4
8661,r016,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['3,817', '']","['638', '']","['0', '']","['34', '']","['479', '']","['21', '']","['104', '']",16.7
8661,r017,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['63,159', '']","['1,924', '']","['42', '']","['275', '']","['1,208', '']","['234', '']","['164', '']",3.0
8661,r018,"All industries -> Manufacturing industries -> Transportation equipment -> Motor vehicles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Motor vehicles, bodies, trailers, and parts",,4,3361–63,"['52,378', '']","['1,418', '']","['28', '']","['203', '']","['865', '']","['214', '']","['108', '']",2.7
8661,r019,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['8,223', '']","['403', '']","['1', '']","['59', '']","['301', '']","['13', '']","['29', '']",4.9
8661,r020,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['20,418', '']","['1,201', '']","['7', '']","['D', '']","['589', '']","['D', '']","['D', '']",5.9
8661,r021,All industries -> Manufacturing industries -> Miscellaneous -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous,Medical equipment and supplies,,4,3391,"['15,501', '']","['1,020', '']","['5', '']","['74', '']","['518', '']","['183', '']","['240', '']",6.6
8661,r022,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['397,551', '']","['12,767', '']","['24', '']","['987', '']","['4,065', '']","['5,859', '']","['1,831', '']",3.2
8661,r023,"All industries -> Nonmanufacturing industries -> Mining, quarrying, oil and gas extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, quarrying, oil and gas extraction, and support activities",,,3,21,"['15,851', '']","['110', '']","['0', '']","['4', '']","['80', '']","['9', '']","['17', 'i']",0.7
8661,r024,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['102,740', '']","['362', '']","['0', '']","['*', 'i']","['12', '']","['9', '']","['341', '']",0.4
8661,r025,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['5,072', '']","['181', '']","['4', '']","['53', '']","['56', 'i']","['32', '']","['36', '']",3.6
8661,r026,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['153,819', '']","['5,301', '']","['1', '']","['361', '']","['2,554', '']","['2,010', '']","['374', '']",3.4
8661,r027,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['22,655', '']","['1,091', '']","['*', '']","['186', '']","['547', '']","['232', '']","['125', '']",4.8
8661,r028,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['22,445', '']","['1,085', '']","['*', '']","['186', '']","['547', '']","['231', '']","['121', '']",4.8
8661,r029,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['61,468', '']","['205', 'i']","['0', '']","['*', '']","['53', '']","['148', 'i']","['3', '']",0.3
8661,r030,"All industries -> Nonmanufacturing industries -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,"Data processing, hosting, and related services",,,3,518,"['26,346', '']","['2,130', '']","['*', '']","['146', '']","['620', '']","['1,265', '']","['100', '']",8.1
8661,r031,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['28,420', '']","['1,969', '']","['*', 'i']","['*', '']","['119', '']","['1,639', 'i']","['211', '']",6.9
8661,r032,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['12,142', '']","['2,838', '']","['19', '']","['522', '']","['1,064', '']","['865', '']","['370', '']",23.4
8661,r033,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['4,543', '']","['1,148', '']","['0', '']","['63', '']","['573', '']","['363', '']","['149', '']",25.3
8661,r034,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['3,532', '']","['1,063', '']","['18', '']","['446', '']","['415', '']","['100', '']","['84', '']",30.1
8661,r035,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['686,393', '']","['32,494', '']","['147', '']","['4,060', '']","['15,731', '']","['8,436', '']","['4,120', '']",4.7
8661,r036,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']",
8661,r037,All companies (number of domestic employees) -> Small companies -> 10&#8211;19<sup>a</sup>,All companies (number of domestic employees),Small companies,10&#8211;19<sup>a</sup>,,,3,–,"['1,784', '']","['452', '']","['2', '']","['50', '']","['152', '']","['108', '']","['141', '']",25.3
8661,r038,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['8,869', '']","['1,025', '']","['1', '']","['121', '']","['525', '']","['199', '']","['178', '']",11.6
8661,r039,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']",
8661,r040,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['5,891', '']","['1,152', '']","['11', '']","['212', '']","['484', '']","['218', 'i']","['228', '']",19.6
8661,r041,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['19,307', '']","['1,593', '']","['33', '']","['350', '']","['726', '']","['320', '']","['164', '']",8.3
8661,r042,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']",
8661,r043,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['21,765', '']","['1,295', '']","['2', 'i']","['188', '']","['506', '']","['442', '']","['157', '']",5.9
8661,r044,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['18,493', '']","['1,559', '']","['15', '']","['128', '']","['739', '']","['485', '']","['192', '']",8.4
8661,r045,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,"['81,956', '']","['6,406', '']","['24', 'i']","['1,185', '']","['2,564', '']","['1,538', '']","['1,095', '']",7.8
8661,r046,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,"['79,859', '']","['2,803', '']","['18', '']","['267', '']","['1,261', '']","['915', '']","['342', '']",3.5
8661,r047,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,"['125,016', '']","['6,249', '']","['17', '']","['606', '']","['2,990', '']","['1,921', '']","['715', '']",5.0
8661,r048,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,"['323,454', '']","['9,960', '']","['23', '']","['953', '']","['5,785', '']","['2,290', 'i']","['908', 'i']",3.1
