table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_all_employed_total_number,field_all_employed_total_se,field_all_employed_male_number,field_all_employed_male_se,field_all_employed_female_number,field_all_employed_female_se,field_asiana_total_number,field_asiana_total_se,field_asiana_male_number,field_asiana_male_se,field_asiana_female_number,field_asiana_female_se,field_other_minorityb_total_number,field_other_minorityb_total_se,field_other_minorityb_male_number,field_other_minorityb_male_se,field_other_minorityb_female_number,field_other_minorityb_female_se,field_whitec_total_number,field_whitec_total_se,field_whitec_male_number,field_whitec_male_se,field_whitec_female_number,field_whitec_female_se
3711,r016,All occupations -> Science occupations&#160; -> Mathematical scientist&#160; -> Mathematical scientist,All occupations,Science occupations&#160;,Mathematical scientist&#160;,Mathematical scientist,4,21800,650,14750,625,7050,400,9600,525,5600,450,4000,325,1650,175,1200,150,500,75,10550,475,8000,450,2550,225
3711,r017,"All occupations -> Science occupations&#160; -> Mathematical scientist&#160; -> Postsecondary teachers, mathematics, statistics",All occupations,Science occupations&#160;,Mathematical scientist&#160;,"Postsecondary teachers, mathematics, statistics",4,19600,575,14200,500,5400,300,4900,375,3600,350,1300,150,1550,125,1200,125,350,75,13150,425,9400,400,3750,250
3711,r018,All occupations -> Science occupations&#160; -> Physical scientist&#160;,All occupations,Science occupations&#160;,Physical scientist&#160;,,3,84550,1275,63850,1125,20650,500,17550,700,12900,600,4650,350,6650,275,4600,275,2050,150,60350,1025,46350,925,14000,375
3711,r019,"All occupations -> Science occupations&#160; -> Physical scientist&#160; -> Chemists, except biochemist",All occupations,Science occupations&#160;,Physical scientist&#160;,"Chemists, except biochemist",4,21850,725,16550,625,5250,350,6250,425,4300,300,1950,275,1850,175,1200,150,650,100,13750,575,11100,525,2700,200
3711,r020,"All occupations -> Science occupations&#160; -> Physical scientist&#160; -> Earth, atmospheric, ocean scientist",All occupations,Science occupations&#160;,Physical scientist&#160;,"Earth, atmospheric, ocean scientist",4,11750,400,8850,375,2900,150,2350,200,1750,200,550,75,750,100,500,75,200,50,8700,350,6600,325,2100,150
3711,r021,"All occupations -> Science occupations&#160; -> Physical scientist&#160; -> Physicists, astronomers",All occupations,Science occupations&#160;,Physical scientist&#160;,"Physicists, astronomers",4,12450,625,10950,600,1500,200,2800,325,2450,300,350,100,900,150,750,150,150,50,8750,475,7750,450,1000,150
3711,r022,"All occupations -> Science occupations&#160; -> Physical scientist&#160; -> Postsecondary teachers, chemistry",All occupations,Science occupations&#160;,Physical scientist&#160;,"Postsecondary teachers, chemistry",4,16900,625,10900,525,6000,300,2750,325,1650,250,1100,175,1650,150,1000,125,650,100,12500,575,8200,500,4300,225
3711,r023,"All occupations -> Science occupations&#160; -> Physical scientist&#160; -> Postsecondary teachers, physics",All occupations,Science occupations&#160;,Physical scientist&#160;,"Postsecondary teachers, physics",4,10650,575,8750,550,1950,200,1850,250,1550,225,300,100,850,125,650,100,150,75,8000,500,6550,500,1450,175
3711,r024,"All occupations -> Science occupations&#160; -> Physical scientist&#160; -> Postsecondary teachers, other physical science",All occupations,Science occupations&#160;,Physical scientist&#160;,"Postsecondary teachers, other physical science",4,7300,300,5100,275,2200,150,850,125,600,125,200,50,500,75,300,75,150,50,5950,275,4150,250,1800,125
3711,r025,All occupations -> Science occupations&#160; -> Physical scientist&#160; -> Other physical scientist,All occupations,Science occupations&#160;,Physical scientist&#160;,Other physical scientist,4,3650,250,2750,250,850,125,750,150,600,125,150,75,200,50,150,50,50,25,2650,250,2000,225,650,100
3711,r026,All occupations -> Science occupations&#160; -> Psychologist&#160;,All occupations,Science occupations&#160;,Psychologist&#160;,,3,77600,950,29800,700,47850,850,4400,350,1300,225,3100,300,9350,325,2600,175,6750,300,63850,950,25850,700,38000,800
3711,r027,All occupations -> Science occupations&#160; -> Psychologist&#160; -> Psychologist,All occupations,Science occupations&#160;,Psychologist&#160;,Psychologist,4,57500,1000,20900,750,36650,825,2700,275,650,150,2050,250,6650,300,1750,150,4900,275,48150,950,18500,725,29650,775
3711,r028,"All occupations -> Science occupations&#160; -> Psychologist&#160; -> Postsecondary teachers, psychology",All occupations,Science occupations&#160;,Psychologist&#160;,"Postsecondary teachers, psychology",4,20100,625,8900,450,11200,475,1700,275,650,150,1000,200,2750,200,900,125,1850,175,15700,575,7350,425,8350,400
3711,r029,All occupations -> Science occupations&#160; -> Social scientist&#160;,All occupations,Science occupations&#160;,Social scientist&#160;,,3,69500,1025,38750,800,30750,625,8600,425,4500,350,4100,300,9650,375,5150,325,4500,225,51250,900,29100,725,22150,575
3711,r030,All occupations -> Science occupations&#160; -> Social scientist&#160; -> Economist,All occupations,Science occupations&#160;,Social scientist&#160;,Economist,4,9600,500,6500,450,3050,250,2300,275,1300,200,1050,175,950,125,600,100,300,75,6350,400,4650,375,1700,175
3711,r031,All occupations -> Science occupations&#160; -> Social scientist&#160; -> Political scientist,All occupations,Science occupations&#160;,Social scientist&#160;,Political scientist,4,1850,275,1250,225,600,125,S,S,,,,,200,50,150,50,50,50,1500,225,1000,200,450,100
3711,r032,"All occupations -> Science occupations&#160; -> Social scientist&#160; -> Postsecondary teachers, economics",All occupations,Science occupations&#160;,Social scientist&#160;,"Postsecondary teachers, economics",4,10900,500,8000,450,2850,225,1800,200,1150,150,650,125,1150,150,850,150,250,50,7950,400,6000,350,1950,175
3711,r033,"All occupations -> Science occupations&#160; -> Social scientist&#160; -> Postsecondary teachers, political science",All occupations,Science occupations&#160;,Social scientist&#160;,"Postsecondary teachers, political science",4,11450,450,7500,400,3900,300,950,175,550,125,350,100,1850,250,1300,225,550,125,8650,425,5650,375,3000,275
3711,r034,"All occupations -> Science occupations&#160; -> Social scientist&#160; -> Postsecondary teachers, sociology",All occupations,Science occupations&#160;,Social scientist&#160;,"Postsecondary teachers, sociology",4,7500,350,3200,250,4300,275,650,125,350,100,300,75,1400,125,700,100,700,100,5500,325,2150,225,3350,250
3711,r035,"All occupations -> Science occupations&#160; -> Social scientist&#160; -> Postsecondary teachers, other social sciences",All occupations,Science occupations&#160;,Social scientist&#160;,"Postsecondary teachers, other social sciences",4,16550,575,8150,450,8400,375,1500,200,700,150,800,125,2400,175,1100,150,1300,100,12600,525,6300,400,6300,325
3711,r036,"All occupations -> Science occupations&#160; -> Social scientist&#160; -> Sociologist, anthropologist",All occupations,Science occupations&#160;,Social scientist&#160;,"Sociologist, anthropologist",4,3500,275,1350,175,2150,225,200,75,S,S,150,50,450,100,100,50,350,100,2850,250,1200,175,1650,175
3711,r037,All occupations -> Science occupations&#160; -> Social scientist&#160; -> Other social scientist,All occupations,Science occupations&#160;,Social scientist&#160;,Other social scientist,4,8250,475,2750,275,5450,325,1050,175,250,100,800,125,1250,125,300,75,950,125,5950,375,2200,225,3750,275
3711,r038,All occupations -> Engineering occupations&#160;&#160;,All occupations,Engineering occupations&#160;&#160;,,,2,120650,1375,101600,1400,19000,625,49650,1150,41700,1100,7950,425,9150,375,7350,375,1800,125,61850,1125,52600,1075,9250,425
3711,r039,"All occupations -> Engineering occupations&#160;&#160; -> Aerospace, aeronautical, astronautical engineer",All occupations,Engineering occupations&#160;&#160;,"Aerospace, aeronautical, astronautical engineer",,3,7150,425,6350,400,800,125,1900,250,1750,225,150,50,450,100,400,100,50,25,4800,350,4250,325,600,125
3711,r040,All occupations -> Engineering occupations&#160;&#160; -> Chemical engineer,All occupations,Engineering occupations&#160;&#160;,Chemical engineer,,3,9250,525,7450,475,1800,250,4100,400,3300,350,850,175,600,100,400,100,150,50,4600,350,3750,350,800,175
3711,r041,"All occupations -> Engineering occupations&#160;&#160; -> Civil, architectural, sanitary engineer",All occupations,Engineering occupations&#160;&#160;,"Civil, architectural, sanitary engineer",,3,6900,425,5750,425,1100,150,2500,275,2150,275,400,125,850,150,750,150,100,50,3500,300,2850,300,600,100
3711,r042,All occupations -> Engineering occupations&#160;&#160; -> Electrical engineer,All occupations,Engineering occupations&#160;&#160;,Electrical engineer,,3,27500,750,24500,725,3000,300,13800,675,11950,625,1850,250,1600,150,1500,150,100,50,12100,525,11050,525,1050,150
3711,r043,All occupations -> Engineering occupations&#160;&#160; -> Industrial engineers,All occupations,Engineering occupations&#160;&#160;,Industrial engineers,,3,1950,250,1500,250,450,100,700,175,450,150,300,75,250,50,200,50,50,25,1000,175,850,175,150,50
3711,r044,All occupations -> Engineering occupations&#160;&#160; -> Mechanical engineer,All occupations,Engineering occupations&#160;&#160;,Mechanical engineer,,3,13450,550,12150,525,1300,150,6600,425,5900,425,700,125,900,150,750,150,150,50,5950,300,5500,300,450,100
3711,r045,"All occupations -> Engineering occupations&#160;&#160; -> Postsecondary teacher, engineering",All occupations,Engineering occupations&#160;&#160;,"Postsecondary teacher, engineering",,3,23950,750,19750,700,4200,300,8100,525,6950,525,1150,200,2100,200,1700,175,400,75,13750,600,11100,550,2700,225
3711,r046,All occupations -> Engineering occupations&#160;&#160; -> Other engineer,All occupations,Engineering occupations&#160;&#160;,Other engineer,,3,30500,675,24200,675,6300,375,11950,550,9300,525,2650,300,2400,175,1650,150,750,100,16150,575,13250,550,2900,250
3711,r047,All occupations -> S&E-related occupations&#160;,All occupations,S&E-related occupations&#160;,,,2,92350,1475,51600,1200,40750,850,22000,850,13450,625,8550,525,9350,350,4350,275,5050,225,60950,1125,33850,900,27150,725
3711,r048,"All occupations -> S&E-related occupations&#160; -> Health occupations, except postsecondary teachers and managers",All occupations,S&E-related occupations&#160;,"Health occupations, except postsecondary teachers and managers",,3,30800,825,15350,625,15450,550,8150,500,4300,375,3850,350,3650,225,1550,200,2050,150,19000,650,9500,475,9500,450
3711,r049,"All occupations -> S&E-related occupations&#160; -> Postsecondary teacher, health and related science",All occupations,S&E-related occupations&#160;,"Postsecondary teacher, health and related science",,3,23600,675,9700,525,13900,475,3750,275,2100,275,1650,175,2650,175,800,100,1850,150,17200,575,6800,425,10400,450
3711,r050,"All occupations -> S&E-related occupations&#160; -> S&E managers, including health",All occupations,S&E-related occupations&#160;,"S&E managers, including health",,3,24650,850,17200,750,7450,400,5850,500,4150,400,1700,225,2000,175,1300,150,700,100,16800,625,11750,600,5050,325
3711,r051,All occupations -> S&E-related occupations&#160; -> S&E precollege teachers,All occupations,S&E-related occupations&#160;,S&E precollege teachers,,3,5200,400,2950,325,2300,225,450,175,150,100,250,100,700,100,350,75,350,75,4050,350,2400,300,1650,175
3711,r052,All occupations -> S&E-related occupations&#160; -> S&E technicians/ technologists,All occupations,S&E-related occupations&#160;,S&E technicians/ technologists,,3,7200,475,5800,425,1350,200,3300,350,2450,300,850,175,350,75,300,50,50,25,3550,300,3100,300,450,100
3711,r053,All occupations -> S&E-related occupations&#160; -> Other S&E-related occupation,All occupations,S&E-related occupations&#160;,Other S&E-related occupation,,3,900,150,600,125,300,100,550,125,300,100,200,75,50,50,50,50,,,350,100,250,75,100,50
3711,r054,All occupations -> Non-S&E occupations&#160;,All occupations,Non-S&E occupations&#160;,,,2,151500,1650,88750,1450,62750,1100,28150,850,18150,725,10000,500,16450,475,7950,350,8450,325,106950,1525,62650,1375,44300,925
3711,r055,"All occupations -> Non-S&E occupations&#160; -> Arts, humanities-related occupation",All occupations,Non-S&E occupations&#160;,"Arts, humanities-related occupation",,3,8900,425,2900,300,6000,350,1000,150,350,100,650,125,700,100,200,75,500,75,7200,400,2350,275,4850,350
3711,r056,All occupations -> Non-S&E occupations&#160; -> Management-related occupation,All occupations,Non-S&E occupations&#160;,Management-related occupation,,3,33050,1175,19600,925,13500,625,7850,500,4900,400,2950,325,4050,325,2000,250,2000,175,21200,875,12650,700,8550,450
3711,r057,All occupations -> Non-S&E occupations&#160; -> Non-S&E managers,All occupations,Non-S&E occupations&#160;,Non-S&E managers,,3,55650,1175,37100,1000,18550,650,9850,575,7450,525,2400,275,5200,250,2800,200,2450,200,40550,1000,26850,850,13700,525
3711,r058,All occupations -> Non-S&E occupations&#160; -> Non-S&E postsecondary teachers,All occupations,Non-S&E occupations&#160;,Non-S&E postsecondary teachers,,3,19700,650,10900,525,8800,375,3050,300,1800,250,1250,175,2650,175,1200,125,1450,125,14000,575,7900,475,6100,350
3711,r059,All occupations -> Non-S&E occupations&#160; -> Non-S&E precollege/ other teachers,All occupations,Non-S&E occupations&#160;,Non-S&E precollege/ other teachers,,3,4750,375,1700,250,3050,275,650,150,200,100,450,125,600,100,200,50,400,75,3500,300,1300,200,2200,250
3711,r060,"All occupations -> Non-S&E occupations&#160; -> Sales, marketing occupation",All occupations,Non-S&E occupations&#160;,"Sales, marketing occupation",,3,9400,450,6050,400,3350,275,2750,300,1900,275,850,150,800,125,500,125,300,75,5850,375,3650,300,2150,250
3711,r061,All occupations -> Non-S&E occupations&#160; -> Social service-related occupation,All occupations,Non-S&E occupations&#160;,Social service-related occupation,,3,6300,400,2700,300,3650,300,650,150,400,125,250,100,1200,150,350,125,850,100,4450,350,1950,275,2500,275
3711,r062,All occupations -> Non-S&E occupations&#160; -> Other non-S&E occupation,All occupations,Non-S&E occupations&#160;,Other non-S&E occupation,,3,13750,650,7850,500,5900,375,2300,300,1150,225,1150,225,1250,175,750,125,500,100,10200,575,5950,500,4250,325
