table_id,row_id,field_of_study_full_path,field_of_study_level_1,field_of_study_level_2,field_of_study_level_3,field_of_study_level_4,field_of_study_hierarchy_depth,field_all_full_time_employed_median_salary,field_all_full_time_employed_se,field_computer_applications_median_salary,field_computer_applications_se,field_design_median_salary,field_design_se,field_management_sales_or_administrationa_median_salary,field_management_sales_or_administrationa_se,field_professional_services_median_salary,field_professional_services_se,field_any_r_db_median_salary,field_any_r_db_se,field_teaching_median_salary,field_teaching_se,field_otherc_median_salary,field_otherc_se
9267,r011,All fields -> Science -> Computer and information sciences,All fields,Science,Computer and information sciences,,3,160000,1000,175000,7000,180000,5500,191000,6500,150000,23000,158000,4500,100000,1000,169000,19000
9267,r012,All fields -> Science -> Mathematics and statistics,All fields,Science,Mathematics and statistics,,3,113000,4000,140000,5500,160000,4000,148000,8500,133000,21000,118000,5000,90000,2500,93000,8000
9267,r013,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",,3,125000,500,130000,2500,135000,5000,144000,2000,159000,8000,125000,500,87000,2000,120000,1000
9267,r014,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Astronomy and astrophysics",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Astronomy and astrophysics,4,120000,3500,109000,12500,157000,4500,140000,6500,190000,45000,115000,9000,93000,8500,98000,27000
9267,r015,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Chemistry, except biochemistry",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Chemistry, except biochemistry",4,123000,3000,130000,10000,130000,5000,140000,3000,159000,8500,123000,3000,81000,2500,124000,6000
9267,r016,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences",4,107000,3000,101000,5000,121000,4500,120000,1500,116000,5500,108000,3000,89000,2000,96000,6500
9267,r017,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Physics",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Physics,4,140000,1500,150000,6000,139000,3500,165000,5500,176000,14000,140000,1500,94000,3500,120000,6500
9267,r018,All fields -> Science -> Psychology,All fields,Science,Psychology,,3,106000,1500,123000,6000,131000,7000,111000,2500,109000,2000,105000,2000,90000,1000,95000,7000
9267,r019,All fields -> Science -> Social sciences,All fields,Science,Social sciences,,3,109000,2000,135000,4500,134000,6500,128000,3000,139000,11000,108000,3000,92000,1500,109000,5000
9267,r020,All fields -> Science -> Social sciences -> Economics,All fields,Science,Social sciences,Economics,4,149000,3000,145000,9000,161000,20500,172000,6500,197000,12000,142000,5500,118000,4000,165000,21500
9267,r021,All fields -> Science -> Social sciences -> Political science and government,All fields,Science,Social sciences,Political science and government,4,108000,3000,126000,18500,142000,43500,129000,5000,122000,22000,100000,4500,92000,2500,119000,10500
9267,r022,"All fields -> Science -> Social sciences -> Sociology, demography, and population studies",All fields,Science,Social sciences,"Sociology, demography, and population studies",4,96000,3500,113000,17000,116000,21500,118000,5000,88000,20500,96000,4000,83000,3500,97000,21500
9267,r023,All fields -> Science -> Social sciences -> Other social sciences,All fields,Science,Social sciences,Other social sciences,4,92000,1500,119000,13500,104000,20500,100000,2500,118000,9500,92000,2000,85000,1500,85000,4500
9267,r024,All fields -> Engineering,All fields,Engineering,,,2,145000,1000,149000,3500,149000,1000,160000,4000,156000,8500,140000,2500,106000,2500,135000,4500
9267,r025,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,149000,1000,149000,2500,144000,7500,162000,8500,190000,46000,146000,5000,102000,13500,151000,19000
9267,r026,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,,3,141000,5000,132000,12000,147000,5500,159000,6000,195000,40500,140000,4500,121000,9000,137000,5500
9267,r027,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,,3,120000,1000,124000,8500,120000,7500,134000,8000,120000,17500,110000,4500,102000,3500,103000,16500
9267,r028,All fields -> Engineering -> Electrical and computer engineering,All fields,Engineering,Electrical and computer engineering,,3,160000,2000,160000,5000,169000,3000,180000,5000,170000,15000,159000,1000,109000,3000,143000,5000
9267,r029,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,,3,132000,4500,135000,4500,136000,7000,160000,3000,119000,12000,129000,3000,100000,3500,116000,9000
9267,r030,All fields -> Engineering -> Metallurgical and materials engineering,All fields,Engineering,Metallurgical and materials engineering,,3,144000,3500,137000,11500,135000,3000,165000,6000,174000,20000,143000,4000,105000,11000,130000,5500
9267,r031,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,,3,138000,3500,137000,4000,145000,7000,150000,6500,175000,10500,132000,3500,110000,3500,135000,9000
9267,r032,All fields -> Health,All fields,Health,,,2,115000,2000,127000,5500,133000,7000,131000,4000,127000,5500,113000,3500,95000,3000,126000,10500
