table_id,row_id,highest_degree_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_full_path,highest_degree_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_1,highest_degree_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_2,highest_degree_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_3,highest_degree_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_4,highest_degree_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_5,highest_degree_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_6,highest_degree_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_hierarchy_depth,field_all_ethnicities_and_races,field_hispanic_or_latinoa,field_not_hispanic_or_latino_american_indian_or_alaska_native,field_not_hispanic_or_latino_asian,field_not_hispanic_or_latino_black_or_african_american,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_not_hispanic_or_latino_white,field_not_hispanic_or_latino_more_than_one_race
1182,r027,All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Social scientist -> Sociologist/anthropologist,All degrees<sup>b</sup>,S&E occupations,Science occupations,Social scientist,Sociologist/anthropologist,,5,24000,S,,1000,S,,20000,0.05
1182,r028,All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Social scientist -> Other social scientist,All degrees<sup>b</sup>,S&E occupations,Science occupations,Social scientist,Other social scientist,,5,159000,S,,9000,12000,,95000,3000
1182,r029,All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Social scientist -> Postsecondary teacher,All degrees<sup>b</sup>,S&E occupations,Science occupations,Social scientist,Postsecondary teacher,,5,133000,6000,,9000,21000,,94000,1000
1182,r030,All degrees<sup>b</sup> -> S&E occupations -> Engineering occupations,All degrees<sup>b</sup>,S&E occupations,Engineering occupations,,,,3,1728000,143000,5000,283000,62000,8000,1196000,31000
1182,r031,All degrees<sup>b</sup> -> S&E occupations -> Engineering occupations -> Aerospace engineer,All degrees<sup>b</sup>,S&E occupations,Engineering occupations,Aerospace engineer,,,4,132000,13000,,13000,3000,,98000,2000
1182,r032,All degrees<sup>b</sup> -> S&E occupations -> Engineering occupations -> Chemical engineer,All degrees<sup>b</sup>,S&E occupations,Engineering occupations,Chemical engineer,,,4,93000,5000,,16000,1000,,71000,0.05
1182,r033,All degrees<sup>b</sup> -> S&E occupations -> Engineering occupations -> Civil engineer,All degrees<sup>b</sup>,S&E occupations,Engineering occupations,Civil engineer,,,4,264000,27000,,31000,10000,,191000,4000
1182,r034,All degrees<sup>b</sup> -> S&E occupations -> Engineering occupations -> Electrical engineer,All degrees<sup>b</sup>,S&E occupations,Engineering occupations,Electrical engineer,,,4,374000,28000,,98000,16000,S,222000,8000
1182,r035,All degrees<sup>b</sup> -> S&E occupations -> Engineering occupations -> Industrial engineer,All degrees<sup>b</sup>,S&E occupations,Engineering occupations,Industrial engineer,,,4,88000,15000,,10000,3000,,59000,0.05
1182,r036,All degrees<sup>b</sup> -> S&E occupations -> Engineering occupations -> Mechanical engineer,All degrees<sup>b</sup>,S&E occupations,Engineering occupations,Mechanical engineer,,,4,313000,21000,S,45000,7000,,233000,5000
1182,r037,All degrees<sup>b</sup> -> S&E occupations -> Engineering occupations -> Other engineer,All degrees<sup>b</sup>,S&E occupations,Engineering occupations,Other engineer,,,4,406000,33000,,51000,19000,4000,288000,10000
1182,r038,All degrees<sup>b</sup> -> S&E occupations -> Engineering occupations -> Postsecondary teacher,All degrees<sup>b</sup>,S&E occupations,Engineering occupations,Postsecondary teacher,,,4,59000,3000,,18000,S,,35000,S
1182,r039,All degrees<sup>b</sup> -> S&E-related occupations,All degrees<sup>b</sup>,S&E-related occupations,,,,,2,8271000,702000,28000,1042000,610000,16000,5726000,147000
1182,r040,All degrees<sup>b</sup> -> S&E-related occupations -> Health occupations,All degrees<sup>b</sup>,S&E-related occupations,Health occupations,,,,3,5181000,433000,23000,649000,416000,10000,3551000,99000
1182,r041,"All degrees<sup>b</sup> -> S&E-related occupations -> S&E managers, including health",All degrees<sup>b</sup>,S&E-related occupations,"S&E managers, including health",,,,3,1048000,72000,4000,136000,52000,3000,768000,13000
1182,r042,All degrees<sup>b</sup> -> S&E-related occupations -> S&E pre-college teacher,All degrees<sup>b</sup>,S&E-related occupations,S&E pre-college teacher,,,,3,961000,76000,1000,35000,83000,0.05,744000,21000
1182,r043,All degrees<sup>b</sup> -> S&E-related occupations -> S&E technician/technologist,All degrees<sup>b</sup>,S&E-related occupations,S&E technician/technologist,,,,3,837000,94000,,185000,54000,1000,493000,10000
1182,r044,All degrees<sup>b</sup> -> S&E-related occupations -> Other S&E-related occupation,All degrees<sup>b</sup>,S&E-related occupations,Other S&E-related occupation,,,,3,244000,27000,,36000,5000,,170000,4000
1182,r045,All degrees<sup>b</sup> -> Non-S&E occupations,All degrees<sup>b</sup>,Non-S&E occupations,,,,,2,12233000,1121000,37000,1166000,1016000,27000,8628000,239000
1182,r046,"All degrees<sup>b</sup> -> Non-S&E occupations -> Arts, humanities, and related occupation",All degrees<sup>b</sup>,Non-S&E occupations,"Arts, humanities, and related occupation",,,,3,385000,29000,,22000,33000,,289000,12000
1182,r047,All degrees<sup>b</sup> -> Non-S&E occupations -> Management-related occupation,All degrees<sup>b</sup>,Non-S&E occupations,Management-related occupation,,,,3,2256000,217000,12000,317000,203000,6000,1460000,40000
1182,r048,All degrees<sup>b</sup> -> Non-S&E occupations -> Non-S&E manager,All degrees<sup>b</sup>,Non-S&E occupations,Non-S&E manager,,,,3,2018000,150000,6000,192000,97000,7000,1540000,27000
1182,r049,All degrees<sup>b</sup> -> Non-S&E occupations -> Non-S&E postsecondary teacher,All degrees<sup>b</sup>,Non-S&E occupations,Non-S&E postsecondary teacher,,,,3,226000,14000,,21000,16000,,170000,3000
1182,r050,All degrees<sup>b</sup> -> Non-S&E occupations -> Non-S&E precollege teacher,All degrees<sup>b</sup>,Non-S&E occupations,Non-S&E precollege teacher,,,,3,902000,99000,1000,68000,114000,S,609000,9000
1182,r051,All degrees<sup>b</sup> -> Non-S&E occupations -> Sales and marketing occupation,All degrees<sup>b</sup>,Non-S&E occupations,Sales and marketing occupation,,,,3,1425000,102000,S,138000,78000,1000,1059000,43000
1182,r052,All degrees<sup>b</sup> -> Non-S&E occupations -> Social service and related occupation,All degrees<sup>b</sup>,Non-S&E occupations,Social service and related occupation,,,,3,967000,115000,4000,38000,148000,1000,647000,14000
1182,r053,All degrees<sup>b</sup> -> Non-S&E occupations -> Other non-S&E occupation,All degrees<sup>b</sup>,Non-S&E occupations,Other non-S&E occupation,,,,3,4054000,395000,9000,369000,326000,11000,2854000,90000
1182,r054,All degrees<sup>b</sup> -> Bachelor's,All degrees<sup>b</sup>,Bachelor's,,,,,2,15198000,1438000,52000,1655000,1146000,47000,10550000,310000
1182,r055,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations,All degrees<sup>b</sup>,Bachelor's,S&E occupations,,,,3,3846000,331000,9000,522000,252000,19000,2641000,72000
1182,r056,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupations,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupations,,,4,2786000,238000,5000,414000,214000,12000,1852000,51000
1182,r057,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupations -> Biological/life scientist,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupations,Biological/life scientist,,5,230000,17000,,24000,8000,1000,175000,5000
1182,r058,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupations -> Biological/life scientist -> Agricultural/food science,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupations,Biological/life scientist,Agricultural/food science,6,18000,2000,,3000,,,12000,
1182,r059,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupations -> Biological/life scientist -> Biological/scientist,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupations,Biological/life scientist,Biological/scientist,6,183000,14000,,20000,7000,1000,136000,4000
1182,r060,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupations -> Biological/life scientist -> Foresty and conservation scientist,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupations,Biological/life scientist,Foresty and conservation scientist,6,15000,,,,,,14000,
1182,r061,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupations -> Biological/life scientist -> Postsecondary teacher,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupations,Biological/life scientist,Postsecondary teacher,6,S,,,S,,,S,
1182,r062,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupations -> Computer and information scientist,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupations,Computer and information scientist,,5,2100000,145000,S,359000,190000,10000,1354000,39000
1182,r063,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupations -> Computer and information scientist -> Computer/information scientist,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupations,Computer and information scientist,Computer/information scientist,6,2096000,145000,S,357000,189000,10000,1353000,39000
1182,r064,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupations -> Computer and information scientist -> Postsecondary teacher,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupations,Computer and information scientist,Postsecondary teacher,6,4000,,,S,,,S,
1182,r065,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupations -> Mathematical scientist,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupations,Mathematical scientist,,5,119000,8000,,10000,3000,,96000,1000
1182,r066,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupations -> Mathematical scientist -> Mathematical scientist,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupations,Mathematical scientist,Mathematical scientist,6,108000,8000,,8000,3000,,88000,1000
1182,r067,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupations -> Mathematical scientist -> Postsecondary teacher,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupations,Mathematical scientist,Postsecondary teacher,6,11000,,,2000,,,8000,
1182,r068,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupations -> Physical scientist,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupations,Physical scientist,,5,164000,17000,S,17000,6000,S,119000,3000
1182,r069,"All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupations -> Physical scientist -> Chemist, except biochemist",All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupations,Physical scientist,"Chemist, except biochemist",6,63000,6000,,5000,4000,,47000,S
1182,r070,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupations -> Physical scientist -> Earth scientist/geologist/oceanographer,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupations,Physical scientist,Earth scientist/geologist/oceanographer,6,28000,1000,,S,,,24000,1000
1182,r071,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupations -> Physical scientist -> Physicist/astronomer,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupations,Physical scientist,Physicist/astronomer,6,9000,,,5000,,,4000,
1182,r072,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupations -> Physical scientist -> Other physical scientist,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupations,Physical scientist,Other physical scientist,6,35000,9000,,3000,2000,,19000,
1182,r073,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupations -> Physical scientist -> Postsecondary teachers,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupations,Physical scientist,Postsecondary teachers,6,29000,S,,S,,,25000,
1182,r074,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupations -> Psychologist,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupations,Psychologist,,5,33000,3000,,1000,2000,,26000,
1182,r075,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupations -> Psychologist -> Psychologist,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupations,Psychologist,Psychologist,6,18000,3000,,,2000,,12000,
1182,r076,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupations -> Psychologist -> Postsecondary teacher,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupations,Psychologist,Postsecondary teacher,6,S,,,,,,S,
1182,r077,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupations -> Social scientist,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupations,Social scientist,,5,139000,S,,3000,5000,,82000,S
1182,r078,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupations -> Social scientist -> Economist,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupations,Social scientist,Economist,6,S,S,,0.05,0.05,,S,
1182,r079,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupations -> Social scientist -> Political scientist,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupations,Social scientist,Political scientist,6,12000,,,,,,S,
1182,r080,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupations -> Social scientist -> Sociologist/anthropologist,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupations,Social scientist,Sociologist/anthropologist,6,6000,S,,,,,4000,
1182,r081,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupations -> Social scientist -> Other social scientist,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupations,Social scientist,Other social scientist,6,89000,S,,2000,1000,,49000,S
1182,r082,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Science occupations -> Social scientist -> Postsecondary teacher,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Science occupations,Social scientist,Postsecondary teacher,6,9000,,,,,,4000,
1182,r083,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Engineering occupations,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Engineering occupations,,,4,1061000,93000,4000,109000,37000,7000,789000,21000
1182,r084,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Engineering occupations -> Aerospace engineer,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Engineering occupations,Aerospace engineer,,5,69000,6000,,8000,S,,50000,S
1182,r085,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Engineering occupations -> Chemical engineer,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Engineering occupations,Chemical engineer,,5,59000,3000,,5000,0.05,,51000,
1182,r086,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Engineering occupations -> Civil engineer,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Engineering occupations,Civil engineer,,5,169000,19000,,16000,6000,,127000,2000
1182,r087,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Engineering occupations -> Electrical engineer,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Engineering occupations,Electrical engineer,,5,215000,18000,,31000,9000,S,149000,5000
1182,r088,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Engineering occupations -> Industrial engineer,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Engineering occupations,Industrial engineer,,5,57000,9000,,3000,3000,,42000,0.05
1182,r089,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Engineering occupations -> Mechanical engineer,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Engineering occupations,Mechanical engineer,,5,219000,16000,,21000,4000,,175000,2000
1182,r090,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Engineering occupations -> Other engineer,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Engineering occupations,Other engineer,,5,259000,22000,,22000,13000,4000,188000,9000
1182,r091,All degrees<sup>b</sup> -> Bachelor's -> S&E occupations -> Engineering occupations -> Postsecondary teacher,All degrees<sup>b</sup>,Bachelor's,S&E occupations,Engineering occupations,Postsecondary teacher,,5,12000,,,S,,,7000,
1182,r092,All degrees<sup>b</sup> -> Bachelor's -> S&E-related occupations,All degrees<sup>b</sup>,Bachelor's,S&E-related occupations,,,,3,4338000,415000,17000,479000,351000,9000,2983000,84000
1182,r093,All degrees<sup>b</sup> -> Bachelor's -> S&E-related occupations -> Health occupations,All degrees<sup>b</sup>,Bachelor's,S&E-related occupations,Health occupations,,,4,2671000,236000,14000,303000,251000,6000,1804000,57000
1182,r094,"All degrees<sup>b</sup> -> Bachelor's -> S&E-related occupations -> S&E managers, including health",All degrees<sup>b</sup>,Bachelor's,S&E-related occupations,"S&E managers, including health",,,4,515000,47000,,46000,23000,1000,389000,8000
1182,r095,All degrees<sup>b</sup> -> Bachelor's -> S&E-related occupations -> S&E pre-college teacher,All degrees<sup>b</sup>,Bachelor's,S&E-related occupations,S&E pre-college teacher,,,4,400000,38000,1000,17000,29000,,304000,11000
1182,r096,All degrees<sup>b</sup> -> Bachelor's -> S&E-related occupations -> S&E technician/technologist,All degrees<sup>b</sup>,Bachelor's,S&E-related occupations,S&E technician/technologist,,,4,586000,76000,,88000,45000,1000,370000,6000
1182,r097,All degrees<sup>b</sup> -> Bachelor's -> S&E-related occupations -> Other S&E-related occupation,All degrees<sup>b</sup>,Bachelor's,S&E-related occupations,Other S&E-related occupation,,,4,166000,19000,,25000,S,,116000,
1182,r098,All degrees<sup>b</sup> -> Bachelor's -> Non-S&E occupations,All degrees<sup>b</sup>,Bachelor's,Non-S&E occupations,,,,3,7014000,692000,25000,654000,543000,19000,4926000,153000
1182,r099,"All degrees<sup>b</sup> -> Bachelor's -> Non-S&E occupations -> Arts, humanities, and related occupation",All degrees<sup>b</sup>,Bachelor's,Non-S&E occupations,"Arts, humanities, and related occupation",,,4,217000,11000,,12000,16000,,173000,S
1182,r100,All degrees<sup>b</sup> -> Bachelor's -> Non-S&E occupations -> Management-related occupation,All degrees<sup>b</sup>,Bachelor's,Non-S&E occupations,Management-related occupation,,,4,1346000,121000,S,176000,107000,5000,896000,30000
1182,r101,All degrees<sup>b</sup> -> Bachelor's -> Non-S&E occupations -> Non-S&E manager,All degrees<sup>b</sup>,Bachelor's,Non-S&E occupations,Non-S&E manager,,,4,1022000,84000,4000,74000,32000,S,815000,9000
1182,r102,All degrees<sup>b</sup> -> Bachelor's -> Non-S&E occupations -> Non-S&E postsecondary teacher,All degrees<sup>b</sup>,Bachelor's,Non-S&E occupations,Non-S&E postsecondary teacher,,,4,40000,2000,,S,S,,28000,
1182,r103,All degrees<sup>b</sup> -> Bachelor's -> Non-S&E occupations -> Non-S&E precollege teacher,All degrees<sup>b</sup>,Bachelor's,Non-S&E occupations,Non-S&E precollege teacher,,,4,421000,50000,S,50000,55000,,260000,5000
1182,r104,All degrees<sup>b</sup> -> Bachelor's -> Non-S&E occupations -> Sales and marketing occupation,All degrees<sup>b</sup>,Bachelor's,Non-S&E occupations,Sales and marketing occupation,,,4,1065000,78000,S,90000,55000,S,803000,36000
1182,r105,All degrees<sup>b</sup> -> Bachelor's -> Non-S&E occupations -> Social service and related occupation,All degrees<sup>b</sup>,Bachelor's,Non-S&E occupations,Social service and related occupation,,,4,373000,60000,,10000,57000,,235000,8000
1182,r106,All degrees<sup>b</sup> -> Bachelor's -> Non-S&E occupations -> Other non-S&E occupation,All degrees<sup>b</sup>,Bachelor's,Non-S&E occupations,Other non-S&E occupation,,,4,2530000,285000,6000,237000,218000,7000,1716000,60000
1182,r107,All degrees<sup>b</sup> -> Master's,All degrees<sup>b</sup>,Master's,,,,,2,8236000,610000,13000,1273000,663000,13000,5534000,128000
1182,r108,All degrees<sup>b</sup> -> Master's -> S&E occupations,All degrees<sup>b</sup>,Master's,S&E occupations,,,,3,2069000,119000,3000,607000,98000,4000,1211000,27000
1182,r109,All degrees<sup>b</sup> -> Master's -> S&E occupations -> Science occupations,All degrees<sup>b</sup>,Master's,S&E occupations,Science occupations,,,4,1521000,77000,2000,476000,75000,3000,869000,19000
1182,r110,All degrees<sup>b</sup> -> Master's -> S&E occupations -> Science occupations -> Biological/life scientist,All degrees<sup>b</sup>,Master's,S&E occupations,Science occupations,Biological/life scientist,,5,149000,8000,,34000,6000,,98000,2000
1182,r111,All degrees<sup>b</sup> -> Master's -> S&E occupations -> Science occupations -> Biological/life scientist -> Agricultural/food science,All degrees<sup>b</sup>,Master's,S&E occupations,Science occupations,Biological/life scientist,Agricultural/food science,6,13000,S,,2000,,,9000,
1182,r112,All degrees<sup>b</sup> -> Master's -> S&E occupations -> Science occupations -> Biological/life scientist -> Biological/scientist,All degrees<sup>b</sup>,Master's,S&E occupations,Science occupations,Biological/life scientist,Biological/scientist,6,108000,4000,,30000,5000,,66000,2000
1182,r113,All degrees<sup>b</sup> -> Master's -> S&E occupations -> Science occupations -> Biological/life scientist -> Foresty and conservation scientist,All degrees<sup>b</sup>,Master's,S&E occupations,Science occupations,Biological/life scientist,Foresty and conservation scientist,6,11000,,,,,,10000,
