table_id,row_id,state_or_location_full_path,state_or_location_level_1,state_or_location_level_2,state_or_location_level_3,state_or_location_hierarchy_depth,field_total,field_dhs,field_doc,field_dod,field_doe,field_doi,field_dot,field_epa,field_hhs,field_nasa,field_nsf,field_usda,field_othera
10288,r027,All locations -> Missouri,All locations,Missouri,,2,2058775,5590,1599,976576,71427,24489,16088,1104,774776,34294,54378,69317,29138
10288,r028,All locations -> Montana,All locations,Montana,,2,287208,2180,200,77430,13961,21084,2957,0.05,95072,10813,32305,30990,178
10288,r029,All locations -> Nebraska,All locations,Nebraska,,2,302638,7708,300,42448,7029,1162,5006,0,134263,1081,32660,54401,16580
10288,r030,All locations -> Nevada,All locations,Nevada,,2,551831,222,145,209532,195367,10496,2787,1884,44434,51394,25296,5914,4360
10288,r031,All locations -> New Hampshire,All locations,New Hampshire,,2,522631,319,12694,272965,18027,2379,823,0,112832,65094,25494,10249,1753
10288,r032,All locations -> New Jersey,All locations,New Jersey,,2,3398171,4648,12261,1725542,164780,2973,29355,4245,1209077,41788,161698,12912,28891
10288,r033,All locations -> New Mexico,All locations,New Mexico,,2,3881144,27722,988,1665889,1893207,7030,10525,0,121642,55255,49078,13970,35838
10288,r034,All locations -> New York,All locations,New York,,2,6830934,1273,5846,1169060,1205300,11598,12002,5668,3667592,167974,431943,71981,80697
10288,r035,All locations -> North Carolina,All locations,North Carolina,,2,3620371,12610,18915,345047,60497,11263,14711,143524,2675524,10516,186555,70191,71018
10288,r036,All locations -> North Dakota,All locations,North Dakota,,2,168097,0,0,23933,21132,2781,8021,742,35556,350,21459,54012,111
10288,r037,All locations -> Ohio,All locations,Ohio,,2,3856489,16506,1977,2333320,112551,9513,34870,80645,970242,89083,119812,40141,47827
10288,r038,All locations -> Oklahoma,All locations,Oklahoma,,2,1505105,1239,13823,1153268,23561,57518,12695,9812,131644,18306,35633,38190,9416
10288,r039,All locations -> Oregon,All locations,Oregon,,2,1069952,499,6234,287381,37596,19346,10257,11714,430975,11128,103283,85423,66116
10288,r040,All locations -> Pennsylvania,All locations,Pennsylvania,,2,4544785,11475,4881,1295879,483529,10817,29929,7229,2115090,154459,288754,75612,67131
10288,r041,All locations -> Rhode Island,All locations,Rhode Island,,2,866046,0.05,20834,479218,7931,0.05,1443,9648,257603,6930,55839,4225,22310
10288,r042,All locations -> South Carolina,All locations,South Carolina,,2,1434459,3169,15233,973769,63484,1575,5401,281,240764,3833,44279,33758,48914
10288,r043,All locations -> South Dakota,All locations,South Dakota,,2,132148,1620,0,36027,23598,114,2078,74,29261,12800,12906,12933,736
10288,r044,All locations -> Tennessee,All locations,Tennessee,,2,3461773,4691,330,847842,1304514,9256,6556,23133,668456,422009,65731,34754,74501
10288,r045,All locations -> Texas,All locations,Texas,,2,6131234,13562,11511,2534815,127314,25587,30545,2886,1728086,1055227,377760,138506,85435
10288,r046,All locations -> Utah,All locations,Utah,,2,2439690,0,827,1640157,259865,12347,4044,0.05,259133,32983,148282,31998,50017
10288,r047,All locations -> Vermont,All locations,Vermont,,2,244489,0,811,34521,21233,2109,1379,721,78242,359,68973,28964,7177
10288,r048,All locations -> Virginia,All locations,Virginia,,2,9740743,2415,18836,7734839,84086,99214,247841,35592,555748,725709,9756,26478,200230
10288,r049,All locations -> Washington,All locations,Washington,,2,3735831,222280,19713,1166173,453418,21316,12423,5940,1487532,52393,152255,69299,73090
10288,r050,All locations -> West Virginia,All locations,West Virginia,,2,199238,396,0,29565,40607,5543,2088,0.05,67786,4444,12880,34213,1678
10288,r051,All locations -> Wisconsin,All locations,Wisconsin,,2,989462,9722,1303,140754,78110,14020,3048,1186,560784,14892,101705,63504,434
10288,r052,All locations -> Wyoming,All locations,Wyoming,,2,196837,0,428,94807,14884,26644,2805,0,35665,0,17155,4443,0.05
10288,r053,All locations -> Outlying areas,All locations,Outlying areas,,2,228980,0,3918,82737,545,6651,0,0.05,56319,0,29895,20962,27924
10288,r054,All locations -> Outlying areas -> Puerto Rico,All locations,Outlying areas,Puerto Rico,3,120136,0,3918,4768,250,1455,0,0.05,51453,0,17301,13038,27923
10288,r055,All locations -> Outlying areas -> Other areas<sup>b</sup>,All locations,Outlying areas,Other areas<sup>b</sup>,3,108844,0,0,77969,295,5196,0,0,4865,0,12594,7924,0.05
10288,r056,All locations -> Offices abroad<sup>c</sup>,All locations,Offices abroad<sup>c</sup>,,2,179044,0,300,111237,0,125,0,0,2173,726,0,477,64004
10288,r057,All locations -> Undistributed<sup>d</sup>,All locations,Undistributed<sup>d</sup>,,2,5176678,NA,NA,5176678,NA,NA,NA,NA,NA,NA,NA,NA,NA
