table_id,row_id,country_of_citizenship_full_path,country_of_citizenship_level_1,country_of_citizenship_level_2,country_of_citizenship_level_3,country_of_citizenship_hierarchy_depth,field_total_2012_18_number,field_total_2012_18_staying,field_2012_number,field_2012_staying,field_2013_number,field_2013_staying,field_2014_number,field_2014_staying,field_2015_number,field_2015_staying,field_2016_number,field_2016_staying,field_2017_number,field_2017_staying,field_2018_number,field_2018_staying
1778,r041,All temporary visa holders -> Europe -> Romania,All temporary visa holders,Europe,Romania,3,444,77.3,101,75.2,66,74.2,79,78.5,57,82.5,51,88.2,43,81.4,47,61.7
1778,r042,All temporary visa holders -> Europe -> Russian Federation (former USSR),All temporary visa holders,Europe,Russian Federation (former USSR),3,833,73.7,125,69.6,110,71.8,106,72.6,118,78.0,108,69.4,112,81.3,154,73.4
1778,r043,All temporary visa holders -> Europe -> Spain,All temporary visa holders,Europe,Spain,3,591,64.5,66,66.7,82,65.9,68,60.3,98,60.2,73,61.6,100,74.0,104,61.5
1778,r044,All temporary visa holders -> Europe -> Turkey,All temporary visa holders,Europe,Turkey,3,3232,60.7,439,63.8,478,60.7,426,62.9,469,59.7,472,57.6,496,61.1,452,59.7
1778,r045,All temporary visa holders -> Europe -> Ukraine,All temporary visa holders,Europe,Ukraine,3,294,78.6,46,84.8,52,76.9,51,72.5,42,85.7,31,71.0,37,83.8,35,74.3
1778,r046,All temporary visa holders -> Europe -> United Kingdom,All temporary visa holders,Europe,United Kingdom,3,728,61.0,91,72.5,113,56.6,97,70.1,100,55.0,115,54.8,103,60.2,109,60.6
1778,r047,All temporary visa holders -> Europe -> Other,All temporary visa holders,Europe,Other,3,2650,59.7,433,63.0,415,59.5,379,58.3,378,56.3,343,58.6,353,63.2,349,58.2
1778,r048,All temporary visa holders -> Middle East,All temporary visa holders,Middle East,,2,8190,64.2,699,65.4,865,65.2,938,65.9,1131,66.9,1309,63.9,1500,62.1,1748,62.4
1778,r049,All temporary visa holders -> Middle East -> Iran,All temporary visa holders,Middle East,Iran,3,4205,90.4,287,88.5,409,86.8,483,89.2,629,89.7,695,91.1,767,92.6,935,91.6
1778,r050,All temporary visa holders -> Middle East -> Israel,All temporary visa holders,Middle East,Israel,3,555,56.6,83,61.4,81,60.5,81,61.7,86,59.3,83,51.8,77,49.4,64,50.0
1778,r051,All temporary visa holders -> Middle East -> Jordan,All temporary visa holders,Middle East,Jordan,3,762,45.9,121,46.3,115,46.1,110,40.9,128,44.5,98,44.9,114,44.7,76,57.9
1778,r052,All temporary visa holders -> Middle East -> Lebanon,All temporary visa holders,Middle East,Lebanon,3,381,74.8,66,80.3,66,81.8,50,66.0,39,64.1,57,70.2,52,78.8,51,76.5
1778,r053,All temporary visa holders -> Middle East -> Saudi Arabia,All temporary visa holders,Middle East,Saudi Arabia,3,1350,12.7,57,14.0,73,11.0,105,17.1,134,14.2,238,10.1,339,10.3,404,14.9
1778,r054,All temporary visa holders -> Middle East -> Other,All temporary visa holders,Middle East,Other,3,937,35.2,85,41.2,121,37.2,109,37.6,115,35.7,138,37.7,151,37.7,218,27.1
1778,r055,All temporary visa holders -> Country unknown,All temporary visa holders,Country unknown,,2,1175,39.0,65,41.5,173,25.4,93,24.7,69,47.8,153,12.4,142,61.3,480,46.9
