table_id,row_id,institution_full_path,institution_level_1,institution_level_2,institution_level_3,institution_hierarchy_depth,field_rank,field_fy_2015,field_fy_2017,field_fy_2019
2942,r021,"All institutions  -> Leading 30 institutions -> U. California, Berkeley ",All institutions ,Leading 30 institutions,"U. California, Berkeley ",3,19,"['2,551', '&nbsp;']","['2,484', '&nbsp;']","['2,408', '&nbsp;']"
2942,r022,All institutions  -> Leading 30 institutions -> Washington State U. ,All institutions ,Leading 30 institutions,Washington State U. ,3,20,"['2,161', '&nbsp;']","['2,202', '&nbsp;']","['2,259', '&nbsp;']"
2942,r023,All institutions  -> Leading 30 institutions -> Wake Forest U. ,All institutions ,Leading 30 institutions,Wake Forest U. ,3,21,"['1,326', '&nbsp;']","['1,455', '&nbsp;']","['2,248', '&nbsp;']"
2942,r024,All institutions  -> Leading 30 institutions -> Mississippi State U. ,All institutions ,Leading 30 institutions,Mississippi State U. ,3,22,"['2,140', '&nbsp;']","['2,173', '&nbsp;']","['2,177', '&nbsp;']"
2942,r025,"All institutions  -> Leading 30 institutions -> U. Washington, Seattle ",All institutions ,Leading 30 institutions,"U. Washington, Seattle ",3,23,"['1,935', '&nbsp;']","['2,002', '&nbsp;']","['2,135', '&nbsp;']"
2942,r026,All institutions  -> Leading 30 institutions -> Columbia U. in the City of New York ,All institutions ,Leading 30 institutions,Columbia U. in the City of New York ,3,24,"['1,878', '&nbsp;']","['2,002', '&nbsp;']","['2,006', '&nbsp;']"
2942,r027,All institutions  -> Leading 30 institutions -> Cornell U. ,All institutions ,Leading 30 institutions,Cornell U. ,3,25,"['2,218', 'i']","['1,967', '&nbsp;']","['1,994', '&nbsp;']"
2942,r028,"All institutions  -> Leading 30 institutions -> U. Michigan, Ann Arbor ",All institutions ,Leading 30 institutions,"U. Michigan, Ann Arbor ",3,26,"['1,878', '&nbsp;']","['1,900', '&nbsp;']","['1,905', '&nbsp;']"
2942,r029,"All institutions  -> Leading 30 institutions -> U. California, San Francisco ",All institutions ,Leading 30 institutions,"U. California, San Francisco ",3,27,"['2,024', '&nbsp;']","['1,895', '&nbsp;']","['1,898', '&nbsp;']"
2942,r030,All institutions  -> Leading 30 institutions -> U. Pennsylvania ,All institutions ,Leading 30 institutions,U. Pennsylvania ,3,28,"['1,723', '&nbsp;']","['1,764', '&nbsp;']","['1,861', '&nbsp;']"
2942,r031,All institutions  -> Leading 30 institutions -> U. Maryland<sup>a</sup> ,All institutions ,Leading 30 institutions,U. Maryland<sup>a</sup> ,3,29,"['na', '&nbsp;']","['na', '&nbsp;']","['1,858', '&nbsp;']"
2942,r032,"All institutions  -> Leading 30 institutions -> Rutgers, State U. New Jersey, New Brunswick ",All institutions ,Leading 30 institutions,"Rutgers, State U. New Jersey, New Brunswick ",3,30,"['1,772', '&nbsp;']","['1,921', '&nbsp;']","['1,833', '&nbsp;']"
