table_id,row_id,field_ethnicity_and_race_full_path,field_ethnicity_and_race_level_1,field_ethnicity_and_race_level_2,field_ethnicity_and_race_level_3,field_ethnicity_and_race_level_4,field_ethnicity_and_race_hierarchy_depth,field_1999,field_2004,field_2009,field_2014,field_2019
2821,r038,All fields -> Mathematics and computer sciences -> Not Hispanic or Latino -> More than one race,All fields,Mathematics and computer sciences,Not Hispanic or Latino,More than one race,4,na,16,32,34,68
2821,r039,All fields -> Mathematics and computer sciences -> Not Hispanic or Latino -> Other race or race not reported<sup>b</sup>,All fields,Mathematics and computer sciences,Not Hispanic or Latino,Other race or race not reported<sup>b</sup>,4,16,13,19,14,27
2821,r040,All fields -> Mathematics and computer sciences -> Ethnicity not reported,All fields,Mathematics and computer sciences,Ethnicity not reported,,3,15,25,34,34,32
2821,r041,All fields -> Psychology and social sciences ,All fields,Psychology and social sciences ,,,2,5936,5348,5714,6389,6723
2821,r042,All fields -> Psychology and social sciences  -> Hispanic or Latino,All fields,Psychology and social sciences ,Hispanic or Latino,,3,332,299,408,463,629
2821,r043,All fields -> Psychology and social sciences  -> Not Hispanic or Latino,All fields,Psychology and social sciences ,Not Hispanic or Latino,,3,,,,,
2821,r044,All fields -> Psychology and social sciences  -> Not Hispanic or Latino -> American Indian or Alaska Native,All fields,Psychology and social sciences ,Not Hispanic or Latino,American Indian or Alaska Native,4,63,21,28,30,30
2821,r045,All fields -> Psychology and social sciences  -> Not Hispanic or Latino -> Asian<sup>a</sup>,All fields,Psychology and social sciences ,Not Hispanic or Latino,Asian<sup>a</sup>,4,315,303,354,406,443
2821,r046,All fields -> Psychology and social sciences  -> Not Hispanic or Latino -> Black or African American,All fields,Psychology and social sciences ,Not Hispanic or Latino,Black or African American,4,349,360,380,438,593
2821,r047,All fields -> Psychology and social sciences  -> Not Hispanic or Latino -> White,All fields,Psychology and social sciences ,Not Hispanic or Latino,White,4,4768,4042,4193,4703,4553
2821,r048,All fields -> Psychology and social sciences  -> Not Hispanic or Latino -> More than one race,All fields,Psychology and social sciences ,Not Hispanic or Latino,More than one race,4,na,84,152,175,243
2821,r049,All fields -> Psychology and social sciences  -> Not Hispanic or Latino -> Other race or race not reported<sup>b</sup>,All fields,Psychology and social sciences ,Not Hispanic or Latino,Other race or race not reported<sup>b</sup>,4,69,75,62,41,79
2821,r050,All fields -> Psychology and social sciences  -> Ethnicity not reported,All fields,Psychology and social sciences ,Ethnicity not reported,,3,40,164,137,133,153
2821,r051,All fields -> Engineering,All fields,Engineering,,,2,2892,2190,3166,4066,4253
2821,r052,All fields -> Engineering -> Hispanic or Latino,All fields,Engineering,Hispanic or Latino,,3,83,88,160,244,306
2821,r053,All fields -> Engineering -> Not Hispanic or Latino,All fields,Engineering,Not Hispanic or Latino,,3,,,,,
2821,r054,All fields -> Engineering -> Not Hispanic or Latino -> American Indian or Alaska Native,All fields,Engineering,Not Hispanic or Latino,American Indian or Alaska Native,4,12,6,10,7,9
2821,r055,All fields -> Engineering -> Not Hispanic or Latino -> Asian<sup>a</sup>,All fields,Engineering,Not Hispanic or Latino,Asian<sup>a</sup>,4,513,349,487,580,718
2821,r056,All fields -> Engineering -> Not Hispanic or Latino -> Black or African American,All fields,Engineering,Not Hispanic or Latino,Black or African American,4,98,89,132,168,178
2821,r057,All fields -> Engineering -> Not Hispanic or Latino -> White,All fields,Engineering,Not Hispanic or Latino,White,4,2111,1525,2111,2826,2800
2821,r058,All fields -> Engineering -> Not Hispanic or Latino -> More than one race,All fields,Engineering,Not Hispanic or Latino,More than one race,4,na,23,56,103,124
2821,r059,All fields -> Engineering -> Not Hispanic or Latino -> Other race or race not reported<sup>b</sup>,All fields,Engineering,Not Hispanic or Latino,Other race or race not reported<sup>b</sup>,4,35,46,29,41,50
2821,r060,All fields -> Engineering -> Ethnicity not reported,All fields,Engineering,Ethnicity not reported,,3,40,64,181,97,68
2821,r061,All fields -> Education,All fields,Education,,,2,5817,5452,5584,3934,3848
2821,r062,All fields -> Education -> Hispanic or Latino,All fields,Education,Hispanic or Latino,,3,303,273,390,259,318
2821,r063,All fields -> Education -> Not Hispanic or Latino,All fields,Education,Not Hispanic or Latino,,3,,,,,
2821,r064,All fields -> Education -> Not Hispanic or Latino -> American Indian or Alaska Native,All fields,Education,Not Hispanic or Latino,American Indian or Alaska Native,4,58,46,42,19,26
2821,r065,All fields -> Education -> Not Hispanic or Latino -> Asian<sup>a</sup>,All fields,Education,Not Hispanic or Latino,Asian<sup>a</sup>,4,168,149,211,198,206
2821,r066,All fields -> Education -> Not Hispanic or Latino -> Black or African American,All fields,Education,Not Hispanic or Latino,Black or African American,4,689,749,788,522,619
2821,r067,All fields -> Education -> Not Hispanic or Latino -> White,All fields,Education,Not Hispanic or Latino,White,4,4506,3915,3886,2710,2485
2821,r068,All fields -> Education -> Not Hispanic or Latino -> More than one race,All fields,Education,Not Hispanic or Latino,More than one race,4,na,61,90,92,109
2821,r069,All fields -> Education -> Not Hispanic or Latino -> Other race or race not reported<sup>b</sup>,All fields,Education,Not Hispanic or Latino,Other race or race not reported<sup>b</sup>,4,62,51,53,23,33
2821,r070,All fields -> Education -> Ethnicity not reported,All fields,Education,Ethnicity not reported,,3,31,208,124,111,52
2821,r071,All fields -> Humanities and arts,All fields,Humanities and arts,,,2,4487,4232,3893,4361,3988
2821,r072,All fields -> Humanities and arts -> Hispanic or Latino,All fields,Humanities and arts,Hispanic or Latino,,3,203,214,256,312,337
2821,r073,All fields -> Humanities and arts -> Not Hispanic or Latino,All fields,Humanities and arts,Not Hispanic or Latino,,3,,,,,
2821,r074,All fields -> Humanities and arts -> Not Hispanic or Latino -> American Indian or Alaska Native,All fields,Humanities and arts,Not Hispanic or Latino,American Indian or Alaska Native,4,21,12,10,12,10
2821,r075,All fields -> Humanities and arts -> Not Hispanic or Latino -> Asian<sup>a</sup>,All fields,Humanities and arts,Not Hispanic or Latino,Asian<sup>a</sup>,4,214,217,203,186,204
2821,r076,All fields -> Humanities and arts -> Not Hispanic or Latino -> Black or African American,All fields,Humanities and arts,Not Hispanic or Latino,Black or African American,4,178,171,158,156,179
2821,r077,All fields -> Humanities and arts -> Not Hispanic or Latino -> White,All fields,Humanities and arts,Not Hispanic or Latino,White,4,3763,3362,3027,3469,3005
2821,r078,All fields -> Humanities and arts -> Not Hispanic or Latino -> More than one race,All fields,Humanities and arts,Not Hispanic or Latino,More than one race,4,na,60,80,115,105
2821,r079,All fields -> Humanities and arts -> Not Hispanic or Latino -> Other race or race not reported<sup>b</sup>,All fields,Humanities and arts,Not Hispanic or Latino,Other race or race not reported<sup>b</sup>,4,59,61,54,39,44
2821,r080,All fields -> Humanities and arts -> Ethnicity not reported,All fields,Humanities and arts,Ethnicity not reported,,3,49,135,105,72,104
2821,r081,All fields -> Other<sup>d</sup>,All fields,Other<sup>d</sup>,,,2,1536,1477,1747,1825,1720
2821,r082,All fields -> Other<sup>d</sup> -> Hispanic or Latino,All fields,Other<sup>d</sup>,Hispanic or Latino,,3,55,60,89,113,111
2821,r083,All fields -> Other<sup>d</sup> -> Not Hispanic or Latino,All fields,Other<sup>d</sup>,Not Hispanic or Latino,,3,,,,,
2821,r084,All fields -> Other<sup>d</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All fields,Other<sup>d</sup>,Not Hispanic or Latino,American Indian or Alaska Native,4,16,10,5,2,7
2821,r085,All fields -> Other<sup>d</sup> -> Not Hispanic or Latino -> Asian<sup>a</sup>,All fields,Other<sup>d</sup>,Not Hispanic or Latino,Asian<sup>a</sup>,4,106,94,152,154,190
2821,r086,All fields -> Other<sup>d</sup> -> Not Hispanic or Latino -> Black or African American,All fields,Other<sup>d</sup>,Not Hispanic or Latino,Black or African American,4,137,166,167,212,246
2821,r087,All fields -> Other<sup>d</sup> -> Not Hispanic or Latino -> White,All fields,Other<sup>d</sup>,Not Hispanic or Latino,White,4,1195,1045,1221,1246,1069
2821,r088,All fields -> Other<sup>d</sup> -> Not Hispanic or Latino -> More than one race,All fields,Other<sup>d</sup>,Not Hispanic or Latino,More than one race,4,na,25,31,35,36
2821,r089,All fields -> Other<sup>d</sup> -> Not Hispanic or Latino -> Other race or race not reported<sup>b</sup>,All fields,Other<sup>d</sup>,Not Hispanic or Latino,Other race or race not reported<sup>b</sup>,4,19,16,15,18,24
2821,r090,All fields -> Other<sup>d</sup> -> Ethnicity not reported,All fields,Other<sup>d</sup>,Ethnicity not reported,,3,8,61,67,45,37
