table_id,row_id,field_sex_and_degree_full_path,field_sex_and_degree_level_1,field_sex_and_degree_level_2,field_sex_and_degree_level_3,field_sex_and_degree_level_4,field_sex_and_degree_level_5,field_sex_and_degree_hierarchy_depth,field_total,field_u_s_citizens_and_permanent_residents_hispanic_or_latinoa,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race,field_u_s_citizens_and_permanent_residents_unknown_ethnicity_and_race,field_temporary_visa_holders
3238,r023,All S&E graduate students -> Engineering -> Mechanical engineering,All S&E graduate students,Engineering,Mechanical engineering,,,3,26593,1375,37,1556,482,6,8522,412,590,13613
3238,r024,All S&E graduate students -> Engineering -> Metallurgical and materials engineering,All S&E graduate students,Engineering,Metallurgical and materials engineering,,,3,6689,335,11,421,143,3,2174,120,99,3383
3238,r025,All S&E graduate students -> Engineering -> Mining engineering,All S&E graduate students,Engineering,Mining engineering,,,3,527,21,5,8,17,1,267,9,8,191
3238,r026,All S&E graduate students -> Engineering -> Nanotechnology,All S&E graduate students,Engineering,Nanotechnology,,,3,118,9,0,12,4,0,45,4,4,40
3238,r027,All S&E graduate students -> Engineering -> Nuclear engineering,All S&E graduate students,Engineering,Nuclear engineering,,,3,1453,94,2,53,22,0,770,26,40,446
3238,r028,All S&E graduate students -> Engineering -> Petroleum engineering,All S&E graduate students,Engineering,Petroleum engineering,,,3,1403,46,1,49,26,0,222,15,32,1012
3238,r029,All S&E graduate students -> Engineering -> Engineering nec,All S&E graduate students,Engineering,Engineering nec,,,3,13032,635,20,790,682,10,5246,237,363,5049
3238,r030,All S&E graduate students -> Female ,All S&E graduate students,Female ,,,,2,254188,21371,895,17163,16253,323,103130,6413,10038,78602
3238,r031,All S&E graduate students -> Female  -> Science,All S&E graduate students,Female ,Science,,,3,212822,19293,826,13987,15052,300,91996,5679,9133,56556
3238,r032,All S&E graduate students -> Female  -> Science -> Agricultural sciences,All S&E graduate students,Female ,Science,Agricultural sciences,,4,5190,336,20,157,213,5,2836,90,96,1437
3238,r033,All S&E graduate students -> Female  -> Science -> Biological and biomedical sciences,All S&E graduate students,Female ,Science,Biological and biomedical sciences,,4,50770,4424,155,4581,3294,88,24433,1461,2185,10149
3238,r034,All S&E graduate students -> Female  -> Science -> Computer and information sciences,All S&E graduate students,Female ,Science,Computer and information sciences,,4,28567,910,30,2493,1793,25,4875,424,881,17136
3238,r035,"All S&E graduate students -> Female  -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All S&E graduate students,Female ,Science,"Geosciences, atmospheric sciences, and ocean sciences",,4,5613,441,21,206,120,3,3420,208,202,992
3238,r036,All S&E graduate students -> Female  -> Science -> Mathematics and statistics,All S&E graduate students,Female ,Science,Mathematics and statistics,,4,11767,482,26,871,271,5,2988,137,312,6675
3238,r037,All S&E graduate students -> Female  -> Science -> Multidisciplinary and interdisciplinary studies,All S&E graduate students,Female ,Science,Multidisciplinary and interdisciplinary studies,,4,5476,478,16,443,430,14,2403,155,175,1362
3238,r038,All S&E graduate students -> Female  -> Science -> Natural resources and conservation,All S&E graduate students,Female ,Science,Natural resources and conservation,,4,6256,546,58,202,212,13,3859,223,306,837
3238,r039,All S&E graduate students -> Female  -> Science -> Physical sciences,All S&E graduate students,Female ,Science,Physical sciences,,4,14212,920,26,915,468,10,5734,291,341,5507
3238,r040,All S&E graduate students -> Female  -> Science -> Psychology,All S&E graduate students,Female ,Science,Psychology,,4,42792,6536,198,2090,4309,82,22908,1421,2771,2477
3238,r041,All S&E graduate students -> Female  -> Science -> Social sciences,All S&E graduate students,Female ,Science,Social sciences,,4,42179,4220,276,2029,3942,55,18540,1269,1864,9984
3238,r042,All S&E graduate students -> Female  -> Engineering,All S&E graduate students,Female ,Engineering,,,3,41366,2078,69,3176,1201,23,11134,734,905,22046
3238,r043,"All S&E graduate students -> Female  -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All S&E graduate students,Female ,Engineering,"Aerospace, aeronautical, and astronautical engineering",,4,983,49,3,79,22,0,426,25,28,351
3238,r044,All S&E graduate students -> Female  -> Engineering -> Agricultural engineering,All S&E graduate students,Female ,Engineering,Agricultural engineering,,4,401,12,1,16,14,1,141,9,10,197
3238,r045,All S&E graduate students -> Female  -> Engineering -> Bioengineering and biomedical engineering,All S&E graduate students,Female ,Engineering,Bioengineering and biomedical engineering,,4,4915,356,10,648,178,2,1787,150,129,1655
3238,r046,All S&E graduate students -> Female  -> Engineering -> Biological and biosystems engineering,All S&E graduate students,Female ,Engineering,Biological and biosystems engineering,,4,106,8,1,1,3,1,40,3,2,47
3238,r047,All S&E graduate students -> Female  -> Engineering -> Chemical engineering,All S&E graduate students,Female ,Engineering,Chemical engineering,,4,3174,116,5,280,79,2,836,49,64,1743
3238,r048,All S&E graduate students -> Female  -> Engineering -> Civil engineering,All S&E graduate students,Female ,Engineering,Civil engineering,,4,6530,470,13,433,151,2,2122,130,141,3068
3238,r049,"All S&E graduate students -> Female  -> Engineering -> Electrical, electronics, and communications engineering",All S&E graduate students,Female ,Engineering,"Electrical, electronics, and communications engineering",,4,10138,259,7,666,154,2,1097,79,163,7711
3238,r050,"All S&E graduate students -> Female  -> Engineering -> Engineering mechanics, physics, and science",All S&E graduate students,Female ,Engineering,"Engineering mechanics, physics, and science",,4,520,18,3,46,13,1,166,11,9,253
3238,r051,All S&E graduate students -> Female  -> Engineering -> Industrial and manufacturing engineering,All S&E graduate students,Female ,Engineering,Industrial and manufacturing engineering,,4,4402,257,6,297,195,3,1060,53,128,2403
3238,r052,All S&E graduate students -> Female  -> Engineering -> Mechanical engineering,All S&E graduate students,Female ,Engineering,Mechanical engineering,,4,4315,237,7,330,119,2,1409,106,100,2005
3238,r053,All S&E graduate students -> Female  -> Engineering -> Metallurgical and materials engineering,All S&E graduate students,Female ,Engineering,Metallurgical and materials engineering,,4,2067,108,3,159,56,2,663,46,34,996
3238,r054,All S&E graduate students -> Female  -> Engineering -> Mining engineering,All S&E graduate students,Female ,Engineering,Mining engineering,,4,130,4,4,4,2,0,64,3,1,48
3238,r055,All S&E graduate students -> Female  -> Engineering -> Nanotechnology,All S&E graduate students,Female ,Engineering,Nanotechnology,,4,34,2,0,1,3,0,10,0,1,17
3238,r056,All S&E graduate students -> Female  -> Engineering -> Nuclear engineering,All S&E graduate students,Female ,Engineering,Nuclear engineering,,4,254,20,0,7,9,0,114,5,7,92
3238,r057,All S&E graduate students -> Female  -> Engineering -> Petroleum engineering,All S&E graduate students,Female ,Engineering,Petroleum engineering,,4,272,12,0,7,5,0,30,4,7,207
3238,r058,All S&E graduate students -> Female  -> Engineering -> Engineering nec,All S&E graduate students,Female ,Engineering,Engineering nec,,4,3125,150,6,202,198,5,1169,61,81,1253
3238,r059,All S&E graduate students -> Male,All S&E graduate students,Male,,,,2,341368,20462,719,22125,12626,283,125052,6393,10801,142907
3238,r060,All S&E graduate students -> Male -> Science,All S&E graduate students,Male,Science,,,3,219433,14601,577,14438,9792,231,88739,4667,7966,78422
3238,r061,All S&E graduate students -> Male -> Science -> Agricultural sciences,All S&E graduate students,Male,Science,Agricultural sciences,,4,4348,265,14,84,141,9,2195,81,92,1467
3238,r062,All S&E graduate students -> Male -> Science -> Biological and biomedical sciences,All S&E graduate students,Male,Science,Biological and biomedical sciences,,4,37163,3153,105,3527,1629,79,18392,989,1493,7796
3238,r063,All S&E graduate students -> Male -> Science -> Computer and information sciences,All S&E graduate students,Male,Science,Computer and information sciences,,4,64911,2784,72,5424,3153,45,16694,1009,1855,33875
3238,r064,"All S&E graduate students -> Male -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All S&E graduate students,Male,Science,"Geosciences, atmospheric sciences, and ocean sciences",,4,6720,390,28,176,120,4,3932,142,239,1689
3238,r065,All S&E graduate students -> Male -> Science -> Mathematics and statistics,All S&E graduate students,Male,Science,Mathematics and statistics,,4,19694,996,31,1290,405,4,6520,335,644,9469
3238,r066,All S&E graduate students -> Male -> Science -> Multidisciplinary and interdisciplinary studies,All S&E graduate students,Male,Science,Multidisciplinary and interdisciplinary studies,,4,4862,360,15,390,279,8,2179,118,157,1356
3238,r067,All S&E graduate students -> Male -> Science -> Natural resources and conservation,All S&E graduate students,Male,Science,Natural resources and conservation,,4,5151,356,39,135,152,9,3236,126,237,861
3238,r068,All S&E graduate students -> Male -> Science -> Physical sciences,All S&E graduate students,Male,Science,Physical sciences,,4,27863,1620,52,1362,539,12,12003,562,759,10954
3238,r069,All S&E graduate students -> Male -> Science -> Psychology,All S&E graduate students,Male,Science,Psychology,,4,12915,1767,60,641,1122,19,7181,464,796,865
3238,r070,All S&E graduate students -> Male -> Science -> Social sciences,All S&E graduate students,Male,Science,Social sciences,,4,35806,2910,161,1409,2252,42,16407,841,1694,10090
3238,r071,All S&E graduate students -> Male -> Engineering,All S&E graduate students,Male,Engineering,,,3,121935,5861,142,7687,2834,52,36313,1726,2835,64485
3238,r072,"All S&E graduate students -> Male -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All S&E graduate students,Male,Engineering,"Aerospace, aeronautical, and astronautical engineering",,4,4865,317,12,345,74,2,2318,141,102,1554
3238,r073,All S&E graduate students -> Male -> Engineering -> Agricultural engineering,All S&E graduate students,Male,Engineering,Agricultural engineering,,4,631,21,0,34,11,0,206,17,9,333
3238,r074,All S&E graduate students -> Male -> Engineering -> Bioengineering and biomedical engineering,All S&E graduate students,Male,Engineering,Bioengineering and biomedical engineering,,4,6565,436,4,910,197,11,2569,154,208,2076
3238,r075,All S&E graduate students -> Male -> Engineering -> Biological and biosystems engineering,All S&E graduate students,Male,Engineering,Biological and biosystems engineering,,4,177,4,0,5,0,0,73,5,5,85
3238,r076,All S&E graduate students -> Male -> Engineering -> Chemical engineering,All S&E graduate students,Male,Engineering,Chemical engineering,,4,6837,247,5,479,124,1,2204,106,147,3524
3238,r077,All S&E graduate students -> Male -> Engineering -> Civil engineering,All S&E graduate students,Male,Engineering,Civil engineering,,4,13931,879,29,688,319,11,4061,184,283,7477
3238,r078,"All S&E graduate students -> Male -> Engineering -> Electrical, electronics, and communications engineering",All S&E graduate students,Male,Engineering,"Electrical, electronics, and communications engineering",,4,36089,1364,23,2220,726,11,7282,377,752,23334
3238,r079,"All S&E graduate students -> Male -> Engineering -> Engineering mechanics, physics, and science",All S&E graduate students,Male,Engineering,"Engineering mechanics, physics, and science",,4,1637,54,1,96,36,0,561,24,58,807
3238,r080,All S&E graduate students -> Male -> Engineering -> Industrial and manufacturing engineering,All S&E graduate students,Male,Engineering,Industrial and manufacturing engineering,,4,11585,557,12,731,363,5,3252,120,366,6179
3238,r081,All S&E graduate students -> Male -> Engineering -> Mechanical engineering,All S&E graduate students,Male,Engineering,Mechanical engineering,,4,22278,1138,30,1226,363,4,7113,306,490,11608
3238,r082,All S&E graduate students -> Male -> Engineering -> Metallurgical and materials engineering,All S&E graduate students,Male,Engineering,Metallurgical and materials engineering,,4,4622,227,8,262,87,1,1511,74,65,2387
3238,r083,All S&E graduate students -> Male -> Engineering -> Mining engineering,All S&E graduate students,Male,Engineering,Mining engineering,,4,397,17,1,4,15,1,203,6,7,143
3238,r084,All S&E graduate students -> Male -> Engineering -> Nanotechnology,All S&E graduate students,Male,Engineering,Nanotechnology,,4,84,7,0,11,1,0,35,4,3,23
3238,r085,All S&E graduate students -> Male -> Engineering -> Nuclear engineering,All S&E graduate students,Male,Engineering,Nuclear engineering,,4,1199,74,2,46,13,0,656,21,33,354
3238,r086,All S&E graduate students -> Male -> Engineering -> Petroleum engineering,All S&E graduate students,Male,Engineering,Petroleum engineering,,4,1131,34,1,42,21,0,192,11,25,805
3238,r087,All S&E graduate students -> Male -> Engineering -> Engineering nec,All S&E graduate students,Male,Engineering,Engineering nec,,4,9907,485,14,588,484,5,4077,176,282,3796
3238,r088,All S&E graduate students -> All S&E master's students,All S&E graduate students,All S&E master's students,,,,2,334391,26639,963,23691,20178,395,126074,7434,13488,115529
3238,r089,All S&E graduate students -> All S&E master's students -> Science,All S&E graduate students,All S&E master's students,Science,,,3,241327,21203,823,16933,17560,350,97081,5915,11184,70278
3238,r090,All S&E graduate students -> All S&E master's students -> Science -> Agricultural sciences,All S&E graduate students,All S&E master's students,Science,Agricultural sciences,,4,5658,457,22,140,248,11,3472,120,129,1059
3238,r091,All S&E graduate students -> All S&E master's students -> Science -> Biological and biomedical sciences,All S&E graduate students,All S&E master's students,Science,Biological and biomedical sciences,,4,35306,3454,103,3611,2827,98,17358,1093,2006,4756
3238,r092,All S&E graduate students -> All S&E master's students -> Science -> Computer and information sciences,All S&E graduate students,All S&E master's students,Science,Computer and information sciences,,4,77351,3320,90,7015,4558,58,17940,1215,2321,40834
3238,r093,"All S&E graduate students -> All S&E master's students -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All S&E graduate students,All S&E master's students,Science,"Geosciences, atmospheric sciences, and ocean sciences",,4,5629,454,28,164,140,7,3926,167,211,532
3238,r094,All S&E graduate students -> All S&E master's students -> Science -> Mathematics and statistics,All S&E graduate students,All S&E master's students,Science,Mathematics and statistics,,4,18073,958,43,1398,461,6,4951,240,593,9423
3238,r095,All S&E graduate students -> All S&E master's students -> Science -> Multidisciplinary and interdisciplinary studies,All S&E graduate students,All S&E master's students,Science,Multidisciplinary and interdisciplinary studies,,4,7414,654,22,641,554,17,3149,207,234,1936
3238,r096,All S&E graduate students -> All S&E master's students -> Science -> Natural resources and conservation,All S&E graduate students,All S&E master's students,Science,Natural resources and conservation,,4,7691,671,73,217,219,21,5148,255,347,740
3238,r097,All S&E graduate students -> All S&E master's students -> Science -> Physical sciences,All S&E graduate students,All S&E master's students,Science,Physical sciences,,4,6075,612,24,378,327,9,2603,161,212,1749
3238,r098,All S&E graduate students -> All S&E master's students -> Science -> Psychology,All S&E graduate students,All S&E master's students,Science,Psychology,,4,35404,5789,159,1525,3989,68,18423,1155,2801,1495
3238,r099,All S&E graduate students -> All S&E master's students -> Science -> Social sciences,All S&E graduate students,All S&E master's students,Science,Social sciences,,4,42726,4834,259,1844,4237,55,20111,1302,2330,7754
3238,r100,All S&E graduate students -> All S&E master's students -> Engineering,All S&E graduate students,All S&E master's students,Engineering,,,3,93064,5436,140,6758,2618,45,28993,1519,2304,45251
3238,r101,"All S&E graduate students -> All S&E master's students -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All S&E graduate students,All S&E master's students,Engineering,"Aerospace, aeronautical, and astronautical engineering",,4,3342,257,8,284,61,2,1769,113,76,772
3238,r102,All S&E graduate students -> All S&E master's students -> Engineering -> Agricultural engineering,All S&E graduate students,All S&E master's students,Engineering,Agricultural engineering,,4,371,14,0,22,7,0,192,12,10,114
3238,r103,All S&E graduate students -> All S&E master's students -> Engineering -> Bioengineering and biomedical engineering,All S&E graduate students,All S&E master's students,Engineering,Bioengineering and biomedical engineering,,4,4202,312,6,597,149,2,1480,109,111,1436
3238,r104,All S&E graduate students -> All S&E master's students -> Engineering -> Biological and biosystems engineering,All S&E graduate students,All S&E master's students,Engineering,Biological and biosystems engineering,,4,80,6,1,3,0,0,47,4,3,16
3238,r105,All S&E graduate students -> All S&E master's students -> Engineering -> Chemical engineering,All S&E graduate students,All S&E master's students,Engineering,Chemical engineering,,4,3061,122,2,247,76,1,793,46,79,1695
3238,r106,All S&E graduate students -> All S&E master's students -> Engineering -> Civil engineering,All S&E graduate students,All S&E master's students,Engineering,Civil engineering,,4,12729,1082,35,888,332,9,4571,233,284,5295
3238,r107,"All S&E graduate students -> All S&E master's students -> Engineering -> Electrical, electronics, and communications engineering",All S&E graduate students,All S&E master's students,Engineering,"Electrical, electronics, and communications engineering",,4,28108,1236,24,1944,585,13,5338,324,606,18038
3238,r108,"All S&E graduate students -> All S&E master's students -> Engineering -> Engineering mechanics, physics, and science",All S&E graduate students,All S&E master's students,Engineering,"Engineering mechanics, physics, and science",,4,729,28,1,42,22,0,319,15,43,259
3238,r109,All S&E graduate students -> All S&E master's students -> Engineering -> Industrial and manufacturing engineering,All S&E graduate students,All S&E master's students,Engineering,Industrial and manufacturing engineering,,4,12389,731,14,880,438,5,3590,148,404,6179
3238,r110,All S&E graduate students -> All S&E master's students -> Engineering -> Mechanical engineering,All S&E graduate students,All S&E master's students,Engineering,Mechanical engineering,,4,15434,959,23,1030,296,5,5543,267,357,6954
3238,r111,All S&E graduate students -> All S&E master's students -> Engineering -> Metallurgical and materials engineering,All S&E graduate students,All S&E master's students,Engineering,Metallurgical and materials engineering,,4,2079,109,4,139,56,1,693,37,42,998
3238,r112,All S&E graduate students -> All S&E master's students -> Engineering -> Mining engineering,All S&E graduate students,All S&E master's students,Engineering,Mining engineering,,4,316,14,5,5,14,1,180,6,6,85
3238,r113,All S&E graduate students -> All S&E master's students -> Engineering -> Nanotechnology,All S&E graduate students,All S&E master's students,Engineering,Nanotechnology,,4,47,7,0,7,4,0,19,3,1,6
3238,r114,All S&E graduate students -> All S&E master's students -> Engineering -> Nuclear engineering,All S&E graduate students,All S&E master's students,Engineering,Nuclear engineering,,4,407,35,0,16,7,0,245,7,11,86
3238,r115,All S&E graduate students -> All S&E master's students -> Engineering -> Petroleum engineering,All S&E graduate students,All S&E master's students,Engineering,Petroleum engineering,,4,754,40,1,36,13,0,166,12,16,470
3238,r116,All S&E graduate students -> All S&E master's students -> Engineering -> Engineering nec,All S&E graduate students,All S&E master's students,Engineering,Engineering nec,,4,9016,484,16,618,558,6,4048,183,255,2848
3238,r117,All S&E graduate students -> All S&E master's students -> Female ,All S&E graduate students,All S&E master's students,Female ,,,3,145939,13790,536,9929,11290,203,57330,3676,6814,42371
3238,r118,All S&E graduate students -> All S&E master's students -> Female  -> Science,All S&E graduate students,All S&E master's students,Female ,Science,,4,122914,12455,491,8072,10606,192,51061,3275,6306,30456
3238,r119,All S&E graduate students -> All S&E master's students -> Female  -> Science -> Agricultural sciences,All S&E graduate students,All S&E master's students,Female ,Science,Agricultural sciences,5,3210,259,13,92,155,4,2001,64,60,562
3238,r120,All S&E graduate students -> All S&E master's students -> Female  -> Science -> Biological and biomedical sciences,All S&E graduate students,All S&E master's students,Female ,Science,Biological and biomedical sciences,5,22062,2175,67,2129,1937,50,10668,680,1294,3062
3238,r121,All S&E graduate students -> All S&E master's students -> Female  -> Science -> Computer and information sciences,All S&E graduate students,All S&E master's students,Female ,Science,Computer and information sciences,5,24455,827,25,2230,1660,18,4025,371,769,14530
3238,r122,"All S&E graduate students -> All S&E master's students -> Female  -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All S&E graduate students,All S&E master's students,Female ,Science,"Geosciences, atmospheric sciences, and ocean sciences",5,2546,230,10,82,67,3,1756,89,94,215
3238,r123,All S&E graduate students -> All S&E master's students -> Female  -> Science -> Mathematics and statistics,All S&E graduate students,All S&E master's students,Female ,Science,Mathematics and statistics,5,7861,349,22,634,205,3,1784,82,232,4550
3238,r124,All S&E graduate students -> All S&E master's students -> Female  -> Science -> Multidisciplinary and interdisciplinary studies,All S&E graduate students,All S&E master's students,Female ,Science,Multidisciplinary and interdisciplinary studies,5,3972,382,11,336,335,12,1666,114,127,989
3238,r125,All S&E graduate students -> All S&E master's students -> Female  -> Science -> Natural resources and conservation,All S&E graduate students,All S&E master's students,Female ,Science,Natural resources and conservation,5,4303,409,40,125,122,13,2829,164,195,406
3238,r126,All S&E graduate students -> All S&E master's students -> Female  -> Science -> Physical sciences,All S&E graduate students,All S&E master's students,Female ,Science,Physical sciences,5,2326,232,11,167,185,3,964,52,75,637
3238,r127,All S&E graduate students -> All S&E master's students -> Female  -> Science -> Psychology,All S&E graduate students,All S&E master's students,Female ,Science,Psychology,5,28152,4698,130,1185,3236,55,14572,883,2222,1171
3238,r128,All S&E graduate students -> All S&E master's students -> Female  -> Science -> Social sciences,All S&E graduate students,All S&E master's students,Female ,Science,Social sciences,5,24027,2894,162,1092,2704,31,10796,776,1238,4334
3238,r129,All S&E graduate students -> All S&E master's students -> Female  -> Engineering,All S&E graduate students,All S&E master's students,Female ,Engineering,,4,23025,1335,45,1857,684,11,6269,401,508,11915
3238,r130,"All S&E graduate students -> All S&E master's students -> Female  -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All S&E graduate students,All S&E master's students,Female ,Engineering,"Aerospace, aeronautical, and astronautical engineering",5,582,32,2,59,13,0,281,17,13,165
3238,r131,All S&E graduate students -> All S&E master's students -> Female  -> Engineering -> Agricultural engineering,All S&E graduate students,All S&E master's students,Female ,Engineering,Agricultural engineering,5,136,5,0,8,5,0,70,4,4,40
3238,r132,All S&E graduate students -> All S&E master's students -> Female  -> Engineering -> Bioengineering and biomedical engineering,All S&E graduate students,All S&E master's students,Female ,Engineering,Bioengineering and biomedical engineering,5,1875,132,4,252,70,0,613,56,46,702
3238,r133,All S&E graduate students -> All S&E master's students -> Female  -> Engineering -> Biological and biosystems engineering,All S&E graduate students,All S&E master's students,Female ,Engineering,Biological and biosystems engineering,5,30,4,1,1,0,0,14,1,1,8
3238,r134,All S&E graduate students -> All S&E master's students -> Female  -> Engineering -> Chemical engineering,All S&E graduate students,All S&E master's students,Female ,Engineering,Chemical engineering,5,961,35,2,86,32,1,224,14,23,544
3238,r135,All S&E graduate students -> All S&E master's students -> Female  -> Engineering -> Civil engineering,All S&E graduate students,All S&E master's students,Female ,Engineering,Civil engineering,5,4002,353,12,338,94,1,1460,90,85,1569
3238,r136,"All S&E graduate students -> All S&E master's students -> Female  -> Engineering -> Electrical, electronics, and communications engineering",All S&E graduate students,All S&E master's students,Female ,Engineering,"Electrical, electronics, and communications engineering",5,6745,206,6,446,92,2,684,50,99,5160
3238,r137,"All S&E graduate students -> All S&E master's students -> Female  -> Engineering -> Engineering mechanics, physics, and science",All S&E graduate students,All S&E master's students,Female ,Engineering,"Engineering mechanics, physics, and science",5,165,6,0,11,5,0,66,4,0,73
3238,r138,All S&E graduate students -> All S&E master's students -> Female  -> Engineering -> Industrial and manufacturing engineering,All S&E graduate students,All S&E master's students,Female ,Engineering,Industrial and manufacturing engineering,5,3317,230,5,246,142,1,880,39,100,1674
3238,r139,All S&E graduate students -> All S&E master's students -> Female  -> Engineering -> Mechanical engineering,All S&E graduate students,All S&E master's students,Female ,Engineering,Mechanical engineering,5,2263,161,6,197,63,2,835,63,61,875
3238,r140,All S&E graduate students -> All S&E master's students -> Female  -> Engineering -> Metallurgical and materials engineering,All S&E graduate students,All S&E master's students,Female ,Engineering,Metallurgical and materials engineering,5,642,38,0,51,21,1,220,13,16,282
3238,r141,All S&E graduate students -> All S&E master's students -> Female  -> Engineering -> Mining engineering,All S&E graduate students,All S&E master's students,Female ,Engineering,Mining engineering,5,83,3,4,3,1,0,47,3,1,21
3238,r142,All S&E graduate students -> All S&E master's students -> Female  -> Engineering -> Nanotechnology,All S&E graduate students,All S&E master's students,Female ,Engineering,Nanotechnology,5,12,1,0,1,3,0,6,0,0,1
