table_id,row_id,_b_consortium_b_full_path,_b_consortium_b_level_1,_b_consortium_b_level_2,_b_consortium_b_hierarchy_depth,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
11249,r040,All consortia -> South Carolina Sea Grant Consortium,All consortia,South Carolina Sea Grant Consortium,2,1413,1660,1503,0,0,1557,1579,1146,1997
11249,r041,All consortia -> South Carolina Universities Research and Education Foundation,All consortia,South Carolina Universities Research and Education Foundation,2,0,0,0,0,0,0,0,1427,0
11249,r042,All consortia -> Southeastern Universities Research Association,All consortia,Southeastern Universities Research Association,2,1257,30,0,1050,0,0,38,13,0
11249,r043,All consortia -> Southwestern Ohio Council for Higher Education,All consortia,Southwestern Ohio Council for Higher Education,2,614,1525,1953,2118,1841,1720,0,1002,3194
11249,r044,All consortia -> SRCCO Inc.,All consortia,SRCCO Inc.,2,0,0,0,0,0,0,0,18434,19991
11249,r045,All consortia -> Stephenson Technologies Corp.,All consortia,Stephenson Technologies Corp.,2,0,0,0,0,130,0,4637,220,350
11249,r046,All consortia -> Texas Association of Developing Colleges,All consortia,Texas Association of Developing Colleges,2,0,0,0,0,0,0,95,0,0
11249,r047,"All consortia -> U. Alaska, Fairbanks",All consortia,"U. Alaska, Fairbanks",2,0,0,0,0,0,0,0,13480,0
11249,r048,All consortia -> U. Corp. for Atmospheric Research,All consortia,U. Corp. for Atmospheric Research,2,48674,41723,43898,65006,57831,62302,69517,35390,176701
11249,r049,All consortia -> U. Pennsylvania Linguistic Data Consortium,All consortia,U. Pennsylvania Linguistic Data Consortium,2,0,0,0,0,2259,0,2336,0,0
11249,r050,All consortia -> UNAVCO Inc.,All consortia,UNAVCO Inc.,2,13987,13713,14578,14659,13654,8579,14190,14809,15197
11249,r051,All consortia -> Universities Research Association,All consortia,Universities Research Association,2,217,170,170,164,113,90,0,113,96
11249,r052,All consortia -> West Virginia High Technology Consortium Foundation,All consortia,West Virginia High Technology Consortium Foundation,2,1626,1323,618,691,817,170,0,0,2000
11249,r053,All consortia -> Wild Fish Conservancy,All consortia,Wild Fish Conservancy,2,0,0,0,0,0,229,0,0,0
