table_id,row_id,occupation_disability_status_and_sex_full_path,occupation_disability_status_and_sex_level_1,occupation_disability_status_and_sex_level_2,occupation_disability_status_and_sex_level_3,occupation_disability_status_and_sex_level_4,occupation_disability_status_and_sex_level_5,occupation_disability_status_and_sex_level_6,occupation_disability_status_and_sex_hierarchy_depth,field_total,field_4_year_educational_institutiona_tenured,field_4_year_educational_institutiona_not_tenured_on_tenure_track,field_4_year_educational_institutiona_not_tenured_not_on_tenure_track,field_4_year_educational_institutiona_tenure_not_applicable,field_other_employment_sectors_other_educational_institutionb,field_other_employment_sectors_private_sector_for_profitc,field_other_employment_sectors_private_sector_nonprofit,field_other_employment_sectors_federal_government,field_other_employment_sectors_state_or_local_government,field_other_employment_sectors_self_employedd,field_other_employment_sectors_othere
3324,r011,All occupations -> S&E occupations<sup>f</sup> -> Without disability,All occupations,S&E occupations<sup>f</sup>,Without disability,,,,3,563000,114500,38350,36250,52700,16650,196800,31700,36600,11550,22450,5450
3324,r012,All occupations -> S&E occupations<sup>f</sup> -> With disability,All occupations,S&E occupations<sup>f</sup>,With disability,,,,3,50350,12950,3200,3150,5200,1900,13650,2650,3150,950,2950,600
3324,r013,All occupations -> S&E occupations<sup>f</sup> -> Female,All occupations,S&E occupations<sup>f</sup>,Female,,,,3,207700,36750,16200,15550,25550,9650,56350,13800,14850,4700,12450,1850
3324,r014,All occupations -> S&E occupations<sup>f</sup> -> Female -> Without disability,All occupations,S&E occupations<sup>f</sup>,Female,Without disability,,,4,192800,33100,14750,14550,23800,8800,53450,12800,14150,4300,11300,1750
3324,r015,All occupations -> S&E occupations<sup>f</sup> -> Female -> With disability,All occupations,S&E occupations<sup>f</sup>,Female,With disability,,,4,14900,3650,1450,1000,1750,800,2900,1000,750,400,1100,100
3324,r016,All occupations -> S&E occupations<sup>f</sup> -> Male,All occupations,S&E occupations<sup>f</sup>,Male,,,,3,405700,90700,25350,23850,32350,8900,154100,20550,24900,7800,12950,4200
3324,r017,All occupations -> S&E occupations<sup>f</sup> -> Male -> Without disability,All occupations,S&E occupations<sup>f</sup>,Male,Without disability,,,4,370200,81400,23600,21700,28900,7850,143300,18900,22500,7250,11100,3700
3324,r018,All occupations -> S&E occupations<sup>f</sup> -> Male -> With disability,All occupations,S&E occupations<sup>f</sup>,Male,With disability,,,4,35500,9300,1750,2150,3450,1100,10800,1650,2400,600,1850,500
3324,r019,All occupations -> S&E occupations<sup>f</sup> -> Scientist,All occupations,S&E occupations<sup>f</sup>,Scientist,,,,3,492750,108400,34900,34900,52200,18100,143100,29850,33300,10400,23250,4350
3324,r020,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Without disability,All occupations,S&E occupations<sup>f</sup>,Scientist,Without disability,,,4,451500,97450,32300,32050,47450,16250,133700,27550,30600,9650,20500,3950
3324,r021,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> With disability,All occupations,S&E occupations<sup>f</sup>,Scientist,With disability,,,4,41250,10950,2550,2850,4750,1900,9400,2250,2700,750,2750,400
3324,r022,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Female,All occupations,S&E occupations<sup>f</sup>,Scientist,Female,,,4,188700,34300,14700,14800,24300,9500,46300,13000,13900,4150,12250,1550
3324,r023,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Female -> Without disability,All occupations,S&E occupations<sup>f</sup>,Scientist,Female,Without disability,,5,174900,30800,13350,13850,22600,8700,43900,12100,13200,3800,11150,1450
3324,r024,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Female -> With disability,All occupations,S&E occupations<sup>f</sup>,Scientist,Female,With disability,,5,13800,3500,1350,950,1650,800,2400,900,700,300,1100,100
3324,r025,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Male,All occupations,S&E occupations<sup>f</sup>,Scientist,Male,,,4,304050,74100,20150,20100,27900,8600,96750,16850,19450,6300,11000,2800
3324,r026,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Male -> Without disability,All occupations,S&E occupations<sup>f</sup>,Scientist,Male,Without disability,,5,276550,66650,18950,18250,24850,7500,89800,15500,17450,5850,9350,2500
3324,r027,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Male -> With disability,All occupations,S&E occupations<sup>f</sup>,Scientist,Male,With disability,,5,27500,7450,1200,1900,3100,1050,7000,1350,2000,450,1650,300
3324,r028,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Biological/ life scientist,All occupations,S&E occupations<sup>f</sup>,Scientist,Biological/ life scientist,,,4,156650,27400,10450,15000,23800,4600,43000,10650,14550,3050,3350,900
3324,r029,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Biological/ life scientist -> Without disability,All occupations,S&E occupations<sup>f</sup>,Scientist,Biological/ life scientist,Without disability,,5,143950,24600,9600,13700,21950,4050,40250,10000,13300,2800,2950,800
3324,r030,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Biological/ life scientist -> With disability,All occupations,S&E occupations<sup>f</sup>,Scientist,Biological/ life scientist,With disability,,5,12750,2800,850,1300,1850,550,2750,650,1250,200,400,100
3324,r031,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Biological/ life scientist -> Female,All occupations,S&E occupations<sup>f</sup>,Scientist,Biological/ life scientist,Female,,5,66650,8200,4500,6450,12350,2650,18550,4700,6200,1250,1150,600
3324,r032,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Biological/ life scientist -> Female -> Without disability,All occupations,S&E occupations<sup>f</sup>,Scientist,Biological/ life scientist,Female,Without disability,6,62500,7550,4050,6050,11600,2450,17800,4400,5850,1150,1050,550
3324,r033,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Biological/ life scientist -> Female -> With disability,All occupations,S&E occupations<sup>f</sup>,Scientist,Biological/ life scientist,Female,With disability,6,4150,650,450,450,750,200,750,300,350,100,50,50
3324,r034,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Biological/ life scientist -> Male,All occupations,S&E occupations<sup>f</sup>,Scientist,Biological/ life scientist,Male,,5,90050,19200,5950,8550,11450,1900,24450,5950,8300,1800,2200,300
3324,r035,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Biological/ life scientist -> Male -> Without disability,All occupations,S&E occupations<sup>f</sup>,Scientist,Biological/ life scientist,Male,Without disability,6,81450,17050,5500,7700,10350,1600,22400,5600,7450,1700,1850,250
3324,r036,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Biological/ life scientist -> Male -> With disability,All occupations,S&E occupations<sup>f</sup>,Scientist,Biological/ life scientist,Male,With disability,6,8600,2150,450,850,1100,350,2000,350,900,100,350,50
3324,r037,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Computer and informational scientist,All occupations,S&E occupations<sup>f</sup>,Scientist,Computer and informational scientist,,,4,63000,6400,2700,1700,3300,550,41750,2600,1400,600,1250,850
3324,r038,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Computer and informational scientist -> Without disability,All occupations,S&E occupations<sup>f</sup>,Scientist,Computer and informational scientist,Without disability,,5,58700,5650,2550,1600,2900,500,39300,2400,1300,600,1100,800
3324,r039,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Computer and informational scientist -> With disability,All occupations,S&E occupations<sup>f</sup>,Scientist,Computer and informational scientist,With disability,,5,4300,700,150,100,400,S,2450,200,100,,100,
3324,r040,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Computer and informational scientist -> Female,All occupations,S&E occupations<sup>f</sup>,Scientist,Computer and informational scientist,Female,,5,10350,1150,600,300,700,100,6100,650,300,150,100,200
3324,r041,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Computer and informational scientist -> Female -> Without disability,All occupations,S&E occupations<sup>f</sup>,Scientist,Computer and informational scientist,Female,Without disability,6,9800,1000,600,250,650,100,5800,650,300,150,100,200
3324,r042,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Computer and informational scientist -> Female -> With disability,All occupations,S&E occupations<sup>f</sup>,Scientist,Computer and informational scientist,Female,With disability,6,550,100,,,,,300,,,,,
3324,r043,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Computer and informational scientist -> Male,All occupations,S&E occupations<sup>f</sup>,Scientist,Computer and informational scientist,Male,,5,52650,5250,2100,1400,2650,400,35650,1950,1100,450,1100,650
3324,r044,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Computer and informational scientist -> Male -> Without disability,All occupations,S&E occupations<sup>f</sup>,Scientist,Computer and informational scientist,Male,Without disability,6,48950,4650,1950,1350,2250,400,33500,1800,1000,450,1000,600
3324,r045,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Computer and informational scientist -> Male -> With disability,All occupations,S&E occupations<sup>f</sup>,Scientist,Computer and informational scientist,Male,With disability,6,3750,600,150,S,350,,2150,150,100,,100,
3324,r046,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Mathematical scientist,All occupations,S&E occupations<sup>f</sup>,Scientist,Mathematical scientist,,,4,41400,12100,3050,3100,3350,1350,13700,1900,1850,500,300,200
3324,r047,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Mathematical scientist -> Without disability,All occupations,S&E occupations<sup>f</sup>,Scientist,Mathematical scientist,Without disability,,5,38300,11200,2850,2850,3000,1200,12800,1800,1800,450,300,150
3324,r048,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Mathematical scientist -> With disability,All occupations,S&E occupations<sup>f</sup>,Scientist,Mathematical scientist,With disability,,5,3150,950,200,300,350,150,900,150,50,,,S
3324,r049,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Mathematical scientist -> Female,All occupations,S&E occupations<sup>f</sup>,Scientist,Mathematical scientist,Female,,5,12450,2600,1000,1150,1400,500,4200,600,750,150,S,50
3324,r050,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Mathematical scientist -> Female -> Without disability,All occupations,S&E occupations<sup>f</sup>,Scientist,Mathematical scientist,Female,Without disability,6,11300,2300,850,1050,1200,450,3900,550,750,150,S,50
3324,r051,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Mathematical scientist -> Female -> With disability,All occupations,S&E occupations<sup>f</sup>,Scientist,Mathematical scientist,Female,With disability,6,1150,300,150,100,200,S,300,,,,,
3324,r052,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Mathematical scientist -> Male,All occupations,S&E occupations<sup>f</sup>,Scientist,Mathematical scientist,Male,,5,28950,9550,2000,2000,1950,850,9500,1350,1100,350,200,150
3324,r053,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Mathematical scientist -> Male -> Without disability,All occupations,S&E occupations<sup>f</sup>,Scientist,Mathematical scientist,Male,Without disability,6,27000,8900,2000,1800,1800,750,8900,1250,1100,300,200,S
3324,r054,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Mathematical scientist -> Male -> With disability,All occupations,S&E occupations<sup>f</sup>,Scientist,Mathematical scientist,Male,With disability,6,1950,650,,200,150,S,600,100,S,,,
3324,r055,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Physical scientist,All occupations,S&E occupations<sup>f</sup>,Scientist,Physical scientist,,,4,84550,20200,6300,5750,9700,4350,22700,4400,6800,2000,1300,950
3324,r056,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Physical scientist -> Without disability,All occupations,S&E occupations<sup>f</sup>,Scientist,Physical scientist,Without disability,,5,77400,18550,5900,5300,8750,3900,21050,3900,6150,1950,1100,850
3324,r057,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Physical scientist -> With disability,All occupations,S&E occupations<sup>f</sup>,Scientist,Physical scientist,With disability,,5,7150,1650,400,450,950,450,1650,500,650,50,200,100
3324,r058,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Physical scientist -> Female,All occupations,S&E occupations<sup>f</sup>,Scientist,Physical scientist,Female,,5,20650,4700,1950,1700,2550,1750,4600,900,1750,400,150,200
3324,r059,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Physical scientist -> Female -> Without disability,All occupations,S&E occupations<sup>f</sup>,Scientist,Physical scientist,Female,Without disability,6,19100,4250,1750,1550,2350,1600,4350,850,1650,400,150,200
3324,r060,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Physical scientist -> Female -> With disability,All occupations,S&E occupations<sup>f</sup>,Scientist,Physical scientist,Female,With disability,6,1550,450,200,100,200,200,200,50,100,,,
3324,r061,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Physical scientist -> Male,All occupations,S&E occupations<sup>f</sup>,Scientist,Physical scientist,Male,,5,63850,15550,4350,4100,7100,2600,18150,3500,5050,1600,1150,750
3324,r062,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Physical scientist -> Male -> Without disability,All occupations,S&E occupations<sup>f</sup>,Scientist,Physical scientist,Male,Without disability,6,58300,14300,4150,3750,6350,2350,16700,3050,4500,1550,900,650
3324,r063,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Physical scientist -> Male -> With disability,All occupations,S&E occupations<sup>f</sup>,Scientist,Physical scientist,Male,With disability,6,5600,1200,200,300,750,300,1450,450,550,50,200,100
3324,r064,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Psychologist,All occupations,S&E occupations<sup>f</sup>,Scientist,Psychologist,,,4,77600,12150,4200,3400,6150,4700,16350,6600,5200,2750,15550,500
3324,r065,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Psychologist -> Without disability,All occupations,S&E occupations<sup>f</sup>,Scientist,Psychologist,Without disability,,5,70650,10850,3850,3250,5650,4500,14950,6100,4850,2450,13750,500
3324,r066,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Psychologist -> With disability,All occupations,S&E occupations<sup>f</sup>,Scientist,Psychologist,With disability,,5,6950,1350,350,150,500,200,1400,500,350,300,1800,
3324,r067,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Psychologist -> Female,All occupations,S&E occupations<sup>f</sup>,Scientist,Psychologist,Female,,5,47850,6300,2500,2300,4200,3150,10050,4150,3250,1600,10100,300
3324,r068,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Psychologist -> Female -> Without disability,All occupations,S&E occupations<sup>f</sup>,Scientist,Psychologist,Female,Without disability,6,44350,5600,2350,2200,4000,3000,9300,3850,3100,1450,9150,250
3324,r069,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Psychologist -> Female -> With disability,All occupations,S&E occupations<sup>f</sup>,Scientist,Psychologist,Female,With disability,6,3500,700,150,50,200,150,750,300,100,150,950,
3324,r070,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Psychologist -> Male,All occupations,S&E occupations<sup>f</sup>,Scientist,Psychologist,Male,,5,29800,5850,1700,1100,1950,1550,6300,2450,2000,1150,5500,250
3324,r071,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Psychologist -> Male -> Without disability,All occupations,S&E occupations<sup>f</sup>,Scientist,Psychologist,Male,Without disability,6,26350,5200,1500,1000,1600,1500,5650,2250,1700,1000,4600,250
3324,r072,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Psychologist -> Male -> With disability,All occupations,S&E occupations<sup>f</sup>,Scientist,Psychologist,Male,With disability,6,3450,650,200,S,350,S,650,200,250,,850,
3324,r073,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Social scientist,All occupations,S&E occupations<sup>f</sup>,Scientist,Social scientist,,,4,69500,30150,8200,5950,5900,2550,5600,3650,3500,1550,1550,900
3324,r074,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Social scientist -> Without disability,All occupations,S&E occupations<sup>f</sup>,Scientist,Social scientist,Without disability,,5,62500,26650,7600,5350,5250,2100,5350,3400,3200,1400,1300,850
3324,r075,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Social scientist -> With disability,All occupations,S&E occupations<sup>f</sup>,Scientist,Social scientist,With disability,,5,7000,3500,550,550,650,450,250,250,300,S,250,50
3324,r076,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Social scientist -> Female,All occupations,S&E occupations<sup>f</sup>,Scientist,Social scientist,Female,,5,30750,11400,4150,2950,3050,1350,2850,1950,1650,600,650,250
3324,r077,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Social scientist -> Female -> Without disability,All occupations,S&E occupations<sup>f</sup>,Scientist,Social scientist,Female,Without disability,6,27900,10050,3750,2750,2750,1150,2750,1800,1500,550,550,200
3324,r078,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Social scientist -> Female -> With disability,All occupations,S&E occupations<sup>f</sup>,Scientist,Social scientist,Female,With disability,6,2850,1300,400,200,300,150,100,150,100,,100,
3324,r079,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Social scientist -> Male,All occupations,S&E occupations<sup>f</sup>,Scientist,Social scientist,Male,,5,38750,18750,4050,3000,2850,1250,2750,1700,1900,950,900,700
3324,r080,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Social scientist -> Male -> Without disability,All occupations,S&E occupations<sup>f</sup>,Scientist,Social scientist,Male,Without disability,6,34600,16550,3850,2650,2500,950,2600,1600,1700,850,750,650
3324,r081,All occupations -> S&E occupations<sup>f</sup> -> Scientist -> Social scientist -> Male -> With disability,All occupations,S&E occupations<sup>f</sup>,Scientist,Social scientist,Male,With disability,6,4150,2200,200,400,350,300,100,150,200,,150,50
3324,r082,All occupations -> S&E occupations<sup>f</sup> -> Engineer,All occupations,S&E occupations<sup>f</sup>,Engineer,,,,3,120650,19050,6650,4550,5650,450,67350,4550,6450,2100,2150,1700
3324,r083,All occupations -> S&E occupations<sup>f</sup> -> Engineer -> Without disability,All occupations,S&E occupations<sup>f</sup>,Engineer,Without disability,,,4,111550,17050,6000,4200,5250,400,63100,4150,6000,1900,1950,1450
3324,r084,All occupations -> S&E occupations<sup>f</sup> -> Engineer -> With disability,All occupations,S&E occupations<sup>f</sup>,Engineer,With disability,,,4,9100,2000,650,350,450,,4250,400,400,200,200,200
3324,r085,All occupations -> S&E occupations<sup>f</sup> -> Engineer -> Female,All occupations,S&E occupations<sup>f</sup>,Engineer,Female,,,4,19000,2450,1500,800,1250,100,10050,850,1000,550,200,300
3324,r086,All occupations -> S&E occupations<sup>f</sup> -> Engineer -> Female -> Without disability,All occupations,S&E occupations<sup>f</sup>,Engineer,Female,Without disability,,5,17900,2300,1350,700,1200,100,9550,750,950,500,200,300
3324,r087,All occupations -> S&E occupations<sup>f</sup> -> Engineer -> Female -> With disability,All occupations,S&E occupations<sup>f</sup>,Engineer,Female,With disability,,5,1100,150,100,50,50,,450,100,,S,,
3324,r088,All occupations -> S&E occupations<sup>f</sup> -> Engineer -> Male,All occupations,S&E occupations<sup>f</sup>,Engineer,Male,,,4,101600,16600,5200,3750,4400,300,57300,3700,5450,1550,1950,1400
3324,r089,All occupations -> S&E occupations<sup>f</sup> -> Engineer -> Male -> Without disability,All occupations,S&E occupations<sup>f</sup>,Engineer,Male,Without disability,,5,93600,14750,4650,3500,4050,300,53550,3400,5050,1400,1800,1150
3324,r090,All occupations -> S&E occupations<sup>f</sup> -> Engineer -> Male -> With disability,All occupations,S&E occupations<sup>f</sup>,Engineer,Male,With disability,,5,8000,1850,500,250,350,,3800,300,400,150,150,200
3324,r091,All occupations -> S&E-related occupations<sup>g</sup>,All occupations,S&E-related occupations<sup>g</sup>,,,,,2,92350,12800,6250,6600,10150,5950,29050,9950,4750,2900,2750,1200
3324,r092,All occupations -> S&E-related occupations<sup>g</sup> -> Without disability,All occupations,S&E-related occupations<sup>g</sup>,Without disability,,,,3,85150,11250,5800,6100,9450,5550,27050,9300,4350,2650,2450,1150
3324,r093,All occupations -> S&E-related occupations<sup>g</sup> -> With disability,All occupations,S&E-related occupations<sup>g</sup>,With disability,,,,3,7200,1600,450,500,700,400,2000,600,400,250,300,
3324,r094,All occupations -> S&E-related occupations<sup>g</sup> -> Female,All occupations,S&E-related occupations<sup>g</sup>,Female,,,,3,40750,6350,3850,3400,5100,2850,9150,4700,1850,1400,1350,800
3324,r095,All occupations -> S&E-related occupations<sup>g</sup> -> Female -> Without disability,All occupations,S&E-related occupations<sup>g</sup>,Female,Without disability,,,4,37650,5600,3550,3200,4800,2600,8600,4350,1600,1350,1200,750
3324,r096,All occupations -> S&E-related occupations<sup>g</sup> -> Female -> With disability,All occupations,S&E-related occupations<sup>g</sup>,Female,With disability,,,4,3100,700,300,250,300,200,550,350,200,S,150,
3324,r097,All occupations -> S&E-related occupations<sup>g</sup> -> Male,All occupations,S&E-related occupations<sup>g</sup>,Male,,,,3,51600,6500,2350,3150,5100,3150,19900,5250,2900,1500,1400,400
3324,r098,All occupations -> S&E-related occupations<sup>g</sup> -> Male -> Without disability,All occupations,S&E-related occupations<sup>g</sup>,Male,Without disability,,,4,47500,5600,2250,2900,4700,2950,18500,4950,2750,1300,1250,400
3324,r099,All occupations -> S&E-related occupations<sup>g</sup> -> Male -> With disability,All occupations,S&E-related occupations<sup>g</sup>,Male,With disability,,,4,4100,850,150,250,400,200,1450,300,150,200,150,
3324,r100,All occupations -> Non-S&E occupations<sup>h</sup>,All occupations,Non-S&E occupations<sup>h</sup>,,,,,2,151500,20250,3100,6150,12800,6400,68050,11600,5650,3400,12600,1550
3324,r101,All occupations -> Non-S&E occupations<sup>h</sup> -> Without disability,All occupations,Non-S&E occupations<sup>h</sup>,Without disability,,,,3,138750,18400,2950,5600,11700,5800,62800,10750,5100,3000,11250,1400
3324,r102,All occupations -> Non-S&E occupations<sup>h</sup> -> With disability,All occupations,Non-S&E occupations<sup>h</sup>,With disability,,,,3,12750,1850,150,550,1100,600,5250,850,550,400,1350,150
3324,r103,All occupations -> Non-S&E occupations<sup>h</sup> -> Female,All occupations,Non-S&E occupations<sup>h</sup>,Female,,,,3,62750,7300,1500,3550,7400,4150,22750,6300,2250,1800,5200,500
3324,r104,All occupations -> Non-S&E occupations<sup>h</sup> -> Female -> Without disability,All occupations,Non-S&E occupations<sup>h</sup>,Female,Without disability,,,4,57950,6650,1400,3200,6900,3850,21150,5850,2050,1600,4750,500
3324,r105,All occupations -> Non-S&E occupations<sup>h</sup> -> Female -> With disability,All occupations,Non-S&E occupations<sup>h</sup>,Female,With disability,,,4,4800,650,100,350,500,300,1600,450,200,200,450,
3324,r106,All occupations -> Non-S&E occupations<sup>h</sup> -> Male,All occupations,Non-S&E occupations<sup>h</sup>,Male,,,,3,88750,12950,1600,2650,5350,2250,45300,5350,3350,1600,7400,1050
3324,r107,All occupations -> Non-S&E occupations<sup>h</sup> -> Male -> Without disability,All occupations,Non-S&E occupations<sup>h</sup>,Male,Without disability,,,4,80800,11750,1500,2450,4800,1950,41650,4900,3050,1400,6500,900
3324,r108,All occupations -> Non-S&E occupations<sup>h</sup> -> Male -> With disability,All occupations,Non-S&E occupations<sup>h</sup>,Male,With disability,,,4,7950,1200,50,200,550,300,3650,400,350,200,900,150
