table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_all_companies,field_1_4_employees,field_5_9_employees,field_10_19_employees,field_20_49_employees,field_50_99_employees,field_100_249_employees,field_250_499_employees,field_500_999_employees,field_1_000_4_999_employees,field_5_000_9_999_employees,field_10_000_24_999_employees,field_25_000_or_more_employees
7471,r041,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['1,433,422,087', '&nbsp;']","['59,195,587', '&nbsp;']","['41,558,054', '&nbsp;']","['64,652,735', '&nbsp;']","['188,449,509', '&nbsp;']","['117,688,409', '&nbsp;']","['202,177,198', '&nbsp;']","['54,733,208', '&nbsp;']","['48,631,525', '&nbsp;']","['115,404,064', '&nbsp;']","['101,157,405', '&nbsp;']","['75,580,157', '&nbsp;']","['364,194,237', '&nbsp;']"
7471,r042,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['1,432,128,141', '&nbsp;']","['16,463,306', '&nbsp;']","['14,454,158', '&nbsp;']","['32,606,930', '&nbsp;']","['34,742,549', '&nbsp;']","['42,378,740', '&nbsp;']","['46,593,590', '&nbsp;']","['75,321,538', '&nbsp;']","['62,304,393', '&nbsp;']","['225,501,562', '&nbsp;']","['76,741,852', '&nbsp;']","['110,699,666', '&nbsp;']","['694,319,857', '&nbsp;']"
7471,r043,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['364,710,246', '&nbsp;']","['4,465,590', '&nbsp;']","['4,499,918', '&nbsp;']","['8,696,930', '&nbsp;']","['12,462,559', '&nbsp;']","['6,877,142', '&nbsp;']","['12,887,383', '&nbsp;']","['34,187,591', '&nbsp;']","['11,432,060', '&nbsp;']","['47,268,984', '&nbsp;']","['38,062,630', '&nbsp;']","['50,254,277', '&nbsp;']","['133,615,180', '&nbsp;']"
7471,r044,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['49,375,599', '&nbsp;']","['2,848,924', '&nbsp;']","['2,794,084', '&nbsp;']","['4,803,123', '&nbsp;']","['4,507,951', '&nbsp;']","['2,152,663', '&nbsp;']","['6,194,955', '&nbsp;']","['1,946,378', '&nbsp;']","['2,805,382', '&nbsp;']","['8,932,962', '&nbsp;']","['12,389,176', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7471,r045,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['315,334,647', '&nbsp;']","['1,616,666', '&nbsp;']","['1,705,835', '&nbsp;']","['3,893,808', '&nbsp;']","['7,954,607', '&nbsp;']","['4,724,479', '&nbsp;']","['6,692,428', '&nbsp;']","['32,241,212', '&nbsp;']","['8,626,679', '&nbsp;']","['38,336,022', '&nbsp;']","['25,673,454', '&nbsp;']","['50,254,277', '&nbsp;']","['133,615,180', '&nbsp;']"
7471,r046,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['605,128,337', '&nbsp;']","['1,986,924', '&nbsp;']","['4,313,225', 'r']","['2,924,059', '&nbsp;']","['6,172,457', '&nbsp;']","['10,004,275', '&nbsp;']","['10,202,174', '&nbsp;']","['2,886,203', '&nbsp;']","['16,291,634', '&nbsp;']","['27,740,003', '&nbsp;']","['6,453,157', '&nbsp;']","['29,868,695', '&nbsp;']","['486,285,531', '&nbsp;']"
7471,r047,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['206,165,068', '&nbsp;']","['2,073,935', '&nbsp;']","['1,562,290', '&nbsp;']","['2,162,673', '&nbsp;']","['4,232,466', '&nbsp;']","['5,674,124', '&nbsp;']","['16,126,624', '&nbsp;']","['22,616,879', '&nbsp;']","['22,274,819', '&nbsp;']","['122,373,384', '&nbsp;']","['2,301,698', '&nbsp;']","['4,766,177', '&nbsp;']","['0', '&nbsp;']"
7471,r048,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['256,124,490', '&nbsp;']","['7,936,856', '&nbsp;']","['4,078,725', '&nbsp;']","['18,823,268', 'r']","['11,875,067', '&nbsp;']","['19,823,199', 'r']","['7,377,409', '&nbsp;']","['15,630,866', '&nbsp;']","['12,305,879', '&nbsp;']","['28,119,191', '&nbsp;']","['29,924,367', '&nbsp;']","['25,810,517', '&nbsp;']","['74,419,146', '&nbsp;']"
7471,r049,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['2,963,061,998', '&nbsp;']","['101,518,391', '&nbsp;']","['58,221,628', '&nbsp;']","['97,460,694', '&nbsp;']","['40,928,170', '&nbsp;']","['71,426,673', '&nbsp;']","['69,310,867', '&nbsp;']","['65,069,589', '&nbsp;']","['120,244,127', '&nbsp;']","['447,917,935', '&nbsp;']","['431,741,159', '&nbsp;']","['377,627,400', '&nbsp;']","['1,081,595,365', '&nbsp;']"
7471,r050,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['702,732,930', '&nbsp;']","['112,619,998', '&nbsp;']","['55,787,833', '&nbsp;']","['41,131,161', '&nbsp;']","['98,923,792', '&nbsp;']","['116,978,087', 'r']","['30,122,141', '&nbsp;']","['27,485,250', '&nbsp;']","['51,393,321', '&nbsp;']","['64,777,185', '&nbsp;']","['11,628,212', '&nbsp;']","['62,764,459', '&nbsp;']","['29,121,489', '&nbsp;']"
