table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_companiesa_number_,field_domestic_r_d_amount,field_nanotechnology_r_d_total_companiesb_number_,field_nanotechnology_r_d_total_amount,field_nanotechnology_r_d_paid_for_by_the_company_companiesb_number_,field_nanotechnology_r_d_paid_for_by_the_company_amount,field_nanotechnology_r_d_paid_for_by_others_companiesb_number_,field_nanotechnology_r_d_paid_for_by_others_amount
9666,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['40', '  ']","['1,623', '  ']","['10', 'i ']","['*', 'i ']","['10', 'i ']","['*', 'i ']","['0', '  ']","['0', '  ']"
9666,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank components",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank components",,4,336992,"['20', 'r ']","['21 - 25', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9666,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['220', '  ']","['2,875 - 2,880', '  ']","['10', '  ']","['1', '  ']","['10', '  ']","['0 - 2', '  ']","['10', '  ']","['0 - 2', '  ']"
9666,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['230', '  ']","['426', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9666,r043,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['1,450', '  ']","['21,133', '  ']","['70', 'i ']","['525 - 534', '  ']","['60', 'i ']","['520', '  ']","['20', 'i ']","['5 - 14', '  ']"
9666,r044,All industries -> Manufacturing industries -> Miscellaneous -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous,Medical equipment and supplies,,4,3391,"['820', '  ']","['18,438', '  ']","['60', 'i ']","['477', '  ']","['60', 'i ']","['471', '  ']","['20', 'i ']","['6', '  ']"
9666,r045,All industries -> Manufacturing industries -> Miscellaneous -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous,Other miscellaneous manufacturing,,4,3399,"['640', '  ']","['2,695', '  ']","['10', '  ']","['48 - 57', 'i ']","['10', '  ']","['49', 'i ']","['10', '  ']","['0 - 9', '  ']"
9666,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['15,880', '  ']","['276,439', '  ']","['290', 'i ']","['4,913', 'i ']","['220', 'i ']","['4,276', 'i ']","['100', 'i ']","['638', 'i ']"
9666,r047,"All industries -> Nonmanufacturing industries -> Mining, quarrying, oil and gas extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, quarrying, oil and gas extraction, and support activities",,,3,21,"['180', 'i ']","['1,260 - 1,334', '  ']","['10', '  ']","['2', '  ']","['10', '  ']","['1', '  ']","['10', '  ']","['1', '  ']"
9666,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['40', '  ']","['168 - 17,997', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9666,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['1,810', '  ']","['1,745 - 1,855', 'i ']","['10', 'i ']","['2', 'i ']","['10', 'i ']","['2', 'i ']","['0', '  ']","['0', '  ']"
9666,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['180', '  ']","['5,936 - 24,040', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9666,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['80', '  ']","['7,208', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9666,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['3,450', '  ']","['147,855', '  ']","['20', 'i ']","['3,417', 'i ']","['20', 'i ']","['3,417', 'i ']","['0', '  ']","['0', '  ']"
9666,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['1,420', '  ']","['39,152', '  ']","['20', 'i ']","['3,365', 'i ']","['20', 'i ']","['3,365', 'i ']","['0', '  ']","['0', '  ']"
9666,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['60', '  ']","['103', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9666,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['1,370', '  ']","['39,049', '  ']","['20', 'i ']","['3,365', 'i ']","['20', 'i ']","['3,365', 'i ']","['0', '  ']","['0', '  ']"
9666,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['170', '  ']","['3,835', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9666,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['1,700', '  ']","['45,192', '  ']","['10', 'i ']","['51', '  ']","['10', 'i ']","['51', '  ']","['0', '  ']","['0', '  ']"
9666,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['180', '  ']","['59,676', '  ']","['10', '  ']","['2', '  ']","['10', '  ']","['2', '  ']","['0', '  ']","['0', '  ']"
9666,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['530', 'r ']","['20,947', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9666,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['50', '  ']","['2,096', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9666,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['10', '  ']","['5 - 8', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9666,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['40', '  ']","['2,088 - 2,091', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9666,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['7,050', '  ']","['66,496', '  ']","['260', 'i ']","['1,458', 'i ']","['190', 'i ']","['821', 'i ']","['100', 'i ']","['637', 'i ']"
9666,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['1,430', '  ']","['4,560', '  ']","['60', 'i ']","['37', 'i ']","['50', 'i ']","['31', '  ']","['10', '  ']","['6', 'i ']"
9666,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['3,390', '  ']","['20,409', '  ']","['40', 'i ']","['758', 'i ']","['30', 'i ']","['475', '  ']","['20', 'i ']","['283', 'i ']"
9666,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['1,370', '  ']","['34,142', 'i ']","['150', 'i ']","['518', 'i ']","['110', 'i ']","['182', 'i ']","['70', 'i ']","['337', 'i ']"
9666,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in nanotechnology",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in nanotechnology,5,541713,"['70', '  ']","['228', '  ']","['60', 'i ']","['156', 'i ']","['50', 'i ']","['127', 'i ']","['20', '  ']","['29', '  ']"
9666,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in biotechnology (except nanobiotechnology)",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in biotechnology (except nanobiotechnology),5,541714,"['310', '  ']","['9,039', '  ']","['20', '  ']","['10', '  ']","['10', '  ']","['4', '  ']","['10', '  ']","['6', '  ']"
