table_id,row_id,field_of_study_and_160_primary_160_work_160_activity_full_path,field_of_study_and_160_primary_160_work_160_activity_level_1,field_of_study_and_160_primary_160_work_160_activity_level_2,field_of_study_and_160_primary_160_work_160_activity_level_3,field_of_study_and_160_primary_160_work_160_activity_level_4,field_of_study_and_160_primary_160_work_160_activity_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_secondary_work_activity_computer_applications_number,field_secondary_work_activity_computer_applications_se,field_secondary_work_activity_design_number,field_secondary_work_activity_design_se,field_secondary_work_activity_management_sales_or_administrationa_number,field_secondary_work_activity_management_sales_or_administrationa_se,field_secondary_work_activity_r_db_number,field_secondary_work_activity_r_db_se,field_secondary_work_activity_teaching_number,field_secondary_work_activity_teaching_se,field_secondary_work_activity_otherc_number,field_secondary_work_activity_otherc_se,field_secondary_work_activity_none_number,field_secondary_work_activity_none_se
8202,r013,All fields -> Science -> Teaching,All fields,Science,Teaching,,3,108150,1550,2200,225,400,100,23800,750,61000,1200,na,na,5850,400,14950,625
8202,r014,All fields -> Science -> U.S. territories and other areas,All fields,Science,U.S. territories and other areas,,3,19000,775,150,50,150,75,6350,450,4150,325,4850,350,600,175,2750,375
8202,r015,"All fields -> Science -> Biological, agricultural, and environmental life sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",,3,95500,1375,2550,275,1500,225,28900,925,34250,925,14600,625,4350,375,9350,550
8202,r016,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Computer applications",All fields,Science,"Biological, agricultural, and environmental life sciences",Computer applications,4,650,125,na,na,,,100,50,400,100,,,,,50,50
8202,r017,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Design",All fields,Science,"Biological, agricultural, and environmental life sciences",Design,4,250,100,,,na,na,50,25,100,75,,,,,,
8202,r018,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Management and administration",All fields,Science,"Biological, agricultural, and environmental life sciences",Management and administration,4,13200,575,S,S,250,100,3900,325,5500,450,2300,225,700,125,300,75
8202,r019,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Research and development",All fields,Science,"Biological, agricultural, and environmental life sciences",Research and development,4,47250,1000,2200,250,1050,175,15200,675,12550,625,9950,550,1900,250,4400,350
8202,r020,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Teaching",All fields,Science,"Biological, agricultural, and environmental life sciences",Teaching,4,25450,825,50,50,,,7050,475,13350,550,na,na,1550,225,3350,300
8202,r021,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> U.S. territories and other areas",All fields,Science,"Biological, agricultural, and environmental life sciences",U.S. territories and other areas,4,8650,475,50,50,,,2600,225,2300,250,2350,250,S,S,1250,250
8202,r022,All fields -> Science -> Computer and information sciences,All fields,Science,Computer and information sciences,,3,11850,450,1250,200,150,50,2150,250,4600,375,2600,300,250,100,850,175
8202,r023,All fields -> Science -> Computer and information sciences -> Computer applications,All fields,Science,Computer and information sciences,Computer applications,4,400,100,na,na,,,,,200,75,,,,,50,25
8202,r024,All fields -> Science -> Computer and information sciences -> Design,All fields,Science,Computer and information sciences,Design,4,S,S,,,na,na,,,,,,,,,,
8202,r025,All fields -> Science -> Computer and information sciences -> Management and administration,All fields,Science,Computer and information sciences,Management and administration,4,1250,200,,,,,300,75,400,100,500,150,,,,
8202,r026,All fields -> Science -> Computer and information sciences -> Research and development,All fields,Science,Computer and information sciences,Research and development,4,4500,325,450,125,S,S,750,200,1150,200,2000,250,S,S,100,50
8202,r027,All fields -> Science -> Computer and information sciences -> Teaching,All fields,Science,Computer and information sciences,Teaching,4,5200,325,750,150,S,S,950,150,2750,275,na,na,150,75,550,150
8202,r028,All fields -> Science -> Computer and information sciences -> U.S. territories and other areas,All fields,Science,Computer and information sciences,U.S. territories and other areas,4,450,125,,,,,150,75,S,S,S,S,,,100,50
8202,r029,All fields -> Science -> Mathematics and statistics,All fields,Science,Mathematics and statistics,,3,20250,625,1200,200,100,50,3350,300,7800,425,4950,400,750,125,2150,200
8202,r030,All fields -> Science -> Mathematics and statistics -> Computer applications,All fields,Science,Mathematics and statistics,Computer applications,4,200,75,na,na,,,,,150,75,,,,,,
8202,r031,All fields -> Science -> Mathematics and statistics -> Design,All fields,Science,Mathematics and statistics,Design,4,,,,,na,na,,,,,,,,,,
8202,r032,All fields -> Science -> Mathematics and statistics -> Management and administration,All fields,Science,Mathematics and statistics,Management and administration,4,1400,225,,,,,550,175,250,75,550,125,,,,
8202,r033,All fields -> Science -> Mathematics and statistics -> Research and development,All fields,Science,Mathematics and statistics,Research and development,4,6950,425,450,150,0.05,0.05,600,150,1150,200,4250,375,,,350,100
8202,r034,All fields -> Science -> Mathematics and statistics -> Teaching,All fields,Science,Mathematics and statistics,Teaching,4,11250,425,750,150,,,2000,225,6200,350,na,na,600,100,1650,175
8202,r035,All fields -> Science -> Mathematics and statistics -> U.S. territories and other areas,All fields,Science,Mathematics and statistics,U.S. territories and other areas,4,450,125,,,,,200,100,S,S,100,50,,,,
8202,r036,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",,3,45900,1025,2550,275,1350,225,10450,450,17850,725,7900,475,1400,200,4400,350
8202,r037,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Computer applications",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Computer applications,4,700,175,na,na,S,S,100,50,450,150,,,,,S,S
8202,r038,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Design",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Design,4,250,75,,,na,na,100,50,100,50,,,,,,
8202,r039,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Management and administration",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Management and administration,4,5850,400,100,50,200,75,1500,200,2250,250,1350,175,250,125,200,75
8202,r040,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Research and development",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Research and development,4,19100,675,2150,275,850,175,3450,275,5100,375,5950,425,400,100,1200,175
8202,r041,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Teaching",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Teaching,4,18100,600,300,75,150,75,4650,325,9550,475,na,na,700,150,2800,300
8202,r042,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> U.S. territories and other areas",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",U.S. territories and other areas,4,1900,225,,,,,650,125,400,125,550,125,,,100,50
8202,r043,All fields -> Science -> Psychology,All fields,Science,Psychology,,3,38700,800,300,75,350,75,10900,550,13800,625,7200,400,2800,350,3400,325
8202,r044,All fields -> Science -> Psychology -> Computer applications,All fields,Science,Psychology,Computer applications,4,150,75,na,na,,,,,S,S,,,,,,
8202,r045,All fields -> Science -> Psychology -> Design,All fields,Science,Psychology,Design,4,150,75,,,na,na,100,50,,,,,,,,
8202,r046,All fields -> Science -> Psychology -> Management and administration,All fields,Science,Psychology,Management and administration,4,6050,375,,,100,50,1900,225,1650,200,1550,200,700,150,200,100
8202,r047,All fields -> Science -> Psychology -> Research and development,All fields,Science,Psychology,Research and development,4,11600,525,250,75,200,75,3350,275,2450,325,4550,325,400,125,350,100
8202,r048,All fields -> Science -> Psychology -> Teaching,All fields,Science,Psychology,Teaching,4,15900,625,,,,,3800,300,8700,450,na,na,1350,250,2050,250
8202,r049,All fields -> Science -> Psychology -> U.S. territories and other areas,All fields,Science,Psychology,U.S. territories and other areas,4,4850,350,,,,,1700,250,850,175,1150,175,350,125,800,200
8202,r050,All fields -> Science -> Social sciences,All fields,Science,Social sciences,,3,60250,950,1100,200,250,75,11500,575,26000,750,13100,575,2150,275,6100,350
8202,r051,All fields -> Science -> Social sciences -> Computer applications,All fields,Science,Social sciences,Computer applications,4,300,100,na,na,,,,,150,75,,,,,S,S
8202,r052,All fields -> Science -> Social sciences -> Design,All fields,Science,Social sciences,Design,4,150,75,,,na,na,,,S,S,,,,,,
8202,r053,All fields -> Science -> Social sciences -> Management and administration,All fields,Science,Social sciences,Management and administration,4,7200,425,,,100,75,2350,275,1850,175,2400,275,150,50,250,75
8202,r054,All fields -> Science -> Social sciences -> Research and development,All fields,Science,Social sciences,Research and development,4,17550,625,750,150,100,50,2650,225,3050,275,10050,450,300,100,700,150
8202,r055,All fields -> Science -> Social sciences -> Teaching,All fields,Science,Social sciences,Teaching,4,32300,825,350,125,50,50,5350,375,20450,750,na,na,1500,250,4600,325
8202,r056,All fields -> Science -> Social sciences -> U.S. territories and other areas,All fields,Science,Social sciences,U.S. territories and other areas,4,2750,275,,,,,1050,200,450,100,650,100,,,450,125
8202,r057,All fields -> Engineering,All fields,Engineering,,,2,46850,1150,1800,225,1400,200,8900,450,19200,875,10550,625,1450,225,3600,350
8202,r058,All fields -> Engineering -> Computer applications,All fields,Engineering,Computer applications,,3,750,150,na,na,100,50,150,75,500,125,S,S,,,,
8202,r059,All fields -> Engineering -> Design,All fields,Engineering,Design,,3,500,150,,,na,na,S,S,200,75,,,,,,
8202,r060,All fields -> Engineering -> Management and administration,All fields,Engineering,Management and administration,,3,5300,375,,,250,75,1500,200,1900,250,1400,200,100,50,150,75
8202,r061,All fields -> Engineering -> Research and development,All fields,Engineering,Research and development,,3,22200,850,1200,175,800,150,3300,300,6950,550,8350,550,500,175,1100,225
8202,r062,All fields -> Engineering -> Teaching,All fields,Engineering,Teaching,,3,16200,600,500,150,250,100,3350,300,9200,500,na,na,750,150,2100,275
8202,r063,All fields -> Engineering -> U.S. territories and other areas,All fields,Engineering,U.S. territories and other areas,,3,1950,275,,,,,550,125,450,150,600,200,,,200,100
8202,r064,All fields -> Health,All fields,Health,,,2,21600,600,350,125,200,75,5950,375,7350,425,3900,275,2000,250,1900,225
8202,r065,All fields -> Health -> Computer applications,All fields,Health,Computer applications,,3,S,S,na,na,,,,,,,,,,,,
8202,r066,All fields -> Health -> Design,All fields,Health,Design,,3,50,25,,,na,na,,,S,S,,,,,,
8202,r067,All fields -> Health -> Management and administration,All fields,Health,Management and administration,,3,3450,275,,,S,S,1250,175,800,150,850,125,300,100,150,50
8202,r068,All fields -> Health -> Research and development,All fields,Health,Research and development,,3,7150,400,300,100,S,S,2350,225,1350,175,2450,250,200,75,350,100
8202,r069,All fields -> Health -> Teaching,All fields,Health,Teaching,,3,9550,450,,,,,2000,200,4850,375,na,na,1450,225,1200,200
8202,r070,All fields -> Health -> U.S. territories and other areas,All fields,Health,U.S. territories and other areas,,3,1400,150,,,,,350,75,250,75,600,100,50,25,200,50
