table_id,row_id,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_full_path,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_1,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_2,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_3,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_4,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_5,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_6,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_hierarchy_depth,field_total,field_professor,field_associate_professor,field_assistant_professor,field_other_faculty,field_rank_not_applicable
1196,r016,All occupations -> Male -> Native Hawaiian or Other Pacific Islander,All occupations,Male,Native Hawaiian or Other Pacific Islander,,,,3,200,,50,S,,S
1196,r017,All occupations -> Male -> More than one race<sup>b</sup>,All occupations,Male,More than one race<sup>b</sup>,,,,3,2500,750,600,400,100,600
1196,r018,All occupations -> S&E occupations<sup>c</sup>,All occupations,S&E occupations<sup>c</sup>,,,,,2,245250,75000,54400,51500,16900,47500
1196,r019,All occupations -> S&E occupations<sup>c</sup> -> Female,All occupations,S&E occupations<sup>c</sup>,Female,,,,3,84750,17650,19350,20450,7400,19950
1196,r020,All occupations -> S&E occupations<sup>c</sup> -> Female -> White,All occupations,S&E occupations<sup>c</sup>,Female,White,,,4,58250,14000,14100,13800,5000,11400
1196,r021,All occupations -> S&E occupations<sup>c</sup> -> Female -> Asian,All occupations,S&E occupations<sup>c</sup>,Female,Asian,,,4,16050,1850,2800,3850,1450,6100
1196,r022,All occupations -> S&E occupations<sup>c</sup> -> Female -> Black or African American,All occupations,S&E occupations<sup>c</sup>,Female,Black or African American,,,4,3800,600,1300,950,250,750
1196,r023,All occupations -> S&E occupations<sup>c</sup> -> Female -> Hispanic or Latino<sup>a</sup>,All occupations,S&E occupations<sup>c</sup>,Female,Hispanic or Latino<sup>a</sup>,,,4,4850,900,850,1350,450,1250
1196,r024,All occupations -> S&E occupations<sup>c</sup> -> Female -> American Indian or Alaska Native,All occupations,S&E occupations<sup>c</sup>,Female,American Indian or Alaska Native,,,4,200,50,50,50,,50
1196,r025,All occupations -> S&E occupations<sup>c</sup> -> Female -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations<sup>c</sup>,Female,Native Hawaiian or Other Pacific Islander,,,4,100,,,0.05,,
1196,r026,All occupations -> S&E occupations<sup>c</sup> -> Female -> More than one race<sup>b</sup>,All occupations,S&E occupations<sup>c</sup>,Female,More than one race<sup>b</sup>,,,4,1550,250,250,450,200,400
1196,r027,All occupations -> S&E occupations<sup>c</sup> -> Male,All occupations,S&E occupations<sup>c</sup>,Male,,,,3,160500,57350,35050,31050,9500,27550
1196,r028,All occupations -> S&E occupations<sup>c</sup> -> Male -> White,All occupations,S&E occupations<sup>c</sup>,Male,White,,,4,113050,43900,25050,20600,6950,16600
1196,r029,All occupations -> S&E occupations<sup>c</sup> -> Male -> Asian,All occupations,S&E occupations<sup>c</sup>,Male,Asian,,,4,33200,9400,6300,7250,1400,8800
1196,r030,All occupations -> S&E occupations<sup>c</sup> -> Male -> Black or African American,All occupations,S&E occupations<sup>c</sup>,Male,Black or African American,,,4,4850,1400,1450,1050,450,550
1196,r031,All occupations -> S&E occupations<sup>c</sup> -> Male -> Hispanic or Latino<sup>a</sup>,All occupations,S&E occupations<sup>c</sup>,Male,Hispanic or Latino<sup>a</sup>,,,4,7150,1950,1750,1750,600,1150
1196,r032,All occupations -> S&E occupations<sup>c</sup> -> Male -> American Indian or Alaska Native,All occupations,S&E occupations<sup>c</sup>,Male,American Indian or Alaska Native,,,4,200,100,50,,,
1196,r033,All occupations -> S&E occupations<sup>c</sup> -> Male -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations<sup>c</sup>,Male,Native Hawaiian or Other Pacific Islander,,,4,150,,0.05,,,S
1196,r034,All occupations -> S&E occupations<sup>c</sup> -> Male -> More than one race<sup>b</sup>,All occupations,S&E occupations<sup>c</sup>,Male,More than one race<sup>b</sup>,,,4,1900,600,500,300,100,450
1196,r035,All occupations -> S&E occupations<sup>c</sup> -> Scientist,All occupations,S&E occupations<sup>c</sup>,Scientist,,,,3,214200,63400,47150,44800,15350,43450
1196,r036,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Female,All occupations,S&E occupations<sup>c</sup>,Scientist,Female,,,4,79350,16250,18000,19100,6950,19050
1196,r037,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Female -> White,All occupations,S&E occupations<sup>c</sup>,Scientist,Female,White,,5,55000,13050,13250,13050,4700,10950
1196,r038,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Female -> Asian,All occupations,S&E occupations<sup>c</sup>,Scientist,Female,Asian,,5,14450,1550,2450,3350,1350,5800
1196,r039,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Female -> Black or African American,All occupations,S&E occupations<sup>c</sup>,Scientist,Female,Black or African American,,5,3600,550,1200,850,250,700
1196,r040,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Female -> Hispanic or Latino<sup>a</sup>,All occupations,S&E occupations<sup>c</sup>,Scientist,Female,Hispanic or Latino<sup>a</sup>,,5,4600,850,850,1300,450,1200
1196,r041,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Female -> American Indian or Alaska Native,All occupations,S&E occupations<sup>c</sup>,Scientist,Female,American Indian or Alaska Native,,5,200,50,50,50,,50
1196,r042,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Female -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations<sup>c</sup>,Scientist,Female,Native Hawaiian or Other Pacific Islander,,5,100,,,0.05,,
1196,r043,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Female -> More than one race<sup>b</sup>,All occupations,S&E occupations<sup>c</sup>,Scientist,Female,More than one race<sup>b</sup>,,5,1450,200,200,450,200,350
1196,r044,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Male,All occupations,S&E occupations<sup>c</sup>,Scientist,Male,,,4,134800,47150,29150,25700,8400,24400
1196,r045,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Male -> White,All occupations,S&E occupations<sup>c</sup>,Scientist,Male,White,,5,98100,37600,21400,17800,6200,15050
1196,r046,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Male -> Asian,All occupations,S&E occupations<sup>c</sup>,Scientist,Male,Asian,,5,24600,6300,4550,5250,1150,7400
1196,r047,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Male -> Black or African American,All occupations,S&E occupations<sup>c</sup>,Scientist,Male,Black or African American,,5,4150,1150,1200,850,450,450
1196,r048,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Male -> Hispanic or Latino<sup>a</sup>,All occupations,S&E occupations<sup>c</sup>,Scientist,Male,Hispanic or Latino<sup>a</sup>,,5,5900,1600,1400,1450,500,1000
1196,r049,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Male -> American Indian or Alaska Native,All occupations,S&E occupations<sup>c</sup>,Scientist,Male,American Indian or Alaska Native,,5,150,50,50,,,
1196,r050,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Male -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations<sup>c</sup>,Scientist,Male,Native Hawaiian or Other Pacific Islander,,5,150,,0.05,,,
1196,r051,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Male -> More than one race<sup>b</sup>,All occupations,S&E occupations<sup>c</sup>,Scientist,Male,More than one race<sup>b</sup>,,5,1750,500,500,300,100,400
1196,r052,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Biological/life scientist,All occupations,S&E occupations<sup>c</sup>,Scientist,Biological/life scientist,,,4,73600,17350,12200,14450,4400,25200
1196,r053,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Biological/life scientist -> Female,All occupations,S&E occupations<sup>c</sup>,Scientist,Biological/life scientist,Female,,5,28850,4500,4300,6100,2100,11900
1196,r054,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Biological/life scientist -> Female -> White,All occupations,S&E occupations<sup>c</sup>,Scientist,Biological/life scientist,Female,White,6,19100,3750,3100,4300,1350,6600
1196,r055,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Biological/life scientist -> Female -> Asian,All occupations,S&E occupations<sup>c</sup>,Scientist,Biological/life scientist,Female,Asian,6,6700,350,700,1050,500,4050
1196,r056,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Biological/life scientist -> Female -> Black or African American,All occupations,S&E occupations<sup>c</sup>,Scientist,Biological/life scientist,Female,Black or African American,6,950,100,200,200,100,400
1196,r057,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Biological/life scientist -> Female -> Hispanic or Latino<sup>a</sup>,All occupations,S&E occupations<sup>c</sup>,Scientist,Biological/life scientist,Female,Hispanic or Latino<sup>a</sup>,6,1550,250,200,400,100,650
1196,r058,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Biological/life scientist -> Female -> American Indian or Alaska Native,All occupations,S&E occupations<sup>c</sup>,Scientist,Biological/life scientist,Female,American Indian or Alaska Native,6,50,,,,,
1196,r059,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Biological/life scientist -> Female -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations<sup>c</sup>,Scientist,Biological/life scientist,Female,Native Hawaiian or Other Pacific Islander,6,S,,,,,
1196,r060,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Biological/life scientist -> Female -> More than one race<sup>b</sup>,All occupations,S&E occupations<sup>c</sup>,Scientist,Biological/life scientist,Female,More than one race<sup>b</sup>,6,450,50,100,100,50,150
1196,r061,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Biological/life scientist -> Male,All occupations,S&E occupations<sup>c</sup>,Scientist,Biological/life scientist,Male,,5,44750,12900,7900,8350,2300,13300
1196,r062,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Biological/life scientist -> Male -> White,All occupations,S&E occupations<sup>c</sup>,Scientist,Biological/life scientist,Male,White,6,31950,10950,5900,5550,1550,8000
1196,r063,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Biological/life scientist -> Male -> Asian,All occupations,S&E occupations<sup>c</sup>,Scientist,Biological/life scientist,Male,Asian,6,9550,1400,1450,2000,450,4300
1196,r064,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Biological/life scientist -> Male -> Black or African American,All occupations,S&E occupations<sup>c</sup>,Scientist,Biological/life scientist,Male,Black or African American,6,1000,200,200,200,150,250
1196,r065,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Biological/life scientist -> Male -> Hispanic or Latino<sup>a</sup>,All occupations,S&E occupations<sup>c</sup>,Scientist,Biological/life scientist,Male,Hispanic or Latino<sup>a</sup>,6,1600,200,250,500,100,550
1196,r066,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Biological/life scientist -> Male -> American Indian or Alaska Native,All occupations,S&E occupations<sup>c</sup>,Scientist,Biological/life scientist,Male,American Indian or Alaska Native,6,50,,,,,
1196,r067,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Biological/life scientist -> Male -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations<sup>c</sup>,Scientist,Biological/life scientist,Male,Native Hawaiian or Other Pacific Islander,6,50,,,,,
1196,r068,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Biological/life scientist -> Male -> More than one race<sup>b</sup>,All occupations,S&E occupations<sup>c</sup>,Scientist,Biological/life scientist,Male,More than one race<sup>b</sup>,6,500,100,S,50,,250
1196,r069,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Computer and information scientist,All occupations,S&E occupations<sup>c</sup>,Scientist,Computer and information scientist,,,4,11200,3200,2600,2300,550,2500
1196,r070,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Computer and information scientist -> Female,All occupations,S&E occupations<sup>c</sup>,Scientist,Computer and information scientist,Female,,5,2100,450,450,450,200,550
1196,r071,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Computer and information scientist -> Female -> White,All occupations,S&E occupations<sup>c</sup>,Scientist,Computer and information scientist,Female,White,6,1050,300,200,200,100,250
1196,r072,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Computer and information scientist -> Female -> Asian,All occupations,S&E occupations<sup>c</sup>,Scientist,Computer and information scientist,Female,Asian,6,800,150,200,200,,250
1196,r073,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Computer and information scientist -> Female -> Black or African American,All occupations,S&E occupations<sup>c</sup>,Scientist,Computer and information scientist,Female,Black or African American,6,150,,50,,,
1196,r074,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Computer and information scientist -> Female -> Hispanic or Latino<sup>a</sup>,All occupations,S&E occupations<sup>c</sup>,Scientist,Computer and information scientist,Female,Hispanic or Latino<sup>a</sup>,6,100,,,,,
1196,r075,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Computer and information scientist -> Female -> American Indian or Alaska Native,All occupations,S&E occupations<sup>c</sup>,Scientist,Computer and information scientist,Female,American Indian or Alaska Native,6,,,,,,
1196,r076,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Computer and information scientist -> Female -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations<sup>c</sup>,Scientist,Computer and information scientist,Female,Native Hawaiian or Other Pacific Islander,6,,,,,,
1196,r077,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Computer and information scientist -> Female -> More than one race<sup>b</sup>,All occupations,S&E occupations<sup>c</sup>,Scientist,Computer and information scientist,Female,More than one race<sup>b</sup>,6,0.05,,,,,
1196,r078,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Computer and information scientist -> Male,All occupations,S&E occupations<sup>c</sup>,Scientist,Computer and information scientist,Male,,5,9100,2750,2150,1850,350,1950
1196,r079,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Computer and information scientist -> Male -> White,All occupations,S&E occupations<sup>c</sup>,Scientist,Computer and information scientist,Male,White,6,5400,1750,1200,1200,150,1100
1196,r080,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Computer and information scientist -> Male -> Asian,All occupations,S&E occupations<sup>c</sup>,Scientist,Computer and information scientist,Male,Asian,6,3200,900,750,550,150,800
1196,r081,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Computer and information scientist -> Male -> Black or African American,All occupations,S&E occupations<sup>c</sup>,Scientist,Computer and information scientist,Male,Black or African American,6,150,,50,50,,S
1196,r082,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Computer and information scientist -> Male -> Hispanic or Latino<sup>a</sup>,All occupations,S&E occupations<sup>c</sup>,Scientist,Computer and information scientist,Male,Hispanic or Latino<sup>a</sup>,6,250,50,100,50,50,0.05
1196,r083,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Computer and information scientist -> Male -> American Indian or Alaska Native,All occupations,S&E occupations<sup>c</sup>,Scientist,Computer and information scientist,Male,American Indian or Alaska Native,6,,,,,,
1196,r084,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Computer and information scientist -> Male -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations<sup>c</sup>,Scientist,Computer and information scientist,Male,Native Hawaiian or Other Pacific Islander,6,,,,,,
1196,r085,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Computer and information scientist -> Male -> More than one race<sup>b</sup>,All occupations,S&E occupations<sup>c</sup>,Scientist,Computer and information scientist,Male,More than one race<sup>b</sup>,6,50,,,,,
1196,r086,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Mathematical scientist,All occupations,S&E occupations<sup>c</sup>,Scientist,Mathematical scientist,,,4,19700,6700,5000,4150,1750,2150
1196,r087,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Mathematical scientist -> Female,All occupations,S&E occupations<sup>c</sup>,Scientist,Mathematical scientist,Female,,5,5350,1250,1400,1250,550,850
1196,r088,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Mathematical scientist -> Female -> White,All occupations,S&E occupations<sup>c</sup>,Scientist,Mathematical scientist,Female,White,6,3300,900,850,750,350,400
1196,r089,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Mathematical scientist -> Female -> Asian,All occupations,S&E occupations<sup>c</sup>,Scientist,Mathematical scientist,Female,Asian,6,1550,300,350,400,150,350
1196,r090,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Mathematical scientist -> Female -> Black or African American,All occupations,S&E occupations<sup>c</sup>,Scientist,Mathematical scientist,Female,Black or African American,6,200,,150,0.05,,S
1196,r091,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Mathematical scientist -> Female -> Hispanic or Latino<sup>a</sup>,All occupations,S&E occupations<sup>c</sup>,Scientist,Mathematical scientist,Female,Hispanic or Latino<sup>a</sup>,6,250,50,S,50,50,0.05
1196,r092,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Mathematical scientist -> Female -> American Indian or Alaska Native,All occupations,S&E occupations<sup>c</sup>,Scientist,Mathematical scientist,Female,American Indian or Alaska Native,6,,,,,,
1196,r093,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Mathematical scientist -> Female -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations<sup>c</sup>,Scientist,Mathematical scientist,Female,Native Hawaiian or Other Pacific Islander,6,,,,,,
1196,r094,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Mathematical scientist -> Female -> More than one race<sup>b</sup>,All occupations,S&E occupations<sup>c</sup>,Scientist,Mathematical scientist,Female,More than one race<sup>b</sup>,6,50,,,50,,
1196,r095,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Mathematical scientist -> Male,All occupations,S&E occupations<sup>c</sup>,Scientist,Mathematical scientist,Male,,5,14400,5450,3600,2850,1200,1300
1196,r096,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Mathematical scientist -> Male -> White,All occupations,S&E occupations<sup>c</sup>,Scientist,Mathematical scientist,Male,White,6,10250,4050,2600,1850,900,900
1196,r097,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Mathematical scientist -> Male -> Asian,All occupations,S&E occupations<sup>c</sup>,Scientist,Mathematical scientist,Male,Asian,6,2900,1000,750,750,100,300
1196,r098,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Mathematical scientist -> Male -> Black or African American,All occupations,S&E occupations<sup>c</sup>,Scientist,Mathematical scientist,Male,Black or African American,6,400,100,100,150,,
1196,r099,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Mathematical scientist -> Male -> Hispanic or Latino<sup>a</sup>,All occupations,S&E occupations<sup>c</sup>,Scientist,Mathematical scientist,Male,Hispanic or Latino<sup>a</sup>,6,750,250,200,100,150,50
1196,r100,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Mathematical scientist -> Male -> American Indian or Alaska Native,All occupations,S&E occupations<sup>c</sup>,Scientist,Mathematical scientist,Male,American Indian or Alaska Native,6,,,,,,
1196,r101,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Mathematical scientist -> Male -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations<sup>c</sup>,Scientist,Mathematical scientist,Male,Native Hawaiian or Other Pacific Islander,6,,,,,,
1196,r102,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Mathematical scientist -> Male -> More than one race<sup>b</sup>,All occupations,S&E occupations<sup>c</sup>,Scientist,Mathematical scientist,Male,More than one race<sup>b</sup>,6,100,,,,,
1196,r103,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Physical scientist,All occupations,S&E occupations<sup>c</sup>,Scientist,Physical scientist,,,4,39150,13100,7600,7550,3600,7300
1196,r104,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Physical scientist -> Female,All occupations,S&E occupations<sup>c</sup>,Scientist,Physical scientist,Female,,5,9750,2150,2150,2500,1250,1750
1196,r105,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Physical scientist -> Female -> White,All occupations,S&E occupations<sup>c</sup>,Scientist,Physical scientist,Female,White,6,6900,1700,1750,1750,700,1050
1196,r106,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Physical scientist -> Female -> Asian,All occupations,S&E occupations<sup>c</sup>,Scientist,Physical scientist,Female,Asian,6,1950,250,200,500,450,500
1196,r107,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Physical scientist -> Female -> Black or African American,All occupations,S&E occupations<sup>c</sup>,Scientist,Physical scientist,Female,Black or African American,6,250,,100,50,S,50
1196,r108,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Physical scientist -> Female -> Hispanic or Latino<sup>a</sup>,All occupations,S&E occupations<sup>c</sup>,Scientist,Physical scientist,Female,Hispanic or Latino<sup>a</sup>,6,500,100,100,150,50,100
1196,r109,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Physical scientist -> Female -> American Indian or Alaska Native,All occupations,S&E occupations<sup>c</sup>,Scientist,Physical scientist,Female,American Indian or Alaska Native,6,,,,,,
1196,r110,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Physical scientist -> Female -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations<sup>c</sup>,Scientist,Physical scientist,Female,Native Hawaiian or Other Pacific Islander,6,,,,,,
1196,r111,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Physical scientist -> Female -> More than one race<sup>b</sup>,All occupations,S&E occupations<sup>c</sup>,Scientist,Physical scientist,Female,More than one race<sup>b</sup>,6,150,S,,50,,50
1196,r112,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Physical scientist -> Male,All occupations,S&E occupations<sup>c</sup>,Scientist,Physical scientist,Male,,5,29400,10950,5450,5050,2350,5550
1196,r113,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Physical scientist -> Male -> White,All occupations,S&E occupations<sup>c</sup>,Scientist,Physical scientist,Male,White,6,21700,8400,4300,3950,1750,3300
1196,r114,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Physical scientist -> Male -> Asian,All occupations,S&E occupations<sup>c</sup>,Scientist,Physical scientist,Male,Asian,6,5350,1750,550,700,450,1900
1196,r115,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Physical scientist -> Male -> Black or African American,All occupations,S&E occupations<sup>c</sup>,Scientist,Physical scientist,Male,Black or African American,6,650,200,150,100,50,100
1196,r116,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Physical scientist -> Male -> Hispanic or Latino<sup>a</sup>,All occupations,S&E occupations<sup>c</sup>,Scientist,Physical scientist,Male,Hispanic or Latino<sup>a</sup>,6,1300,500,300,250,50,150
1196,r117,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Physical scientist -> Male -> American Indian or Alaska Native,All occupations,S&E occupations<sup>c</sup>,Scientist,Physical scientist,Male,American Indian or Alaska Native,6,,,,,,
1196,r118,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Physical scientist -> Male -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations<sup>c</sup>,Scientist,Physical scientist,Male,Native Hawaiian or Other Pacific Islander,6,,,,,,
1196,r119,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Physical scientist -> Male -> More than one race<sup>b</sup>,All occupations,S&E occupations<sup>c</sup>,Scientist,Physical scientist,Male,More than one race<sup>b</sup>,6,400,100,100,50,,150
1196,r120,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Psychologist,All occupations,S&E occupations<sup>c</sup>,Scientist,Psychologist,,,4,24300,7400,6750,5450,1650,3100
1196,r121,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Psychologist -> Female,All occupations,S&E occupations<sup>c</sup>,Scientist,Psychologist,Female,,5,13500,3300,3600,3550,1050,2050
1196,r122,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Psychologist -> Female -> White,All occupations,S&E occupations<sup>c</sup>,Scientist,Psychologist,Female,White,6,10000,2700,2750,2350,800,1350
1196,r123,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Psychologist -> Female -> Asian,All occupations,S&E occupations<sup>c</sup>,Scientist,Psychologist,Female,Asian,6,1350,150,300,450,,350
1196,r124,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Psychologist -> Female -> Black or African American,All occupations,S&E occupations<sup>c</sup>,Scientist,Psychologist,Female,Black or African American,6,950,200,300,300,50,150
1196,r125,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Psychologist -> Female -> Hispanic or Latino<sup>a</sup>,All occupations,S&E occupations<sup>c</sup>,Scientist,Psychologist,Female,Hispanic or Latino<sup>a</sup>,6,900,200,200,250,100,150
