table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_applications_total,field_applications_nonprovisional_utility_patents_total,field_applications_nonprovisional_utility_patents_to_foreign_jurisdictionsa,field_applications_nonprovisional_utility_patents_from_within_organized_r_d_activityb,field_patents_issuedc
8859,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['2,098', '&nbsp;']","['1,961', '&nbsp;']","['139', '&nbsp;']","['1,955', '&nbsp;']","['2,343', '&nbsp;']"
8859,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['162', '&nbsp;']","['98', '&nbsp;']","['25', '&nbsp;']","['96', '&nbsp;']","['328', 'i']"
8859,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['21,584', '&nbsp;']","['17,355', '&nbsp;']","['7,014', '&nbsp;']","['11,906', '&nbsp;']","['21,021', '&nbsp;']"
8859,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['5,694', '&nbsp;']","['4,326', '&nbsp;']","['2,588', '&nbsp;']","['2,771', '&nbsp;']","['7,692', '&nbsp;']"
8859,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
8859,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['5,694', '&nbsp;']","['4,326', '&nbsp;']","['2,588', '&nbsp;']","['2,771', '&nbsp;']","['7,692', '&nbsp;']"
8859,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['2,928', '&nbsp;']","['2,654', '&nbsp;']","['365', '&nbsp;']","['1,096', '&nbsp;']","['3,204', '&nbsp;']"
8859,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['6,669', '&nbsp;']","['5,692', '&nbsp;']","['1,319', '&nbsp;']","['4,472', '&nbsp;']","['5,212', '&nbsp;']"
8859,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['6,293', '&nbsp;']","['4,683', '&nbsp;']","['2,743', '&nbsp;']","['3,567', '&nbsp;']","['4,914', '&nbsp;']"
8859,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['4,080', '&nbsp;']","['3,613', '&nbsp;']","['504', '&nbsp;']","['2,446', '&nbsp;']","['2,907', '&nbsp;']"
8859,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['268', 'i']","['258', 'i']","['214', 'i']","['258', 'i']","['103', 'i']"
8859,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['207', 'i']","['203', 'i']","['201', 'i']","['203', 'i']","['71', 'i']"
8859,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['61', '&nbsp;']","['55', '&nbsp;']","['13', '&nbsp;']","['55', '&nbsp;']","['32', '&nbsp;']"
8859,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['14,406', '&nbsp;']","['11,579', '&nbsp;']","['3,311', '&nbsp;']","['7,607', '&nbsp;']","['14,155', '&nbsp;']"
8859,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['506', '&nbsp;']","['238', '&nbsp;']","['112', '&nbsp;']","['192', '&nbsp;']","['149', '&nbsp;']"
