table_id,row_id,_b_sex_citizenship_ethnicity_and_race_b_full_path,_b_sex_citizenship_ethnicity_and_race_b_level_1,_b_sex_citizenship_ethnicity_and_race_b_level_2,_b_sex_citizenship_ethnicity_and_race_b_level_3,_b_sex_citizenship_ethnicity_and_race_b_level_4,_b_sex_citizenship_ethnicity_and_race_b_level_5,_b_sex_citizenship_ethnicity_and_race_b_hierarchy_depth,field_graduate_students_all_graduate_students_number,field_graduate_students_all_graduate_students_percent,field_graduate_students_master_s_number,field_graduate_students_master_s_percent,field_graduate_students_doctoral_number,field_graduate_students_doctoral_percent,field_postdoctoral_appointees_number,field_postdoctoral_appointees_percent,field_doctorate_holding_nonfaculty_researchers_number,field_doctorate_holding_nonfaculty_researchers_percent
8308,r024,All individuals -> Male -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All individuals,Male,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,5,8553,1.1,5254,1.1,3299,1.1,330,0.5,na,na
8308,r025,All individuals -> Male -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race,All individuals,Male,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,4,11552,1.5,7385,1.6,4167,1.4,1742,2.8,na,na
8308,r026,All individuals -> Male -> Temporary visa holders,All individuals,Male,Temporary visa holders,,,3,150920,19.9,78353,16.8,72567,24.7,21040,33.2,na,na
8308,r027,All individuals -> Female,All individuals,Female,,,,2,,,,,,,,,,
8308,r028,All individuals -> Female -> U.S. citizens and permanent residents<sup>a</sup>,All individuals,Female,U.S. citizens and permanent residents<sup>a</sup>,,,3,279240,36.7,189152,40.5,90088,30.7,14275,22.5,na,na
8308,r029,All individuals -> Female -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All individuals,Female,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,4,39698,5.2,28956,6.2,10742,3.7,1107,1.7,na,na
8308,r030,All individuals -> Female -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All individuals,Female,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,4,,,,,,,,,,
8308,r031,All individuals -> Female -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All individuals,Female,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,5,1247,0.2,814,0.2,433,0.1,44,0.1,na,na
8308,r032,All individuals -> Female -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All individuals,Female,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,5,29895,3.9,20280,4.3,9615,3.3,2642,4.2,na,na
8308,r033,All individuals -> Female -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All individuals,Female,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,5,28687,3.8,21251,4.6,7436,2.5,705,1.1,na,na
8308,r034,All individuals -> Female -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All individuals,Female,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,5,438,0.1,324,0.1,114,0.05,23,0.05,na,na
8308,r035,All individuals -> Female -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All individuals,Female,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,5,155557,20.5,101489,21.8,54068,18.4,7854,12.4,na,na
8308,r036,All individuals -> Female -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All individuals,Female,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,5,10918,1.4,7047,1.5,3871,1.3,357,0.6,na,na
8308,r037,All individuals -> Female -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race,All individuals,Female,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,4,12800,1.7,8991,1.9,3809,1.3,1543,2.4,na,na
8308,r038,All individuals -> Female -> Temporary visa holders,All individuals,Female,Temporary visa holders,,,3,93639,12.3,50605,10.8,43034,14.7,12533,19.8,na,na
