table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total_foreign_r_d_performance_total,field_total_foreign_r_d_performance_paid_for_by_company,field_total_foreign_r_d_performance_paid_for_by_others,field_research_basic_and_applied_total,field_research_basic_and_applied_paid_for_by_company,field_research_basic_and_applied_paid_for_by_others,field_development_total,field_development_paid_for_by_company,field_development_paid_for_by_others
2691,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['847', '  ']","['847', '  ']","['0', '  ']","['97', '  ']","['97', '  ']","['0', '  ']","['750', '  ']","['750', '  ']","['0', '  ']"
2691,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['235 - 252', '  ']","['235', '  ']","['0 - 17', 'i ']","['36 - 54', '  ']","['37', '  ']","['0 - 16', 'i ']","['199', '  ']","['198', '  ']","['1', 'i ']"
2691,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['428', '  ']","['423', '  ']","['5', '  ']","['115', '  ']","['115', '  ']","['1', '  ']","['313', '  ']","['308', '  ']","['4', '  ']"
2691,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['181', 'i ']","['181', 'i ']","['0', '  ']","['24', 'i ']","['24', 'i ']","['0', '  ']","['157', 'i ']","['157', 'i ']","['0', '  ']"
2691,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['151', '  ']","['150', '  ']","['1', '  ']","['6', '  ']","['5', '  ']","['*', '  ']","['145', 'i ']","['145', 'i ']","['*', '  ']"
2691,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['216', '  ']","['204', '  ']","['12', '  ']","['66', '  ']","['64', '  ']","['2', 'i ']","['150', '  ']","['140', '  ']","['11', 'i ']"
2691,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['4,521', '  ']","['4,432', '  ']","['89', '  ']","['722', '  ']","['709', '  ']","['13', '  ']","['3,798', '  ']","['3,723', '  ']","['75', '  ']"
2691,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['858', '  ']","['855', '  ']","['3', '  ']","['258', '  ']","['257', '  ']","['1', '  ']","['601', '  ']","['599', '  ']","['2', '  ']"
2691,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['911', '  ']","['898', '  ']","['13', '  ']","['76', '  ']","['74', '  ']","['2', 'i ']","['835', '  ']","['824', '  ']","['11', 'i ']"
2691,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['935 - 958', '  ']","['936', '  ']","['0 - 21', '  ']","['0 - 390', 'i ']","['0 - 380', 'i ']","['0 - 12', '  ']","['556 - 958', 'i ']","['556 - 937', 'i ']","['0 - 21', '  ']"
2691,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['1,793 - 1,817', '  ']","['1,743', '  ']","['51 - 74', '  ']","['0 - 390', '  ']","['0 - 380', '  ']","['0 - 12', '  ']","['1,404 - 1,807', '  ']","['1,363 - 1,744', '  ']","['40 - 64', '  ']"
2691,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['28,322', '  ']","['27,744', '  ']","['578', '  ']","['5,084', 'i ']","['4,970', 'i ']","['115', 'i ']","['23,238', '  ']","['22,775', '  ']","['463', '  ']"
2691,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['3,376', '  ']","['3,369', '  ']","['7', '  ']","['533', '  ']","['533', '  ']","['*', 'i ']","['2,843', '  ']","['2,836', '  ']","['7', '  ']"
2691,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['14,487', '  ']","['14,263', '  ']","['224', '  ']","['2,266', 'i ']","['2,253', 'i ']","['14', '  ']","['12,221', 'i ']","['12,010', 'i ']","['210', '  ']"
2691,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['4,172', '  ']","['3,843', '  ']","['329', '  ']","['1,065', '  ']","['966', '  ']","['99', 'i ']","['3,107', '  ']","['2,877', '  ']","['230', '  ']"
2691,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['1,169', 'i ']","['1,166', 'i ']","['3', '  ']","['183', 'i ']","['183', 'i ']","['*', 'i ']","['986', 'i ']","['983', 'i ']","['3', '  ']"
2691,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",5,334511,"['1,154', '  ']","['858', '  ']","['296', '  ']","['414', '  ']","['331', '  ']","['83', 'i ']","['740', '  ']","['527', '  ']","['213', '  ']"
2691,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling device",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling device,5,other 3345,"['1,849', '  ']","['1,819', '  ']","['30', '  ']","['467', '  ']","['451', '  ']","['16', '  ']","['1,381', '  ']","['1,368', '  ']","['14', '  ']"
2691,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['6,287', '  ']","['6,269', '  ']","['18', '  ']","['1,220', '  ']","['1,219', '  ']","['2', '  ']","['5,067', '  ']","['5,051', '  ']","['16', '  ']"
2691,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['1,693', '  ']","['1,687', '  ']","['6', '  ']","['259', '  ']","['257', '  ']","['1', '  ']","['1,434', '  ']","['1,430', '  ']","['4', '  ']"
2691,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['7,446', '  ']","['6,990', '  ']","['457', '  ']","['1,797', '  ']","['1,736', '  ']","['61', '  ']","['5,649', '  ']","['5,254', '  ']","['395', 'i ']"
2691,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Motor vehicles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Motor vehicles, bodies, trailers, and parts",,4,3361–63,"['6,540', '  ']","['6,206', '  ']","['334', 'i ']","['1,475', '  ']","['1,451', '  ']","['24', '  ']","['5,065', '  ']","['4,755', '  ']","['310', 'i ']"
2691,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['686 - 711', '  ']","['599', '  ']","['87 - 111', '  ']","['229 - 254', '  ']","['224', '  ']","['5 - 30', '  ']","['457', '  ']","['375', '  ']","['81', '  ']"
2691,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts",5,336411–13,"['685 - 710', '  ']","['599', '  ']","['87 - 111', '  ']","['229 - 254', '  ']","['224', '  ']","['5 - 30', '  ']","['456', '  ']","['375', '  ']","['81', '  ']"
2691,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['1', '  ']","['1', '  ']","['0', '  ']","['*', '  ']","['*', '  ']","['0', '  ']","['*', '  ']","['*', '  ']","['0', '  ']"
2691,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank component",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank component",,4,336992,"['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2691,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['195 - 221', '  ']","['184', '  ']","['11 - 36', '  ']","['67 - 93', '  ']","['61', '  ']","['7 - 33', '  ']","['128', '  ']","['124', '  ']","['4', '  ']"
2691,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['25', '  ']","['23', '  ']","['2', 'i ']","['8', '  ']","['8', '  ']","['*', 'i ']","['17', '  ']","['16', '  ']","['1', 'i ']"
2691,r043,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['3,270 - 3,274', '  ']","['3,234', '  ']","['36 - 40', '  ']","['454 - 458', '  ']","['449', '  ']","['5 - 9', '  ']","['2,816', '  ']","['2,785', '  ']","['31', '  ']"
2691,r044,All industries -> Manufacturing industries -> Miscellaneous -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous,Medical equipment and supplies,,4,3391,"['2,884', '  ']","['2,847', '  ']","['37', '  ']","['393', '  ']","['387', '  ']","['6', '  ']","['2,492', '  ']","['2,461', '  ']","['31', '  ']"
2691,r045,All industries -> Manufacturing industries -> Miscellaneous -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous,Other miscellaneous manufacturing,,4,3399,"['386 - 390', '  ']","['386', '  ']","['0 - 4', 'i ']","['61 - 66', 'i ']","['62', 'i ']","['0 - 3', 'i ']","['324', '  ']","['324', '  ']","['*', 'i ']"
2691,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['35,498', '  ']","['27,029', '  ']","['8,469', '  ']","['6,194', 'i ']","['4,230', 'i ']","['1,964', '  ']","['29,304', '  ']","['22,800', '  ']","['6,505', '  ']"
2691,r047,"All industries -> Nonmanufacturing industries -> Mining, quarrying, oil and gas extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, quarrying, oil and gas extraction, and support activities",,,3,21,"['163', '  ']","['161', '  ']","['1', '  ']","['12', 'i ']","['12', 'i ']","['*', '  ']","['150', 'i ']","['149', 'i ']","['1', '  ']"
2691,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['8', '  ']","['8', '  ']","['0', '  ']","['0 - 9', '  ']","['0 - 9', '  ']","['0', '  ']","['0 - 9', '  ']","['0 - 9', '  ']","['0', '  ']"
2691,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['32', '  ']","['32', '  ']","['0', '  ']","['1', '  ']","['1', '  ']","['0', '  ']","['32', '  ']","['32', '  ']","['0', '  ']"
2691,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['63 - 3,864', 'i ']","['63 - 3,864', 'i ']","['0', '  ']","['4 - 1,585', 'i ']","['4 - 1,585', 'i ']","['0', '  ']","['0 - 2,304', 'i ']","['0 - 2,304', 'i ']","['0', '  ']"
2691,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['14', '  ']","['14', '  ']","['0', '  ']","['0 - 15', 'i ']","['0 - 15', 'i ']","['0', '  ']","['0 - 15', '  ']","['0 - 15', '  ']","['0', '  ']"
2691,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['17,156', '  ']","['17,125', '  ']","['31', 'i ']","['1,634', '  ']","['1,628', '  ']","['6', 'i ']","['15,522', '  ']","['15,497', '  ']","['25', 'i ']"
2691,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['7,195', '  ']","['7,182', '  ']","['13', '  ']","['1,124', '  ']","['1,121', '  ']","['3', '  ']","['6,071', '  ']","['6,061', '  ']","['10', '  ']"
2691,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['19', '  ']","['19', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['19', '  ']","['19', '  ']","['0', '  ']"
2691,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['7,175', '  ']","['7,162', '  ']","['13', '  ']","['1,124', '  ']","['1,121', '  ']","['3', '  ']","['6,052', '  ']","['6,042', '  ']","['10', '  ']"
2691,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['131 - 138', '  ']","['132', '  ']","['0 - 5', 'i ']","['37', '  ']","['37', '  ']","['0', '  ']","['94 - 101', '  ']","['95', '  ']","['0 - 5', '  ']"
2691,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['4,739', '  ']","['4,725', '  ']","['14', 'i ']","['260', '  ']","['257', '  ']","['3', 'i ']","['4,479', '  ']","['4,468', '  ']","['11', 'i ']"
2691,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['5,086 - 5,092', '  ']","['5,086', '  ']","['0 - 5', '  ']","['214', 'i ']","['214', 'i ']","['*', '  ']","['4,872 - 4,878', 'i ']","['4,873', 'i ']","['0 - 5', '  ']"
2691,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['885', '  ']","['885', '  ']","['0', '  ']","['66', '  ']","['66', '  ']","['0', '  ']","['819', '  ']","['819', '  ']","['0', '  ']"
2691,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['51', '  ']","['51', '  ']","['0', '  ']","['22', '  ']","['22', '  ']","['0', '  ']","['29', '  ']","['29', '  ']","['0', '  ']"
2691,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2691,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['51', '  ']","['51', '  ']","['0', '  ']","['22', '  ']","['22', '  ']","['0', '  ']","['29', '  ']","['29', '  ']","['0', '  ']"
2691,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['13,307', '  ']","['4,873', '  ']","['8,435', '  ']","['2,872', '  ']","['914', 'i ']","['1,958', '  ']","['10,435', 'i ']","['3,958', 'i ']","['6,477', '  ']"
2691,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['56 - 66', 'i ']","['26', '  ']","['30 - 39', 'i ']","['7 - 17', 'i ']","['4', '  ']","['3 - 13', 'i ']","['49', 'i ']","['22', '  ']","['27', 'i ']"
2691,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['4,364', '  ']","['4,301', '  ']","['63', 'i ']","['797', '  ']","['738', '  ']","['59', '  ']","['3,567', 'i ']","['3,563', 'i ']","['4', 'i ']"
2691,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['8,370 - 8,379', '  ']","['63', '  ']","['8,307 - 8,316', '  ']","['1,886 - 1,897', '  ']","['12', '  ']","['1,875 - 1,884', '  ']","['6,483', '  ']","['51', 'i ']","['6,432', '  ']"
2691,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in biotechnology",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in biotechnology,5,541711,"['2,590', '  ']","['34', '  ']","['2,556', '  ']","['323', '  ']","['2', 'i ']","['320', '  ']","['2,267', 'i ']","['32', 'i ']","['2,235', 'i ']"
2691,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except biotechnology)",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except biotechnology)",5,541712,"['5,778', '  ']","['28', '  ']","['5,750', '  ']","['1,564', '  ']","['9', '  ']","['1,554', '  ']","['4,215', '  ']","['19', '  ']","['4,196', '  ']"
2691,r069,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the social sciences and humanities",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in the social sciences and humanities,5,541720,"['1 - 12', '  ']","['1', 'i ']","['0 - 10', '  ']","['0 - 11', '  ']","['*', 'i ']","['0 - 10', '  ']","['1', 'i ']","['1', 'i ']","['0', '  ']"
2691,r070,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['507', '  ']","['482', '  ']","['25', '  ']","['171', 'i ']","['161', 'i ']","['10', '  ']","['336', '  ']","['321', 'i ']","['15', '  ']"
2691,r071,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['22', '  ']","['20', '  ']","['2', '  ']","['5', '  ']","['5', '  ']","['0', '  ']","['16', '  ']","['14', '  ']","['2', '  ']"
2691,r072,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81","['0 - 3,801', '  ']","['0 - 3,801', '  ']","['0', '  ']","['0 - 1,581', '  ']","['0 - 1,581', '  ']","['0', '  ']","['0 - 2,304', '  ']","['0 - 2,304', '  ']","['0', '  ']"
2691,r073,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['100,376', '  ']","['90,429', '  ']","['9,947', '  ']","['19,788', '  ']","['17,520', '  ']","['2,268', '  ']","['80,589', '  ']","['72,909', '  ']","['7,680', '  ']"
2691,r074,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2691,r075,All companies (number of domestic employees) -> Small companies -> 10&#8211;19<sup>a</sup>,All companies (number of domestic employees),Small companies,10&#8211;19<sup>a</sup>,,,3,–,"['128', '  ']","['121', '  ']","['6', '  ']","['31', '  ']","['30', '  ']","['*', 'i ']","['97', '  ']","['91', '  ']","['6', '  ']"
2691,r076,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['569', '  ']","['557', '  ']","['12', '  ']","['99', '  ']","['96', '  ']","['3', '  ']","['470', '  ']","['461', '  ']","['9', '  ']"
2691,r077,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2691,r078,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['692', '  ']","['657', '  ']","['35', '  ']","['59', '  ']","['57', '  ']","['1', 'i ']","['633', '  ']","['600', '  ']","['33', 'i ']"
2691,r079,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['1,872', '  ']","['1,698', '  ']","['174', '  ']","['341', '  ']","['307', '  ']","['34', 'i ']","['1,531', '  ']","['1,391', '  ']","['140', '  ']"
2691,r080,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2691,r081,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['2,179', '  ']","['2,135', '  ']","['44', '  ']","['388', '  ']","['374', '  ']","['14', '  ']","['1,791', '  ']","['1,761', '  ']","['30', '  ']"
