table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_2018,field_2019,field_2020,field_2021
8010,r026,California -> Private -> Palo Alto U.,California,Private,Palo Alto U.,3,"['964', '']","['290', '']","['417', '']","['428', '']"
8010,r027,California -> Private -> Pitzer C.,California,Private,Pitzer C.,3,"['808', '']","['468', '']","['313', '']","['225', '']"
8010,r028,California -> Private -> Point Loma Nazarene U.,California,Private,Point Loma Nazarene U.,3,"['350', '']","['265', '']","['237', '']","['505', '']"
8010,r029,California -> Private -> Scripps C.,California,Private,Scripps C.,3,"['ne', '']","['ne', '']","['ne', '']","['150', 'i']"
8010,r030,California -> Private -> Southern California U. of Health Sciences,California,Private,Southern California U. of Health Sciences,3,"['ne', '']","['443', 'i']","['420', 'i']","['418', '']"
8010,r031,California -> Private -> Westmont C.,California,Private,Westmont C.,3,"['240', '']","['376', '']","['211', '']","['295', '']"
8010,r032,California -> Private -> Whittier C.,California,Private,Whittier C.,3,"['344', '']","['388', '']","['248', '']","['300', '']"
8010,r033,Colorado,Colorado,,,1,"['', '']","['', '']","['', '']","['', '']"
8010,r034,Colorado -> Public,Colorado,Public,,2,"['', '']","['', '']","['', '']","['', '']"
8010,r035,Colorado -> Public -> Colorado Mesa U.,Colorado,Public,Colorado Mesa U.,3,"['329', '']","['372', '']","['452', '']","['823', '']"
8010,r036,Colorado -> Public -> Metropolitan State U. of Denver,Colorado,Public,Metropolitan State U. of Denver,3,"['939', '']","['574', '']","['496', '']","['416', '']"
8010,r037,Colorado -> Public -> Western Colorado U.,Colorado,Public,Western Colorado U.,3,"['491', '']","['460', '']","['571', '']","['559', '']"
8010,r038,Colorado -> Private,Colorado,Private,,2,"['', '']","['', '']","['', '']","['', '']"
8010,r039,Colorado -> Private -> Regis U.,Colorado,Private,Regis U.,3,"['780', '']","['706', '']","['311', '']","['476', '']"
8010,r040,Connecticut,Connecticut,,,1,"['', '']","['', '']","['', '']","['', '']"
8010,r041,Connecticut -> Public,Connecticut,Public,,2,"['', '']","['', '']","['', '']","['', '']"
8010,r042,Connecticut -> Public -> U.S. Coast Guard Academy,Connecticut,Public,U.S. Coast Guard Academy,3,"['829', '']","['708', '']","['398', '']","['155', '']"
8010,r043,Connecticut -> Public -> Western Connecticut State U.,Connecticut,Public,Western Connecticut State U.,3,"['646', '']","['713', '']","['539', '']","['353', '']"
8010,r044,Connecticut -> Private,Connecticut,Private,,2,"['', '']","['', '']","['', '']","['', '']"
8010,r045,Connecticut -> Private -> Hartford International U. for Religion and Peace,Connecticut,Private,Hartford International U. for Religion and Peace,3,"['ne', '']","['ne', '']","['345', '']","['512', '']"
8010,r046,Connecticut -> Private -> Quinnipiac U.,Connecticut,Private,Quinnipiac U.,3,"['994', 'i']","['980', 'i']","['930', 'i']","['926', 'i']"
8010,r047,Florida,Florida,,,1,"['', '']","['', '']","['', '']","['', '']"
8010,r048,Florida -> Public,Florida,Public,,2,"['', '']","['', '']","['', '']","['', '']"
8010,r049,Florida -> Public -> New C. Florida,Florida,Public,New C. Florida,3,"['875', '']","['962', '']","['999', '']","['960', '']"
8010,r050,Florida -> Private,Florida,Private,,2,"['', '']","['', '']","['', '']","['', '']"
8010,r051,Florida -> Private -> Barry U.,Florida,Private,Barry U.,3,"['436', '']","['295', '']","['237', '']","['343', '']"
8010,r052,Florida -> Private -> Bethune-Cookman U.,Florida,Private,Bethune-Cookman U.,3,"['1,137', '']","['735', '']","['636', '']","['928', '']"
8010,r053,Florida -> Private -> Eckerd C.,Florida,Private,Eckerd C.,3,"['495', '']","['435', '']","['406', '']","['367', '']"
8010,r054,Florida -> Private -> Jacksonville U.,Florida,Private,Jacksonville U.,3,"['237', '']","['365', '']","['459', '']","['460', '']"
8010,r055,Florida -> Private -> Keiser U.,Florida,Private,Keiser U.,3,"['480', '']","['450', '']","['423', '']","['443', 'i']"
8010,r056,Florida -> Private -> Rollins C.,Florida,Private,Rollins C.,3,"['668', '']","['626', '']","['414', '']","['533', '']"
8010,r057,Florida -> Private -> St. Thomas U.,Florida,Private,St. Thomas U.,3,"['184', '']","['268', '']","['160', '']","['176', '']"
8010,r058,Florida -> Private -> Stetson U.,Florida,Private,Stetson U.,3,"['393', '']","['476', '']","['670', '']","['611', '']"
8010,r059,Florida -> Private -> U. Tampa,Florida,Private,U. Tampa,3,"['313', '']","['489', '']","['559', '']","['551', '']"
8010,r060,Georgia,Georgia,,,1,"['', '']","['', '']","['', '']","['', '']"
8010,r061,Georgia -> Public,Georgia,Public,,2,"['', '']","['', '']","['', '']","['', '']"
8010,r062,Georgia -> Public -> Clayton State U.,Georgia,Public,Clayton State U.,3,"['ne', '']","['330', '']","['346', '']","['616', '']"
8010,r063,Georgia -> Public -> Columbus State U.,Georgia,Public,Columbus State U.,3,"['ne', '']","['ne', '']","['261', '']","['206', '']"
8010,r064,Georgia -> Public -> Georgia C. and State U.,Georgia,Public,Georgia C. and State U.,3,"['154', '']","['548', '']","['270', '']","['247', '']"
8010,r065,Georgia -> Public -> Georgia Gwinnett C.,Georgia,Public,Georgia Gwinnett C.,3,"['522', '']","['610', '']","['478', '']","['489', '']"
8010,r066,Georgia -> Public -> U. West Georgia,Georgia,Public,U. West Georgia,3,"['397', '']","['508', '']","['483', '']","['500', 'i']"
8010,r067,Georgia -> Public -> Valdosta State U.,Georgia,Public,Valdosta State U.,3,"['444', '']","['424', '']","['496', '']","['423', '']"
8010,r068,Georgia -> Private,Georgia,Private,,2,"['', '']","['', '']","['', '']","['', '']"
8010,r069,Georgia -> Private -> Agnes Scott C.,Georgia,Private,Agnes Scott C.,3,"['287', '']","['229', '']","['152', '']","['351', '']"
8010,r070,Georgia -> Private -> Berry C.,Georgia,Private,Berry C.,3,"['301', '']","['553', '']","['646', '']","['371', '']"
8010,r071,Georgia -> Private -> Life U.,Georgia,Private,Life U.,3,"['176', '']","['207', '']","['429', '']","['364', '']"
8010,r072,Idaho,Idaho,,,1,"['', '']","['', '']","['', '']","['', '']"
8010,r073,Idaho -> Public,Idaho,Public,,2,"['', '']","['', '']","['', '']","['', '']"
8010,r074,Idaho -> Public -> Lewis-Clark State C.,Idaho,Public,Lewis-Clark State C.,3,"['627', '']","['599', '']","['660', '']","['401', '']"
8010,r075,Idaho -> Private,Idaho,Private,,2,"['', '']","['', '']","['', '']","['', '']"
8010,r076,Idaho -> Private -> Northwest Nazarene U.,Idaho,Private,Northwest Nazarene U.,3,"['686', '']","['447', '']","['408', '']","['442', '']"
8010,r077,Illinois,Illinois,,,1,"['', '']","['', '']","['', '']","['', '']"
8010,r078,Illinois -> Public,Illinois,Public,,2,"['', '']","['', '']","['', '']","['', '']"
8010,r079,Illinois -> Public -> Chicago State U.,Illinois,Public,Chicago State U.,3,"['1,154', '']","['898', '']","['980', '']","['2,414', '']"
8010,r080,Illinois -> Public -> Eastern Illinois U.,Illinois,Public,Eastern Illinois U.,3,"['743', '']","['700', '']","['540', '']","['529', '']"
8010,r081,Illinois -> Public -> Governors State U.,Illinois,Public,Governors State U.,3,"['698', '']","['735', '']","['508', '']","['391', '']"
8010,r082,Illinois -> Private,Illinois,Private,,2,"['', '']","['', '']","['', '']","['', '']"
8010,r083,Illinois -> Private -> Augustana C.,Illinois,Private,Augustana C.,3,"['284', '']","['237', '']","['205', '']","['271', '']"
8010,r084,Illinois -> Private -> Bradley U.,Illinois,Private,Bradley U.,3,"['1,274', '']","['1,357', '']","['851', '']","['416', '']"
8010,r085,Illinois -> Private -> Elmhurst U.,Illinois,Private,Elmhurst U.,3,"['154', '']","['224', '']","['209', '']","['464', '']"
8010,r086,Illinois -> Private -> Illinois C. of Optometry,Illinois,Private,Illinois C. of Optometry,3,"['179', '']","['326', '']","['478', '']","['490', '']"
8010,r087,Illinois -> Private -> Lake Forest C.,Illinois,Private,Lake Forest C.,3,"['459', '']","['416', 'i']","['372', '']","['267', '']"
8010,r088,Indiana,Indiana,,,1,"['', '']","['', '']","['', '']","['', '']"
8010,r089,Indiana -> Public,Indiana,Public,,2,"['', '']","['', '']","['', '']","['', '']"
8010,r090,"Indiana -> Public -> Indiana U., Kokomo",Indiana,Public,"Indiana U., Kokomo",3,"['405', '']","['393', '']","['483', '']","['441', '']"
8010,r091,"Indiana -> Public -> Indiana U., Northwest",Indiana,Public,"Indiana U., Northwest",3,"['200', '']","['509', '']","['488', '']","['553', '']"
8010,r092,"Indiana -> Public -> Indiana U., Southeast",Indiana,Public,"Indiana U., Southeast",3,"['588', '']","['557', '']","['582', '']","['591', '']"
8010,r093,Indiana -> Public -> U. Southern Indiana,Indiana,Public,U. Southern Indiana,3,"['298', '']","['362', '']","['300', '']","['161', '']"
8010,r094,Indiana -> Private,Indiana,Private,,2,"['', '']","['', '']","['', '']","['', '']"
8010,r095,Indiana -> Private -> Butler U.,Indiana,Private,Butler U.,3,"['938', '']","['680', '']","['679', '']","['1,071', '']"
8010,r096,Indiana -> Private -> DePauw U.,Indiana,Private,DePauw U.,3,"['308', '']","['308', '']","['253', '']","['304', '']"
8010,r097,Indiana -> Private -> Earlham C.,Indiana,Private,Earlham C.,3,"['451', '']","['456', '']","['165', '']","['287', '']"
8010,r098,Indiana -> Private -> Indiana Wesleyan U.,Indiana,Private,Indiana Wesleyan U.,3,"['418', '']","['706', '']","['316', '']","['878', '']"
8010,r099,Indiana -> Private -> Manchester U.,Indiana,Private,Manchester U.,3,"['551', '']","['541', '']","['286', '']","['266', '']"
8010,r100,Indiana -> Private -> Taylor U.,Indiana,Private,Taylor U.,3,"['205', '']","['225', '']","['232', '']","['214', '']"
8010,r101,Indiana -> Private -> U. Evansville,Indiana,Private,U. Evansville,3,"['268', '']","['350', '']","['245', '']","['284', '']"
8010,r102,Indiana -> Private -> Valparaiso U.,Indiana,Private,Valparaiso U.,3,"['870', '']","['763', '']","['718', '']","['925', '']"
8010,r103,Iowa,Iowa,,,1,"['', '']","['', '']","['', '']","['', '']"
8010,r104,Iowa -> Private,Iowa,Private,,2,"['', '']","['', '']","['', '']","['', '']"
8010,r105,Iowa -> Private -> Coe C.,Iowa,Private,Coe C.,3,"['623', '']","['699', '']","['561', '']","['538', '']"
8010,r106,Iowa -> Private -> Cornell C.,Iowa,Private,Cornell C.,3,"['423', '']","['397', 'i']","['370', '']","['464', '']"
8010,r107,Iowa -> Private -> Luther C.,Iowa,Private,Luther C.,3,"['685', '']","['451', '']","['365', '']","['363', 'i']"
8010,r108,Kansas,Kansas,,,1,"['', '']","['', '']","['', '']","['', '']"
8010,r109,Kansas -> Public,Kansas,Public,,2,"['', '']","['', '']","['', '']","['', '']"
8010,r110,Kansas -> Public -> Emporia State U.,Kansas,Public,Emporia State U.,3,"['732', '']","['777', '']","['594', '']","['586', '']"
8010,r111,Kentucky,Kentucky,,,1,"['', '']","['', '']","['', '']","['', '']"
8010,r112,Kentucky -> Private,Kentucky,Private,,2,"['', '']","['', '']","['', '']","['', '']"
8010,r113,Kentucky -> Private -> Centre C.,Kentucky,Private,Centre C.,3,"['495', '']","['506', '']","['376', '']","['265', '']"
8010,r114,Louisiana,Louisiana,,,1,"['', '']","['', '']","['', '']","['', '']"
8010,r115,Louisiana -> Public,Louisiana,Public,,2,"['', '']","['', '']","['', '']","['', '']"
8010,r116,"Louisiana -> Public -> Louisiana State U., Shreveport",Louisiana,Public,"Louisiana State U., Shreveport",3,"['707', '']","['572', '']","['494', '']","['462', '']"
8010,r117,Louisiana -> Public -> McNeese State U.,Louisiana,Public,McNeese State U.,3,"['416', '']","['370', '']","['585', '']","['664', '']"
8010,r118,Louisiana -> Public -> Nicholls State U.,Louisiana,Public,Nicholls State U.,3,"['496', '']","['738', '']","['650', '']","['551', '']"
8010,r119,"Louisiana -> Public -> Southern U., New Orleans",Louisiana,Public,"Southern U., New Orleans",3,"['597', '']","['596', '']","['310', '']","['297', '']"
8010,r120,Louisiana -> Private,Louisiana,Private,,2,"['', '']","['', '']","['', '']","['', '']"
8010,r121,"Louisiana -> Private -> Loyola U., New Orleans",Louisiana,Private,"Loyola U., New Orleans",3,"['461', '']","['443', '']","['338', '']","['476', '']"
8010,r122,Maine,Maine,,,1,"['', '']","['', '']","['', '']","['', '']"
8010,r123,Maine -> Public,Maine,Public,,2,"['', '']","['', '']","['', '']","['', '']"
8010,r124,Maine -> Public -> U. Maine Farmington,Maine,Public,U. Maine Farmington,3,"['ne', '']","['526', 'i']","['961', 'i']","['996', 'i']"
8010,r125,Maryland,Maryland,,,1,"['', '']","['', '']","['', '']","['', '']"
8010,r126,Maryland -> Public,Maryland,Public,,2,"['', '']","['', '']","['', '']","['', '']"
8010,r127,Maryland -> Public -> Coppin State U.,Maryland,Public,Coppin State U.,3,"['233', '']","['243', '']","['202', '']","['299', '']"
8010,r128,Maryland -> Public -> St. Mary's C. Maryland,Maryland,Public,St. Mary's C. Maryland,3,"['295', '']","['369', '']","['556', '']","['349', '']"
8010,r129,Maryland -> Private,Maryland,Private,,2,"['', '']","['', '']","['', '']","['', '']"
8010,r130,Maryland -> Private -> Goucher C.,Maryland,Private,Goucher C.,3,"['328', '']","['450', '']","['245', '']","['255', '']"
8010,r131,"Maryland -> Private -> Loyola U., Maryland",Maryland,Private,"Loyola U., Maryland",3,"['614', '']","['663', '']","['672', '']","['628', '']"
8010,r132,Maryland -> Private -> Maryland Institute C. of Art,Maryland,Private,Maryland Institute C. of Art,3,"['624', '']","['494', '']","['618', '']","['634', '']"
8010,r133,Massachusetts,Massachusetts,,,1,"['', '']","['', '']","['', '']","['', '']"
8010,r134,Massachusetts -> Public,Massachusetts,Public,,2,"['', '']","['', '']","['', '']","['', '']"
8010,r135,Massachusetts -> Public -> Bridgewater State U.,Massachusetts,Public,Bridgewater State U.,3,"['190', '']","['331', '']","['345', '']","['522', '']"
8010,r136,Massachusetts -> Private,Massachusetts,Private,,2,"['', '']","['', '']","['', '']","['', '']"
8010,r137,Massachusetts -> Private -> Bentley U.,Massachusetts,Private,Bentley U.,3,"['620', '']","['465', '']","['777', '']","['1,430', '']"
8010,r138,Massachusetts -> Private -> C. of the Holy Cross,Massachusetts,Private,C. of the Holy Cross,3,"['612', '']","['477', '']","['321', '']","['445', '']"
8010,r139,Massachusetts -> Private -> Emerson C.,Massachusetts,Private,Emerson C.,3,"['2,059', '']","['1,145', '']","['919', '']","['581', '']"
8010,r140,Massachusetts -> Private -> Hult International Business School,Massachusetts,Private,Hult International Business School,3,"['973', 'i']","['959', 'i']","['910', 'i']","['953', 'i']"
8010,r141,Massachusetts -> Private -> MCPHS U.,Massachusetts,Private,MCPHS U.,3,"['600', '']","['606', '']","['473', '']","['346', '']"
8010,r142,Massachusetts -> Private -> Merrimack C.,Massachusetts,Private,Merrimack C.,3,"['796', '']","['1,097', '']","['503', '']","['407', '']"
8010,r143,Massachusetts -> Private -> Simmons U.,Massachusetts,Private,Simmons U.,3,"['386', '']","['472', '']","['604', '']","['487', '']"
8010,r144,Massachusetts -> Private -> Stonehill C.,Massachusetts,Private,Stonehill C.,3,"['977', '']","['1,019', '']","['833', '']","['695', '']"
8010,r145,Massachusetts -> Private -> Western New England U.,Massachusetts,Private,Western New England U.,3,"['479', '']","['283', '']","['505', '']","['1,973', '']"
8010,r146,"Massachusetts -> Private -> Wheaton C., Norton",Massachusetts,Private,"Wheaton C., Norton",3,"['185', '']","['240', '']","['281', '']","['186', '']"
8010,r147,Michigan,Michigan,,,1,"['', '']","['', '']","['', '']","['', '']"
8010,r148,Michigan -> Public,Michigan,Public,,2,"['', '']","['', '']","['', '']","['', '']"
8010,r149,Michigan -> Public -> Ferris State U.,Michigan,Public,Ferris State U.,3,"['597', '']","['366', '']","['394', '']","['853', '']"
8010,r150,Michigan -> Public -> Lake Superior State U.,Michigan,Public,Lake Superior State U.,3,"['633', '']","['830', '']","['935', '']","['1,226', '']"
8010,r151,Michigan -> Private,Michigan,Private,,2,"['', '']","['', '']","['', '']","['', '']"
8010,r152,Michigan -> Private -> Kalamazoo C.,Michigan,Private,Kalamazoo C.,3,"['644', 'i']","['635', 'i']","['603', 'i']","['600', 'i']"
8010,r153,Minnesota,Minnesota,,,1,"['', '']","['', '']","['', '']","['', '']"
8010,r154,Minnesota -> Public,Minnesota,Public,,2,"['', '']","['', '']","['', '']","['', '']"
8010,r155,Minnesota -> Public -> Metropolitan State U.,Minnesota,Public,Metropolitan State U.,3,"['ne', '']","['150', 'i']","['156', 'i']","['162', 'i']"
8010,r156,"Minnesota -> Public -> Minnesota State U., Moorhead",Minnesota,Public,"Minnesota State U., Moorhead",3,"['327', '']","['209', '']","['169', '']","['462', '']"
8010,r157,"Minnesota -> Public -> U. Minnesota, Rochester",Minnesota,Public,"U. Minnesota, Rochester",3,"['636', '']","['639', '']","['733', '']","['730', '']"
8010,r158,Minnesota -> Private,Minnesota,Private,,2,"['', '']","['', '']","['', '']","['', '']"
8010,r159,Minnesota -> Private -> Augsburg U.,Minnesota,Private,Augsburg U.,3,"['1,051', '']","['991', '']","['883', '']","['815', '']"
8010,r160,"Minnesota -> Private -> Concordia C., Moorhead",Minnesota,Private,"Concordia C., Moorhead",3,"['ne', '']","['ne', '']","['275', '']","['308', '']"
8010,r161,Minnesota -> Private -> Gustavus Adolphus C.,Minnesota,Private,Gustavus Adolphus C.,3,"['597', '']","['808', '']","['843', '']","['953', '']"
8010,r162,Minnesota -> Private -> Hamline U.,Minnesota,Private,Hamline U.,3,"['ne', '']","['ne', '']","['ne', '']","['493', '']"
8010,r163,Minnesota -> Private -> Saint Mary's U. Minnesota,Minnesota,Private,Saint Mary's U. Minnesota,3,"['680', '']","['603', '']","['610', '']","['640', '']"
8010,r164,Minnesota -> Private -> St. Catherine U.,Minnesota,Private,St. Catherine U.,3,"['814', '']","['267', '']","['963', '']","['1,157', '']"
8010,r165,Mississippi,Mississippi,,,1,"['', '']","['', '']","['', '']","['', '']"
8010,r166,Mississippi -> Public,Mississippi,Public,,2,"['', '']","['', '']","['', '']","['', '']"
8010,r167,Mississippi -> Public -> Delta State U.,Mississippi,Public,Delta State U.,3,"['489', '']","['204', '']","['592', '']","['238', '']"
8010,r168,Mississippi -> Public -> Mississippi Valley State U.,Mississippi,Public,Mississippi Valley State U.,3,"['944', '']","['986', '']","['653', '']","['391', '']"
8010,r169,Mississippi -> Private,Mississippi,Private,,2,"['', '']","['', '']","['', '']","['', '']"
8010,r170,Mississippi -> Private -> Millsaps C.,Mississippi,Private,Millsaps C.,3,"['552', '']","['243', '']","['228', '']","['636', '']"
8010,r171,Missouri,Missouri,,,1,"['', '']","['', '']","['', '']","['', '']"
8010,r172,Missouri -> Public,Missouri,Public,,2,"['', '']","['', '']","['', '']","['', '']"
8010,r173,Missouri -> Public -> Missouri Western State U.,Missouri,Public,Missouri Western State U.,3,"['500', '']","['176', '']","['306', '']","['214', '']"
8010,r174,Missouri -> Public -> Northwest Missouri State U.,Missouri,Public,Northwest Missouri State U.,3,"['234', '']","['192', '']","['239', '']","['190', '']"
8010,r175,Missouri -> Public -> Southeast Missouri State U.,Missouri,Public,Southeast Missouri State U.,3,"['511', '']","['372', '']","['232', '']","['228', '']"
8010,r176,Missouri -> Public -> Truman State U.,Missouri,Public,Truman State U.,3,"['332', '']","['285', '']","['296', '']","['237', '']"
8010,r177,Missouri -> Public -> U. Central Missouri,Missouri,Public,U. Central Missouri,3,"['315', '']","['415', '']","['401', '']","['495', '']"
8010,r178,Missouri -> Private,Missouri,Private,,2,"['', '']","['', '']","['', '']","['', '']"
8010,r179,Missouri -> Private -> A. T. Still U. of Health Sciences,Missouri,Private,A. T. Still U. of Health Sciences,3,"['1,492', '']","['644', '']","['656', '']","['448', '']"
8010,r180,Missouri -> Private -> Graduate School of the Stowers Institute for Medical Research,Missouri,Private,Graduate School of the Stowers Institute for Medical Research,3,"['ne', '']","['ne', '']","['416', '']","['555', '']"
8010,r181,Montana,Montana,,,1,"['', '']","['', '']","['', '']","['', '']"
8010,r182,Montana -> Public,Montana,Public,,2,"['', '']","['', '']","['', '']","['', '']"
8010,r183,"Montana -> Public -> Montana State U., Billings",Montana,Public,"Montana State U., Billings",3,"['593', '']","['545', '']","['399', '']","['522', '']"
8010,r184,"Montana -> Public -> Montana State U., Northern",Montana,Public,"Montana State U., Northern",3,"['258', '']","['236', '']","['322', '']","['372', '']"
8010,r185,Montana -> Public -> Salish Kootenai C.,Montana,Public,Salish Kootenai C.,3,"['1,741', '']","['1,252', '']","['807', '']","['596', '']"
8010,r186,Nevada,Nevada,,,1,"['', '']","['', '']","['', '']","['', '']"
8010,r187,Nevada -> Public,Nevada,Public,,2,"['', '']","['', '']","['', '']","['', '']"
8010,r188,Nevada -> Public -> C. Southern Nevada,Nevada,Public,C. Southern Nevada,3,"['211', '']","['232', '']","['194', '']","['335', '']"
8010,r189,Nevada -> Public -> Nevada State C.,Nevada,Public,Nevada State C.,3,"['796', '']","['701', '']","['561', '']","['1,014', '']"
8010,r190,New Hampshire,New Hampshire,,,1,"['', '']","['', '']","['', '']","['', '']"
8010,r191,New Hampshire -> Public,New Hampshire,Public,,2,"['', '']","['', '']","['', '']","['', '']"
8010,r192,New Hampshire -> Public -> Plymouth State U.,New Hampshire,Public,Plymouth State U.,3,"['990', '']","['880', '']","['664', '']","['2,318', '']"
8010,r193,New Jersey,New Jersey,,,1,"['', '']","['', '']","['', '']","['', '']"
8010,r194,New Jersey -> Public,New Jersey,Public,,2,"['', '']","['', '']","['', '']","['', '']"
8010,r195,New Jersey -> Public -> New Jersey City U.,New Jersey,Public,New Jersey City U.,3,"['8,211', '']","['5,961', '']","['262', '']","['169', '']"
8010,r196,New Jersey -> Public -> Ramapo C. New Jersey,New Jersey,Public,Ramapo C. New Jersey,3,"['401', '']","['351', '']","['441', '']","['408', '']"
8010,r197,New Jersey -> Private,New Jersey,Private,,2,"['', '']","['', '']","['', '']","['', '']"
8010,r198,New Jersey -> Private -> Fairleigh Dickinson U.,New Jersey,Private,Fairleigh Dickinson U.,3,"['917', '']","['791', '']","['656', '']","['318', '']"
8010,r199,New Jersey -> Private -> Rider U.,New Jersey,Private,Rider U.,3,"['1,363', '']","['228', '']","['170', '']","['322', '']"
8010,r200,New Mexico,New Mexico,,,1,"['', '']","['', '']","['', '']","['', '']"
8010,r201,New Mexico -> Public,New Mexico,Public,,2,"['', '']","['', '']","['', '']","['', '']"
8010,r202,"New Mexico -> Public -> Eastern New Mexico U., Portales",New Mexico,Public,"Eastern New Mexico U., Portales",3,"['341', '']","['292', '']","['358', '']","['355', '']"
8010,r203,New Mexico -> Public -> Northern New Mexico C.,New Mexico,Public,Northern New Mexico C.,3,"['844', '']","['581', '']","['404', '']","['350', '']"
8010,r204,New York,New York,,,1,"['', '']","['', '']","['', '']","['', '']"
8010,r205,New York -> Public,New York,Public,,2,"['', '']","['', '']","['', '']","['', '']"
8010,r206,"New York -> Public -> CUNY, Medgar Evers C.",New York,Public,"CUNY, Medgar Evers C.",3,"['2,062', '']","['1,397', '']","['882', '']","['694', '']"
8010,r207,"New York -> Public -> SUNY, C. Cortland",New York,Public,"SUNY, C. Cortland",3,"['463', '']","['527', '']","['255', '']","['381', '']"
8010,r208,"New York -> Public -> SUNY, C. of Technology, Canton",New York,Public,"SUNY, C. of Technology, Canton",3,"['ne', '']","['ne', '']","['ne', '']","['1,794', '']"
8010,r209,"New York -> Public -> SUNY, C. Old Westbury",New York,Public,"SUNY, C. Old Westbury",3,"['ne', '']","['ne', '']","['150', 'i']","['155', 'i']"
8010,r210,"New York -> Public -> SUNY, Cobleskill",New York,Public,"SUNY, Cobleskill",3,"['ne', '']","['ne', '']","['625', '']","['1,106', '']"
8010,r211,"New York -> Public -> SUNY, Delhi",New York,Public,"SUNY, Delhi",3,"['280', '']","['634', '']","['726', '']","['201', '']"
8010,r212,"New York -> Public -> SUNY, Empire State C.",New York,Public,"SUNY, Empire State C.",3,"['ne', '']","['ne', '']","['ne', '']","['248', '']"
8010,r213,"New York -> Public -> SUNY, Farmingdale State C.",New York,Public,"SUNY, Farmingdale State C.",3,"['ne', '']","['ne', '']","['589', '']","['606', '']"
8010,r214,"New York -> Public -> SUNY, Morrisville",New York,Public,"SUNY, Morrisville",3,"['170', '']","['ne', '']","['ne', '']","['155', '']"
