table_id,row_id,_b_ffrdc_b_full_path,_b_ffrdc_b_level_1,_b_ffrdc_b_level_2,_b_ffrdc_b_level_3,_b_ffrdc_b_level_4,_b_ffrdc_b_hierarchy_depth,field_total_r_d,field_funding_agency_dhs,field_funding_agency_doc,field_funding_agency_dod,field_funding_agency_doe,field_funding_agency_hhs_,field_funding_agency_nasa,field_funding_agency_nsf,field_funding_agency_othera
10247,r018,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Ames Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Ames Laboratory,4,30513,0,0,0,30513,0,0,0,0
10247,r019,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Argonne National Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Argonne National Laboratory,4,660504,60,0,5035,648417,4228,0,0,2766
10247,r020,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Brookhaven National Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Brookhaven National Laboratory,4,513814,524,0,0,502770,3600,6186,0,734
10247,r021,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Fermi National Accelerator Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Fermi National Accelerator Laboratory,4,297623,0,0,0,297623,0,0,0,0
10247,r022,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Idaho National Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Idaho National Laboratory,4,270623,3112,0,3759,258846,0,250,0,4655
10247,r023,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Lawrence Berkeley National Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Lawrence Berkeley National Laboratory,4,831585,0,0,12905,797934,18015,2731,0,0
10247,r024,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Lawrence Livermore National Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Lawrence Livermore National Laboratory,4,1142047,12915,0,79345,1043664,1219,1550,0,3354
10247,r025,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Los Alamos National Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Los Alamos National Laboratory,4,942044,1000,0,46194,875961,5632,11537,0,1720
10247,r026,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> National Renewable Energy Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,National Renewable Energy Laboratory,4,457685,0,0,4074,453297,0,0,0,313
10247,r027,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Oak Ridge National Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Oak Ridge National Laboratory,4,1169440,685,0,34976,1123627,616,0,0,9536
10247,r028,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Pacific Northwest National Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Pacific Northwest National Laboratory,4,485925,1721,0,26124,433499,21380,0,0,3201
10247,r029,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Princeton Plasma Physics Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Princeton Plasma Physics Laboratory,4,126515,0,0,0,126515,0,0,0,0
10247,r030,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> SLAC National Accelerator Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,SLAC National Accelerator Laboratory,4,334039,441,0,828,330759,2012,0,0,0
10247,r031,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Sandia National Laboratories,All agencies sponsoring FFRDCs,Departments,Department of Energy,Sandia National Laboratories,4,1036941,420,0,232393,796122,1485,1143,0,5379
10247,r032,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Savannah River National Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Savannah River National Laboratory,4,69359,482,0,17470,51407,0,0,0,0
10247,r033,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Thomas Jefferson National Accelerator Facility,All agencies sponsoring FFRDCs,Departments,Department of Energy,Thomas Jefferson National Accelerator Facility,4,185688,0,0,52170,133518,0,0,0,0
10247,r034,All agencies sponsoring FFRDCs -> Departments -> Department of Health and Human Services,All agencies sponsoring FFRDCs,Departments,Department of Health and Human Services,,3,686855,15788,0,386,0,670681,0,0,0
10247,r035,All agencies sponsoring FFRDCs -> Departments -> Department of Health and Human Services -> CMS Alliance to Modernize Healthcare,All agencies sponsoring FFRDCs,Departments,Department of Health and Human Services,CMS Alliance to Modernize Healthcare,4,13819,0,0,0,0,13819,0,0,0
10247,r036,All agencies sponsoring FFRDCs -> Departments -> Department of Health and Human Services -> Frederick National Laboratory for Cancer Research,All agencies sponsoring FFRDCs,Departments,Department of Health and Human Services,Frederick National Laboratory for Cancer Research,4,673036,15788,0,386,0,656862,0,0,0
10247,r037,All agencies sponsoring FFRDCs -> Departments -> Department of Homeland Security,All agencies sponsoring FFRDCs,Departments,Department of Homeland Security,,3,39749,33955,0,5794,0,0,0,0,0
10247,r038,All agencies sponsoring FFRDCs -> Departments -> Department of Homeland Security -> Homeland Security Operational Analysis Center,All agencies sponsoring FFRDCs,Departments,Department of Homeland Security,Homeland Security Operational Analysis Center,4,6346,6346,0,0,0,0,0,0,0
10247,r039,All agencies sponsoring FFRDCs -> Departments -> Department of Homeland Security -> Homeland Security Systems Engineering and Development Institute,All agencies sponsoring FFRDCs,Departments,Department of Homeland Security,Homeland Security Systems Engineering and Development Institute,4,33404,27610,0,5794,0,0,0,0,0
10247,r040,All agencies sponsoring FFRDCs -> Departments -> Department of Justice,All agencies sponsoring FFRDCs,Departments,Department of Justice,,3,4362,0,0,0,0,0,0,0,4362
10247,r041,All agencies sponsoring FFRDCs -> Departments -> Department of Justice -> Judiciary Engineering and Modernization Center,All agencies sponsoring FFRDCs,Departments,Department of Justice,Judiciary Engineering and Modernization Center,4,4362,0,0,0,0,0,0,0,4362
10247,r042,All agencies sponsoring FFRDCs -> Departments -> Department of Transportation,All agencies sponsoring FFRDCs,Departments,Department of Transportation,,3,101961,0,0,17607,0,0,0,0,84354
10247,r043,All agencies sponsoring FFRDCs -> Departments -> Department of Transportation -> Center for Advanced Aviation System Development,All agencies sponsoring FFRDCs,Departments,Department of Transportation,Center for Advanced Aviation System Development,4,101961,0,0,17607,0,0,0,0,84354
10247,r044,"All agencies sponsoring FFRDCs -> Departments -> Departments of Treasury and Veterans Affairs, and the Social Security Administration",All agencies sponsoring FFRDCs,Departments,"Departments of Treasury and Veterans Affairs, and the Social Security Administration",,3,127526,0,0,35979,0,0,0,0,91547
10247,r045,"All agencies sponsoring FFRDCs -> Departments -> Departments of Treasury and Veterans Affairs, and the Social Security Administration -> Center for Enterprise Modernization",All agencies sponsoring FFRDCs,Departments,"Departments of Treasury and Veterans Affairs, and the Social Security Administration",Center for Enterprise Modernization,4,127526,0,0,35979,0,0,0,0,91547
10247,r046,All agencies sponsoring FFRDCs -> Other agencies,All agencies sponsoring FFRDCs,Other agencies,,,2,,,,,,,,,
10247,r047,All agencies sponsoring FFRDCs -> Other agencies -> National Aeronautics and Space Administration,All agencies sponsoring FFRDCs,Other agencies,National Aeronautics and Space Administration,,3,2007599,0,0,15132,0,0,1992218,0,250
10247,r048,All agencies sponsoring FFRDCs -> Other agencies -> National Aeronautics and Space Administration -> Jet Propulsion Laboratory,All agencies sponsoring FFRDCs,Other agencies,National Aeronautics and Space Administration,Jet Propulsion Laboratory,4,2007599,0,0,15132,0,0,1992218,0,250
10247,r049,All agencies sponsoring FFRDCs -> Other agencies -> National Science Foundation,All agencies sponsoring FFRDCs,Other agencies,National Science Foundation,,3,297129,0,794,2309,315,0,0,293711,0
10247,r050,All agencies sponsoring FFRDCs -> Other agencies -> National Science Foundation -> Green Bank Observatory,All agencies sponsoring FFRDCs,Other agencies,National Science Foundation,Green Bank Observatory,4,8900,0,0,0,0,0,0,8900,0
10247,r051,All agencies sponsoring FFRDCs -> Other agencies -> National Science Foundation -> NSF's National Optical-Infrared Astronomy Research Laboratory,All agencies sponsoring FFRDCs,Other agencies,National Science Foundation,NSF's National Optical-Infrared Astronomy Research Laboratory,4,60317,0,0,0,0,0,0,60317,0
10247,r052,All agencies sponsoring FFRDCs -> Other agencies -> National Science Foundation -> National Center for Atmospheric Research,All agencies sponsoring FFRDCs,Other agencies,National Science Foundation,National Center for Atmospheric Research,4,106662,0,794,1767,0,0,0,104100,0
10247,r053,All agencies sponsoring FFRDCs -> Other agencies -> National Science Foundation -> National Radio Astronomy Observatory,All agencies sponsoring FFRDCs,Other agencies,National Science Foundation,National Radio Astronomy Observatory,4,98205,0,0,0,0,0,0,98205,0
10247,r054,All agencies sponsoring FFRDCs -> Other agencies -> National Science Foundation -> National Solar Observatory,All agencies sponsoring FFRDCs,Other agencies,National Science Foundation,National Solar Observatory,4,22188,0,0,0,0,0,0,22188,0
10247,r055,All agencies sponsoring FFRDCs -> Other agencies -> National Science Foundation -> Science and Technology Policy Institute,All agencies sponsoring FFRDCs,Other agencies,National Science Foundation,Science and Technology Policy Institute,4,857,0,0,542,315,0,0,0,0
10247,r056,All agencies sponsoring FFRDCs -> Other agencies -> Nuclear Regulatory Commission,All agencies sponsoring FFRDCs,Other agencies,Nuclear Regulatory Commission,,3,22918,0,0,20718,0,0,0,0,2201
10247,r057,All agencies sponsoring FFRDCs -> Other agencies -> Nuclear Regulatory Commission -> Center for Nuclear Waste Regulatory Analyses,All agencies sponsoring FFRDCs,Other agencies,Nuclear Regulatory Commission,Center for Nuclear Waste Regulatory Analyses,4,22918,0,0,20718,0,0,0,0,2201
