table_id,row_id,citizenship_field_race_and_ethnicity_full_path,citizenship_field_race_and_ethnicity_level_1,citizenship_field_race_and_ethnicity_level_2,citizenship_field_race_and_ethnicity_level_3,citizenship_field_race_and_ethnicity_level_4,citizenship_field_race_and_ethnicity_level_5,citizenship_field_race_and_ethnicity_level_6,citizenship_field_race_and_ethnicity_level_7,citizenship_field_race_and_ethnicity_level_8,citizenship_field_race_and_ethnicity_level_9,citizenship_field_race_and_ethnicity_level_10,citizenship_field_race_and_ethnicity_hierarchy_depth,field_2000,field_2001,field_2002,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017
1567,r053,"All citizenships, races, and ethnicities -> U.S. citizen or permanent resident -> All fields -> S&E -> Engineering -> Materials","All citizenships, races, and ethnicities",U.S. citizen or permanent resident,All fields,S&E,Engineering,Materials,,,,,6,240,217,172,198,205,191,242,286,284,281,316,283,363,348,348,374,415,437
1567,r054,"All citizenships, races, and ethnicities -> U.S. citizen or permanent resident -> All fields -> S&E -> Engineering -> Mechanical","All citizenships, races, and ethnicities",U.S. citizen or permanent resident,All fields,S&E,Engineering,Mechanical,,,,,6,384,414,335,336,307,338,388,376,406,472,425,505,556,614,643,683,680,654
1567,r055,"All citizenships, races, and ethnicities -> U.S. citizen or permanent resident -> All fields -> S&E -> Engineering -> Other","All citizenships, races, and ethnicities",U.S. citizen or permanent resident,All fields,S&E,Engineering,Other,,,,,6,479,477,429,482,515,502,608,718,811,876,955,1063,1065,1208,1309,1304,1336,1348
1567,r056,"All citizenships, races, and ethnicities -> U.S. citizen or permanent resident -> All fields -> S&E -> Science","All citizenships, races, and ethnicities",U.S. citizen or permanent resident,All fields,S&E,Science,,,,,,5,16745,16820,16849,17494,18789,20661,22102,24289,24414,24379,20599,21583,22167,23086,24334,24718,25020,25563
1567,r057,"All citizenships, races, and ethnicities -> U.S. citizen or permanent resident -> All fields -> S&E -> Science -> Natural sciences","All citizenships, races, and ethnicities",U.S. citizen or permanent resident,All fields,S&E,Science,Natural sciences,,,,,6,9779,9682,10048,10765,11872,13661,15139,17116,17248,17699,14237,14614,15112,15546,16333,16579,17091,17659
1567,r058,"All citizenships, races, and ethnicities -> U.S. citizen or permanent resident -> All fields -> S&E -> Science -> Natural sciences -> Agricultural sciences","All citizenships, races, and ethnicities",U.S. citizen or permanent resident,All fields,S&E,Science,Natural sciences,Agricultural sciences,,,,7,553,544,549,626,601,611,640,643,668,715,639,660,694,770,755,888,849,825
1567,r059,"All citizenships, races, and ethnicities -> U.S. citizen or permanent resident -> All fields -> S&E -> Science -> Natural sciences -> Biological sciences","All citizenships, races, and ethnicities",U.S. citizen or permanent resident,All fields,S&E,Science,Natural sciences,Biological sciences,,,,7,3724,3579,3443,3901,4118,4330,4377,4713,5091,5310,5447,5513,5705,5710,5957,5720,5740,5930
1567,r060,"All citizenships, races, and ethnicities -> U.S. citizen or permanent resident -> All fields -> S&E -> Science -> Natural sciences -> Earth, atmospheric, and ocean sciences","All citizenships, races, and ethnicities",U.S. citizen or permanent resident,All fields,S&E,Science,Natural sciences,"Earth, atmospheric, and ocean sciences",,,,7,409,362,368,376,356,360,389,481,436,477,481,472,498,540,583,566,610,622
1567,r061,"All citizenships, races, and ethnicities -> U.S. citizen or permanent resident -> All fields -> S&E -> Science -> Natural sciences -> Earth, atmospheric, and ocean sciences -> Atmospheric sciences","All citizenships, races, and ethnicities",U.S. citizen or permanent resident,All fields,S&E,Science,Natural sciences,"Earth, atmospheric, and ocean sciences",Atmospheric sciences,,,8,57,40,43,46,45,54,45,48,58,68,50,83,75,91,85,99,96,106
1567,r062,"All citizenships, races, and ethnicities -> U.S. citizen or permanent resident -> All fields -> S&E -> Science -> Natural sciences -> Earth, atmospheric, and ocean sciences -> Earth sciences","All citizenships, races, and ethnicities",U.S. citizen or permanent resident,All fields,S&E,Science,Natural sciences,"Earth, atmospheric, and ocean sciences",Earth sciences,,,8,280,258,266,259,245,244,296,347,302,333,350,312,339,363,395,391,411,427
1567,r063,"All citizenships, races, and ethnicities -> U.S. citizen or permanent resident -> All fields -> S&E -> Science -> Natural sciences -> Earth, atmospheric, and ocean sciences -> Oceanography","All citizenships, races, and ethnicities",U.S. citizen or permanent resident,All fields,S&E,Science,Natural sciences,"Earth, atmospheric, and ocean sciences",Oceanography,,,8,72,64,59,71,66,62,48,86,76,76,81,77,84,86,103,76,103,89
1567,r064,"All citizenships, races, and ethnicities -> U.S. citizen or permanent resident -> All fields -> S&E -> Science -> Natural sciences -> Mathematics and computer sciences","All citizenships, races, and ethnicities",U.S. citizen or permanent resident,All fields,S&E,Science,Natural sciences,Mathematics and computer sciences,,,,7,990,920,848,926,963,1040,1134,1325,1338,1518,1645,1621,1671,1761,1823,1764,1798,1827
1567,r065,"All citizenships, races, and ethnicities -> U.S. citizen or permanent resident -> All fields -> S&E -> Science -> Natural sciences -> Mathematics and computer sciences -> Computer sciences","All citizenships, races, and ethnicities",U.S. citizen or permanent resident,All fields,S&E,Science,Natural sciences,Mathematics and computer sciences,Computer sciences,,,8,402,395,410,413,455,500,551,680,667,730,782,772,819,849,875,864,816,845
