table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_all_othersa
12545,r034,United States<sup>b</sup> -> New York,United States<sup>b</sup>,New York,2,486576578,213112444,273464134
12545,r035,United States<sup>b</sup> -> North Carolina,United States<sup>b</sup>,North Carolina,2,36106613,7435519,28671094
12545,r036,United States<sup>b</sup> -> North Dakota,United States<sup>b</sup>,North Dakota,2,25822123,2813356,23008767
12545,r037,United States<sup>b</sup> -> Ohio,United States<sup>b</sup>,Ohio,2,117471257,6092750,111378507
12545,r038,United States<sup>b</sup> -> Oklahoma,United States<sup>b</sup>,Oklahoma,2,28885260,7359723,21525537
12545,r039,United States<sup>b</sup> -> Oregon,United States<sup>b</sup>,Oregon,2,40257488,16966844,23290644
12545,r040,United States<sup>b</sup> -> Pennsylvania,United States<sup>b</sup>,Pennsylvania,2,99487575,12247746,87239829
12545,r041,United States<sup>b</sup> -> Rhode Island,United States<sup>b</sup>,Rhode Island,2,4635868,3666349,969519
12545,r042,United States<sup>b</sup> -> South Carolina,United States<sup>b</sup>,South Carolina,2,53419952,34218558,19201394
12545,r043,United States<sup>b</sup> -> South Dakota,United States<sup>b</sup>,South Dakota,2,5227211,1549087,3678124
12545,r044,United States<sup>b</sup> -> Tennessee,United States<sup>b</sup>,Tennessee,2,67457255,21382255,46075000
12545,r045,United States<sup>b</sup> -> Texas,United States<sup>b</sup>,Texas,2,282261790,29590735,252671055
12545,r046,United States<sup>b</sup> -> Utah,United States<sup>b</sup>,Utah,2,10119476,1301894,8817582
12545,r047,United States<sup>b</sup> -> Vermont,United States<sup>b</sup>,Vermont,2,2833206,2608039,225167
12545,r048,United States<sup>b</sup> -> Virginia,United States<sup>b</sup>,Virginia,2,57260560,21236524,36024036
12545,r049,United States<sup>b</sup> -> Washington,United States<sup>b</sup>,Washington,2,60479947,16343423,44136524
12545,r050,United States<sup>b</sup> -> West Virginia,United States<sup>b</sup>,West Virginia,2,8731717,3970816,4760901
12545,r051,United States<sup>b</sup> -> Wisconsin,United States<sup>b</sup>,Wisconsin,2,16366530,10491049,5875481
12545,r052,United States<sup>b</sup> -> Wyoming,United States<sup>b</sup>,Wyoming,2,9886086,4067042,5819044
12545,r053,Puerto Rico<sup>c</sup>,Puerto Rico<sup>c</sup>,,1,47543226,23575491,23967735
