table_id,row_id,size_of_company_number_of_domestic_employees_full_path,size_of_company_number_of_domestic_employees_level_1,size_of_company_number_of_domestic_employees_level_2,size_of_company_number_of_domestic_employees_level_3,size_of_company_number_of_domestic_employees_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019
6311,r031,All business domestic R&D<sup>a</sup> -> Small companies -> 10&#8211;19<sup>c</sup>,All business domestic R&D<sup>a</sup>,Small companies,10&#8211;19<sup>c</sup>,3,"['NA', '']","['NA', '']","['NA', '']","['NA', '']","['NA', '']","['1.6', '']","['1.3', '']","['0.8', '']","['1.0', '']","['1.1', '']"
6311,r032,All business domestic R&D<sup>a</sup> -> Small companies -> 20&#8211;49<sup>c</sup>,All business domestic R&D<sup>a</sup>,Small companies,20&#8211;49<sup>c</sup>,3,"['NA', '']","['NA', '']","['NA', '']","['NA', '']","['NA', '']","['2.9', '']","['2.5', '']","['2.3', '']","['2.5', '']","['2.5', '']"
6311,r033,All business domestic R&D<sup>a</sup> -> Medium companies,All business domestic R&D<sup>a</sup>,Medium companies,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6311,r034,All business domestic R&D<sup>a</sup> -> Medium companies -> 50&#8211;99,All business domestic R&D<sup>a</sup>,Medium companies,50&#8211;99,3,"['3.2', '']","['3.2', '']","['3.0', '']","['2.8', '']","['3.0', '']","['3.2', '']","['2.4', '']","['2.5', '']","['2.8', '']","['2.8', '']"
6311,r035,All business domestic R&D<sup>a</sup> -> Medium companies -> 100&#8211;249,All business domestic R&D<sup>a</sup>,Medium companies,100&#8211;249,3,"['4.3', '']","['4.3', '']","['4.1', '']","['4.2', '']","['4.0', '']","['3.8', '']","['3.9', '']","['4.2', '']","['4.2', '']","['4.0', '']"
6311,r036,All business domestic R&D<sup>a</sup> -> Large companies,All business domestic R&D<sup>a</sup>,Large companies,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6311,r037,All business domestic R&D<sup>a</sup> -> Large companies -> 250&#8211;499,All business domestic R&D<sup>a</sup>,Large companies,250&#8211;499,3,"['3.7', '']","['4.4', '']","['3.7', '']","['3.8', '']","['3.6', '']","['3.8', '']","['3.4', '']","['3.5', '']","['4.4', '']","['3.8', '']"
6311,r038,All business domestic R&D<sup>a</sup> -> Large companies -> 500&#8211;999,All business domestic R&D<sup>a</sup>,Large companies,500&#8211;999,3,"['3.6', '']","['3.4', '']","['3.8', '']","['3.7', '']","['3.9', '']","['4.3', '']","['3.8', '']","['4.4', '']","['4.0', '']","['4.8', '']"
6311,r039,"All business domestic R&D<sup>a</sup> -> Large companies -> 1,000&#8211;4,999",All business domestic R&D<sup>a</sup>,Large companies,"1,000&#8211;4,999",3,"['17.3', '']","['17.2', '']","['16.8', '']","['17.2', '']","['16.9', '']","['16.3', '']","['16.9', '']","['16.0', '']","['15.4', '']","['15.2', '']"
6311,r040,"All business domestic R&D<sup>a</sup> -> Large companies -> 5,000&#8211;9,999",All business domestic R&D<sup>a</sup>,Large companies,"5,000&#8211;9,999",3,"['9.8', '']","['8.5', '']","['10.1', '']","['9.8', '']","['11.2', '']","['10.9', '']","['10.7', '']","['9.9', '']","['10.2', '']","['10.2', '']"
6311,r041,"All business domestic R&D<sup>a</sup> -> Large companies -> 10,000&#8211;24,999",All business domestic R&D<sup>a</sup>,Large companies,"10,000&#8211;24,999",3,"['15.0', '']","['16.7', '']","['16.4', '']","['15.9', '']","['16.0', '']","['16.7', '']","['17.3', '']","['18.1', '']","['18.9', '']","['17.7', '']"
6311,r042,"All business domestic R&D<sup>a</sup> -> Large companies -> 25,000 or more",All business domestic R&D<sup>a</sup>,Large companies,"25,000 or more",3,"['35.5', '']","['34.9', '']","['36.4', '']","['37.0', '']","['36.0', '']","['35.6', '']","['36.0', '']","['36.8', '']","['35.7', '']","['36.9', '']"
