table_id,row_id,ethnicity_race_and_citizenship_status_full_path,ethnicity_race_and_citizenship_status_level_1,ethnicity_race_and_citizenship_status_level_2,ethnicity_race_and_citizenship_status_level_3,ethnicity_race_and_citizenship_status_level_4,ethnicity_race_and_citizenship_status_hierarchy_depth,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021
7525,r014,All doctorate recipients -> Not Hispanic or Latino -> Asian,All doctorate recipients,Not Hispanic or Latino,Asian,,3,12311,12850,13430,13556,13833,14052,14260,14801,15181,15094,14595
7525,r015,All doctorate recipients -> Not Hispanic or Latino -> Asian -> U.S. citizen or permanent resident,All doctorate recipients,Not Hispanic or Latino,Asian,U.S. citizen or permanent resident,4,2832,2943,2892,2881,3072,3084,3499,3302,3418,3217,3022
7525,r016,All doctorate recipients -> Not Hispanic or Latino -> Asian -> Temporary visa holder,All doctorate recipients,Not Hispanic or Latino,Asian,Temporary visa holder,4,9451,9889,10514,10662,10741,10931,10731,11464,11718,11845,11551
7525,r017,All doctorate recipients -> Not Hispanic or Latino -> Asian -> Unknown citizenship,All doctorate recipients,Not Hispanic or Latino,Asian,Unknown citizenship,4,28,18,24,13,20,37,30,35,45,32,22
7525,r018,All doctorate recipients -> Not Hispanic or Latino -> Black or African American,All doctorate recipients,Not Hispanic or Latino,Black or African American,,3,2313,2528,2655,2654,2773,2866,2952,3050,3092,3090,3040
7525,r019,All doctorate recipients -> Not Hispanic or Latino -> Black or African American -> U.S. citizen or permanent resident,All doctorate recipients,Not Hispanic or Latino,Black or African American,U.S. citizen or permanent resident,4,1899,2055,2172,2172,2275,2358,2400,2449,2512,2453,2431
7525,r020,All doctorate recipients -> Not Hispanic or Latino -> Black or African American -> Temporary visa holder,All doctorate recipients,Not Hispanic or Latino,Black or African American,Temporary visa holder,4,404,469,479,477,493,502,530,595,570,625,593
7525,r021,All doctorate recipients -> Not Hispanic or Latino -> Black or African American -> Unknown citizenship,All doctorate recipients,Not Hispanic or Latino,Black or African American,Unknown citizenship,4,10,4,4,5,5,6,22,6,10,12,16
7525,r022,All doctorate recipients -> Not Hispanic or Latino -> White,All doctorate recipients,Not Hispanic or Latino,White,,3,26173,26982,27871,27947,28619,28766,28347,28554,28079,27775,24710
7525,r023,All doctorate recipients -> Not Hispanic or Latino -> White -> U.S. citizen or permanent resident,All doctorate recipients,Not Hispanic or Latino,White,U.S. citizen or permanent resident,4,23278,24010,24749,24829,25375,25502,24844,24925,24214,23934,21333
7525,r024,All doctorate recipients -> Not Hispanic or Latino -> White -> Temporary visa holder,All doctorate recipients,Not Hispanic or Latino,White,Temporary visa holder,4,2841,2931,3070,3086,3180,3224,3428,3595,3770,3785,3341
7525,r025,All doctorate recipients -> Not Hispanic or Latino -> White -> Unknown citizenship,All doctorate recipients,Not Hispanic or Latino,White,Unknown citizenship,4,54,41,52,32,64,40,75,34,95,56,36
7525,r026,All doctorate recipients -> Not Hispanic or Latino -> More than one race,All doctorate recipients,Not Hispanic or Latino,More than one race,,3,780,868,929,939,971,1116,1110,1211,1266,1251,1202
7525,r027,All doctorate recipients -> Not Hispanic or Latino -> More than one race -> U.S. citizen or permanent resident,All doctorate recipients,Not Hispanic or Latino,More than one race,U.S. citizen or permanent resident,4,722,807,858,879,903,1033,1015,1100,1121,1135,1088
7525,r028,All doctorate recipients -> Not Hispanic or Latino -> More than one race -> Temporary visa holder,All doctorate recipients,Not Hispanic or Latino,More than one race,Temporary visa holder,4,58,61,71,60,67,83,,,145,,
7525,r029,All doctorate recipients -> Not Hispanic or Latino -> More than one race -> Unknown citizenship,All doctorate recipients,Not Hispanic or Latino,More than one race,Unknown citizenship,4,0,0,0,0,1,0,,,0,,
7525,r030,All doctorate recipients -> Not Hispanic or Latino -> Other race or race not reported,All doctorate recipients,Not Hispanic or Latino,Other race or race not reported,,3,464,462,447,411,458,470,788,861,894,831,926
7525,r031,All doctorate recipients -> Not Hispanic or Latino -> Other race or race not reported -> U.S. citizen or permanent resident,All doctorate recipients,Not Hispanic or Latino,Other race or race not reported,U.S. citizen or permanent resident,4,248,293,279,272,249,272,471,371,381,353,376
7525,r032,All doctorate recipients -> Not Hispanic or Latino -> Other race or race not reported -> Temporary visa holder,All doctorate recipients,Not Hispanic or Latino,Other race or race not reported,Temporary visa holder,4,212,,147,125,171,174,279,476,475,454,500
7525,r033,All doctorate recipients -> Not Hispanic or Latino -> Other race or race not reported -> Unknown citizenship,All doctorate recipients,Not Hispanic or Latino,Other race or race not reported,Unknown citizenship,4,4,,21,14,38,24,38,14,38,24,50
7525,r034,All doctorate recipients -> Ethnicity not reported,All doctorate recipients,Ethnicity not reported,,,2,3818,4082,4172,5223,4669,3831,3418,2895,2973,2975,3659
7525,r035,All doctorate recipients -> Ethnicity not reported -> U.S. citizen or permanent resident,All doctorate recipients,Ethnicity not reported,U.S. citizen or permanent resident,,3,630,625,760,677,617,753,862,516,618,434,468
7525,r036,All doctorate recipients -> Ethnicity not reported -> Temporary visa holder,All doctorate recipients,Ethnicity not reported,Temporary visa holder,,3,339,355,465,479,503,539,228,324,495,395,386
7525,r037,All doctorate recipients -> Ethnicity not reported -> Unknown citizenship,All doctorate recipients,Ethnicity not reported,Unknown citizenship,,3,2849,3102,2947,4067,3549,2539,2328,2055,1860,2146,2805
