table_id,row_id,_b_citizenship_status_and_field_b_full_path,_b_citizenship_status_and_field_b_level_1,_b_citizenship_status_and_field_b_level_2,_b_citizenship_status_and_field_b_level_3,_b_citizenship_status_and_field_b_level_4,_b_citizenship_status_and_field_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field__change_2010_20
4655,r089,All doctorate recipients<sup>a</sup> -> Temporary visa holder,All doctorate recipients<sup>a</sup>,Temporary visa holder,,,2,13636,14235,14784,15674,15839,16129,16477,16288,17586,18324,18482,35.5
4655,r090,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Life sciences,All doctorate recipients<sup>a</sup>,Temporary visa holder,Life sciences,,3,2926,3029,3197,3177,3169,3264,3352,3331,3360,3395,3430,17.2
4655,r091,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Life sciences -> Agricultural sciences and natural resources,All doctorate recipients<sup>a</sup>,Temporary visa holder,Life sciences,Agricultural sciences and natural resources,4,412,472,529,516,504,555,561,607,607,646,633,53.6
4655,r092,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Life sciences -> Biological and biomedical sciences,All doctorate recipients<sup>a</sup>,Temporary visa holder,Life sciences,Biological and biomedical sciences,4,2084,2124,2166,2154,2229,2266,2304,2180,2157,2129,2176,4.4
4655,r093,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Life sciences -> Health sciences,All doctorate recipients<sup>a</sup>,Temporary visa holder,Life sciences,Health sciences,4,430,433,502,507,436,443,487,544,596,620,621,44.4
4655,r094,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Physical sciences and earth sciences,All doctorate recipients<sup>a</sup>,Temporary visa holder,Physical sciences and earth sciences,,3,1884,1955,1959,2032,2196,2099,2313,2160,2374,2484,2311,22.7
4655,r095,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Physical sciences and earth sciences -> Chemistry,All doctorate recipients<sup>a</sup>,Temporary visa holder,Physical sciences and earth sciences,Chemistry,4,847,907,880,888,1000,929,1000,919,1022,1071,994,17.4
4655,r096,"All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences",All doctorate recipients<sup>a</sup>,Temporary visa holder,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",4,251,246,281,290,326,307,390,332,392,429,391,55.8
4655,r097,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Physical sciences and earth sciences -> Physics and astronomy,All doctorate recipients<sup>a</sup>,Temporary visa holder,Physical sciences and earth sciences,Physics and astronomy,4,786,802,798,854,870,863,923,909,960,984,926,17.8
4655,r098,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Mathematics and computer sciences,All doctorate recipients<sup>a</sup>,Temporary visa holder,Mathematics and computer sciences,,3,1446,1449,1617,1833,1850,1917,2053,1926,2128,2304,2475,71.2
4655,r099,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Mathematics and computer sciences -> Computer and information sciences,All doctorate recipients<sup>a</sup>,Temporary visa holder,Mathematics and computer sciences,Computer and information sciences,4,760,759,870,990,1029,1094,1201,1105,1163,1329,1452,91.1
4655,r100,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Mathematics and computer sciences -> Mathematics and statistics,All doctorate recipients<sup>a</sup>,Temporary visa holder,Mathematics and computer sciences,Mathematics and statistics,4,686,690,747,843,821,823,852,821,965,975,1023,49.1
4655,r101,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Psychology and social sciences,All doctorate recipients<sup>a</sup>,Temporary visa holder,Psychology and social sciences,,3,1553,1588,1601,1634,1549,1622,1753,1668,1769,1915,1832,18.0
4655,r102,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Psychology and social sciences -> Psychology,All doctorate recipients<sup>a</sup>,Temporary visa holder,Psychology and social sciences,Psychology,4,270,238,254,282,249,260,305,286,284,339,257,-4.8
4655,r103,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Psychology and social sciences -> Anthropology,All doctorate recipients<sup>a</sup>,Temporary visa holder,Psychology and social sciences,Anthropology,4,88,73,74,76,86,68,76,65,70,66,63,-28.4
4655,r104,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Psychology and social sciences -> Economics,All doctorate recipients<sup>a</sup>,Temporary visa holder,Psychology and social sciences,Economics,4,556,623,656,615,627,606,656,641,707,708,691,24.3
4655,r105,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Psychology and social sciences -> Political science and government,All doctorate recipients<sup>a</sup>,Temporary visa holder,Psychology and social sciences,Political science and government,4,162,150,150,163,145,178,128,140,159,173,152,-6.2
4655,r106,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Psychology and social sciences -> Sociology,All doctorate recipients<sup>a</sup>,Temporary visa holder,Psychology and social sciences,Sociology,4,95,113,85,92,90,101,89,93,88,104,101,6.3
4655,r107,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Psychology and social sciences -> Other social sciences,All doctorate recipients<sup>a</sup>,Temporary visa holder,Psychology and social sciences,Other social sciences,4,382,391,382,406,352,409,499,443,461,525,568,48.7
4655,r108,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Engineering,All doctorate recipients<sup>a</sup>,Temporary visa holder,Engineering,,3,3866,4164,4355,4759,4961,5108,4842,5037,5576,5680,5955,54.0
4655,r109,"All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All doctorate recipients<sup>a</sup>,Temporary visa holder,Engineering,"Aerospace, aeronautical, and astronautical engineering",4,99,100,107,138,124,132,121,123,146,153,163,64.6
4655,r110,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Engineering -> Bioengineering and biomedical engineering,All doctorate recipients<sup>a</sup>,Temporary visa holder,Engineering,Bioengineering and biomedical engineering,4,290,291,292,352,318,348,301,300,362,359,364,25.5
