table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_all_full_time_employed_median_salary,field_all_full_time_employed_se,field_4_year_educational_institutiona_median_salary,field_4_year_educational_institutiona_se,field_other_educational_institutionb_median_salary,field_other_educational_institutionb_se,field_private_for_profitc_median_salary,field_private_for_profitc_se,field_private_nonprofit_median_salary,field_private_nonprofit_se,field_federal_government_median_salary,field_federal_government_se,field_state_or_local_government_median_salary,field_state_or_local_government_se,field_self_employedd_median_salary,field_self_employedd_se,field_othere_median_salary,field_othere_se
3740,r038,All occupations -> Engineering occupations&#160;&#160;,All occupations,Engineering occupations&#160;&#160;,,,2,130000,500,108000,2000,73000,11500,140000,2000,137000,7000,130000,2000,102000,7000,99000,12000,139000,6000
3740,r039,"All occupations -> Engineering occupations&#160;&#160; -> Aerospace, aeronautical, astronautical engineer",All occupations,Engineering occupations&#160;&#160;,"Aerospace, aeronautical, astronautical engineer",,3,149000,1500,130000,32500,,,149000,5500,159000,4500,137000,10000,,,,,150000,20500
3740,r040,All occupations -> Engineering occupations&#160;&#160; -> Chemical engineer,All occupations,Engineering occupations&#160;&#160;,Chemical engineer,,3,137000,4500,106000,8000,,,140000,2500,149000,27000,132000,11000,,,,,,
3740,r041,"All occupations -> Engineering occupations&#160;&#160; -> Civil, architectural, sanitary engineer",All occupations,Engineering occupations&#160;&#160;,"Civil, architectural, sanitary engineer",,3,109000,5000,99000,6500,,,116000,9500,120000,13000,111000,10000,100000,14000,S,S,,
3740,r042,All occupations -> Engineering occupations&#160;&#160; -> Electrical engineer,All occupations,Engineering occupations&#160;&#160;,Electrical engineer,,3,149000,1000,119000,12500,,,150000,5000,142000,9500,135000,4000,158000,30500,,,165000,32000
3740,r043,All occupations -> Engineering occupations&#160;&#160; -> Industrial engineers,All occupations,Engineering occupations&#160;&#160;,Industrial engineers,,3,119000,3500,108000,14500,,,119000,4000,,,S,S,,,,,,
3740,r044,All occupations -> Engineering occupations&#160;&#160; -> Mechanical engineer,All occupations,Engineering occupations&#160;&#160;,Mechanical engineer,,3,129000,3500,110000,5500,,,131000,3500,118000,12500,125000,6500,S,S,S,S,109000,12500
3740,r045,"All occupations -> Engineering occupations&#160;&#160; -> Postsecondary teacher, engineering",All occupations,Engineering occupations&#160;&#160;,"Postsecondary teacher, engineering",,3,108000,2500,108000,2000,71000,11500,,,,,,,,,,,,
3740,r046,All occupations -> Engineering occupations&#160;&#160; -> Other engineer,All occupations,Engineering occupations&#160;&#160;,Other engineer,,3,130000,500,93000,4500,,,137000,4000,129000,4000,128000,5500,101000,5500,97000,40500,117000,23500
3740,r047,All occupations -> S&E-related occupations&#160;,All occupations,S&E-related occupations&#160;,,,2,130000,500,106000,2500,65000,3500,169000,4000,149000,8000,145000,7000,121000,9500,172000,29000,116000,13500
3740,r048,"All occupations -> S&E-related occupations&#160; -> Health occupations, except postsecondary teachers and managers",All occupations,S&E-related occupations&#160;,"Health occupations, except postsecondary teachers and managers",,3,139000,3500,101000,9000,92000,15000,180000,15000,150000,14500,131000,6500,117000,31000,183000,28000,108000,7000
3740,r049,"All occupations -> S&E-related occupations&#160; -> Postsecondary teacher, health and related science",All occupations,S&E-related occupations&#160;,"Postsecondary teacher, health and related science",,3,105000,2500,105000,2500,80000,15500,,,,,,,,,,,,
3740,r050,"All occupations -> S&E-related occupations&#160; -> S&E managers, including health",All occupations,S&E-related occupations&#160;,"S&E managers, including health",,3,164000,4000,139000,8500,,,180000,3500,147000,19500,150000,4500,126000,7500,,,110000,27000
3740,r051,All occupations -> S&E-related occupations&#160; -> S&E precollege teachers,All occupations,S&E-related occupations&#160;,S&E precollege teachers,,3,63000,2500,S,S,63000,2500,,,,,,,,,,,,
3740,r052,All occupations -> S&E-related occupations&#160; -> S&E technicians/ technologists,All occupations,S&E-related occupations&#160;,S&E technicians/ technologists,,3,129000,3500,68000,12000,,,135000,3500,125000,11500,110000,8500,92000,19500,,,S,S
3740,r053,All occupations -> S&E-related occupations&#160; -> Other S&E-related occupation,All occupations,S&E-related occupations&#160;,Other S&E-related occupation,,3,132000,8500,,,,,140000,10000,,,,,,,,,,
3740,r054,All occupations -> Non-S&E occupations&#160;,All occupations,Non-S&E occupations&#160;,,,2,138000,3500,120000,2500,94000,4000,164000,4500,112000,7000,139000,3500,100000,9000,80000,7500,139000,8500
3740,r055,"All occupations -> Non-S&E occupations&#160; -> Arts, humanities-related occupation",All occupations,Non-S&E occupations&#160;,"Arts, humanities-related occupation",,3,93000,3500,88000,14500,S,S,98000,4500,89000,4500,124000,20500,S,S,40000,14000,S,S
3740,r056,All occupations -> Non-S&E occupations&#160; -> Management-related occupation,All occupations,Non-S&E occupations&#160;,Management-related occupation,,3,140000,5500,93000,5000,105000,8000,158000,4000,101000,4500,138000,8000,98000,9500,95000,9000,125000,16500
3740,r057,All occupations -> Non-S&E occupations&#160; -> Non-S&E managers,All occupations,Non-S&E occupations&#160;,Non-S&E managers,,3,179000,3500,160000,5000,119000,4500,200000,500,175000,9000,154000,4000,121000,7500,111000,19000,202000,38500
3740,r058,All occupations -> Non-S&E occupations&#160; -> Non-S&E postsecondary teachers,All occupations,Non-S&E occupations&#160;,Non-S&E postsecondary teachers,,3,100000,2000,100000,1500,87000,7000,,,,,,,,,,,,
3740,r059,All occupations -> Non-S&E occupations&#160; -> Non-S&E precollege/ other teachers,All occupations,Non-S&E occupations&#160;,Non-S&E precollege/ other teachers,,3,68000,4000,102000,26500,69000,4500,72000,21500,S,S,S,S,S,S,S,S,,
3740,r060,"All occupations -> Non-S&E occupations&#160; -> Sales, marketing occupation",All occupations,Non-S&E occupations&#160;,"Sales, marketing occupation",,3,120000,5000,S,S,,,130000,6000,84000,19500,,,,,39000,11500,,
3740,r061,All occupations -> Non-S&E occupations&#160; -> Social service-related occupation,All occupations,Non-S&E occupations&#160;,Social service-related occupation,,3,74000,5000,71000,4000,72000,5000,70000,11000,58000,10000,146000,47500,82000,18500,92000,27500,,
3740,r062,All occupations -> Non-S&E occupations&#160; -> Other non-S&E occupation,All occupations,Non-S&E occupations&#160;,Other non-S&E occupation,,3,125000,6000,75000,12500,43000,15500,150000,12500,78000,6000,125000,4500,76000,13000,S,S,48000,13500
