table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_worldwide_capital_expenditures_total,field_worldwide_capital_expenditures_property_plant_and_equipment,field_worldwide_capital_expenditures_identifiable_intangible_assets,field_foreign_capital_expenditures_total,field_foreign_capital_expenditures_property_plant_and_equipment,field_foreign_capital_expenditures_identifiable_intangible_assets,field_domestic_capital_expenditures_total,field_domestic_capital_expenditures_property_plant_and_equipment,field_domestic_capital_expenditures_identifiable_intangible_assets,field_domestic_capital_expenditures_for_r_d_total,field_domestic_capital_expenditures_for_r_d_property_plant_and_equipment,field_domestic_capital_expenditures_for_r_d_identifiable_intangible_assets,field_domestic_capital_expenditures_for_r_d_type_of_property_land_acquisition,field_domestic_capital_expenditures_for_r_d_type_of_property_buildings_and_land_improvement,field_domestic_capital_expenditures_for_r_d_type_of_property_machinery_and_equipment,field_domestic_capital_expenditures_for_r_d_type_of_property_capitalized_software,field_domestic_capital_expenditures_for_r_d_type_of_property_other_intellectual_property,field_domestic_capital_expenditures_for_r_d_type_of_property_all_other
9689,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['25,426', '  ']","['22,957', '  ']","['2,469', '  ']","['6,952', '  ']","['5,958', '  ']","['994', '  ']","['18,473', '  ']","['16,999', '  ']","['1,475', '  ']","['317', '  ']","['303', '  ']","['14', '  ']","['0', '  ']","['37', '  ']","['253', '  ']","['3', '  ']","['3', '  ']","['21', '  ']"
9689,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['5,601', '  ']","['5,506', '  ']","['96', '  ']","['747', '  ']","['736', '  ']","['11', '  ']","['4,854', '  ']","['4,770', 'i ']","['85', '  ']","['62', '  ']","['56', '  ']","['6', '  ']","['0', '  ']","['4', '  ']","['41', '  ']","['14', '  ']","['*', '  ']","['1', '  ']"
9689,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['3,466', '  ']","['3,210', '  ']","['256', '  ']","['267', '  ']","['235', '  ']","['32', '  ']","['3,199', '  ']","['2,974', '  ']","['225', '  ']","['170', 'i ']","['71', 'i ']","['99', 'i ']","['2', 'i ']","['15', 'i ']","['40', 'i ']","['85', 'i ']","['7', 'i ']","['21', 'i ']"
9689,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['38,368', '  ']","['33,803', '  ']","['4,565', '  ']","['10,355', '  ']","['9,827', '  ']","['528', '  ']","['28,013', '  ']","['23,976', '  ']","['4,037', '  ']","['7,504', '  ']","['6,081', '  ']","['1,422', '  ']","['14', 'i ']","['1,840', '  ']","['2,885', '  ']","['406', '  ']","['1,179', '  ']","['1,180', '  ']"
9689,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparations",,4,3256,"['8,470', '  ']","['7,878', '  ']","['592', 'i ']","['2,467', '  ']","['2,449', '  ']","['17', '  ']","['6,003', '  ']","['5,429', '  ']","['574', 'i ']","['174', '  ']","['174', '  ']","['1', '  ']","['0', '  ']","['59', '  ']","['82', '  ']","['24', '  ']","['*', '  ']","['10', '  ']"
9689,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['4,867', '  ']","['4,177', '  ']","['690', '  ']","['1,329', '  ']","['1,167', '  ']","['161', '  ']","['3,538', '  ']","['3,009', '  ']","['529', '  ']","['64', '  ']","['63', '  ']","['1', 'i ']","['0', '  ']","['12', 'i ']","['45', '  ']","['3', '  ']","['1', '  ']","['3', '  ']"
9689,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['13,253', '  ']","['12,672', '  ']","['582', '  ']","['1,812', 'i ']","['1,762', 'i ']","['50', 'i ']","['11,441', '  ']","['10,910', '  ']","['532', '  ']","['353', 'i ']","['348', 'i ']","['5', '  ']","['0', '  ']","['42', '  ']","['281', 'i ']","['6', '  ']","['1', 'r ']","['23', '  ']"
9689,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['5,265', '  ']","['5,245', 'i ']","['20', 'i ']","['1,285', 'i ']","['1,284', 'i ']","['1', '  ']","['3,980', '  ']","['3,961', '  ']","['19', 'i ']","['193', '  ']","['186', '  ']","['7', 'i ']","['0', '  ']","['4', 'i ']","['177', '  ']","['*', '  ']","['7', 'i ']","['5', 'i ']"
9689,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['3,752', '  ']","['3,718', '  ']","['34', '  ']","['336', '  ']","['335', '  ']","['*', '  ']","['3,417', '  ']","['3,383', '  ']","['34', '  ']","['172', '  ']","['157', '  ']","['16', '  ']","['0', '  ']","['79', '  ']","['74', 'i ']","['1', '  ']","['15', '  ']","['3', 'i ']"
9689,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['15,054', '  ']","['13,944', '  ']","['1,110', '  ']","['3,491', '  ']","['3,051', 'r ']","['440', '  ']","['11,563', '  ']","['10,893', '  ']","['670', 'r ']","['397', '  ']","['380', '  ']","['17', '  ']","['3', '  ']","['42', '  ']","['291', '  ']","['17', '  ']","['1', '  ']","['42', '  ']"
9689,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['25,349', '  ']","['23,637', '  ']","['1,712', '  ']","['7,408', '  ']","['7,145', '  ']","['263', '  ']","['17,941', '  ']","['16,492', '  ']","['1,449', '  ']","['1,295', '  ']","['1,112', '  ']","['183', '  ']","['*', '  ']","['122', '  ']","['783', '  ']","['140', '  ']","['11', '  ']","['238', '  ']"
9689,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['2,179', '  ']","['1,966', '  ']","['213', '  ']","['716', '  ']","['713', '  ']","['3', '  ']","['1,464', '  ']","['1,253', '  ']","['210', '  ']","['216', '  ']","['87', '  ']","['129', '  ']","['0', '  ']","['23', '  ']","['50', '  ']","['0 - 129', '  ']","['*', '  ']","['12 - 145', '  ']"
9689,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['3,612', '  ']","['3,436', '  ']","['176', '  ']","['1,704', '  ']","['1,703', '  ']","['1', '  ']","['1,908', '  ']","['1,733', '  ']","['175', '  ']","['314', '  ']","['313', '  ']","['1', 'i ']","['*', '  ']","['2', 'i ']","['273', '  ']","['11', '  ']","['*', '  ']","['27', '  ']"
9689,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['2,304', '  ']","['2,221', '  ']","['83', '  ']","['1,215', '  ']","['1,213', '  ']","['2', '  ']","['1,089', '  ']","['1,008', '  ']","['81', '  ']","['115', '  ']","['108', '  ']","['7', '  ']","['0', '  ']","['26', '  ']","['75', '  ']","['2', '  ']","['0', '  ']","['12', '  ']"
9689,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['17,254', '  ']","['16,014', '  ']","['1,240', '  ']","['3,774', '  ']","['3,517', '  ']","['257', '  ']","['13,480', '  ']","['12,497', '  ']","['983', '  ']","['651', '  ']","['605', '  ']","['46', '  ']","['*', '  ']","['71', '  ']","['384', '  ']","['0 - 129', '  ']","['11', '  ']","['54 - 187', 'i ']"
9689,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['89,644', '  ']","['61,906', '  ']","['27,738', '  ']","['36,474', '  ']","['29,501', '  ']","['6,973', '  ']","['53,170', '  ']","['32,405', '  ']","['20,766', '  ']","['9,468', '  ']","['6,927', '  ']","['2,540', '  ']","['122', '  ']","['792', '  ']","['5,312', '  ']","['1,064', 'i ']","['1,691', '  ']","['487', 'i ']"
9689,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['5,156', '  ']","['3,374', '  ']","['1,782', '  ']","['934', '  ']","['576', '  ']","['358', '  ']","['4,222', '  ']","['2,798', '  ']","['1,424', '  ']","['731', '  ']","['0 - 732', '  ']","['0 - 732', 'i ']","['44', '  ']","['0 - 102', '  ']","['459', '  ']","['128', 'i ']","['0 - 102', 'i ']","['0 - 102', '  ']"
9689,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['55,910', '  ']","['33,324', '  ']","['22,586', '  ']","['23,836', '  ']","['17,630', '  ']","['6,206', '  ']","['32,074', '  ']","['15,694', '  ']","['16,380', '  ']","['5,014', 'i ']","['3,969', '  ']","['1,045', 'i ']","['37', 'i ']","['286', 'i ']","['3,218', '  ']","['731', 'i ']","['444', 'i ']","['299', 'i ']"
9689,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['7,911', '  ']","['5,814', 'i ']","['2,097', '  ']","['1,732', '  ']","['1,332', 'i ']","['400', '  ']","['6,179', 'i ']","['4,482', 'i ']","['1,697', '  ']","['952', '  ']","['755', '  ']","['198', '  ']","['40', '  ']","['162', '  ']","['430', '  ']","['41 - 207', '  ']","['21 - 217', '  ']","['63 - 189', '  ']"
9689,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['450', 'i ']","['397', 'i ']","['54', 'i ']","['76', '  ']","['55', '  ']","['20', '  ']","['375', 'i ']","['341', 'i ']","['33', 'i ']","['78', 'i ']","['62', 'i ']","['16', '  ']","['3', '  ']","['8', '  ']","['50', 'i ']","['9', '  ']","['7', 'i ']","['1', 'i ']"
9689,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instruments",5,334511,"['2,073', '  ']","['2,003', 'i ']","['70', '  ']","['402', 'i ']","['387', 'i ']","['15', 'i ']","['1,671', '  ']","['1,616', 'i ']","['54', '  ']","['357', '  ']","['314', '  ']","['43', '  ']","['35', '  ']","['89', '  ']","['122', '  ']","['33', '  ']","['15', '  ']","['63', '  ']"
9689,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling devices",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling devices,5,other 3345,"['5,388', '  ']","['3,414', 'i ']","['1,974', '  ']","['1,254', '  ']","['890', '  ']","['364', '  ']","['4,134', 'i ']","['2,524', 'i ']","['1,610', 'i ']","['517', '  ']","['378', 'i ']","['139', '  ']","['2', '  ']","['65', 'i ']","['258', '  ']","['0 - 166', '  ']","['0 - 194', '  ']","['0 - 126', 'i ']"
9689,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['20,667', '  ']","['19,394', '  ']","['1,273', '  ']","['9,973', '  ']","['9,963', '  ']","['10', '  ']","['10,695', '  ']","['9,431', '  ']","['1,263', '  ']","['2,770', '  ']","['1,471 - 2,205', '  ']","['565 - 1,299', '  ']","['0', '  ']","['240 - 346', '  ']","['1,206', '  ']","['0 - 166', '  ']","['927 - 1,227', '  ']","['0 - 126', '  ']"
9689,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['6,670', '  ']","['6,038', '  ']","['632', '  ']","['2,551', '  ']","['2,390', '  ']","['161', 'i ']","['4,119', '  ']","['3,649', '  ']","['471', '  ']","['389', '  ']","['309', '  ']","['80', '  ']","['*', '  ']","['42', '  ']","['190', '  ']","['58', '  ']","['5', '  ']","['94', '  ']"
9689,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['68,906', '  ']","['66,253', '  ']","['2,653', '  ']","['15,085', '  ']","['14,411', '  ']","['674', '  ']","['53,820', '  ']","['51,842', '  ']","['1,978', '  ']","['3,652', '  ']","['3,084', '  ']","['568', 'i ']","['81', 'i ']","['431', '  ']","['2,156', '  ']","['502', 'i ']","['263', '  ']","['218', '  ']"
9689,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Motor vehicles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Motor vehicles, bodies, trailers, and parts",,4,3361–63,"['54,932', '  ']","['53,077', '  ']","['1,855', '  ']","['12,405', '  ']","['11,735 - 12,405', '  ']","['0 - 670', '  ']","['42,528', '  ']","['40,672 - 41,343', 'i ']","['1,185 - 1,856', 'i ']","['2,813', 'i ']","['2,355', 'i ']","['458', 'i ']","['68', 'i ']","['308', '  ']","['1,654', 'i ']","['475', 'i ']","['98 - 263', '  ']","['42 - 208', 'i ']"
9689,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['11,435', '  ']","['10,752', '  ']","['683', '  ']","['2,437', '  ']","['1,767 - 2,438', '  ']","['0 - 670', '  ']","['8,998', '  ']","['8,314 - 8,986', '  ']","['13 - 684', '  ']","['704', '  ']","['595', '  ']","['109', '  ']","['0 - 14', '  ']","['113', '  ']","['401', '  ']","['25', '  ']","['0 - 150', '  ']","['1 - 167', '  ']"
9689,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts",5,336411–13,"['10,828', '  ']","['10,150', '  ']","['678', '  ']","['2,409', '  ']","['1,739 - 2,410', '  ']","['0 - 670', '  ']","['8,419', '  ']","['7,740 - 8,412', '  ']","['8 - 679', '  ']","['603', '  ']","['494', '  ']","['109', '  ']","['0', '  ']","['80', '  ']","['353', '  ']","['24', '  ']","['0 - 148', '  ']","['0 - 148', '  ']"
9689,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['607', '  ']","['602', '  ']","['5', 'i ']","['28', '  ']","['22 - 29', '  ']","['0 - 6', '  ']","['579', '  ']","['573 - 580', '  ']","['0 - 6', 'i ']","['101', '  ']","['100', '  ']","['*', '  ']","['0 - 14', '  ']","['33', '  ']","['48', '  ']","['1', '  ']","['1', '  ']","['1 - 20', '  ']"
9689,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank components",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank components",,4,336992,"['7', '  ']","['5', '  ']","['2', 'r ']","['0', '  ']","['0', '  ']","['0', '  ']","['7', '  ']","['5', '  ']","['2', 'r ']","['0 - 3', '  ']","['*', '  ']","['0 - 3', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['0 - 3', '  ']","['0', '  ']"
9689,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['2,531', '  ']","['2,419', '  ']","['112', 'i ']","['244', '  ']","['238', '  ']","['5', 'i ']","['2,288', '  ']","['2,181', '  ']","['107', 'i ']","['133 - 137', '  ']","['134', '  ']","['0 - 3', '  ']","['0 - 14', '  ']","['10', '  ']","['101', 'i ']","['2', '  ']","['0 - 16', '  ']","['10', '  ']"
9689,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['994', '  ']","['834', '  ']","['161', '  ']","['69', '  ']","['69', '  ']","['0', '  ']","['925', '  ']","['765', '  ']","['161', '  ']","['29', '  ']","['26', '  ']","['2', 'i ']","['*', '  ']","['4', '  ']","['18', '  ']","['5', '  ']","['1', '  ']","['*', '  ']"
9689,r043,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['27,777', '  ']","['21,930', '  ']","['5,847', '  ']","['8,780', '  ']","['7,846', '  ']","['934', '  ']","['18,997', '  ']","['14,084', '  ']","['4,913', '  ']","['2,164', '  ']","['1,466', '  ']","['698', '  ']","['7', '  ']","['158', '  ']","['961', '  ']","['204', '  ']","['449', '  ']","['387', '  ']"
9689,r044,All industries -> Manufacturing industries -> Miscellaneous -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous,Medical equipment and supplies,,4,3391,"['20,223', '  ']","['16,757', '  ']","['3,466', '  ']","['7,730', '  ']","['6,862', '  ']","['869', '  ']","['12,493', '  ']","['9,895', '  ']","['2,598', '  ']","['1,936', '  ']","['1,313', '  ']","['623', '  ']","['7', '  ']","['149', '  ']","['842', '  ']","['181', '  ']","['442', '  ']","['316', '  ']"
9689,r045,All industries -> Manufacturing industries -> Miscellaneous -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous,Other miscellaneous manufacturing,,4,3399,"['7,554', '  ']","['5,174', '  ']","['2,380', '  ']","['1,050', '  ']","['984', '  ']","['65', '  ']","['6,504', '  ']","['4,189', '  ']","['2,315', '  ']","['228', '  ']","['153', '  ']","['75', '  ']","['0', '  ']","['8', '  ']","['120', '  ']","['23', 'i ']","['7', '  ']","['71', '  ']"
9689,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['552,118', '  ']","['480,060', '  ']","['72,058', '  ']","['63,562', '  ']","['58,032', '  ']","['5,530', '  ']","['488,556', '  ']","['422,028', '  ']","['66,528', '  ']","['24,394', 'i ']","['16,329', '  ']","['8,065', 'i ']","['341', 'r ']","['1,342', 'i ']","['4,496', '  ']","['13,651', 'i ']","['2,056', 'i ']","['2,507', 'i ']"
9689,r047,"All industries -> Nonmanufacturing industries -> Mining, quarrying, oil and gas extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, quarrying, oil and gas extraction, and support activities",,,3,21,"['27,919', '  ']","['27,721', 'i ']","['199', '  ']","['3,755', 'i ']","['3,752', 'i ']","['4', 'i ']","['24,164', '  ']","['23,969', 'i ']","['195', '  ']","['263 - 344', '  ']","['249 - 331', '  ']","['13', 'i ']","['12', '  ']","['2', '  ']","['78', 'i ']","['26', 'i ']","['0 - 209', 'i ']","['0 - 228', '  ']"
9689,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['104,992', '  ']","['102,718', '  ']","['2,275', '  ']","['390', '  ']","['390', '  ']","['0', '  ']","['104,603', '  ']","['102,328', '  ']","['2,275', '  ']","['1,003', 'i ']","['960', 'i ']","['43', 'i ']","['0', '  ']","['0', '  ']","['63', 'i ']","['50', 'i ']","['0', '  ']","['890', 'i ']"
9689,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['14,919', 'i ']","['14,195', 'i ']","['724', 'i ']","['651', 'i ']","['618', 'i ']","['33', 'i ']","['14,268', 'i ']","['13,578', 'i ']","['690', 'i ']","['693 - 816', 'i ']","['497', 'i ']","['196 - 320', 'i ']","['*', 'i ']","['56', 'i ']","['138', 'i ']","['151', 'i ']","['149', 'r ']","['197 - 324', 'i ']"
9689,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['1,086 - 83,088', '  ']","['387 - 82,389', '  ']","['699', '  ']","['0 - 19,383', '  ']","['0 - 19,383', '  ']","['0 - 282', '  ']","['1,086 - 78,607', '  ']","['387 - 77,908', '  ']","['416 - 700', '  ']","['1,087', 'i ']","['846', 'i ']","['241', '  ']","['0', '  ']","['0', '  ']","['0 - 408', 'i ']","['154 - 1,088', '  ']","['0 - 209', '  ']","['0 - 467', 'i ']"
9689,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['21,698', '  ']","['20,841', '  ']","['858', 'i ']","['921', '  ']","['638 - 921', '  ']","['0 - 282', 'i ']","['20,778', '  ']","['19,919 - 20,203', '  ']","['575 - 858', 'i ']","['261', '  ']","['202', '  ']","['60', '  ']","['0', '  ']","['40', '  ']","['44', '  ']","['109', '  ']","['0', '  ']","['68', '  ']"
