table_id,row_id,rank,institution,region,number_of_papers_whole_,number_of_papers_fractional_,papers_involving_multiple_institutions_whole_,papers_involving_only_domestic_institutions_whole_,papers_involving_international_institutions_whole_
10064,r054,54,Hong Kong Polytechnic U.,Asia,2646,1399.5,2121,1837,791
10064,r055,55,Chinese U. Hong Kong,Asia,2594,1396.0,2056,1854,695
10064,r056,55,Osaka U.,Asia,2594,1566.7,1937,2079,503
10064,r057,57,U. New South Wales,Australia and Oceania,2593,1575.2,1726,1370,1215
10064,r058,58,Shanghai U.,Asia,2549,1813.1,1627,1993,543
10064,r059,59,Delft U. Technology,Europe,2545,1638.0,1742,1366,1171
10064,r060,60,Chongqing U.,Asia,2542,1758.1,1899,2018,516
10064,r061,60,Imperial C. London,Europe,2542,1538.4,1812,1190,1336
10064,r062,62,Beijing U. Technology,Asia,2492,1977.0,1420,2091,392
10064,r063,63,Central South U.,Asia,2490,1781.7,1627,2034,451
10064,r064,64,Sorbonne Université,Europe,2450,721.4,1863,1538,892
10064,r065,65,National Research Council of Italy,Europe,2420,1447.7,1661,1719,697
10064,r066,66,U. Alberta,North America,2411,1326.5,1769,934,1469
10064,r067,67,Amrita Vishwa Vidyapeetham,Asia,2407,2287.2,535,2315,89
10064,r068,68,Nanjing U.,Asia,2387,1438.6,1697,1767,595
10064,r069,69,U. Toronto,North America,2386,1550.5,1604,1263,1099
10064,r070,70,Université Fédérale Toulouse Midi-Pyrénées,Europe,2367,517.6,1816,1365,996
10064,r071,71,U. Oxford,Europe,2355,1367.0,1716,1069,1268
10064,r072,72,Sichuan U.,Asia,2352,1564.9,1739,1808,538
10064,r073,73,North China Electric Power U.,Asia,2282,1850.7,1246,2077,203
10064,r074,74,Universidade de São Paulo,South America,2280,1672.2,1453,1675,601
10064,r075,75,U. Illinois at Urbana-Champaign,North America,2265,1381.4,1651,1506,737
10064,r076,76,Harbin Engineering U.,Asia,2262,1805.5,1183,1948,310
10064,r077,77,Waseda U.,Asia,2244,1612.1,1586,1689,542
10064,r078,78,"Amity U., Noida",Asia,2206,1755.2,1227,1856,341
10064,r079,79,Vellore Institute of Technology,Asia,2196,1622.1,1235,1813,376
10064,r080,80,Jilin U.,Asia,2171,1586.1,1585,1819,342
10064,r081,81,Polytechnic U. Catalonia,Europe,2170,1194.0,1557,1190,970
10064,r082,82,Tokyo Institute of Technology,Asia,2167,1445.0,1443,1692,461
10064,r083,83,U. Lisbon,Europe,2136,1112.6,1553,1196,936
10064,r084,84,U. Pune,Asia,2131,1538.9,989,2009,116
10064,r085,85,KU Leuven,Europe,2119,1368.1,1464,1019,1091
10064,r086,85,U. Mumbai,Asia,2119,1974.1,614,2066,51
10064,r087,87,Harvard U.,North America,2110,1025.1,1761,1200,902
10064,r088,88,U. Sydney,Australia and Oceania,2049,1198.3,1449,935,1097
10064,r089,89,Institut Mines-Télécom,Europe,2035,401.6,1662,1089,934
10064,r090,90,U. C. London,Europe,2006,1086.6,1549,934,1060
10064,r091,91,Shenzhen U.,Asia,1995,1161.0,1603,1509,474
10064,r092,91,U. Science and Technology Beijing,Asia,1995,1427.8,1421,1692,298
10064,r093,93,U. Waterloo,North America,1974,1309.0,1298,1077,886
10064,r094,94,Fudan U.,Asia,1970,1332.4,1429,1486,471
10064,r095,94,U. Granada,Europe,1970,1134.2,1568,1081,884
10064,r096,96,Nanjing U. Posts and Telecommunications,Asia,1964,1350.8,1400,1646,314
10064,r097,97,Southwest Jiaotong U.,Asia,1947,1387.9,1395,1548,396
10064,r098,98,U. Politehnica of Bucharest,Europe,1930,1610.9,971,1591,335
10064,r099,99,Hefei U. Technology,Asia,1926,1358.1,1431,1455,466
10064,r100,100,National Yang Ming Chiao Tung U.,Asia,1908,1293.0,1347,1583,312
